Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Ten einde toegang tot die inligting op die webtuiste uit te brei , word daar in die vooruitsig gestel dat die inligting uiteindelik in al elf amptelike tale beskikbaar sal wees .","Ten einde toegang tot die inligting op die webtuiste uit te brei ,",in die vooruitsig,Ten brei,in vooruitsig,ten brei,in vooruitsig,stel,"Ten einde toegang tot die inligting op die webtuiste uit te brei ,",in die vooruitsig,13,3,ten,in,brei,vooruitsig,VERB,NOUN,prepositional,prepositional,Preverbal,Afrikaans
"Ten einde PDF-dokumente te kan oopmaak , moet jy Adobe Acrobat Reader 4 of hoër op jou rekenaar geïnstalleer hê .","Ten einde PDF-dokumente te kan oopmaak ,",op jou rekenaar,Ten oopmaak,op rekenaar,ten oopmaak,op rekenaar,installeer,"Ten einde PDF-dokumente te kan oopmaak ,",op jou rekenaar,7,3,ten,op,oopmaak,rekenaar,VERB,NOUN,prepositional,prepositional,Preverbal,Afrikaans
In sy beslissing sal die hof enige moontlike aanbevelings deur die Direkteur-generaal oor die verdeling van bates in ag neem .,In sy beslissing,in ag,In beslissing,in ag,in beslissing,in ag,neem,In sy beslissing,in ag,3,2,in,in,beslissing,ag,NOUN,NOUN,prepositional,prepositional,Preverbal,Afrikaans
"Indien die Direkteur-generaal , of 'n vereniging of voorlopige vereniging , of enige lid van die vereniging , of enige ander belanghebbende persoon aansoek doen dat 'n vereniging of voorlopige vereniging deur die Direkteur-generaal onder administrasie geplaas of gelikwideer moet word , kan die Minister beslis ingevolge watter prosedure die Direkteur-generaal die vereniging of voorlopige vereniging onder administrasie moet plaas of likwideer .","Indien die Direkteur-generaal , of 'n vereniging of voorlopige vereniging , of enige lid van die vereniging , of enige ander belanghebbende persoon aansoek doen dat 'n vereniging of voorlopige vereniging deur die Direkteur-generaal","Indien die Direkteur-generaal , of 'n vereniging of voorlopige vereniging , of enige lid van die vereniging , of enige ander belanghebbende persoon aansoek doen dat 'n vereniging of voorlopige vereniging onder administrasie","Indien die Direkteur-generaal , of 'n vereniging of voorlopige vereniging , of enige lid van die vereniging , of enige ander belanghebbende persoon aansoek doen dat 'n vereniging of voorlopige vereniging deur Direkteur-generaal","Indien die Direkteur-generaal , of 'n vereniging of voorlopige vereniging , of enige lid van die vereniging , of enige ander belanghebbende persoon aansoek doen dat 'n vereniging of voorlopige vereniging onder administrasie",deur direkteur-generaal,onder administrasie,plaas,deur die Direkteur-generaal,onder administrasie,3,2,deur,onder,direkteur-generaal,administrasie,NOUN,NOUN,prepositional,prepositional,Preverbal,Afrikaans
"In die geval van 'n maatskappy of beslote korporasie ( BK ) kan enige belanghebbende party , direkteur of ouditeur van die maatskappy , die Suid-Afrikaanse Inkomstediens ( SAID ) of die Registrateur van Maatskappye om die deregistrasie van 'n maatskappy of BK aansoek doen .",In die geval van 'n maatskappy of beslote korporasie ( BK ),om die deregistrasie van 'n maatskappy of BK,In geval,om deregistrasie,in geval,om deregistrasie,doen,In die geval van 'n maatskappy of beslote korporasie ( BK ),om die deregistrasie van 'n maatskappy of BK,12,8,in,om,geval,deregistrasie,NOUN,NOUN,prepositional,prepositional,Preverbal,Afrikaans
Die vorige vrystelling sal dan steeds van toepassing bly totdat die SAID die aansoeker oor 'n beslissing ingevolge die nuwe wetgewing in kennis gestel het .,Die vorige vrystelling sal dan steeds van toepassing bly totdat die SAID die aansoeker oor 'n beslissing ingevolge die nuwe wetgewing,Die vorige vrystelling sal dan steeds van toepassing bly totdat die SAID die aansoeker in kennis,Die vorige vrystelling sal dan steeds van toepassing bly totdat die SAID die aansoeker oor beslissing,Die vorige vrystelling sal dan steeds van toepassing bly totdat die SAID die aansoeker in kennis,oor beslissing,in kennis,stel,oor 'n beslissing ingevolge die nuwe wetgewing,in kennis,7,2,oor,in,beslissing,kennis,NOUN,NOUN,prepositional,prepositional,Preverbal,Afrikaans
Die hof is ook by magte om die vader te beveel om by te dra tot die betaling van laying-in expenses [ ? ? ] en onderhoud van die kind se geboortedatum af tot op die dag waarop die onderhoudsbevel toegestaan word .,Die hof is ook by magte om die vader te beveel om by te dra tot die betaling van laying-in expenses [ ? ? ] en onderhoud,Die hof is ook by magte om die vader te beveel om by te dra tot op die dag waarop die onderhoudsbevel toegestaan word .,Die hof is ook by magte om die vader te beveel om by te dra tot betaling,Die hof is ook by magte om die vader te beveel om by te dra op dag,tot betaling,op dag,dra,tot die betaling van laying-in expenses [ ? ? ] en onderhoud,tot op die dag waarop die onderhoudsbevel toegestaan word .,12,10,tot,op,betaling,dag,NOUN,NOUN,prepositional,prepositional,Postverbal,Afrikaans
"Ten einde die hof in staat te stel om 'n billike onderhoudsbevel te verleen , moet albei die partye die hof van bewys van hulle uitgawes voorsien .","Ten einde die hof in staat te stel om 'n billike onderhoudsbevel te verleen ,",van bewys van hulle uitgawes,Ten einde,van bewys,ten einde,van bewys,voorsien,"Ten einde die hof in staat te stel om 'n billike onderhoudsbevel te verleen ,",van bewys van hulle uitgawes,15,5,ten,van,einde,bewys,NOUN,NOUN,prepositional,prepositional,Preverbal,Afrikaans
Doen om onderhoud aansoek by die landdroshof in die distrik waar jy woon .,Doen om onderhoud,Doen by die landdroshof in die distrik waar jy woon .,Doen om onderhoud,Doen by landdroshof,om onderhoud,by landdroshof,doen,om onderhoud,by die landdroshof in die distrik waar jy woon .,2,10,om,by,onderhoud,landdroshof,NOUN,NOUN,prepositional,prepositional,Postverbal,Afrikaans
Die hof sal 'n dagvaarding ( 'n brief wat 'n persoon opdrag gee om na die hof toe te gaan ) op die respondent ( die persoon teen wie die aansoek om onderhoud gebring word ) laat beteken om op 'n sekere dag in die hof te verskyn ten einde die aangeleentheid te bespreek .,Die hof sal 'n dagvaarding ( 'n brief wat 'n persoon opdrag gee om na die hof toe te gaan ) op die respondent ( die persoon teen wie die aansoek om onderhoud gebring word ) laat beteken om op 'n sekere dag,Die hof sal 'n dagvaarding ( 'n brief wat 'n persoon opdrag gee om na die hof toe te gaan ) op die respondent ( die persoon teen wie die aansoek om onderhoud gebring word ) laat beteken om in die hof,Die hof sal 'n dagvaarding ( 'n brief wat 'n persoon opdrag gee om na die hof toe te gaan ) op die respondent ( die persoon teen wie die aansoek om onderhoud gebring word ) laat beteken om op dag,Die hof sal 'n dagvaarding ( 'n brief wat 'n persoon opdrag gee om na die hof toe te gaan ) op die respondent ( die persoon teen wie die aansoek om onderhoud gebring word ) laat beteken om in hof,op dag,in hof,verskyn,op 'n sekere dag,in die hof,4,3,op,in,dag,hof,NOUN,NOUN,prepositional,prepositional,Preverbal,Afrikaans
