Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
1958 - اثر سقوط النظام الملكي الهاشمي في العراق ، وصلت قوات بريطانية الى الاردن ب طلب من الملك حسين .,1958 - اثر سقوط النظام الملكي الهاشمي في العراق ، وصلت قوات بريطانية الى الاردن,1958 - اثر سقوط النظام الملكي الهاشمي في العراق ، وصلت قوات بريطانية ب طلب من الملك حسين,1958 - اثر سقوط النظام الملكي الهاشمي في العراق ، وصلت قوات بريطانية الى الاردن,1958 - اثر سقوط النظام الملكي الهاشمي في العراق ، وصلت قوات بريطانية ب طلب,إِلَى أُردُنّ,بِ طَلَب,وَصَل,الى الاردن,ب طلب من الملك حسين,2,5,إِلَى,بِ,أُردُنّ,طَلَب,NOUN,NOUN,prepositional,prepositional,Postverbal,Arabic
1987 - قطع العلاقات الدبلوماسية بين فرنسا و إيران اثر رفض مترجم السفارة الايرانية في باريس وحيد غورجي المثول امام القضاء في اطار التحقيق في اعتداءات وقعت في 1986 في باريس .,1987 - قطع العلاقات الدبلوماسية بين فرنسا و إيران اثر رفض مترجم السفارة الايرانية في باريس وحيد غورجي المثول امام القضاء في اطار التحقيق في اعتداءات وقعت في 1986,1987 - قطع العلاقات الدبلوماسية بين فرنسا و إيران اثر رفض مترجم السفارة الايرانية في باريس وحيد غورجي المثول امام القضاء في اطار التحقيق في اعتداءات وقعت في باريس,1987 - قطع العلاقات الدبلوماسية بين فرنسا و إيران اثر رفض مترجم السفارة الايرانية في باريس وحيد غورجي المثول امام القضاء في اطار التحقيق في اعتداءات وقعت في 1986,1987 - قطع العلاقات الدبلوماسية بين فرنسا و إيران اثر رفض مترجم السفارة الايرانية في باريس وحيد غورجي المثول امام القضاء في اطار التحقيق في اعتداءات وقعت في باريس,فِي 1986,فِي بَارِيس,وَقَع,في 1986,في باريس,2,2,فِي,فِي,1986,بَارِيس,NUM,X,prepositional,prepositional,Postverbal,Arabic
صوفيا 16 - 7 ( اف ب ) - اعلن بيان ل المركز الصحافي التابع ل الحكومة البلغارية ان رجلين قتلا و أصيب شخص آخر ب جروح خطرة امس السبت في حرائق اندلعت في الايام الاخيرة في بلغاريا .,صوفيا 16 - 7 ( اف ب ) - اعلن بيان ل المركز الصحافي التابع ل الحكومة البلغارية ان رجلين قتلا و أصيب شخص آخر ب جروح خطرة امس السبت في حرائق اندلعت في الايام الاخيرة,صوفيا 16 - 7 ( اف ب ) - اعلن بيان ل المركز الصحافي التابع ل الحكومة البلغارية ان رجلين قتلا و أصيب شخص آخر ب جروح خطرة امس السبت في حرائق اندلعت في بلغاريا,صوفيا 16 - 7 ( اف ب ) - اعلن بيان ل المركز الصحافي التابع ل الحكومة البلغارية ان رجلين قتلا و أصيب شخص آخر ب جروح خطرة امس السبت في حرائق اندلعت في الايام,صوفيا 16 - 7 ( اف ب ) - اعلن بيان ل المركز الصحافي التابع ل الحكومة البلغارية ان رجلين قتلا و أصيب شخص آخر ب جروح خطرة امس السبت في حرائق اندلعت في بلغاريا,فِي يَوم,فِي بُلغَارِيَا,اِندَلَع,في الايام الاخيرة,في بلغاريا,3,2,فِي,فِي,يَوم,بُلغَارِيَا,NOUN,X,prepositional,prepositional,Postverbal,Arabic
و كان شخص آخر ، اتاناس يانف ( 54 عاما ) يصارع امس السبت الموت في مستشفى بورغاس ايضا اثر إصابة ه الخميس ب حروق بليغة .,و كان شخص آخر ، اتاناس يانف ( 54 عاما ) يصارع امس السبت الموت في مستشفى بورغاس ايضا,و كان شخص آخر ، اتاناس يانف ( 54 عاما ) يصارع امس السبت الموت اثر إصابة ه الخميس ب حروق بليغة,و كان شخص آخر ، اتاناس يانف ( 54 عاما ) يصارع امس السبت الموت في مستشفى,و كان شخص آخر ، اتاناس يانف ( 54 عاما ) يصارع امس السبت الموت اثر إصابة,فِي مستشفى,إِثرَ إِصَابَة,صَارَع,في مستشفى بورغاس ايضا,اثر إصابة ه الخميس ب حروق بليغة,4,7,فِي,إِثرَ,مستشفى,إِصَابَة,X,NOUN,prepositional,prepositional,Postverbal,Arabic
و قرر الرئيس الاميركي ان يغادر الاربعاء صباحا الولايات المتحدة ل المشاركة في آخر قمة ل ه ل مجموعة الثماني ( الدول الصناعية الكبرى السبع و روسيا ) التي س تجري في جزيرة اوكيناوا و س يعود الى واشنطن الاحد في 23 الجاري . و س يجري على هامش القمة محادثات ثنائية مع الرئيس الروسي فلاديمير بوتين .,و قرر الرئيس الاميركي ان يغادر الاربعاء صباحا الولايات المتحدة ل المشاركة في آخر قمة ل ه ل مجموعة الثماني ( الدول الصناعية الكبرى السبع و روسيا ) التي س تجري في جزيرة اوكيناوا و س يعود الى واشنطن,و قرر الرئيس الاميركي ان يغادر الاربعاء صباحا الولايات المتحدة ل المشاركة في آخر قمة ل ه ل مجموعة الثماني ( الدول الصناعية الكبرى السبع و روسيا ) التي س تجري في جزيرة اوكيناوا و س يعود في 23 الجاري,و قرر الرئيس الاميركي ان يغادر الاربعاء صباحا الولايات المتحدة ل المشاركة في آخر قمة ل ه ل مجموعة الثماني ( الدول الصناعية الكبرى السبع و روسيا ) التي س تجري في جزيرة اوكيناوا و س يعود الى واشنطن,و قرر الرئيس الاميركي ان يغادر الاربعاء صباحا الولايات المتحدة ل المشاركة في آخر قمة ل ه ل مجموعة الثماني ( الدول الصناعية الكبرى السبع و روسيا ) التي س تجري في جزيرة اوكيناوا و س يعود في 23,إِلَى وَاشِنطُن,فِي 23,عَاد,الى واشنطن,في 23 الجاري,2,3,إِلَى,فِي,وَاشِنطُن,23,X,NUM,prepositional,prepositional,Postverbal,Arabic
و أخيرا اشارت الدراسة الى ان 41،5 % من النساء اللواتي يتعرضن ل العنف الجسدي من قبل شريك حميم ، اصبن ب جروح خلال تعرض هن ل الاعتداء الاخير مقابل 19،9 % ل الرجال .,و أخيرا اشارت الدراسة الى ان 41،5 % من النساء اللواتي يتعرضن ل العنف الجسدي من قبل شريك حميم ، اصبن ب جروح خلال تعرض هن ل الاعتداء الاخير,و أخيرا اشارت الدراسة الى ان 41،5 % من النساء اللواتي يتعرضن ل العنف الجسدي من قبل شريك حميم ، اصبن ب جروح مقابل 19،9 % ل الرجال,و أخيرا اشارت الدراسة الى ان 41،5 % من النساء اللواتي يتعرضن ل العنف الجسدي من قبل شريك حميم ، اصبن ب جروح خلال تعرض,و أخيرا اشارت الدراسة الى ان 41،5 % من النساء اللواتي يتعرضن ل العنف الجسدي من قبل شريك حميم ، اصبن ب جروح مقابل 19،9,خِلَالَ تَعَرُّض,مُقَابِلَ 19،9,أَصَاب,خلال تعرض هن ل الاعتداء الاخير,مقابل 19،9 % ل الرجال,6,5,خِلَالَ,مُقَابِلَ,تَعَرُّض,19،9,NOUN,NUM,prepositional,prepositional,Postverbal,Arabic
"سيول 15 - 8 ( اف ب ) - بدا اليوم الثلاثاء لم شمل العائلات الكورية بين شطري شبه الجزيرة التى قسمت ها الحرب قبل نصف قرن ، و هبطت طائرة تابعة ل الخطوط الجوية الكورية "" اير كوريو "" في مطار سيول اليوم الثلاثاء ل تصبح اول طائرة كورية شمالية تهبط في كوريا الجنوبية منذ الحرب الكورية التي استمرت من 1950 الى 1953 .","سيول 15 - 8 ( اف ب ) - بدا اليوم الثلاثاء لم شمل العائلات الكورية بين شطري شبه الجزيرة التى قسمت ها الحرب قبل نصف قرن ، و هبطت طائرة تابعة ل الخطوط الجوية الكورية "" اير كوريو "" في مطار سيول اليوم الثلاثاء ل تصبح اول طائرة كورية شمالية تهبط في كوريا الجنوبية","سيول 15 - 8 ( اف ب ) - بدا اليوم الثلاثاء لم شمل العائلات الكورية بين شطري شبه الجزيرة التى قسمت ها الحرب قبل نصف قرن ، و هبطت طائرة تابعة ل الخطوط الجوية الكورية "" اير كوريو "" في مطار سيول اليوم الثلاثاء ل تصبح اول طائرة كورية شمالية تهبط منذ الحرب الكورية التي استمرت من 1950 الى 1953","سيول 15 - 8 ( اف ب ) - بدا اليوم الثلاثاء لم شمل العائلات الكورية بين شطري شبه الجزيرة التى قسمت ها الحرب قبل نصف قرن ، و هبطت طائرة تابعة ل الخطوط الجوية الكورية "" اير كوريو "" في مطار سيول اليوم الثلاثاء ل تصبح اول طائرة كورية شمالية تهبط في كوريا","سيول 15 - 8 ( اف ب ) - بدا اليوم الثلاثاء لم شمل العائلات الكورية بين شطري شبه الجزيرة التى قسمت ها الحرب قبل نصف قرن ، و هبطت طائرة تابعة ل الخطوط الجوية الكورية "" اير كوريو "" في مطار سيول اليوم الثلاثاء ل تصبح اول طائرة كورية شمالية تهبط منذ الحرب",فِي كُورِيَا,مُنذُ حَرب,هَبَط,في كوريا الجنوبية,منذ الحرب الكورية التي استمرت من 1950 الى 1953,3,9,فِي,مُنذُ,كُورِيَا,حَرب,X,NOUN,prepositional,prepositional,Postverbal,Arabic
"سيول 15 - 8 ( اف ب ) - بدا اليوم الثلاثاء لم شمل العائلات الكورية بين شطري شبه الجزيرة التى قسمت ها الحرب قبل نصف قرن ، و هبطت طائرة تابعة ل الخطوط الجوية الكورية "" اير كوريو "" في مطار سيول اليوم الثلاثاء ل تصبح اول طائرة كورية شمالية تهبط في كوريا الجنوبية منذ الحرب الكورية التي استمرت من 1950 الى 1953 .","سيول 15 - 8 ( اف ب ) - بدا اليوم الثلاثاء لم شمل العائلات الكورية بين شطري شبه الجزيرة التى قسمت ها الحرب قبل نصف قرن ، و هبطت طائرة تابعة ل الخطوط الجوية الكورية "" اير كوريو "" في مطار سيول اليوم الثلاثاء ل تصبح اول طائرة كورية شمالية تهبط في كوريا الجنوبية منذ الحرب الكورية التي استمرت من 1950","سيول 15 - 8 ( اف ب ) - بدا اليوم الثلاثاء لم شمل العائلات الكورية بين شطري شبه الجزيرة التى قسمت ها الحرب قبل نصف قرن ، و هبطت طائرة تابعة ل الخطوط الجوية الكورية "" اير كوريو "" في مطار سيول اليوم الثلاثاء ل تصبح اول طائرة كورية شمالية تهبط في كوريا الجنوبية منذ الحرب الكورية التي استمرت الى 1953","سيول 15 - 8 ( اف ب ) - بدا اليوم الثلاثاء لم شمل العائلات الكورية بين شطري شبه الجزيرة التى قسمت ها الحرب قبل نصف قرن ، و هبطت طائرة تابعة ل الخطوط الجوية الكورية "" اير كوريو "" في مطار سيول اليوم الثلاثاء ل تصبح اول طائرة كورية شمالية تهبط في كوريا الجنوبية منذ الحرب الكورية التي استمرت من 1950","سيول 15 - 8 ( اف ب ) - بدا اليوم الثلاثاء لم شمل العائلات الكورية بين شطري شبه الجزيرة التى قسمت ها الحرب قبل نصف قرن ، و هبطت طائرة تابعة ل الخطوط الجوية الكورية "" اير كوريو "" في مطار سيول اليوم الثلاثاء ل تصبح اول طائرة كورية شمالية تهبط في كوريا الجنوبية منذ الحرب الكورية التي استمرت الى 1953",مِن 1950,إِلَى 1953,اِستَمَرّ,من 1950,الى 1953,2,2,مِن,إِلَى,1950,1953,NUM,NUM,prepositional,prepositional,Postverbal,Arabic
و قد عادت الطائرة نفس ها الى بيونغيانغ و على متن ها 100 كوري جنوبي ل لقاء اقارب في عاصمة كوريا الشمالية .,و قد عادت الطائرة نفس ها الى بيونغيانغ,و قد عادت الطائرة نفس ها ل لقاء اقارب في عاصمة كوريا الشمالية,و قد عادت الطائرة نفس ها الى بيونغيانغ,و قد عادت الطائرة نفس ها ل لقاء,إِلَى بيونغيانغ,لِ لِقَاء,عَاد,الى بيونغيانغ,ل لقاء اقارب في عاصمة كوريا الشمالية,2,7,إِلَى,لِ,بيونغيانغ,لِقَاء,X,NOUN,prepositional,prepositional,Postverbal,Arabic
و هٰذا التبادل الاول ل الزيارات العائلية منذ 1985 قد تقرر خلال اول قمة بين رئيسي الكوريتين في حزيران / يونيو الماضي .,و هٰذا التبادل الاول ل الزيارات العائلية منذ 1985 قد تقرر خلال اول قمة بين رئيسي الكوريتين,و هٰذا التبادل الاول ل الزيارات العائلية منذ 1985 قد تقرر في حزيران / يونيو الماضي,و هٰذا التبادل الاول ل الزيارات العائلية منذ 1985 قد تقرر خلال اول,و هٰذا التبادل الاول ل الزيارات العائلية منذ 1985 قد تقرر في حزيران,خِلَالَ أَوَّل,فِي حَزِيرَان,تَقَرَّر,خلال اول قمة بين رئيسي الكوريتين,في حزيران / يونيو الماضي,6,5,خِلَالَ,فِي,أَوَّل,حَزِيرَان,ADJ,NOUN,prepositional,prepositional,Postverbal,Arabic
