Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Դե , իրավաբանական հենց էնպես էր դիմել , որ հետո ասեր ՝ « իրավաբանականից դուրս մնացի , փաստորեն , մի աչոկով » , համ էլ , որովհետև իրենց դասարանի Արտուրիկն էլ էր իրավաբանական դիմել , իսկ ինքը թաքուն սիրահարված էր Արտուրիկին , բայց վերջինս , էն սայթաքելու օրվանից հետո իր հետ չէր խոսում ։","Դե , իրավաբանական հենց էնպես էր դիմել , որ հետո ասեր ՝ « իրավաբանականից դուրս մնացի , փաստորեն , մի աչոկով » , համ էլ , որովհետև իրենց դասարանի Արտուրիկն էլ էր իրավաբանական դիմել , իսկ ինքը թաքուն սիրահարված էր Արտուրիկին , բայց վերջինս , էն սայթաքելու օրվանից հետո","Դե , իրավաբանական հենց էնպես էր դիմել , որ հետո ասեր ՝ « իրավաբանականից դուրս մնացի , փաստորեն , մի աչոկով » , համ էլ , որովհետև իրենց դասարանի Արտուրիկն էլ էր իրավաբանական դիմել , իսկ ինքը թաքուն սիրահարված էր Արտուրիկին , բայց վերջինս , իր հետ","Դե , իրավաբանական հենց էնպես էր դիմել , որ հետո ասեր ՝ « իրավաբանականից դուրս մնացի , փաստորեն , մի աչոկով » , համ էլ , որովհետև իրենց դասարանի Արտուրիկն էլ էր իրավաբանական դիմել , իսկ ինքը թաքուն սիրահարված էր Արտուրիկին , բայց վերջինս , օրվանից հետո","Դե , իրավաբանական հենց էնպես էր դիմել , որ հետո ասեր ՝ « իրավաբանականից դուրս մնացի , փաստորեն , մի աչոկով » , համ էլ , որովհետև իրենց դասարանի Արտուրիկն էլ էր իրավաբանական դիմել , իսկ ինքը թաքուն սիրահարված էր Արտուրիկին , բայց վերջինս , իր հետ",օր հետո,ինքը հետ,խոսել,էն սայթաքելու օրվանից հետո,իր հետ,4,2,հետո,հետ,օր,ինքը,NOUN,PRON,postpositional,postpositional,Preverbal,Armenian
"Խորհրդավոր մթության մեջ պառավ Լուկրեցիայի հետ ոտուգլուխ քնած Արմինուսը առավ հոգնած ոտքերի կանացի հոտը , շոյեց սրունքները , ապա նրան ձգեց մի հուռութք , գերակա մի կարոտ , և Արմինուսը փաղաքշեց նրա ոտքերը , հոտոտեց նրա մատնարանքները , ու բացեց աշխարհը իր համար ։",Խորհրդավոր մթության մեջ,պառավ Լուկրեցիայի հետ,մթության մեջ,Լուկրեցիայի հետ,մթություն մեջ,Լուկրեցիա հետ,քնել,Խորհրդավոր մթության մեջ,պառավ Լուկրեցիայի հետ,3,3,մեջ,հետ,մթություն,Լուկրեցիա,NOUN,PROPN,postpositional,postpositional,Preverbal,Armenian
"Հաճախ Լուկրեցիան կռվում էր նրա համար ետնախորշերի բնակիչների հետ ՝ տղամարդկանց և կանանց , ծեծկռտվում էր մինչև արյունլվիկ լինելը և , փախցնելով բոլորին , Արմինուսին տանում իր հետ ։",Հաճախ Լուկրեցիան կռվում էր նրա համար,Հաճախ Լուկրեցիան կռվում էր ետնախորշերի բնակիչների հետ ՝ տղամարդկանց և կանանց,Հաճախ Լուկրեցիան կռվում էր նրա համար,Հաճախ Լուկրեցիան կռվում էր բնակիչների հետ,նա համար,բնակիչ հետ,կռվել,նրա համար,ետնախորշերի բնակիչների հետ ՝ տղամարդկանց և կանանց,2,7,համար,հետ,նա,բնակիչ,PRON,NOUN,postpositional,postpositional,Postverbal,Armenian
"5 . Հայաստանի Հանրապետության ֆինանսների նախարարին ` վերոհիշյալ պատվիրակության ՝ Հայաստանի Հանրապետությունում գտնվելու ընթացքում կեցության , ինչպես նաև այցի ծրագրով նախատեսված արարողակարգային և այլ միջոցառումների կազմակերպման և անցկացման հետ կապված ծախսերը կատարել Հայաստանի Հանրապետության 2019 թվականի պետական բյուջեով արտասահմանյան պատվիրակությունների ընդունելության համար նախատեսված միջոցների հաշվին ` համաձայն Հայաստանի Հանրապետության վարչապետի աշխատակազմի , Հայաստանի Հանրապետության արտաքին գործերի նախարարության և Հայաստանի Հանրապետության արտաքին գործերի նախարարության պետական արարողակարգի ծառայության ներկայացրած հաշվետվությունների :","5 . Հայաստանի Հանրապետության ֆինանսների նախարարին ` վերոհիշյալ պատվիրակության ՝ Հայաստանի Հանրապետությունում գտնվելու ընթացքում կեցության , ինչպես նաև այցի ծրագրով նախատեսված արարողակարգային և այլ միջոցառումների կազմակերպման և անցկացման հետ կապված ծախսերը կատարել Հայաստանի Հանրապետության 2019 թվականի պետական բյուջեով արտասահմանյան պատվիրակությունների ընդունելության համար նախատեսված միջոցների հաշվին","5 . Հայաստանի Հանրապետության ֆինանսների նախարարին ` վերոհիշյալ պատվիրակության ՝ Հայաստանի Հանրապետությունում գտնվելու ընթացքում կեցության , ինչպես նաև այցի ծրագրով նախատեսված արարողակարգային և այլ միջոցառումների կազմակերպման և անցկացման հետ կապված ծախսերը կատարել ` համաձայն Հայաստանի Հանրապետության վարչապետի աշխատակազմի , Հայաստանի Հանրապետության արտաքին գործերի նախարարության և Հայաստանի Հանրապետության արտաքին գործերի նախարարության պետական արարողակարգի ծառայության ներկայացրած հաշվետվությունների","5 . Հայաստանի Հանրապետության ֆինանսների նախարարին ` վերոհիշյալ պատվիրակության ՝ Հայաստանի Հանրապետությունում գտնվելու ընթացքում կեցության , ինչպես նաև այցի ծրագրով նախատեսված արարողակարգային և այլ միջոցառումների կազմակերպման և անցկացման հետ կապված ծախսերը կատարել միջոցների հաշվին","5 . Հայաստանի Հանրապետության ֆինանսների նախարարին ` վերոհիշյալ պատվիրակության ՝ Հայաստանի Հանրապետությունում գտնվելու ընթացքում կեցության , ինչպես նաև այցի ծրագրով նախատեսված արարողակարգային և այլ միջոցառումների կազմակերպման և անցկացման հետ կապված ծախսերը կատարել համաձայն հաշվետվությունների",միջոց հաշվին,համաձայն հաշվետվություն,կատարել,Հայաստանի Հանրապետության 2019 թվականի պետական բյուջեով արտասահմանյան պատվիրակությունների ընդունելության համար նախատեսված միջոցների հաշվին,"` համաձայն Հայաստանի Հանրապետության վարչապետի աշխատակազմի , Հայաստանի Հանրապետության արտաքին գործերի նախարարության և Հայաստանի Հանրապետության արտաքին գործերի նախարարության պետական արարողակարգի ծառայության ներկայացրած հաշվետվությունների",13,23,հաշվին,համաձայն,միջոց,հաշվետվություն,NOUN,NOUN,postpositional,prepositional,Postverbal,Armenian
"Այսօր համայն հայ ժողովուրդը ՝ առաջադեմ մարդկության հետ , աշխարհի բոլոր մայրցամաքների վրա ոգեկոչում է Հայոց ցեղասպանության զոհերի հիշատակը :",Այսօր համայն հայ ժողովուրդը ՝ առաջադեմ մարդկության հետ,Այսօր համայն հայ ժողովուրդը աշխարհի բոլոր մայրցամաքների վրա,Այսօր համայն հայ ժողովուրդը մարդկության հետ,Այսօր համայն հայ ժողովուրդը մայրցամաքների վրա,մարդկություն հետ,մայրցամաք վրա,ոգեկոչել,՝ առաջադեմ մարդկության հետ,աշխարհի բոլոր մայրցամաքների վրա,4,4,հետ,վրա,մարդկություն,մայրցամաք,NOUN,NOUN,postpositional,postpositional,Preverbal,Armenian
"Իմ նկատմամբ բռնություն չեն կիրառել , ինձ հետ խաղացել են , փաստորեն ուղղակի խաղացել են ու բաց թողել ՝ առանց փրկագին ուզելու , մի շաբաթից , բոլորի աչքի առաջ ։","Իմ նկատմամբ բռնություն չեն կիրառել , ինձ հետ խաղացել են , փաստորեն ուղղակի խաղացել են ու բաց թողել ՝ առանց փրկագին ուզելու","Իմ նկատմամբ բռնություն չեն կիրառել , ինձ հետ խաղացել են , փաստորեն ուղղակի խաղացել են ու բաց թողել , բոլորի աչքի առաջ","Իմ նկատմամբ բռնություն չեն կիրառել , ինձ հետ խաղացել են , փաստորեն ուղղակի խաղացել են ու բաց թողել առանց ուզելու","Իմ նկատմամբ բռնություն չեն կիրառել , ինձ հետ խաղացել են , փաստորեն ուղղակի խաղացել են ու բաց թողել աչքի առաջ",առանց ուզել,աչք առաջ,թողնել,՝ առանց փրկագին ուզելու,", բոլորի աչքի առաջ",4,4,առանց,առաջ,ուզել,աչք,VERB,NOUN,prepositional,postpositional,Postverbal,Armenian
Առաջին կամրջից հետո պատի տակ անտեսանելի աղյուսներ կան ։,Առաջին կամրջից հետո,պատի տակ,կամրջից հետո,պատի տակ,կամուրջ հետո,պատ տակ,կամ,Առաջին կամրջից հետո,պատի տակ,3,2,հետո,տակ,կամուրջ,պատ,NOUN,NOUN,postpositional,postpositional,Preverbal,Armenian
Խորհուրդը փռեցին փողոցի վրա տոնավաճառի պես :,Խորհուրդը փռեցին փողոցի վրա,Խորհուրդը փռեցին տոնավաճառի պես,Խորհուրդը փռեցին փողոցի վրա,Խորհուրդը փռեցին տոնավաճառի պես,փողոց վրա,տոնավաճառ պես,փռել,փողոցի վրա,տոնավաճառի պես,2,2,վրա,պես,փողոց,տոնավաճառ,NOUN,NOUN,postpositional,postpositional,Postverbal,Armenian
Նիկոլ Փաշինյանն առաջարկել է գործարարին ծրագիրը կյանքի կոչելու հետ կապված հարցերը քննարկել Էներգետիկ ենթակառուցվածքների և բնական պաշարների նախարարության հետ ` այն արդյունավետ իրականացնելու նպատակով :,Նիկոլ Փաշինյանն առաջարկել է գործարարին ծրագիրը կյանքի կոչելու հետ կապված հարցերը քննարկել Էներգետիկ ենթակառուցվածքների և բնական պաշարների նախարարության հետ,Նիկոլ Փաշինյանն առաջարկել է գործարարին ծրագիրը կյանքի կոչելու հետ կապված հարցերը քննարկել ` այն արդյունավետ իրականացնելու նպատակով,Նիկոլ Փաշինյանն առաջարկել է գործարարին ծրագիրը կյանքի կոչելու հետ կապված հարցերը քննարկել նախարարության հետ,Նիկոլ Փաշինյանն առաջարկել է գործարարին ծրագիրը կյանքի կոչելու հետ կապված հարցերը քննարկել իրականացնելու նպատակով,նախարարություն հետ,իրականանալ նպատակով,քննարկել,Էներգետիկ ենթակառուցվածքների և բնական պաշարների նախարարության հետ,` այն արդյունավետ իրականացնելու նպատակով,7,5,հետ,նպատակով,նախարարություն,իրականանալ,NOUN,VERB,postpositional,postpositional,Postverbal,Armenian
"Բացակա տարիների համբավը , այդքան տղայի իզուր կորուստը Իգնատի մեջ այդ Աբգարի նկատմամբ հարգանքի նման մի բան եթե անգամ առաջացրել են ՝ դա հիմա քամահրանք ու ատելություն է դառնում այն պատճառով , որ Աբգարի ընկերակիցը իր ՝ Իգնատի արհեստին է , մեխ ու ուրագ բռնելը Իգնատից է սովորել , բայց քիչ ու թաքուն է բանեցնում , չի բանեցնում , որպեսզի գյուղական անվարձ մշակությունը վրան չհաստատեն , չի մոռացել կուսակցություն ընդունվել , կուսակցության շնորհիվ ահա պաշտոնի պես մի բանի է հասել և ավագ ընկերոջ ու արյունակից եղբոր վրա վերահսկիչ իրավունքով է գալիս – կուսկազմակերպիչ Սարգիս Մաթևոսյան ։","Բացակա տարիների համբավը , այդքան տղայի իզուր կորուստը Իգնատի մեջ","Բացակա տարիների համբավը , այդքան տղայի իզուր կորուստը այդ Աբգարի նկատմամբ","Բացակա տարիների համբավը , այդքան տղայի իզուր կորուստը Իգնատի մեջ","Բացակա տարիների համբավը , այդքան տղայի իզուր կորուստը Աբգարի նկատմամբ",Իգնատ մեջ,Աբգար նկատմամբ,առաջանալ,Իգնատի մեջ,այդ Աբգարի նկատմամբ,2,3,մեջ,նկատմամբ,Իգնատ,Աբգար,PROPN,PROPN,postpositional,postpositional,Preverbal,Armenian
