Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"A fɔ i dugudenw ye , ko u bɛɛ ka na ni basi sogo , kini , dɛgɛ , ani dumuni duman caman ye .","A fɔ i dugudenw ye , ko u bɛɛ ka na ni basi","A fɔ i dugudenw ye , ko u bɛɛ ka na ani dumuni duman caman ye","A fɔ i dugudenw ye , ko u bɛɛ ka na ni basi","A fɔ i dugudenw ye , ko u bɛɛ ka na dumuni ye",_ _,_ _,_,ni basi,ani dumuni duman caman ye,2,5,_,_,_,_,NOUN,NOUN,prepositional,postpositional,Postverbal,Bambara
"a bɛ san caman bɔ bi , a kɔlɔsira Afiriki tilebinyanfan jamanaw kɔnɔ , ko yɛlɛma belebelew donna baloko jogow la an ka duw kɔnɔ , duguba ani togoda bɛɛ la .","a bɛ san caman bɔ bi , a kɔlɔsira Afiriki tilebinyanfan jamanaw kɔnɔ , ko yɛlɛma belebelew donna baloko jogow la","a bɛ san caman bɔ bi , a kɔlɔsira Afiriki tilebinyanfan jamanaw kɔnɔ , ko yɛlɛma belebelew donna an ka duw kɔnɔ","a bɛ san caman bɔ bi , a kɔlɔsira Afiriki tilebinyanfan jamanaw kɔnɔ , ko yɛlɛma belebelew donna jogow la","a bɛ san caman bɔ bi , a kɔlɔsira Afiriki tilebinyanfan jamanaw kɔnɔ , ko yɛlɛma belebelew donna duw kɔnɔ",_ _,_ _,_,baloko jogow la,an ka duw kɔnɔ,3,4,_,_,_,_,NOUN,NOUN,postpositional,postpositional,Postverbal,Bambara
"an bɛ tigɛ a kan o cogo la , ko nɔgɔ bagama ma fiyɛ u la .",an bɛ tigɛ a kan,an bɛ tigɛ o cogo la,an bɛ tigɛ a kan,an bɛ tigɛ cogo la,_ _,_ _,_,a kan,o cogo la,2,3,_,_,_,_,PRON,NOUN,postpositional,postpositional,Postverbal,Bambara
"Ala y' a kɛ k' u to sɛnɛ la foro kɔnɔ , cɛkɔrɔba sɛgɛnna .",Ala y' a kɛ k' u to sɛnɛ la,Ala y' a kɛ k' u to foro kɔnɔ,Ala y' a kɛ k' u to sɛnɛ la,Ala y' a kɛ k' u to foro kɔnɔ,sɛ̀nɛ lá,fòro kɔ́nɔ,tó,sɛnɛ la,foro kɔnɔ,2,2,lá,kɔ́nɔ,sɛ̀nɛ,fòro,NOUN,NOUN,postpositional,postpositional,Postverbal,Bambara
"ko ni i ye woro di ne ma ani syèfan , ko ne bè a tògò fò i ye .",ko ni i ye woro di ne ma,ko ni i ye woro di ani syèfan,ko ni i ye woro di ne ma,ko ni i ye woro di ani syèfan,nê mà,àni syɛ̀fan,dí,ne ma,ani syèfan,2,2,mà,àni,nê,syɛ̀fan,PRON,NOUN,postpositional,prepositional,Postverbal,Bambara
a bè a ta ka yèlèn ni a ye san fè .,a bè a ta ka yèlèn ni a ye,a bè a ta ka yèlèn san fè,a bè a ta ka yèlèn ni a ye,a bè a ta ka yèlèn san fè,ni à yé,sán fɛ̀,yɛ̀lɛn,ni a ye,san fè,3,2,ni yé,fɛ̀,à,sán,PRON,NOUN,circumpositional,postpositional,Postverbal,Bambara
"o wolodon , ni a ye i da su fè denkènin kelen kèrè fè , a ye i sen labò ka a tan bili la .","o wolodon , ni a ye i da su fè","o wolodon , ni a ye i da denkènin kelen kèrè fè","o wolodon , ni a ye i da su fè","o wolodon , ni a ye i da kèrè fè",sú fɛ̀,kɛ̀rɛ fɛ̀,dá,su fè,denkènin kelen kèrè fè,2,4,fɛ̀,fɛ̀,sú,kɛ̀rɛ,NOUN,NOUN,postpositional,postpositional,Postverbal,Bambara
ni i ma yèlèn n nyèna na kelen na n bè i kè n mago ye .,ni i ma yèlèn n nyèna na,ni i ma yèlèn kelen na,ni i ma yèlèn nyèna na,ni i ma yèlèn kelen na,ɲɛ́.na ná,kélen ná,yɛ̀lɛn,n nyèna na,kelen na,3,2,ná,ná,ɲɛ́.na,kélen,NOUN,NUM,postpositional,postpositional,Postverbal,Bambara
"a ko ni u nana , ne bè i bila bòrò kònò san fè .","a ko ni u nana , ne bè i bila bòrò kònò","a ko ni u nana , ne bè i bila san fè","a ko ni u nana , ne bè i bila bòrò kònò","a ko ni u nana , ne bè i bila san fè",bɔ̀rɔ kɔ́nɔ,sán fɛ̀,bìla,bòrò kònò,san fè,2,2,kɔ́nɔ,fɛ̀,bɔ̀rɔ,sán,NOUN,NOUN,postpositional,postpositional,Postverbal,Bambara
a tagara se mògò dòw ma bòtu la .,a tagara se mògò dòw ma,a tagara se bòtu la,a tagara se mògò ma,a tagara se bòtu la,mɔ̀gɔ mà,bɔ̀.tu lá,sé,mògò dòw ma,bòtu la,3,2,mà,lá,mɔ̀gɔ,bɔ̀.tu,NOUN,NOUN,postpositional,postpositional,Postverbal,Bambara
