Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
У Рэчыцы п'яны мужчына гуляў па лёдзе ў трусах і патануў,У Рэчыцы п'яны мужчына гуляў па лёдзе,У Рэчыцы п'яны мужчына гуляў ў трусах,У Рэчыцы п'яны мужчына гуляў па лёдзе,У Рэчыцы п'яны мужчына гуляў ў трусах,па лёд,у трусы,гуляць,па лёдзе,ў трусах,2,2,па,у,лёд,трусы,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"Жыхар Рэчыцы , які адпачываў 18 сакавіка з кампаніяй на беразе Бярэзіны , праваліўся пад лёд і патануў .","Жыхар Рэчыцы , які адпачываў 18 сакавіка з кампаніяй","Жыхар Рэчыцы , які адпачываў 18 сакавіка на беразе Бярэзіны","Жыхар Рэчыцы , які адпачываў 18 сакавіка з кампаніяй","Жыхар Рэчыцы , які адпачываў 18 сакавіка на беразе",з кампанія,на бераг,адпачываць,з кампаніяй,на беразе Бярэзіны,2,3,з,на,кампанія,бераг,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"У сувязі з гэтым ва УУС Гомельскага аблвыканкама нагадалі , што распіванне алкаголю або з'яўленне ў грамадскім месцы ў п'яным выглядзе , у тым ліку і ў месцах адпачынку ля вадаёмаў , з'яўляецца адміністрацыйным правапарушэннем і цягне пакаранне штрафам да васьмі базавых велічынь .",У сувязі з гэтым,ва УУС Гомельскага аблвыканкама,У гэтым,ва УУС,у гэта,ва уус,нагадаць,У сувязі з гэтым,ва УУС Гомельскага аблвыканкама,4,4,у,ва,гэта,уус,PRON,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Як перадаваў Тэлеграф , у Лепельскім раёне ў рацэ 6 сакавіка патанула шасцігадовая дзяўчынка , якая пайшла да вадаёма гуляць разам з сяброўкай .","Як перадаваў Тэлеграф , у Лепельскім раёне","Як перадаваў Тэлеграф , ў рацэ","Як перадаваў Тэлеграф , у раёне","Як перадаваў Тэлеграф , ў рацэ",у раён,у рака,патануць,у Лепельскім раёне,ў рацэ,3,2,у,у,раён,рака,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Паводле статыстыкі , прагнозы сіноптыкаў на месяц ва ўсім свеце апраўдваюцца ў сярэднім на 65 - 75 % .","Паводле статыстыкі , прагнозы сіноптыкаў на месяц ва ўсім свеце апраўдваюцца ў сярэднім","Паводле статыстыкі , прагнозы сіноптыкаў на месяц ва ўсім свеце апраўдваюцца на 65 - 75 %","Паводле статыстыкі , прагнозы сіноптыкаў на месяц ва ўсім свеце апраўдваюцца ў сярэднім","Паводле статыстыкі , прагнозы сіноптыкаў на месяц ва ўсім свеце апраўдваюцца на %",у сярэдняе,на %,апраўдвацца,ў сярэднім,на 65 - 75 %,2,5,у,на,сярэдняе,%,NOUN,SYM,prepositional,prepositional,Postverbal,Belarusian
"Меркавалася , што ад Беларусі на конкурс паедзе магіляўчанка Алена Ланская .","Меркавалася , што ад Беларусі","Меркавалася , што на конкурс","Меркавалася , што ад Беларусі","Меркавалася , што на конкурс",ад Беларусь,на конкурс,паехаць,ад Беларусі,на конкурс,2,2,ад,на,Беларусь,конкурс,PROPN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Як перадаваў Тэлеграф , паводле аператыўных дадзеных МНС Беларусі , 19 сакавіка ад парываў ветру сілай да 26 м / с пацярпелі 7 населеных пунктаў у Віцебскай , Гродзенскай і Мінскай абласцях .","Як перадаваў Тэлеграф , паводле аператыўных дадзеных МНС Беларусі ,","Як перадаваў Тэлеграф , ад парываў ветру сілай да 26 м / с","Як перадаваў Тэлеграф , паводле дадзеных","Як перадаваў Тэлеграф , ад парываў",паводле даныя,ад парыў,пацярпець,"паводле аператыўных дадзеных МНС Беларусі ,",ад парываў ветру сілай да 26 м / с,6,9,паводле,ад,даныя,парыў,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Па даручэнні прадстаўніка рэгіянальнай ячэйкі , які атрымаў указанне ад вышэйстаячага кіраўніка з-за мяжы , жанчына перавяла гэтую суму за мяжу .","Па даручэнні прадстаўніка рэгіянальнай ячэйкі , які атрымаў указанне ад вышэйстаячага кіраўніка","Па даручэнні прадстаўніка рэгіянальнай ячэйкі , які атрымаў указанне з-за мяжы","Па даручэнні прадстаўніка рэгіянальнай ячэйкі , які атрымаў указанне ад кіраўніка","Па даручэнні прадстаўніка рэгіянальнай ячэйкі , які атрымаў указанне з-за мяжы",ад кіраўнік,з-за мяжа,атрымаць,ад вышэйстаячага кіраўніка,з-за мяжы,3,2,ад,з-за,кіраўнік,мяжа,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"Па дадзеных следства , з пачатку правядзення ў Беларусі спецаперацыі ў прадстаўніцтва "" МММ - 2011 "" у Гродне паступала мноства званкоў з-за мяжы з даручэннем тэрмінова перавесці сродкі з рахункаў у іншыя краіны СНД .","Па дадзеных следства , з пачатку правядзення ў Беларусі спецаперацыі","ў прадстаўніцтва "" МММ - 2011 "" у Гродне",Па дадзеных,ў прадстаўніцтва,па даныя,у прадстаўніцтва,паступаць,"Па дадзеных следства , з пачатку правядзення ў Беларусі спецаперацыі","ў прадстаўніцтва "" МММ - 2011 "" у Гродне",10,9,па,у,даныя,прадстаўніцтва,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Па дадзеных следства , з пачатку правядзення ў Беларусі спецаперацыі ў прадстаўніцтва "" МММ - 2011 "" у Гродне паступала мноства званкоў з-за мяжы з даручэннем тэрмінова перавесці сродкі з рахункаў у іншыя краіны СНД .","Па дадзеных следства , з пачатку правядзення ў Беларусі спецаперацыі ў прадстаўніцтва "" МММ - 2011 "" у Гродне паступала мноства званкоў з-за мяжы з даручэннем тэрмінова перавесці сродкі з рахункаў","Па дадзеных следства , з пачатку правядзення ў Беларусі спецаперацыі ў прадстаўніцтва "" МММ - 2011 "" у Гродне паступала мноства званкоў з-за мяжы з даручэннем тэрмінова перавесці сродкі у іншыя краіны СНД","Па дадзеных следства , з пачатку правядзення ў Беларусі спецаперацыі ў прадстаўніцтва "" МММ - 2011 "" у Гродне паступала мноства званкоў з-за мяжы з даручэннем тэрмінова перавесці сродкі з рахункаў","Па дадзеных следства , з пачатку правядзення ў Беларусі спецаперацыі ў прадстаўніцтва "" МММ - 2011 "" у Гродне паступала мноства званкоў з-за мяжы з даручэннем тэрмінова перавесці сродкі у краіны",з рахунак,у краіна,перавесці,з рахункаў,у іншыя краіны СНД,2,4,з,у,рахунак,краіна,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
