Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"ई काजकरम में भोजपुरी भाषा पर विचार गोष्ठी , भोजपुरी कवि सम्मलेन , भोजपुरी नाटक , लोक संगीत आ भोजपुरी के सांस्कृतिक विरासत अउर संगीतो के झलक देखे के मिली ।",ई काजकरम में,भोजपुरी भाषा पर,काजकरम में,भाषा पर,काजकरम में,भाषा पर,मिल,ई काजकरम में,भोजपुरी भाषा पर,3,3,में,पर,काजकरम,भाषा,NOUN,NOUN,postpositional,postpositional,Preverbal,Bhojpuri
"ई अवसर पर देश - विदेश के भोजपुरी के जानल - मानल साहित्यकार , कवि , कलाकार , नेतागण , सामाजिक काजकर्ता आ भोजपुरी भाषा के आन्दोलन से जुडल लोग शामिल होई ।",ई अवसर पर,भोजपुरी भाषा के आन्दोलन से,अवसर पर,आन्दोलन से,अवसर पर,आन्दोलन से,हो,ई अवसर पर,भोजपुरी भाषा के आन्दोलन से,3,5,पर,से,अवसर,आन्दोलन,NOUN,NOUN,postpositional,postpositional,Preverbal,Bhojpuri
"नोट : साहित्यकार , कवि , कलाकार गन , भोजपुरी से जुडल अध्यापक , आन्दोलन से जुडल लोग , पत्रकार बंधु , संस्था के प्रमुख , विश्वविद्यालय से प्राध्यापक , आध्यापक लोगन से निहोरा बा कि आपन सहमति जल्दी से जल्दी दे के हमनी के कृतार्थ करीं ।","नोट : साहित्यकार , कवि , कलाकार गन , भोजपुरी से जुडल अध्यापक , आन्दोलन से जुडल लोग , पत्रकार बंधु , संस्था के प्रमुख , विश्वविद्यालय से प्राध्यापक , आध्यापक लोगन से निहोरा बा कि आपन सहमति जल्दी से","नोट : साहित्यकार , कवि , कलाकार गन , भोजपुरी से जुडल अध्यापक , आन्दोलन से जुडल लोग , पत्रकार बंधु , संस्था के प्रमुख , विश्वविद्यालय से प्राध्यापक , आध्यापक लोगन से निहोरा बा कि आपन दे के हमनी के","नोट : साहित्यकार , कवि , कलाकार गन , भोजपुरी से जुडल अध्यापक , आन्दोलन से जुडल लोग , पत्रकार बंधु , संस्था के प्रमुख , विश्वविद्यालय से प्राध्यापक , आध्यापक लोगन से निहोरा बा कि आपन जल्दी से","नोट : साहित्यकार , कवि , कलाकार गन , भोजपुरी से जुडल अध्यापक , आन्दोलन से जुडल लोग , पत्रकार बंधु , संस्था के प्रमुख , विश्वविद्यालय से प्राध्यापक , आध्यापक लोगन से निहोरा बा कि आपन हमनी के",जल्दी से,हमनी को,कर,सहमति जल्दी से,दे के हमनी के,3,4,से,को,जल्दी,हमनी,ADV,PRON,postpositional,postpositional,Preverbal,Bhojpuri
ऊ त जब राजीव गाँधी के राजनीति में अइला का बाद जरूरी हो गइल तब जा के हिन्दुस्तान के नागरिकता लिहली ।,ऊ त जब राजीव गाँधी के राजनीति में,ऊ त जब अइला का बाद,ऊ त जब राजनीति में,ऊ त जब अइला का,राजनीति में,अइला के,हो,राजीव गाँधी के राजनीति में,अइला का बाद,5,3,में,के,राजनीति,अइला,NOUN,NOUN,postpositional,postpositional,Preverbal,Bhojpuri
इटली में दू गो नागरिकता रखला से कवनो फरक ना पड़े बाकिर हिन्दुस्तान के नियम कायदा एकर मनाही करेले ।,इटली में,दू गो नागरिकता रखला से,इटली में,रखला से,इटली में,रखला से,करेला,इटली में,दू गो नागरिकता रखला से,2,5,में,से,इटली,रखला,NOUN,VERB,postpositional,postpositional,Preverbal,Bhojpuri
"जवन नित नया बा , ओके पुरान बटखरा से वजन कइले अतने लाभ हो सकेला कि पता चलि जाई कि हमरा जानकारी के कसौटी में कतना पर ई अधिका उतरल बा ।","जवन नित नया बा , ओके पुरान बटखरा से","जवन नित नया बा , ओके वजन कइले अतने","जवन नित नया बा , ओके बटखरा से","जवन नित नया बा , ओके कइले अतने",बटखरा से,कर अतने,हो,पुरान बटखरा से,वजन कइले अतने,3,3,से,अतने,बटखरा,कर,PROPN,VERB,postpositional,postpositional,Preverbal,Bhojpuri
बाकिर एह बेर उहाँ के मउवत के चुनौती कबूल ना कऽ पवलीं आ बाबा विश्वनाथ के नगरी काशी के अस्पताल में गंगा मइया के गोदी में आखिरी साँस लिहलीं ।,बाकिर एह बेर उहाँ के मउवत के चुनौती कबूल ना कऽ पवलीं आ बाबा विश्वनाथ के नगरी काशी के अस्पताल में,बाकिर एह बेर उहाँ के मउवत के चुनौती कबूल ना कऽ पवलीं आ बाबा गंगा मइया के गोदी में,बाकिर एह बेर उहाँ के मउवत के चुनौती कबूल ना कऽ पवलीं आ बाबा अस्पताल में,बाकिर एह बेर उहाँ के मउवत के चुनौती कबूल ना कऽ पवलीं आ बाबा गोदी में,अस्पताल में,गोदी में,लिहले,विश्वनाथ के नगरी काशी के अस्पताल में,गंगा मइया के गोदी में,7,5,में,में,अस्पताल,गोदी,NOUN,NOUN,postpositional,postpositional,Preverbal,Bhojpuri
ई का भइल कि जब देश में सब ठीकठाक बा त केहूँ के अनकस बरे लागता आ तनिक चिंताजनक भइला पर बिल्कुल मौन माने सभ नीमन चल रहल बा ।,ई का भइल कि जब देश में,ई का भइल कि चिंताजनक भइला पर,ई का भइल कि देश में,ई का भइल कि भइला पर,देश में,भइल पर,चल,जब देश में,चिंताजनक भइला पर,3,3,में,पर,देश,भइल,NOUN,VERB,postpositional,postpositional,Preverbal,Bhojpuri
एही विषय पर बक्सर में एक बेर मनोज चौबे जी से बात होत रहे ।,एही विषय पर बक्सर में,एही विषय पर एक बेर मनोज चौबे,एही विषय पर बक्सर में,एही विषय पर मनोज चौबे,बक्सर में,मनोज चौबे,होत,बक्सर में,एक बेर मनोज चौबे,2,4,में,चौबे,बक्सर,मनोज,NOUN,NOUN,postpositional,postpositional,Preverbal,Bhojpuri
"जवन नित नया बा , ओके पुरान बटखरा से वजन कइले अतने लाभ हो सकेला कि पता चलि जाई कि हमरा जानकारी के कसौटी में कतना पर ई अधिका उतरल बा ।","जवन नित नया बा , ओके पुरान बटखरा से","जवन नित नया बा , ओके वजन कइले अतने","जवन नित नया बा , ओके बटखरा से","जवन नित नया बा , ओके कइले अतने",बटखरा से,कर अतने,हो,पुरान बटखरा से,वजन कइले अतने,3,3,से,अतने,बटखरा,कर,PROPN,VERB,postpositional,postpositional,Preverbal,Bhojpuri
