Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
Зад гористите върхове на изток се показа слънцето .,Зад гористите върхове,на изток,Зад върхове,на изток,зад връх,на изток,покажа-(се),Зад гористите върхове,на изток,3,2,зад,на,връх,изток,NOUN,NOUN,prepositional,prepositional,Preverbal,Bulgarian
По канала на езерото към морето се пущаха лодка след лодка .,По канала на езерото,към морето,По канала,към морето,по канал,към море,пущам-(се),По канала на езерото,към морето,4,2,по,към,канал,море,NOUN,NOUN,prepositional,prepositional,Preverbal,Bulgarian
Една силна ръка го хвана за шията като железни клещи и го накара да седне на мястото си .,Една силна ръка го хвана за шията,Една силна ръка го хвана като железни клещи,Една силна ръка го хвана за шията,Една силна ръка го хвана като клещи,за шия,като клещи,хвана-(се),за шията,като железни клещи,2,3,за,като,шия,клещи,NOUN,NOUN,prepositional,prepositional,Postverbal,Bulgarian
Почти от сутринта с малки паузи чувахме да бие камбана .,Почти от сутринта,с малки паузи,от сутринта,с паузи,от сутрин,с пауза,чувам-(се),Почти от сутринта,с малки паузи,3,3,от,с,сутрин,пауза,NOUN,NOUN,prepositional,prepositional,Preverbal,Bulgarian
"Изведнъж нещо свирна във въздуха като камшик и докато се усетя , яко се омота около мене .",Изведнъж нещо свирна във въздуха,Изведнъж нещо свирна като камшик,Изведнъж нещо свирна във въздуха,Изведнъж нещо свирна като камшик,във въздух,като камшик,свирна,във въздуха,като камшик,2,2,във,като,въздух,камшик,NOUN,NOUN,prepositional,prepositional,Postverbal,Bulgarian
След това между него и жена му избухна караница дали да ходят сутринта рано на черква .,След това,между него и жена му,След това,между него,след този,между аз,избухна,След това,между него и жена му,2,5,след,между,този,аз,PRON,PRON,prepositional,prepositional,Preverbal,Bulgarian
"Елица дойде , та застана пред Момчил под дървото .","Елица дойде , та застана пред Момчил","Елица дойде , та застана под дървото","Елица дойде , та застана пред Момчил","Елица дойде , та застана под дървото",пред момчил,под дърво,застана,пред Момчил,под дървото,2,2,пред,под,момчил,дърво,PROPN,NOUN,prepositional,prepositional,Postverbal,Bulgarian
Той пламна от негодувание при такава тежка клевета .,Той пламна от негодувание,Той пламна при такава тежка клевета,Той пламна от негодувание,Той пламна при клевета,от негодувание,при клевета,пламна,от негодувание,при такава тежка клевета,2,4,от,при,негодувание,клевета,NOUN,NOUN,prepositional,prepositional,Postverbal,Bulgarian
Две денонощия пътувах с Вас из страната и ме впечатлихте с ведростта си и винаги доброто настроение .,Две денонощия пътувах с Вас,Две денонощия пътувах из страната,Две денонощия пътувах с Вас,Две денонощия пътувах из страната,с аз,из страна,пътувам,с Вас,из страната,2,2,с,из,аз,страна,PRON,NOUN,prepositional,prepositional,Postverbal,Bulgarian
"Сватята й госпожа Гена , дошла също по случая от Пловдив , свила се , със зачервени очи , до краката на детето , мълчи и сумти .","Сватята й госпожа Гена , дошла също по случая от Пловдив , свила се , със зачервени очи ,","Сватята й госпожа Гена , дошла също по случая от Пловдив , свила се до краката на детето","Сватята й госпожа Гена , дошла също по случая от Пловдив , свила се със очи","Сватята й госпожа Гена , дошла също по случая от Пловдив , свила се до краката",със око,до крак,свия-(се),", със зачервени очи ,",до краката на детето,5,4,със,до,око,крак,NOUN,NOUN,prepositional,prepositional,Postverbal,Bulgarian
