Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
1919 年 ， 意大利 钢琴 家 梅帕器 接任 指挥 ， 在 他 任 指挥 的 23 年 里 ， 乐队 演奏 曲目 更加 广泛 丰富 ， 并 和 欧洲 及 世界 各地 来 沪 的 著名 音乐 家 合作 演出 ， 声名 远扬 ， 被 誉 为 “ 远东 第一 ” 。,1919 年 ， 意大利 钢琴 家 梅帕器 接任 指挥 ， 在 他 任 指挥 的 23 年 里,1919 年 ， 意大利 钢琴 家 梅帕器 接任 指挥 ， 和 欧洲 及 世界 各地 来 沪 的 著名 音乐 家,1919 年 ， 意大利 钢琴 家 梅帕器 接任 指挥 ， 在 年,1919 年 ， 意大利 钢琴 家 梅帕器 接任 指挥 ， 和 家,在 年,和 家,演出,在 他 任 指挥 的 23 年 里,和 欧洲 及 世界 各地 来 沪 的 著名 音乐 家,8,11,在,和,年,家,NOUN,PART,prepositional,prepositional,Preverbal,Chinese
该 频道 目前 主要 是 通过 长城 平台 向 海外 地区 传播 。,该 频道 目前 主要 是 通过 长城 平台,该 频道 目前 主要 是 向 海外 地区,该 频道 目前 主要 是 通过 平台,该 频道 目前 主要 是 向 地区,通过 平台,向 地区,传播,通过 长城 平台,向 海外 地区,3,3,通过,向,平台,地区,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
由于 当时 新闻 媒体 也 同时 乘坐 在 电车 上 ， 朝日 新闻 和 每日 新闻 于 9 月 26 日 的 晚间 以 《 连结 东京 与 大阪 的 特快 电车 计划 初见 成型 》 的 标题 作 了 报道 。,由于 当时 新闻 媒体 也 同时 乘坐 在 电车 上 ， 朝日 新闻 和 每日 新闻 于 9 月 26 日 的 晚间,由于 当时 新闻 媒体 也 同时 乘坐 在 电车 上 ， 朝日 新闻 和 每日 新闻 以 《 连结 东京 与 大阪 的 特快 电车 计划 初见 成型 》 的 标题,由于 当时 新闻 媒体 也 同时 乘坐 在 电车 上 ， 朝日 新闻 和 每日 新闻 于 晚间,由于 当时 新闻 媒体 也 同时 乘坐 在 电车 上 ， 朝日 新闻 和 每日 新闻 以 标题,于 晚间,以 标题,作,于 9 月 26 日 的 晚间,以 《 连结 东京 与 大阪 的 特快 电车 计划 初见 成型 》 的 标题,7,15,于,以,晚间,标题,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
按照 《 铁路 发展 策略 2000 》 检讨 报告 中 的 评估 方案 ， 屯门 南延 线 会 将 西铁 线 南延 至 蝴蝶 湾 ， 以 高架 形式 兴建 及 设站 。,按照 《 铁路 发展 策略 2000 》 检讨 报告 中 的 评估 方案,以 高架 形式,按照 方案,以 形式,按照 方案,以 形式,兴建,按照 《 铁路 发展 策略 2000 》 检讨 报告 中 的 评估 方案,以 高架 形式,13,3,按照,以,方案,形式,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
巴纳德 星系 在 1881 年 由 美 籍 天文 学 家 爱德华 · 爱默生 · 巴纳德 发现 ， 并 因 此 得名 。,巴纳德 星系 在 1881 年,巴纳德 星系 因 此,巴纳德 星系 在 年,巴纳德 星系 因 此,在 年,因 此,得名,在 1881 年,因 此,3,2,在,因,年,此,NOUN,PRON,prepositional,prepositional,Preverbal,Chinese
在 格里高利 党 人 的 压力 下 ， 教宗 在 1112 年 3 月 的 拉特兰 宫 宗教 会议 上 宣布 先前 与 皇帝 的 协定 无效 。,在 格里高利 党 人 的 压力 下,在 1112 年 3 月 的 拉特兰 宫 宗教 会议 上,在 压力,在 会议,在 压力,在 会议,宣布,在 格里高利 党 人 的 压力 下,在 1112 年 3 月 的 拉特兰 宫 宗教 会议 上,7,11,在,在,压力,会议,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
在 餐厅 方面 ， 于 2006 年 曾经 进行 改革 及 翻新 工程 。,在 餐厅 方面,于 2006 年,在 方面,于 年,在 方面,于 年,进行,在 餐厅 方面,于 2006 年,3,3,在,于,方面,年,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
因 此 萨尔马提亚 人 在 头盔 方面 可能 受 诺曼 人 的 影响 。,因 此,在 头盔 方面,因 此,在 方面,因 此,在 方面,受,因 此,在 头盔 方面,2,3,因,在,此,方面,PRON,NOUN,prepositional,prepositional,Preverbal,Chinese
他 于是 转到 邻国 德国 ， 成 为 科隆 史上 首名 外援 ， 于 1950 - 54 年 效力 四 年 间 在 联赛 上阵 100 场 ， 并 曾 攻入 两 球 。,他 于是 转到 邻国 德国 ， 成 为 科隆 史上 首名 外援 ， 于 1950 - 54 年 效力 四 年 间,他 于是 转到 邻国 德国 ， 成 为 科隆 史上 首名 外援 ， 在 联赛,他 于是 转到 邻国 德国 ， 成 为 科隆 史上 首名 外援 ， 于 年,他 于是 转到 邻国 德国 ， 成 为 科隆 史上 首名 外援 ， 在 联赛,于 年,在 联赛,上阵,于 1950 - 54 年 效力 四 年 间,在 联赛,9,2,于,在,年,联赛,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
最后 张 志家 确定 以 月薪 新 台 币 二十万 元 与 La New 熊队 签约 ， 并 在 5 月 2 日 召开 签约 记者 会 。,最后 张 志家 确定 以 月薪 新 台 币 二十万 元,最后 张 志家 确定 与 La New 熊队,最后 张 志家 确定 以 月薪,最后 张 志家 确定 与 La,以 月薪,与 La,签约,以 月薪 新 台 币 二十万 元,与 La New 熊队,7,4,以,与,月薪,La,NOUN,X,prepositional,prepositional,Preverbal,Chinese
在 2008 年 4 月 9 日 ， 伊利沙伯 二世 在 枢密 院 会议 上 同意 了 这 桩 婚事 。,在 2008 年 4 月 9 日,在 枢密 院 会议 上,在 日,在 会议,在 日,在 会议,同意,在 2008 年 4 月 9 日,在 枢密 院 会议 上,7,5,在,在,日,会议,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
对于 那些 没能 达到 必须 的 50% 及格 分数 的 人 ， 在 同年 8 月 和 9 月 可以 参加 重考 。,对于 那些 没能 达到 必须 的 50% 及格 分数 的 人,在 同年 8 月 和 9 月,对于 人,在 月,对于 人,在 月,参加,对于 那些 没能 达到 必须 的 50% 及格 分数 的 人,在 同年 8 月 和 9 月,11,7,对于,在,人,月,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
徐 悲鸿 自 幼 随 父 徐 达章 习 诗 文 书 画 ， 1912 年 在 宜兴 女子 初级 师范 等 学校 任 图画 教员 ， 1915 年 在 上海 从事 插图 和 广告 绘画 。,徐 悲鸿 自 幼,徐 悲鸿 随 父 徐 达章,徐 悲鸿 自 幼,徐 悲鸿 随 父,自 幼,随 父,习,自 幼,随 父 徐 达章,2,4,自,随,幼,父,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
目前 多数 科学 家 比较 一致 的 看法 ， 认为 生命 必需 的 元素 共 有 28 种 ， 在 28 种 生命 元素 中 ， 按 体内 含量 的 高低 可 分 为 宏量 元素 （ 或 常量 元素 ） 和 微量 元素 。,目前 多数 科学 家 比较 一致 的 看法 ， 认为 生命 必需 的 元素 共 有 28 种 ， 在 28 种 生命 元素 中,目前 多数 科学 家 比较 一致 的 看法 ， 认为 生命 必需 的 元素 共 有 28 种 ， 按 体内 含量 的 高低,目前 多数 科学 家 比较 一致 的 看法 ， 认为 生命 必需 的 元素 共 有 28 种 ， 在 元素,目前 多数 科学 家 比较 一致 的 看法 ， 认为 生命 必需 的 元素 共 有 28 种 ， 按 高低,在 元素,按 高低,分,在 28 种 生命 元素 中,按 体内 含量 的 高低,6,5,在,按,元素,高低,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
1848 年 3 月 15 日 ， 普 王 腓特烈 · 威廉 四世 的 臣民 经过 多 年 的 压迫 ， 终于 在 柏林 以 暴乱 表达 政治 要求 。,1848 年 3 月 15 日 ， 普 王 腓特烈 · 威廉 四世 的 臣民 经过 多 年 的 压迫,1848 年 3 月 15 日 ， 普 王 腓特烈 · 威廉 四世 的 臣民 以 暴乱,1848 年 3 月 15 日 ， 普 王 腓特烈 · 威廉 四世 的 臣民 经过 压迫,1848 年 3 月 15 日 ， 普 王 腓特烈 · 威廉 四世 的 臣民 以 暴乱,经过 压迫,以 暴乱,表达,经过 多 年 的 压迫,以 暴乱,5,2,经过,以,压迫,暴乱,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
在 众多 书迷 的 推动 下 ， 恶灵 系列 在 2010 年 11 月 19 日 再度 以 Ghost Hunt 之 名 重新 出版 。,在 众多 书迷 的 推动 下 ， 恶灵 系列 在 2010 年 11 月 19 日,在 众多 书迷 的 推动 下 ， 恶灵 系列 以 Ghost Hunt 之 名,在 众多 书迷 的 推动 下 ， 恶灵 系列 在 日,在 众多 书迷 的 推动 下 ， 恶灵 系列 以 名,在 日,以 名,出版,在 2010 年 11 月 19 日,以 Ghost Hunt 之 名,7,5,在,以,日,名,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
在 1979 年 ， 查氏 清还 该 公司 的 全部 债务 ， 并 与 政府 达成 协议 ， 把 愉景 湾 发展 成 一 个 优质 生活 社区 。,在 1979 年,与 政府,在 年,与 政府,在 年,与 政府,达成,在 1979 年,与 政府,3,2,在,与,年,政府,NOUN,NOUN,prepositional,prepositional,Preverbal,Chinese
