Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
Član Predsjedništva Bosne i Hercegovine ( BiH ) Željko Komšić podnio je u utorak ( 20. ožujka ) ostavku na mjesto potpredsjednika Socijaldemokratske partije ( SDP ) i dugogodišnje članstvo u najvišem vodstvu stranke .,Član Predsjedništva Bosne i Hercegovine ( BiH ) Željko Komšić podnio je u utorak,Član Predsjedništva Bosne i Hercegovine ( BiH ) Željko Komšić podnio je na mjesto potpredsjednika Socijaldemokratske partije ( SDP ) i dugogodišnje članstvo u najvišem vodstvu stranke,Član Predsjedništva Bosne i Hercegovine ( BiH ) Željko Komšić podnio je u utorak,Član Predsjedništva Bosne i Hercegovine ( BiH ) Željko Komšić podnio je na mjesto,u utorak,na mjesto,podnijeti,u utorak,na mjesto potpredsjednika Socijaldemokratske partije ( SDP ) i dugogodišnje članstvo u najvišem vodstvu stranke,2,15,u,na,utorak,mjesto,NOUN,NOUN,prepositional,prepositional,Postverbal,Croatian
""" Ostajem član Predsjedništva [ BiH ] i nastavljam na tom položaju raditi u punom kapacitetu sa svim obvezama prema državi "" , izjavio je Komšić medijima nakon što je priopćio da podnosi ostavku na sve funkcije u stranci .",""" Ostajem član Predsjedništva [ BiH ] i nastavljam na tom položaju raditi u punom kapacitetu",""" Ostajem član Predsjedništva [ BiH ] i nastavljam na tom položaju raditi sa svim obvezama prema državi",""" Ostajem član Predsjedništva [ BiH ] i nastavljam na tom položaju raditi u kapacitetu",""" Ostajem član Predsjedništva [ BiH ] i nastavljam na tom položaju raditi sa obvezama",u kapacitet,sa obveza,raditi,u punom kapacitetu,sa svim obvezama prema državi,3,5,u,sa,kapacitet,obveza,NOUN,NOUN,prepositional,prepositional,Postverbal,Croatian
"U suprotnom ćemo biti neozbiljni političari bez zajedničkog stajališta "" , rekao je Lagumdžija novinarima u Beogradu nakon sastanka s Jeremićem 14. ožujka .","U suprotnom ćemo biti neozbiljni političari bez zajedničkog stajališta "" , rekao je Lagumdžija novinarima u Beogradu","U suprotnom ćemo biti neozbiljni političari bez zajedničkog stajališta "" , rekao je Lagumdžija novinarima nakon sastanka s Jeremićem","U suprotnom ćemo biti neozbiljni političari bez zajedničkog stajališta "" , rekao je Lagumdžija novinarima u Beogradu","U suprotnom ćemo biti neozbiljni političari bez zajedničkog stajališta "" , rekao je Lagumdžija novinarima nakon sastanka",u Beograd,nakon sastanak,reći,u Beogradu,nakon sastanka s Jeremićem,2,4,u,nakon,Beograd,sastanak,PROPN,NOUN,prepositional,prepositional,Postverbal,Croatian
"Samo nekoliko mjeseci uoči listopadskih lokalnih izbora , ostavka je uzdrmala birače i dovela SDP u nepovoljan položaj , s obzirom na Komšićevu popularnost .","Samo nekoliko mjeseci uoči listopadskih lokalnih izbora , ostavka je uzdrmala birače i dovela SDP u nepovoljan položaj","Samo nekoliko mjeseci uoči listopadskih lokalnih izbora , ostavka je uzdrmala birače i dovela SDP , s obzirom na Komšićevu popularnost","Samo nekoliko mjeseci uoči listopadskih lokalnih izbora , ostavka je uzdrmala birače i dovela SDP u položaj","Samo nekoliko mjeseci uoči listopadskih lokalnih izbora , ostavka je uzdrmala birače i dovela SDP s popularnost",u položaj,sa popularnost,dovesti,u nepovoljan položaj,", s obzirom na Komšićevu popularnost",3,6,u,sa,položaj,popularnost,NOUN,NOUN,prepositional,prepositional,Postverbal,Croatian
"To je bio moj motiv da glasujem za njega "" , izjavila je za SETimes Selma Gunić iz Sarajeva .","To je bio moj motiv da glasujem za njega "" , izjavila je za SETimes","To je bio moj motiv da glasujem za njega "" , izjavila je iz Sarajeva","To je bio moj motiv da glasujem za njega "" , izjavila je za SETimes","To je bio moj motiv da glasujem za njega "" , izjavila je iz Sarajeva",za SETimes,iz Sarajevo,izjaviti,za SETimes,iz Sarajeva,2,2,za,iz,SETimes,Sarajevo,PROPN,PROPN,prepositional,prepositional,Postverbal,Croatian
""" Mislim da je njegova obveza surađivati s parlamentom na ustavnim reformama .",""" Mislim da je njegova obveza surađivati s parlamentom",""" Mislim da je njegova obveza surađivati na ustavnim reformama",""" Mislim da je njegova obveza surađivati s parlamentom",""" Mislim da je njegova obveza surađivati na reformama",sa parlament,na reforma,surađivati,s parlamentom,na ustavnim reformama,2,3,sa,na,parlament,reforma,NOUN,NOUN,prepositional,prepositional,Postverbal,Croatian
"Mislim da neće , ali predsjednik donosi veću političku stabilnost zemlji "" , rekao je 52-godišnji Gheorge Tataru u izjavi za SETimes .","Mislim da neće , ali predsjednik donosi veću političku stabilnost zemlji "" , rekao je 52-godišnji Gheorge Tataru u izjavi","Mislim da neće , ali predsjednik donosi veću političku stabilnost zemlji "" , rekao je 52-godišnji Gheorge Tataru za SETimes","Mislim da neće , ali predsjednik donosi veću političku stabilnost zemlji "" , rekao je 52-godišnji Gheorge Tataru u izjavi","Mislim da neće , ali predsjednik donosi veću političku stabilnost zemlji "" , rekao je 52-godišnji Gheorge Tataru za SETimes",u izjava,za SETimes,reći,u izjavi,za SETimes,2,2,u,za,izjava,SETimes,NOUN,PROPN,prepositional,prepositional,Postverbal,Croatian
Zemlja je dala svoje vojnike za očuvanje mira u sklopu nekoliko misija diljem svijeta .,Zemlja je dala svoje vojnike za očuvanje mira,Zemlja je dala svoje vojnike u sklopu nekoliko misija diljem svijeta,Zemlja je dala svoje vojnike za očuvanje,Zemlja je dala svoje vojnike u sklopu,za očuvanje,u sklop,dati,za očuvanje mira,u sklopu nekoliko misija diljem svijeta,3,6,za,u,očuvanje,sklop,NOUN,NOUN,prepositional,prepositional,Postverbal,Croatian
Glavni tajnik NATO-a Jaap de Hoop Scheffer ( desno ) i Crvenkovski razgovaraju s izvjestiteljima nakon prošlogodišnjeg sastanka u stožeru NATO-a .,Glavni tajnik NATO-a Jaap de Hoop Scheffer ( desno ) i Crvenkovski razgovaraju s izvjestiteljima,Glavni tajnik NATO-a Jaap de Hoop Scheffer ( desno ) i Crvenkovski razgovaraju nakon prošlogodišnjeg sastanka u stožeru NATO-a,Glavni tajnik NATO-a Jaap de Hoop Scheffer ( desno ) i Crvenkovski razgovaraju s izvjestiteljima,Glavni tajnik NATO-a Jaap de Hoop Scheffer ( desno ) i Crvenkovski razgovaraju nakon sastanka,sa izvjestitelj,nakon sastanak,razgovarati,s izvjestiteljima,nakon prošlogodišnjeg sastanka u stožeru NATO-a,2,6,sa,nakon,izvjestitelj,sastanak,NOUN,NOUN,prepositional,prepositional,Postverbal,Croatian
"Turski predsjednik potpisao je u petak ključni paket ustavnih izmjena , s ciljem približavanja zemlje standardima EU .",Turski predsjednik potpisao je u petak,Turski predsjednik potpisao je s ciljem približavanja zemlje standardima EU,Turski predsjednik potpisao je u petak,Turski predsjednik potpisao je s ciljem,u petak,sa cilj,potpisati,u petak,s ciljem približavanja zemlje standardima EU,2,6,u,sa,petak,cilj,NOUN,NOUN,prepositional,prepositional,Postverbal,Croatian
"Predsjednik Ahmet Necdet Sezer potpisao je u petak ( 21. svibanj ) ključni paket ustavnih izmjena , s ciljem približavanja domaćeg zakonodavstva standardima EU .",Predsjednik Ahmet Necdet Sezer potpisao je u petak ( 21. svibanj ),Predsjednik Ahmet Necdet Sezer potpisao je s ciljem približavanja domaćeg zakonodavstva standardima EU,Predsjednik Ahmet Necdet Sezer potpisao je u petak,Predsjednik Ahmet Necdet Sezer potpisao je s ciljem,u petak,sa cilj,potpisati,u petak ( 21. svibanj ),s ciljem približavanja domaćeg zakonodavstva standardima EU,6,7,u,sa,petak,cilj,NOUN,NOUN,prepositional,prepositional,Postverbal,Croatian
"Uz razočaranje koje prevladava u Makedoniji nakon prošlotjednog samita NATO-a u Bukureštu , vlada održava konzultacije u cilju rješavanja spora oko imena s Grčkom .",Uz razočaranje koje prevladava u Makedoniji,Uz razočaranje koje prevladava nakon prošlotjednog samita NATO-a u Bukureštu,Uz razočaranje koje prevladava u Makedoniji,Uz razočaranje koje prevladava nakon samita,u Makedonija,nakon samit,prevladavati,u Makedoniji,nakon prošlotjednog samita NATO-a u Bukureštu,2,6,u,nakon,Makedonija,samit,PROPN,NOUN,prepositional,prepositional,Postverbal,Croatian
