Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,2,1,-0.08442891279607972,-1,-2.589999999999959e-10,-1,0.05277620685791928,1,0,uvesti,Preverbal
1,0,0,-0.27526058752776833,-1,3.5500911800000003e-07,1,0.007673584793923549,1,0,pretrpjeti,Preverbal
1,3,1,-0.1377439331196853,-1,-3.981309999999999e-07,-1,-0.03219458158293853,-1,0,podsjetiti,Preverbal
1,-4,-1,0.05116178605492862,1,6.9132731e-07,1,-0.02094041923487422,-1,0,proteći,Preverbal
1,0,0,0.053792728369266046,1,-1.50371e-07,-1,0.0073358343048517405,1,0,pustiti,Preverbal
1,-1,-1,-0.1385084918745082,-1,1.9095467e-06,1,0.05764988978051366,1,0,ojačati,Preverbal
1,0,0,-0.0028099014407273887,-1,-0.00010916689,-1,0.0009853070962765331,1,-1,glumiti,Preverbal
1,7,1,-0.12586393813544827,-1,4.5349867e-06,1,0.07365286779019276,1,0,stići,Preverbal
1,-2,-1,-0.02578900525119393,-1,3.5135999999999995e-09,1,-0.009973544422247738,-1,0,nalaziti,Preverbal
1,3,1,-0.26345803365752346,-1,8.452598000000001e-07,1,-0.0066690847395195485,-1,0,obuhvaćati,Preverbal
1,-2,-1,-0.18429690128557172,-1,1.9475599487e-06,1,0.03618915102380171,1,0,potpisati,Preverbal
1,1,1,0.164167439448073,1,-7.0268499999999995e-06,-1,-0.004592510851522347,-1,1,doputovati,Preverbal
1,4,1,-0.021643993430400126,-1,7.459370000000001e-06,1,0.008207059971133468,1,0,razgovarati,Preverbal
1,-1,-1,0.045176629002169476,1,4.6805730999999995e-07,1,-0.05739147411165635,-1,0,predstaviti,Preverbal
1,-5,-1,-0.04796437086693272,-1,-7.0663029e-05,-1,0.0023801627714177265,1,0,potpisati,Preverbal
1,3,1,-0.0747886170118296,-1,-5.759373099999999e-07,-1,-0.02704077546866468,-1,0,potpisati,Preverbal
1,-3,-1,0.03205869135046453,1,-8.043336000000001e-07,-1,-0.004838507082805532,-1,0,imati,Preverbal
1,-1,-1,0.029127937664727863,1,1.0221731e-07,1,-0.03015049088213273,-1,0,osuditi,Preverbal
1,-1,-1,0.058155523794830036,1,3.4022199999999996e-07,1,-0.07106197527864744,-1,0,usvojiti,Preverbal
1,-2,-1,0.038054877093567106,1,-0.000105307,-1,-0.005673520231237683,-1,0,doticati,Preverbal
1,-5,-1,-0.043272104298864356,-1,1.771e-08,1,0.030164845276585472,1,0,moći,Preverbal
1,23,1,0.0005967714897076593,1,3.7242599999999996e-08,1,-0.03607956373972854,-1,0,opasti,Preverbal
1,-1,-1,0.006291976566551033,1,-3.4432000000000006e-07,-1,-0.01679820315413527,-1,0,ponoviti,Preverbal
1,-4,-1,-0.18446471038310924,-1,5.833000000000001e-07,1,-0.0002707860537132234,-1,0,eksplodirati,Preverbal
1,0,0,0.007678400966406498,1,-0.00010833451999999999,-1,-0.0006092310553904579,-1,0,tražiti,Preverbal
1,-1,-1,0.34075677580927766,1,-4.90057e-07,-1,-0.03713245532521414,-1,0,proći,Preverbal
1,2,1,0.05348082294101318,1,5.903e-07,1,0.07957533007567458,1,0,baciti,Preverbal
1,0,0,0.0048172682909203846,1,-1.6744000000000034e-08,-1,-0.0008384304562940592,-1,1,otpadati,Preverbal
