Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
Řidič motorového vozidla o celkové hmotnosti vyšší než # * a řidič jízdní soupravy nebo zvláštního motorového vozidla je povinen jeti ze svahu vždy se zařazeným rychlostním stupněm .,Řidič motorového vozidla o celkové hmotnosti vyšší než # * a řidič jízdní soupravy nebo zvláštního motorového vozidla je povinen jeti ze svahu,Řidič motorového vozidla o celkové hmotnosti vyšší než # * a řidič jízdní soupravy nebo zvláštního motorového vozidla je povinen jeti se zařazeným rychlostním stupněm,Řidič motorového vozidla o celkové hmotnosti vyšší než # * a řidič jízdní soupravy nebo zvláštního motorového vozidla je povinen jeti ze svahu,Řidič motorového vozidla o celkové hmotnosti vyšší než # * a řidič jízdní soupravy nebo zvláštního motorového vozidla je povinen jeti se stupněm,z svah,s stupeň,jet,ze svahu,se zařazeným rychlostním stupněm,2,4,z,s,svah,stupeň,NOUN,NOUN,prepositional,prepositional,Postverbal,Czech
Mimo obec se na silnici s vozovkou o dvou nebo více jízdních pruzích vyznačených na vozovce v jednom směru jízdy jezdí v pravém jízdním pruhu .,Mimo obec,na silnici s vozovkou o dvou nebo více jízdních pruzích vyznačených na vozovce v jednom směru jízdy,Mimo obec,na silnici,mimo obec,na silnice,jezdit,Mimo obec,na silnici s vozovkou o dvou nebo více jízdních pruzích vyznačených na vozovce v jednom směru jízdy,2,17,mimo,na,obec,silnice,NOUN,NOUN,prepositional,prepositional,Preverbal,Czech
"Mimo obec se i na silnici s vozovkou o dvou nebo více jízdních pruzích vyznačených na vozovce v jednom směru jízdy , na dálnici , jezdí zásadně v pravém jízdním pruhu .",Mimo obec,"i na silnici s vozovkou o dvou nebo více jízdních pruzích vyznačených na vozovce v jednom směru jízdy , na dálnici ,",Mimo obec,na silnici,mimo obec,na silnice,jezdit,Mimo obec,"i na silnici s vozovkou o dvou nebo více jízdních pruzích vyznačených na vozovce v jednom směru jízdy , na dálnici ,",2,22,mimo,na,obec,silnice,NOUN,NOUN,prepositional,prepositional,Preverbal,Czech
"Naproti tomu v obci , kde jsou jízdní pruhy vyznačeny na vozovce , smí řidič motorového vozidla , nikoliv tedy řidiči nemotorových vozidel , užívat k jízdě kteréhokoliv jízdního pruhu v jednom směru jízdy .",Naproti tomu,"v obci , kde jsou jízdní pruhy vyznačeny na vozovce ,",Naproti tomu,v obci,naproti ten,v obec,smět,Naproti tomu,"v obci , kde jsou jízdní pruhy vyznačeny na vozovce ,",2,11,naproti,v,ten,obec,DET,NOUN,prepositional,prepositional,Preverbal,Czech
"Naproti tomu v obci , kde jsou jízdní pruhy vyznačeny na vozovce , smí řidič motorového vozidla , nikoliv tedy řidiči nemotorových vozidel , užívat k jízdě kteréhokoliv jízdního pruhu v jednom směru jízdy .","Naproti tomu v obci , kde jsou jízdní pruhy vyznačeny na vozovce , smí řidič motorového vozidla , nikoliv tedy řidiči nemotorových vozidel , užívat k jízdě","Naproti tomu v obci , kde jsou jízdní pruhy vyznačeny na vozovce , smí řidič motorového vozidla , nikoliv tedy řidiči nemotorových vozidel , užívat v jednom směru jízdy","Naproti tomu v obci , kde jsou jízdní pruhy vyznačeny na vozovce , smí řidič motorového vozidla , nikoliv tedy řidiči nemotorových vozidel , užívat k jízdě","Naproti tomu v obci , kde jsou jízdní pruhy vyznačeny na vozovce , smí řidič motorového vozidla , nikoliv tedy řidiči nemotorových vozidel , užívat v směru",k jízda,v směr,užívat,k jízdě,v jednom směru jízdy,2,4,k,v,jízda,směr,NOUN,NOUN,prepositional,prepositional,Postverbal,Czech
"Je - li mimo obec na silnici s vozovkou o dvou nebo více jízdních pruzích v jednom směru jízdy taková hustota provozu , že se vytvoří souvislé proudy vozidel , v nichž řidič motorového vozidla může jet jen takovou rychlostí , která závisí na rychlosti vozidel jedoucích před ním , mohou řidiči jet souběžně , aniž by se považovalo za předjíždění , jedou - li vozidla v jednom z jízdních pruhů rychleji než vozidla v jiném jízdním pruhu , dále jen souběžná jízda .",Je - li mimo obec,Je - li na silnici s vozovkou o dvou nebo více jízdních pruzích v jednom směru jízdy,Je - li mimo obec,Je - li na silnici,mimo obec,na silnice,být,mimo obec,na silnici s vozovkou o dvou nebo více jízdních pruzích v jednom směru jízdy,2,14,mimo,na,obec,silnice,NOUN,NOUN,prepositional,prepositional,Postverbal,Czech
"Zvýšený tramvajový pás smí přejíždět jen v příčném směru , a to na místě k tomu přizpůsobeném .",Zvýšený tramvajový pás smí přejíždět jen v příčném směru,"Zvýšený tramvajový pás smí přejíždět , a to na místě k tomu přizpůsobeném",Zvýšený tramvajový pás smí přejíždět v směru,Zvýšený tramvajový pás smí přejíždět na místě,v směr,na místo,přejíždět,jen v příčném směru,", a to na místě k tomu přizpůsobeném",4,8,v,na,směr,místo,NOUN,NOUN,prepositional,prepositional,Postverbal,Czech
"Zde se konkretizují zvláštní okolnosti , za nichž lze vjet v podélném směru na tramvajový pás , dříve na tramvajové koleje , neboť dosavadní formulace "" jen je - li to nutné "" byla příliš obecná .","Zde se konkretizují zvláštní okolnosti , za nichž lze vjet v podélném směru","Zde se konkretizují zvláštní okolnosti , za nichž lze vjet na tramvajový pás , dříve na tramvajové koleje ,","Zde se konkretizují zvláštní okolnosti , za nichž lze vjet v směru","Zde se konkretizují zvláštní okolnosti , za nichž lze vjet na pás",v směr,na pás,vjet,v podélném směru,"na tramvajový pás , dříve na tramvajové koleje ,",3,9,v,na,směr,pás,NOUN,NOUN,prepositional,prepositional,Postverbal,Czech
Právo na náhradu musí uplatnit u správy domu bez zbytečného odkladu .,Právo na náhradu musí uplatnit u správy domu,Právo na náhradu musí uplatnit bez zbytečného odkladu,Právo na náhradu musí uplatnit u správy,Právo na náhradu musí uplatnit bez odkladu,u správa,bez odklad,uplatnit,u správy domu,bez zbytečného odkladu,3,3,u,bez,správa,odklad,NOUN,NOUN,prepositional,prepositional,Postverbal,Czech
"Nepostará - li se uživatel bytu o včasné provedení drobných oprav a obvyklé údržby bytu nebo neodstraní - li závady , za které odpovídá , má správa domu právo učinit tak po předchozím upozornění uživatele na jeho náklad sama .","Nepostará - li se uživatel bytu o včasné provedení drobných oprav a obvyklé údržby bytu nebo neodstraní - li závady , za které odpovídá , má správa domu právo učinit tak po předchozím upozornění uživatele","Nepostará - li se uživatel bytu o včasné provedení drobných oprav a obvyklé údržby bytu nebo neodstraní - li závady , za které odpovídá , má správa domu právo učinit tak na jeho náklad","Nepostará - li se uživatel bytu o včasné provedení drobných oprav a obvyklé údržby bytu nebo neodstraní - li závady , za které odpovídá , má správa domu právo učinit tak po upozornění","Nepostará - li se uživatel bytu o včasné provedení drobných oprav a obvyklé údržby bytu nebo neodstraní - li závady , za které odpovídá , má správa domu právo učinit tak na náklad",po upozornění,na náklad,učinit,po předchozím upozornění uživatele,na jeho náklad,4,3,po,na,upozornění,náklad,NOUN,NOUN,prepositional,prepositional,Postverbal,Czech
"Uživatel bytu je povinen platit úhradu za užívání bytu a za služby * zálohy na ně měsíčně pozadu , * to do # dne každého měsíce za měsíc uplynulý , nebo ve lhůtě sjednané s organizací spojů , jestliže úhrada za užívání je součástí úhrnné platby .","Uživatel bytu je povinen platit úhradu za užívání bytu a za služby * zálohy na ně měsíčně pozadu , * to do # dne každého měsíce",Uživatel bytu je povinen platit úhradu za užívání bytu a za služby * zálohy na ně měsíčně pozadu za měsíc uplynulý,Uživatel bytu je povinen platit úhradu za užívání bytu a za služby * zálohy na ně měsíčně pozadu do dne,Uživatel bytu je povinen platit úhradu za užívání bytu a za služby * zálohy na ně měsíčně pozadu za měsíc,do den,za měsíc,platit,", * to do # dne každého měsíce",za měsíc uplynulý,8,3,do,za,den,měsíc,NOUN,NOUN,prepositional,prepositional,Postverbal,Czech
"Pokud je to účelné a možné , vyhradí správa domu v dohodě s domovní komisí , domovním důvěrníkem na vhodném hygienicky nezávadném místě zvláštní prostor pro umístění dětských kočárků .","Pokud je to účelné a možné , vyhradí správa domu v dohodě s domovní komisí , domovním důvěrníkem","Pokud je to účelné a možné , vyhradí správa domu na vhodném hygienicky nezávadném místě","Pokud je to účelné a možné , vyhradí správa domu v komisí","Pokud je to účelné a možné , vyhradí správa domu na místě",v komise,na místo,vyhradit,"v dohodě s domovní komisí , domovním důvěrníkem",na vhodném hygienicky nezávadném místě,8,5,v,na,komise,místo,NOUN,NOUN,prepositional,prepositional,Postverbal,Czech
