Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,-15,-1,-0.08944450186304317,-1,1.2184349e-06,1,-0.0040940555633943165,-1,0,jezdit,Preverbal
1,-20,-1,-0.08944450186304317,-1,1.2184349e-06,1,-0.0040940555633943165,-1,0,jezdit,Preverbal
1,-9,-1,-0.019241876703931293,-1,1.173657e-06,1,0.020815944929549246,1,0,smět,Preverbal
1,7,1,0.032931574932298306,1,0.00010777880000000001,1,0.0008254579873234191,1,-1,zamknout,Preverbal
1,-1,-1,-0.15956542733411144,-1,-2.4369e-07,-1,-0.0017504084694912603,-1,0,zaznamenávat,Preverbal
1,1,1,0.06496617945511135,1,3.2988249999999997e-06,1,0.024140209809381363,1,0,připojovat,Preverbal
1,1,1,0.06496617945511135,1,3.2988249999999997e-06,1,0.024140209809381363,1,0,připojovat,Preverbal
1,1,1,0.06496617945511135,1,3.2988249999999997e-06,1,0.024140209809381363,1,0,připojovat,Preverbal
1,6,1,-0.13242667573174116,-1,1.242777e-06,1,-0.0169825582168881,-1,0,zpřesňovat,Preverbal
1,-5,-1,0.03435854793374267,1,-1.0183661999999998e-05,-1,0.0013516310681010446,1,0,dosáhnout,Preverbal
1,23,1,0.03600261050659412,1,2.2787870000000004e-06,1,-0.016769926040189564,-1,0,provádět,Preverbal
1,1,1,-0.3021041949705,-1,3.214143e-06,1,0.002654421695301279,1,0,pokusit,Preverbal
1,-1,-1,-0.04754275794179516,-1,-1.4293300000000003e-05,-1,0.006489806602627546,1,0,připravovat,Preverbal
1,-4,-1,0.2469581178473608,1,-1.2648480000000002e-06,-1,-0.04035564817712539,-1,0,pokračovat,Preverbal
1,0,0,-0.005779137065236988,-1,-1.8201050000000003e-06,-1,-0.01392426055092122,-1,0,dosáhnout,Preverbal
1,6,1,0.05004829848990901,1,1.1039076e-05,1,-0.04629960511250525,-1,0,provádět,Preverbal
1,-1,-1,0.08407637517781494,1,1.6207200000000006e-06,1,0.023715016062606897,1,0,vyhotovit,Preverbal
1,0,0,-0.008536678758490873,-1,-1.9271065e-07,-1,0.005014313783166469,1,0,prát,Preverbal
1,3,1,0.009359810988613196,1,-5.202100000000001e-07,-1,-0.01030202304237493,-1,0,sestavit,Preverbal
1,3,1,-0.15523422577473162,-1,1.44280522e-06,1,-0.004370605078655443,-1,-1,napsat,Preverbal
1,1,1,-0.11916190357127628,-1,3.5417680000000005e-06,1,-0.0012644928941198952,-1,-1,změnit,Preverbal
1,0,0,0.08451131468393482,1,3.1908000000000004e-06,1,0.0013221234167895002,1,-1,zanedbat,Preverbal
1,3,1,0.09922693783407717,1,3.626e-06,1,-0.0005825772679708963,-1,0,řídit,Preverbal
1,-2,-1,-0.1644628158657086,-1,6.5693e-08,1,-0.003776589114329376,-1,0,spatřit,Preverbal
1,1,1,0.17017072189336757,1,-8.749999999999996e-09,-1,0.007758739262022918,1,0,zůstat,Preverbal
1,-3,-1,0.33299648674940785,1,-1.3610100000000004e-07,-1,0.006382224206258835,1,0,určovat,Preverbal
1,-6,-1,0.1642789626980304,1,-2.050616e-06,-1,-0.0007214307203372572,-1,1,rozebírat,Preverbal
1,17,1,-0.3298681989087285,-1,1.364106e-07,1,0.005372920914189727,1,0,podařit,Preverbal
