Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Det er Peter Elmegaard , der sørger for at købe skoene hjem og står i butikken til hverdag .","Det er Peter Elmegaard , der sørger for at købe skoene hjem og står i butikken","Det er Peter Elmegaard , der sørger for at købe skoene hjem og står til hverdag","Det er Peter Elmegaard , der sørger for at købe skoene hjem og står i butikken","Det er Peter Elmegaard , der sørger for at købe skoene hjem og står til hverdag",i butik,til hverdag,stå,i butikken,til hverdag,2,2,i,til,butik,hverdag,NOUN,NOUN,prepositional,prepositional,Postverbal,Danish
"For otte millioner pund er byttet "" Living Legend "" , hvor man bliver ført gennem hele historien med billeder , lyd , tåge , lyn , torden , storm og andre effekter .","For otte millioner pund er byttet "" Living Legend "" , hvor man bliver ført gennem hele historien","For otte millioner pund er byttet "" Living Legend "" , hvor man bliver ført med billeder , lyd , tåge , lyn , torden , storm og andre effekter","For otte millioner pund er byttet "" Living Legend "" , hvor man bliver ført gennem historien","For otte millioner pund er byttet "" Living Legend "" , hvor man bliver ført med billeder",gennem historie,med billede,føre,gennem hele historien,"med billeder , lyd , tåge , lyn , torden , storm og andre effekter",3,15,gennem,med,historie,billede,NOUN,NOUN,prepositional,prepositional,Postverbal,Danish
"At rende med aviser som bibeskæftigelse kunne være lykken , hvis man også fik en rimelig løn ud af det",At rende med aviser,At rende som bibeskæftigelse,At rende med aviser,At rende som bibeskæftigelse,med avis,som bibeskæftigelse,rende,med aviser,som bibeskæftigelse,2,2,med,som,avis,bibeskæftigelse,NOUN,NOUN,prepositional,prepositional,Postverbal,Danish
"Samtidig fortsatte forhandlingerne om andre 84 soldater , der var taget til fange i Bosnien , skriver Reuter .","Samtidig fortsatte forhandlingerne om andre 84 soldater , der var taget til fange","Samtidig fortsatte forhandlingerne om andre 84 soldater , der var taget i Bosnien","Samtidig fortsatte forhandlingerne om andre 84 soldater , der var taget til fange","Samtidig fortsatte forhandlingerne om andre 84 soldater , der var taget i Bosnien",til fange,i Bosnien,tage,til fange,i Bosnien,2,2,til,i,fange,Bosnien,NOUN,PROPN,prepositional,prepositional,Postverbal,Danish
Erkendelsen faldt dog fra hinanden efter grundige afhøringer hos politiet .,Erkendelsen faldt dog fra hinanden,Erkendelsen faldt dog efter grundige afhøringer hos politiet,Erkendelsen faldt dog fra hinanden,Erkendelsen faldt dog efter afhøringer,fra hinanden,efter afhøring,falde,fra hinanden,efter grundige afhøringer hos politiet,2,5,fra,efter,hinanden,afhøring,PRON,NOUN,prepositional,prepositional,Postverbal,Danish
"Hun var lige ved at briste i gråd af sorg og harme , men den triumf skulle han ikke have - at høre hende .",Hun var lige ved at briste i gråd,Hun var lige ved at briste af sorg og harme,Hun var lige ved at briste i gråd,Hun var lige ved at briste af sorg,i gråd,af sorg,briste,i gråd,af sorg og harme,2,4,i,af,gråd,sorg,NOUN,NOUN,prepositional,prepositional,Postverbal,Danish
Hun farer på ham med et skrig .,Hun farer på ham,Hun farer med et skrig,Hun farer på ham,Hun farer med skrig,på han,med skrig,fare,på ham,med et skrig,2,3,på,med,han,skrig,PRON,NOUN,prepositional,prepositional,Postverbal,Danish
Det blev også bygget i begyndelsen af tresserne på Aalborg Værft og har siden sejlet trofast ved Færøerne og Grønland .,Det blev også bygget i begyndelsen af tresserne,Det blev også bygget på Aalborg Værft,Det blev også bygget i begyndelsen,Det blev også bygget på Aalborg,i begyndelse,på Aalborg,bygge,i begyndelsen af tresserne,på Aalborg Værft,4,3,i,på,begyndelse,Aalborg,NOUN,PROPN,prepositional,prepositional,Postverbal,Danish
"Desuden skrev jeg til udenrigsministeren i et beskedent håb om , at man var interesseret i en øjenvidneberetning .",Desuden skrev jeg til udenrigsministeren,"Desuden skrev jeg i et beskedent håb om , at man var interesseret i en øjenvidneberetning",Desuden skrev jeg til udenrigsministeren,Desuden skrev jeg i håb,til udenrigsminister,i håb,skrive,til udenrigsministeren,"i et beskedent håb om , at man var interesseret i en øjenvidneberetning",2,13,til,i,udenrigsminister,håb,NOUN,NOUN,prepositional,prepositional,Postverbal,Danish
"De to dømte topchefer i 6. juli Banken , bestyrelsesformand Niels Johan Leer og direktør John Olsdorf , ankede på stedet dommen fra Københavns byret med krav om frifindelse .","De to dømte topchefer i 6. juli Banken , bestyrelsesformand Niels Johan Leer og direktør John Olsdorf , ankede på stedet","De to dømte topchefer i 6. juli Banken , bestyrelsesformand Niels Johan Leer og direktør John Olsdorf , ankede med krav om frifindelse","De to dømte topchefer i 6. juli Banken , bestyrelsesformand Niels Johan Leer og direktør John Olsdorf , ankede på stedet","De to dømte topchefer i 6. juli Banken , bestyrelsesformand Niels Johan Leer og direktør John Olsdorf , ankede med krav",på sted,med krav,anke,på stedet,med krav om frifindelse,2,4,på,med,sted,krav,NOUN,NOUN,prepositional,prepositional,Postverbal,Danish
"BMS forsøger nu at få en tvangsakkord stablet på benene , men flere personer spænder i øjeblikket ben for den plan .","BMS forsøger nu at få en tvangsakkord stablet på benene , men flere personer spænder i øjeblikket","BMS forsøger nu at få en tvangsakkord stablet på benene , men flere personer spænder for den plan","BMS forsøger nu at få en tvangsakkord stablet på benene , men flere personer spænder i øjeblikket","BMS forsøger nu at få en tvangsakkord stablet på benene , men flere personer spænder for plan",i øjeblik,for plan,spænde,i øjeblikket,for den plan,2,3,i,for,øjeblik,plan,NOUN,NOUN,prepositional,prepositional,Postverbal,Danish
"Den holdning har uden tvivl været med til at skabe det gode ry , som står om hende på teatret , hvor hun trods sin position som den , der sidder på pengekassen er dybt respekteret .","Den holdning har uden tvivl været med til at skabe det gode ry , som står om hende","Den holdning har uden tvivl været med til at skabe det gode ry , som står på teatret , hvor hun trods sin position som den , der sidder på pengekassen er dybt respekteret","Den holdning har uden tvivl været med til at skabe det gode ry , som står om hende","Den holdning har uden tvivl været med til at skabe det gode ry , som står på teatret",om hun,på teater,stå,om hende,"på teatret , hvor hun trods sin position som den , der sidder på pengekassen er dybt respekteret",2,18,om,på,hun,teater,PRON,NOUN,prepositional,prepositional,Postverbal,Danish
"De har i fire uger i træk ligget på en førsteplads på Billboard i USA med singlen "" Jump "" , som udkom i februar .",De har i fire uger i træk ligget på en førsteplads på Billboard i USA,"De har i fire uger i træk ligget med singlen "" Jump "" , som udkom i februar",De har i fire uger i træk ligget på førsteplads,De har i fire uger i træk ligget med singlen,på førsteplads,med single,ligge,på en førsteplads på Billboard i USA,"med singlen "" Jump "" , som udkom i februar",7,10,på,med,førsteplads,single,NOUN,NOUN,prepositional,prepositional,Postverbal,Danish
