Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
Van opium wordt beweerd dat zich zelfs onder de geestelijke elite tot op zeer hoog niveau gebruikers bevinden .,Van opium wordt beweerd dat zich zelfs onder de geestelijke elite,Van opium wordt beweerd dat zich tot op zeer hoog niveau,Van opium wordt beweerd dat zich onder elite,Van opium wordt beweerd dat zich tot op niveau,onder elite,tot op niveau,bevinden,zelfs onder de geestelijke elite,tot op zeer hoog niveau,5,5,onder,tot op,elite,niveau,NOUN,NOUN,prepositional,prepositional,Preverbal,Dutch
Zestig procent van de handel vindt via Iran z'n weg naar Turkije en daarna verder naar het Westen .,Zestig procent van de handel vindt via Iran,Zestig procent van de handel vindt naar Turkije en daarna verder naar het Westen,Zestig procent van de handel vindt via Iran,Zestig procent van de handel vindt naar Turkije,via Iran,naar Turkije,vinden,via Iran,naar Turkije en daarna verder naar het Westen,2,8,via,naar,Iran,Turkije,PROPN,PROPN,prepositional,prepositional,Postverbal,Dutch
De plotselinge dood van haar vader bracht Sissy van Alebeek in de aanloop naar het Nederlands kampioenschap wielrennen terug tot de vraag hoe belangrijk sport in het leven is .,De plotselinge dood van haar vader bracht Sissy van Alebeek in de aanloop naar het Nederlands kampioenschap wielrennen,De plotselinge dood van haar vader bracht Sissy van Alebeek tot de vraag hoe belangrijk sport in het leven is,De plotselinge dood van haar vader bracht Sissy van Alebeek in kampioenschap,De plotselinge dood van haar vader bracht Sissy van Alebeek tot vraag,in kampioenschap,tot vraag,brengen,in de aanloop naar het Nederlands kampioenschap wielrennen,tot de vraag hoe belangrijk sport in het leven is,8,10,in,tot,kampioenschap,vraag,NOUN,NOUN,prepositional,prepositional,Postverbal,Dutch
Twee weken geleden keerden haar ouders met de ouders van Van Moorsel terug van Spanje waar ze een koers van hun dochters hadden gevolgd .,Twee weken geleden keerden haar ouders met de ouders van Van Moorsel,Twee weken geleden keerden haar ouders van Spanje waar ze een koers van hun dochters hadden gevolgd,Twee weken geleden keerden haar ouders met ouders,Twee weken geleden keerden haar ouders van Spanje,met ouder,van Spanje,keren,met de ouders van Van Moorsel,van Spanje waar ze een koers van hun dochters hadden gevolgd,6,11,met,van,ouder,Spanje,NOUN,PROPN,prepositional,prepositional,Postverbal,Dutch
Van Alebeek ( 25 ) fietst al aan de zijde van de drievoudig olympisch kampioene sinds die in 1996 met haar eigen VKS-ploeg begon .,Van Alebeek ( 25 ) fietst al aan de zijde van de drievoudig olympisch kampioene sinds die in 1996,Van Alebeek ( 25 ) fietst al aan de zijde van de drievoudig olympisch kampioene sinds die met haar eigen VKS-ploeg,Van Alebeek ( 25 ) fietst al aan de zijde van de drievoudig olympisch kampioene sinds die in 1996,Van Alebeek ( 25 ) fietst al aan de zijde van de drievoudig olympisch kampioene sinds die met VKS-ploeg,in 1996,met VKS-ploeg,beginnen,in 1996,met haar eigen VKS-ploeg,2,4,in,met,1996,VKS-ploeg,NUM,NOUN,prepositional,prepositional,Preverbal,Dutch
Ze verhuisde van Schijndel naar Rotterdam om meer met haar kopvrouw te kunnen trainen .,Ze verhuisde van Schijndel,Ze verhuisde naar Rotterdam,Ze verhuisde van Schijndel,Ze verhuisde naar Rotterdam,van Schijndel,naar Rotterdam,verhuizen,van Schijndel,naar Rotterdam,2,2,van,naar,Schijndel,Rotterdam,PROPN,PROPN,prepositional,prepositional,Postverbal,Dutch
Met het toepassen van zelfbestuur wordt ook al op de lagere school begonnen .,Met het toepassen van zelfbestuur,op de lagere school,Met toepassen,op school,met toepassen,op school,beginnen,Met het toepassen van zelfbestuur,op de lagere school,5,4,met,op,toepassen,school,VERB,NOUN,prepositional,prepositional,Preverbal,Dutch
In een plaats hier vlakbij werd onlangs een voorstel voor de gemeenteraad gebracht waarbij de jeugd direct moest worden betrokken bij alle aspecten van het stadsbeleid :,In een plaats hier vlakbij,voor de gemeenteraad,In plaats,voor gemeenteraad,in plaats,voor gemeenteraad,brengen,In een plaats hier vlakbij,voor de gemeenteraad,5,3,in,voor,plaats,gemeenteraad,NOUN,NOUN,prepositional,prepositional,Preverbal,Dutch
In de hoofdstad Luxemburg kwamen de liberalen van 6 op 8 van de 27 zetels .,In de hoofdstad Luxemburg kwamen de liberalen van 6,In de hoofdstad Luxemburg kwamen de liberalen op 8 van de 27 zetels,In de hoofdstad Luxemburg kwamen de liberalen van 6,In de hoofdstad Luxemburg kwamen de liberalen op 8,van 6,op 8,komen,van 6,op 8 van de 27 zetels,2,6,van,op,6,8,NUM,NUM,prepositional,prepositional,Postverbal,Dutch
De opbrengst uit deze transacties is voor alle gemeenten samen van flo 208 miljoen in 1960 gestegen tot flo 797 miljoen in 1968 .,De opbrengst uit deze transacties is voor alle gemeenten samen,De opbrengst uit deze transacties is van flo 208 miljoen in 1960,De opbrengst uit deze transacties is voor gemeenten,De opbrengst uit deze transacties is van flo,voor gemeente,van flo,stijgen,voor alle gemeenten samen,van flo 208 miljoen in 1960,4,6,voor,van,gemeente,flo,NOUN,NOUN,prepositional,prepositional,Preverbal,Dutch
