Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,1,1,-0.33691378725695276,-1,3.7918150000000005e-06,1,0.0019156420478793068,1,0,beginnen,Preverbal
1,2,1,0.13258220623705752,1,-1.8468749999999998e-05,-1,-0.06607705140701375,-1,0,brengen,Preverbal
1,-2,-1,-0.05886571563443377,-1,-1.271025e-06,-1,0.01589382969324793,1,0,stijgen,Preverbal
1,1,1,0.015979322141062915,1,5.822400000000001e-07,1,-0.02724174611036434,-1,0,verdelen,Preverbal
1,1,1,-0.15616197153257588,-1,3.1676835360000006e-06,1,-0.04711293954422335,-1,0,raken,Preverbal
1,1,1,-0.32247663894146933,-1,2.63149095e-06,1,-0.0031520200794264985,-1,0,opnemen,Preverbal
1,-1,-1,0.0516468740418545,1,2.6722e-07,1,-0.02100387716358365,-1,0,beschadigen,Preverbal
1,17,1,0.15357322180656655,1,9.00922e-09,1,0.003784394431764204,1,0,hebben,Preverbal
1,-1,-1,0.22390017624395897,1,2.3495044999999997e-08,1,0.0010476579883935688,1,0,beschermen,Preverbal
1,25,1,-0.06745248186459754,-1,1.3853698e-06,1,-0.053686715706895705,-1,0,blijven,Preverbal
1,1,1,-0.2306372564241018,-1,1.7094571999999999e-06,1,-0.014658977216507274,-1,0,desavoueren,Preverbal
1,3,1,0.014722870569567503,1,-1.540168e-06,-1,-0.00020187998604026536,-1,0,neerstorten,Preverbal
1,3,1,-0.27500001008782143,-1,2.34261305e-06,1,0.004644390562366207,1,0,stellen,Preverbal
1,1,1,0.05669046767846614,1,-6.863260000000001e-07,-1,-0.0033660856922951288,-1,0,vertrekken,Preverbal
1,1,1,-0.045952750659813524,-1,-7.0576e-07,-1,-0.009431614138028677,-1,0,aankomen,Preverbal
1,-1,-1,-0.034360218384811736,-1,1.1219499999999998e-07,1,0.008273832321773256,1,0,terugkomen,Preverbal
1,-1,-1,0.16133190476788503,1,1.69632e-06,1,0.00231334633709257,1,0,lopen,Preverbal
1,6,1,0.04887080755077963,1,3.256186e-07,1,-0.03301549093196554,-1,0,gooien,Preverbal
1,3,1,-0.04129934827077386,-1,-4.013052e-05,-1,-0.03187162343052802,-1,0,schoppen,Preverbal
1,1,1,-0.1522742586985799,-1,-1.4489759999999998e-07,-1,0.00332400994048343,1,0,springen,Preverbal
1,0,0,0.019145597107100953,1,-5.237856e-06,-1,0.002668213206479031,1,0,begeven,Preverbal
1,2,1,0.19583724270370131,1,2.611787e-09,1,-9.70747782600978e-05,-1,0,uitlaten,Preverbal
1,1,1,0.1215127710401544,1,2.42577e-08,1,-0.002214143857005968,-1,0,rijden,Preverbal
1,1,1,-0.0659656699921099,-1,6.457495e-07,1,0.006466670231799587,1,0,gaan,Preverbal
1,1,1,0.13216527613894652,1,1.4665656e-06,1,-0.002338999432196287,-1,0,onderwerpen,Preverbal
1,3,1,0.08434123971030721,1,-2.08728165e-05,-1,0.0189222872054986,1,0,hebben,Preverbal
1,-2,-1,0.18963420091867256,1,-1.173943e-06,-1,0.018096864311545835,1,0,reppen,Preverbal
1,1,1,0.1279940638052211,1,-3.926337e-06,-1,-0.002014042913116465,-1,0,bezorgd,Preverbal
1,-4,-1,-0.008870812683065665,-1,-7.238007600000001e-07,-1,-0.008216547497606475,-1,0,plakken,Preverbal
1,8,1,-0.03508115139962653,-1,8.2104e-05,1,0.016766174836645775,1,0,besluiten,Preverbal
1,3,1,0.07399125076789312,1,1.5341e-07,1,-0.009346630085834029,-1,0,subsidiëren,Preverbal
1,0,0,-0.17349547522859818,-1,5.00994e-07,1,0.003999173258110056,1,0,steken,Preverbal
