Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .","The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level","The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ back in the 1960s","The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at level","The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ in 1960s",at level,in 1960,employ,at a high level,back in the 1960s,4,4,at,in,level,1960,NOUN,NOUN,prepositional,prepositional,Postverbal,English
It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .,It reminds me too much of the ARVN officers who were secretly working for the other side,It reminds me too much of the ARVN officers who were secretly working in Vietnam,It reminds me too much of the ARVN officers who were secretly working for side,It reminds me too much of the ARVN officers who were secretly working in Vietnam,for side,in Vietnam,work,for the other side,in Vietnam,4,2,for,in,side,Vietnam,NOUN,PROPN,prepositional,prepositional,Postverbal,English
"In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .","In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver","In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated in the Salikh district","In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with driver","In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated in district",with driver,in district,assassinate,with his driver,in the Salikh district,3,4,with,in,driver,district,NOUN,NOUN,prepositional,prepositional,Postverbal,English
"Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday , protesting the killing of their clan elder , Shaikh Kadhim Sarhid and 4 of his sons , by gunmen wearing Iraqi army uniforms .",Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad,Two hundred members of the Batawi clan of the Dulaim demonstrated on Friday,Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad,Two hundred members of the Batawi clan of the Dulaim demonstrated on Friday,in Baghdad,on Friday,demonstrate,in Baghdad,on Friday,2,2,in,on,Baghdad,Friday,PROPN,PROPN,prepositional,prepositional,Postverbal,English
Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .,Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections,Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office,Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on lists,Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on grounds,on list,on grounds,run,on party lists in the Dec. 15 elections,on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office,8,18,on,on,list,grounds,NOUN,NOUN,prepositional,prepositional,Postverbal,English
"Chalabi has been increasingly marginalized within Iraq , however , despite his ties of clientelage with Washington and Tehran .",Chalabi has been increasingly marginalized within Iraq,Chalabi has been increasingly marginalized despite his ties of clientelage with Washington and Tehran,Chalabi has been increasingly marginalized within Iraq,Chalabi has been increasingly marginalized despite ties,within Iraq,despite tie,marginalize,within Iraq,despite his ties of clientelage with Washington and Tehran,2,9,within,despite,Iraq,tie,PROPN,NOUN,prepositional,prepositional,Postverbal,English
"Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have .","Some 2,000 junior officers of the old Baath army have been recalled to duty","Some 2,000 junior officers of the old Baath army have been recalled in recent months","Some 2,000 junior officers of the old Baath army have been recalled to duty","Some 2,000 junior officers of the old Baath army have been recalled in months",to duty,in month,recall,to duty,in recent months,2,3,to,in,duty,month,NOUN,NOUN,prepositional,prepositional,Postverbal,English
"In Baghdad the fighting still continues in several areas , mostly in Sadr city and Adhamiya .",In Baghdad the fighting still continues in several areas,In Baghdad the fighting still continues mostly in Sadr city and Adhamiya,In Baghdad the fighting still continues in areas,In Baghdad the fighting still continues in city,in area,in city,continue,in several areas,mostly in Sadr city and Adhamiya,3,6,in,in,area,city,NOUN,NOUN,prepositional,prepositional,Postverbal,English
"My neighbourhood has been surrounded by American troops for three days now , helicopters have been circling over our heads non-stop .",My neighbourhood has been surrounded by American troops,My neighbourhood has been surrounded for three days,My neighbourhood has been surrounded by troops,My neighbourhood has been surrounded for days,by troops,for day,surround,by American troops,for three days,3,3,by,for,troops,day,NOUN,NOUN,prepositional,prepositional,Postverbal,English
"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" .","Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia",Azzaman newspaper mentioned an announcement signed on an Islamic website ' the voice of Jihad ',Azzaman newspaper mentioned an announcement signed by Abdul,Azzaman newspaper mentioned an announcement signed on website,by Abdul,on website,sign,"by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia",on an Islamic website ' the voice of Jihad ',14,10,by,on,Abdul,website,PROPN,NOUN,prepositional,prepositional,Postverbal,English
