Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Eesti seaduste järgi peavad pangad suurte summade puhul aga kindlasti selgitama , kes raha tegelikult teele lähetas .",Eesti seaduste järgi,suurte summade puhul,seaduste järgi,summade puhul,seadus järgi,summa puhul,selgitama,Eesti seaduste järgi,suurte summade puhul,3,3,järgi,puhul,seadus,summa,NOUN,NOUN,postpositional,postpositional,Preverbal,Estonian
"Kui ausalt öelda , siis soovitasin tal lihtsalt iga kord , kui ta selle päti veel kätte peaks saama , poiss ise trepist alla politsei kätte viia .","Kui ausalt öelda , siis soovitasin tal lihtsalt iga kord , kui ta selle päti veel kätte peaks saama , poiss ise trepist alla","Kui ausalt öelda , siis soovitasin tal lihtsalt iga kord , kui ta selle päti veel kätte peaks saama , poiss ise politsei kätte","Kui ausalt öelda , siis soovitasin tal lihtsalt iga kord , kui ta selle päti veel kätte peaks saama , poiss ise trepist alla","Kui ausalt öelda , siis soovitasin tal lihtsalt iga kord , kui ta selle päti veel kätte peaks saama , poiss ise politsei kätte",trepp alla,politsei kätte,viima,trepist alla,politsei kätte,2,2,alla,kätte,trepp,politsei,NOUN,NOUN,postpositional,postpositional,Preverbal,Estonian
"Vaid Venemaalt tulid tagasilöögid , sest 1998. aasta augustis vähenes import rubla devalvatsiooni tõttu poole võrra ja Nestlé aastakäive sai 8 miljardi krooniga kannatada .","Vaid Venemaalt tulid tagasilöögid , sest 1998. aasta augustis vähenes import rubla devalvatsiooni tõttu","Vaid Venemaalt tulid tagasilöögid , sest 1998. aasta augustis vähenes import poole võrra","Vaid Venemaalt tulid tagasilöögid , sest 1998. aasta augustis vähenes import devalvatsiooni tõttu","Vaid Venemaalt tulid tagasilöögid , sest 1998. aasta augustis vähenes import poole võrra",devalvatsioon tõttu,pool võrra,vähenema,rubla devalvatsiooni tõttu,poole võrra,3,2,tõttu,võrra,devalvatsioon,pool,NOUN,NOUN,postpositional,postpositional,Postverbal,Estonian
"Nii mõnedki igatsevad pärast "" maailmamenüüsid "" jälle vanaema köögi järele .","Nii mõnedki igatsevad pärast "" maailmamenüüsid """,Nii mõnedki igatsevad vanaema köögi järele,Nii mõnedki igatsevad pärast maailmamenüüsid,Nii mõnedki igatsevad köögi järele,pärast maa_ilma_menüü,köök järele,igatsema,"pärast "" maailmamenüüsid """,vanaema köögi järele,4,3,pärast,järele,maa_ilma_menüü,köök,NOUN,NOUN,prepositional,postpositional,Postverbal,Estonian
"Pärast intervjuu andmist , nii seitsme paiku , sõidab Kert Soome , et esmaspäeva varahommikul osaleda Sõjaväeakadeemia kursustel .",Pärast intervjuu andmist,seitsme paiku,Pärast andmist,seitsme paiku,pärast andmine,seitse paiku,sõitma,Pärast intervjuu andmist,seitsme paiku,3,2,pärast,paiku,andmine,seitse,NOUN,NUM,prepositional,postpositional,Preverbal,Estonian
Ivo * on laskunud mööda köit pea ees Viru hotelli katuselt alla .,Ivo * on laskunud mööda köit,Ivo * on laskunud pea ees,Ivo * on laskunud mööda köit,Ivo * on laskunud pea ees,mööda köis,pea ees,laskuma,mööda köit,pea ees,2,2,mööda,ees,köis,pea,NOUN,NOUN,prepositional,postpositional,Postverbal,Estonian
"Viimane investeerimispank tehti paar kuud tagasi Lõhmuse , Haaveli ja Viisemanni poolt .",Viimane investeerimispank tehti paar kuud tagasi,"Viimane investeerimispank tehti Lõhmuse , Haaveli ja Viisemanni poolt",Viimane investeerimispank tehti kuud tagasi,Viimane investeerimispank tehti Lõhmuse poolt,kuu tagasi,Lõhmus poolt,tegema,paar kuud tagasi,"Lõhmuse , Haaveli ja Viisemanni poolt",3,6,tagasi,poolt,kuu,Lõhmus,NOUN,PROPN,postpositional,postpositional,Postverbal,Estonian
Sumera paljude ise enda eest kostvate filmitööde seast on plaadi jaoks tehtud hea valik .,Sumera paljude ise enda eest kostvate filmitööde seast,plaadi jaoks,filmitööde seast,plaadi jaoks,filmi_töö seast,plaat jaoks,tegema,Sumera paljude ise enda eest kostvate filmitööde seast,plaadi jaoks,8,2,seast,jaoks,filmi_töö,plaat,NOUN,NOUN,postpositional,postpositional,Preverbal,Estonian
Nii kaitsepolitsei kui ka keskkriminaalpolitsei hoiatasid seepeale jaanuari keskel teede- ja sideminister Toivo Jürgensoni ja majandusminister Mihkel Pärnoja potentsiaalse suurinvestori hämara mineviku eest ja soovitasid temaga mitte kohtuda .,Nii kaitsepolitsei kui ka keskkriminaalpolitsei hoiatasid seepeale jaanuari keskel,Nii kaitsepolitsei kui ka keskkriminaalpolitsei hoiatasid seepeale potentsiaalse suurinvestori hämara mineviku eest,Nii kaitsepolitsei kui ka keskkriminaalpolitsei hoiatasid seepeale jaanuari keskel,Nii kaitsepolitsei kui ka keskkriminaalpolitsei hoiatasid seepeale mineviku eest,jaanuar keskel,minevik eest,hoiatama,jaanuari keskel,potentsiaalse suurinvestori hämara mineviku eest,2,5,keskel,eest,jaanuar,minevik,NOUN,NOUN,postpositional,postpositional,Postverbal,Estonian
"Mis kasu on olnud aidsi põdejatel sellest , et nende seisundit ja haiguse kulgu uurides on loodud mingidki ravimid , mille abil surmatõve vastu võidelda ?","Mis kasu on olnud aidsi põdejatel sellest , et nende seisundit ja haiguse kulgu uurides on loodud mingidki ravimid , mille abil","Mis kasu on olnud aidsi põdejatel sellest , et nende seisundit ja haiguse kulgu uurides on loodud mingidki ravimid , surmatõve vastu","Mis kasu on olnud aidsi põdejatel sellest , et nende seisundit ja haiguse kulgu uurides on loodud mingidki ravimid , mille abil","Mis kasu on olnud aidsi põdejatel sellest , et nende seisundit ja haiguse kulgu uurides on loodud mingidki ravimid , surmatõve vastu",mis abil,surma_tõbi vastu,võitlema,mille abil,surmatõve vastu,2,2,abil,vastu,mis,surma_tõbi,PRON,NOUN,postpositional,postpositional,Preverbal,Estonian
