Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Hesin kom til vitnisburðar , til tess at hann skuldi vitna um ljósið , fyri at allir skuldu trúgva við honum .","Hesin kom til vitnisburðar ,","Hesin kom til tess at hann skuldi vitna um ljósið , fyri at allir skuldu trúgva við honum .",Hesin kom til vitnisburðar,Hesin kom til tess,_ _,_ _,_,"til vitnisburðar ,","til tess at hann skuldi vitna um ljósið , fyri at allir skuldu trúgva við honum .",3,17,_,_,_,_,NOUN,PRON,prepositional,prepositional,Postverbal,Faroese
"Hesin kom til vitnisburðar , til tess at hann skuldi vitna um ljósið , fyri at allir skuldu trúgva við honum .","Hesin kom til vitnisburðar , til tess at hann skuldi vitna um ljósið ,","Hesin kom til vitnisburðar , til tess at hann skuldi vitna fyri at allir skuldu trúgva við honum .","Hesin kom til vitnisburðar , til tess at hann skuldi vitna um ljósið","Hesin kom til vitnisburðar , til tess at hann skuldi vitna fyri trúgva",_ _,_ _,_,"um ljósið ,",fyri at allir skuldu trúgva við honum .,3,8,_,_,_,_,NOUN,VERB,prepositional,prepositional,Postverbal,Faroese
"Og hetta er vitnisburður Jóhannesar , tá ið Jödarnir sendu prestar og Levitar frá Jerúsalem til tess at spyrja hann : "" Hvör ert tú ? ""","Og hetta er vitnisburður Jóhannesar , tá ið Jödarnir sendu prestar og Levitar frá Jerúsalem","Og hetta er vitnisburður Jóhannesar , tá ið Jödarnir sendu prestar og Levitar til tess at spyrja hann : "" Hvör ert tú ? ""","Og hetta er vitnisburður Jóhannesar , tá ið Jödarnir sendu prestar og Levitar frá Jerúsalem","Og hetta er vitnisburður Jóhannesar , tá ið Jödarnir sendu prestar og Levitar til tess",_ _,_ _,_,frá Jerúsalem,"til tess at spyrja hann : "" Hvör ert tú ? """,2,12,_,_,_,_,PROPN,PRON,prepositional,prepositional,Postverbal,Faroese
"Og Jóhannes vitnaði og segði : "" Eg sá andan stíga niður av himni í dúgvu líki , og hann varð verandi yvir honum .","Og Jóhannes vitnaði og segði : "" Eg sá andan stíga niður av himni","Og Jóhannes vitnaði og segði : "" Eg sá andan stíga niður í dúgvu líki ,","Og Jóhannes vitnaði og segði : "" Eg sá andan stíga niður av himni","Og Jóhannes vitnaði og segði : "" Eg sá andan stíga niður í líki",_ _,_ _,_,av himni,"í dúgvu líki ,",2,4,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Faroese
"Dagin eftir ætlaði hann at fara av stað til Galileu , og hann finnur Filippus ; og Jesus sigur við hann : "" Fylg mær ! """,Dagin eftir ætlaði hann at fara av stað,"Dagin eftir ætlaði hann at fara til Galileu ,",Dagin eftir ætlaði hann at fara av stað,Dagin eftir ætlaði hann at fara til Galileu,_ _,_ _,_,av stað,"til Galileu ,",2,3,_,_,_,_,NOUN,PROPN,prepositional,prepositional,Postverbal,Faroese
"Men Jesus sjálvur leit seg ikki til teirra , við tað at hann kendi allar , og honum ikki törvaði , at nakar vitnaði um menniskjuna ; tí at hann visti sjálvur , hvat ið var í menniskjuni .","Men Jesus sjálvur leit seg ikki til teirra ,","Men Jesus sjálvur leit seg ikki við tað at hann kendi allar ,",Men Jesus sjálvur leit seg ikki til teirra,Men Jesus sjálvur leit seg ikki við tað,_ _,_ _,_,"til teirra ,","við tað at hann kendi allar ,",3,7,_,_,_,_,PRON,PRON,prepositional,prepositional,Postverbal,Faroese
"Hesin kom til hansara á nátt og segði við hann : "" Rabbi , vit vita , at tú ert lærari , komin frá Guði ; tí at eingin kann gera hesi tekin , sum tú gert , uttan Guð er við honum . """,Hesin kom til hansara,Hesin kom á nátt,Hesin kom til hansara,Hesin kom á nátt,_ _,_ _,_,til hansara,á nátt,2,2,_,_,_,_,PRON,NOUN,prepositional,prepositional,Postverbal,Faroese
"Jesus svaraði : "" Sanniliga , sanniliga sigi eg tær : Eingin kann koma inn í Guðs ríki , uttan hann verður föddur av vatni og anda .","Jesus svaraði : "" Sanniliga , sanniliga sigi eg tær : Eingin kann koma inn í Guðs ríki ,","Jesus svaraði : "" Sanniliga , sanniliga sigi eg tær : Eingin kann koma inn uttan hann verður föddur av vatni og anda .","Jesus svaraði : "" Sanniliga , sanniliga sigi eg tær : Eingin kann koma inn í ríki","Jesus svaraði : "" Sanniliga , sanniliga sigi eg tær : Eingin kann koma inn uttan föddur",_ _,_ _,_,"í Guðs ríki ,",uttan hann verður föddur av vatni og anda .,4,9,_,_,_,_,NOUN,VERB,prepositional,prepositional,Postverbal,Faroese
"Og eingin er farin upp til himmalin , uttan tann , sum fór niður av himlinum , menniskjusonurin , sum er í himlinum .","Og eingin er farin upp til himmalin ,","Og eingin er farin upp uttan tann , sum fór niður av himlinum , menniskjusonurin , sum er í himlinum .",Og eingin er farin upp til himmalin,Og eingin er farin upp uttan menniskjusonurin,_ _,_ _,_,"til himmalin ,","uttan tann , sum fór niður av himlinum , menniskjusonurin , sum er í himlinum .",3,16,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Faroese
"Men hesin er dómurin , at ljósið er komið í heimin og menniskjuni elskaðu myrkrið meira enn ljósið , tí at gerningar teirra vóru óndir . Tí at ein og hvör , sum ger tað , ið ilt er , hatar ljósið og kemur ikki til ljósið , til tess at gerningar hansara ikki skulu verða átalaðir .","Men hesin er dómurin , at ljósið er komið í heimin og menniskjuni elskaðu myrkrið meira enn ljósið , tí at gerningar teirra vóru óndir . Tí at ein og hvör , sum ger tað , ið ilt er , hatar ljósið og kemur ikki til ljósið ,","Men hesin er dómurin , at ljósið er komið í heimin og menniskjuni elskaðu myrkrið meira enn ljósið , tí at gerningar teirra vóru óndir . Tí at ein og hvör , sum ger tað , ið ilt er , hatar ljósið og kemur ikki til tess at gerningar hansara ikki skulu verða átalaðir .","Men hesin er dómurin , at ljósið er komið í heimin og menniskjuni elskaðu myrkrið meira enn ljósið , tí at gerningar teirra vóru óndir . Tí at ein og hvör , sum ger tað , ið ilt er , hatar ljósið og kemur ikki til ljósið","Men hesin er dómurin , at ljósið er komið í heimin og menniskjuni elskaðu myrkrið meira enn ljósið , tí at gerningar teirra vóru óndir . Tí at ein og hvör , sum ger tað , ið ilt er , hatar ljósið og kemur ikki til tess",_ _,_ _,_,"til ljósið ,",til tess at gerningar hansara ikki skulu verða átalaðir .,3,10,_,_,_,_,NOUN,PRON,prepositional,prepositional,Postverbal,Faroese
