Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Rauhoituin stevarin aiheuttamasta raivosta valmistamalla eläinrasvaista ruokaa , syömällä sen miehen kanssa yhdessä television edessä , Suomi-Venäjä-ottelua vapaasti selostaen .","Rauhoituin stevarin aiheuttamasta raivosta valmistamalla eläinrasvaista ruokaa , syömällä sen miehen kanssa yhdessä","Rauhoituin stevarin aiheuttamasta raivosta valmistamalla eläinrasvaista ruokaa , syömällä sen television edessä","Rauhoituin stevarin aiheuttamasta raivosta valmistamalla eläinrasvaista ruokaa , syömällä sen miehen kanssa","Rauhoituin stevarin aiheuttamasta raivosta valmistamalla eläinrasvaista ruokaa , syömällä sen television edessä",mies kanssa,televisio edessä,syödä,miehen kanssa yhdessä,television edessä,3,2,kanssa,edessä,mies,televisio,NOUN,NOUN,postpositional,postpositional,Postverbal,Finnish
"Grillaa halloumit molemmin puolin ja nosta sitten muun salaatin rinnalle , savustetun lohen kanssa .",Grillaa halloumit molemmin puolin ja nosta sitten muun salaatin rinnalle,"Grillaa halloumit molemmin puolin ja nosta sitten , savustetun lohen kanssa",Grillaa halloumit molemmin puolin ja nosta sitten salaatin rinnalle,Grillaa halloumit molemmin puolin ja nosta sitten lohen kanssa,salaatti rinnalle,lohi kanssa,nostaa,muun salaatin rinnalle,", savustetun lohen kanssa",3,4,rinnalle,kanssa,salaatti,lohi,NOUN,NOUN,postpositional,postpositional,Postverbal,Finnish
"Jos antaisimme uuden elintasorajan muodostua keskelle Eurooppaa rautaesiripun putoamisen jälkeen , se olisi kuin hylkäisimme Eurooppa-aatteen .",Jos antaisimme uuden elintasorajan muodostua keskelle Eurooppaa,Jos antaisimme uuden elintasorajan muodostua rautaesiripun putoamisen jälkeen,Jos antaisimme uuden elintasorajan muodostua keskelle Eurooppaa,Jos antaisimme uuden elintasorajan muodostua putoamisen jälkeen,keskelle Eurooppa,putoaminen jälkeen,muodostua,keskelle Eurooppaa,rautaesiripun putoamisen jälkeen,2,3,keskelle,jälkeen,Eurooppa,putoaminen,PROPN,NOUN,prepositional,postpositional,Postverbal,Finnish
"Mies laahustaa kultaisen kävelykeppinsä kanssa kohti katua , joka on täynnä lapsiperheitä , niitä niin normaalia elämää eläviä , iloisia .",Mies laahustaa kultaisen kävelykeppinsä kanssa,"Mies laahustaa kohti katua , joka on täynnä lapsiperheitä , niitä niin normaalia elämää eläviä , iloisia",Mies laahustaa kävelykeppinsä kanssa,Mies laahustaa kohti katua,kävely#keppi kanssa,kohti katu,laahustaa,kultaisen kävelykeppinsä kanssa,"kohti katua , joka on täynnä lapsiperheitä , niitä niin normaalia elämää eläviä , iloisia",3,15,kanssa,kohti,kävely#keppi,katu,NOUN,NOUN,postpositional,prepositional,Postverbal,Finnish
"Ajetaan taajamissa öisin hiljaisia katuja pitkin keltaisten katuvalojen alla ja tehdään muistoja , jotka peittävät alleen talven .",Ajetaan taajamissa öisin hiljaisia katuja pitkin,Ajetaan taajamissa öisin keltaisten katuvalojen alla,Ajetaan taajamissa öisin katuja pitkin,Ajetaan taajamissa öisin katuvalojen alla,katu pitkin,katu#valo alla,ajaa,hiljaisia katuja pitkin,keltaisten katuvalojen alla,3,3,pitkin,alla,katu,katu#valo,NOUN,NOUN,postpositional,postpositional,Postverbal,Finnish
"Luulitko sinä , että kiinnostuisin Jonesta , kiinnostuisin niin , että kävelisin hänen kanssaan teidän vierellänne ?","Luulitko sinä , että kiinnostuisin Jonesta , kiinnostuisin niin , että kävelisin hänen kanssaan","Luulitko sinä , että kiinnostuisin Jonesta , kiinnostuisin niin , että kävelisin teidän vierellänne","Luulitko sinä , että kiinnostuisin Jonesta , kiinnostuisin niin , että kävelisin hänen kanssaan","Luulitko sinä , että kiinnostuisin Jonesta , kiinnostuisin niin , että kävelisin teidän vierellänne",hän kanssa,sinä vierellä,kävellä,hänen kanssaan,teidän vierellänne,2,2,kanssa,vierellä,hän,sinä,PRON,PRON,postpositional,postpositional,Postverbal,Finnish
Se hiipii sisään Harmaan tytön asuntoon ilmastointikanavaa pitkin ja asettuu taloksi .,Se hiipii sisään Harmaan tytön asuntoon,Se hiipii ilmastointikanavaa pitkin,Se hiipii sisään asuntoon,Se hiipii ilmastointikanavaa pitkin,sisään asunto,ilmastointi#kanava pitkin,hiipiä,sisään Harmaan tytön asuntoon,ilmastointikanavaa pitkin,4,2,sisään,pitkin,asunto,ilmastointi#kanava,NOUN,NOUN,prepositional,postpositional,Postverbal,Finnish
"Käytäntö siksi , että ei vanha mies ei juuri hikoilemisesta piitannut , ja biljardissa jos jossakin hiki norui pitkin vanhusta auringon alla alati .","Käytäntö siksi , että ei vanha mies ei juuri hikoilemisesta piitannut , ja biljardissa jos jossakin hiki norui pitkin vanhusta","Käytäntö siksi , että ei vanha mies ei juuri hikoilemisesta piitannut , ja biljardissa jos jossakin hiki norui auringon alla","Käytäntö siksi , että ei vanha mies ei juuri hikoilemisesta piitannut , ja biljardissa jos jossakin hiki norui pitkin vanhusta","Käytäntö siksi , että ei vanha mies ei juuri hikoilemisesta piitannut , ja biljardissa jos jossakin hiki norui auringon alla",pitkin vanhus,aurinko alla,norua,pitkin vanhusta,auringon alla,2,2,pitkin,alla,vanhus,aurinko,NOUN,NOUN,prepositional,postpositional,Postverbal,Finnish
Laineet liplatti ja valkoiset pilvet seilas taivaan halki vailla pienintäkään tarvetta kiirehtiä .,Laineet liplatti ja valkoiset pilvet seilas taivaan halki,Laineet liplatti ja valkoiset pilvet seilas vailla pienintäkään tarvetta kiirehtiä,Laineet liplatti ja valkoiset pilvet seilas taivaan halki,Laineet liplatti ja valkoiset pilvet seilas vailla tarvetta,taivas halki,vailla tarve,seilata,taivaan halki,vailla pienintäkään tarvetta kiirehtiä,2,4,halki,vailla,taivas,tarve,NOUN,NOUN,postpositional,prepositional,Postverbal,Finnish
"Kun valot pysähtyivät , uskalsin nousta ylös ja alistuneena lähteä tallustamaan märkää tietä pitkin valoja kohti .","Kun valot pysähtyivät , uskalsin nousta ylös ja alistuneena lähteä tallustamaan märkää tietä pitkin","Kun valot pysähtyivät , uskalsin nousta ylös ja alistuneena lähteä tallustamaan valoja kohti","Kun valot pysähtyivät , uskalsin nousta ylös ja alistuneena lähteä tallustamaan tietä pitkin","Kun valot pysähtyivät , uskalsin nousta ylös ja alistuneena lähteä tallustamaan valoja kohti",tie pitkin,valo kohti,tallustaa,märkää tietä pitkin,valoja kohti,3,2,pitkin,kohti,tie,valo,NOUN,NOUN,postpositional,postpositional,Postverbal,Finnish
