Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
Allez est le premier album de Kaolin enregistré en décembre 2001 à le Parkgate studio à Battlefield et janvier 2002 à le Gam studio à Waimes .,Allez est le premier album de Kaolin enregistré en décembre 2001 à le Parkgate studio à Battlefield et janvier 2002 à le Gam studio,Allez est le premier album de Kaolin enregistré en décembre 2001 à le Parkgate studio à Battlefield et janvier 2002 à Waimes,Allez est le premier album de Kaolin enregistré en décembre 2001 à le Parkgate studio à Battlefield et janvier 2002 à Gam,Allez est le premier album de Kaolin enregistré en décembre 2001 à le Parkgate studio à Battlefield et janvier 2002 à Waimes,à Gam,à Waimes,enregistrer,à le Gam studio,à Waimes,4,2,à,à,Gam,Waimes,PROPN,PROPN,prepositional,prepositional,Postverbal,French
"distribuer des exemplaires ou enregistrements , présenter , représenter ou communiquer l' oeuvre à le public par tout procédé technique , y compris incorporée dans des oeuvres collectives ;","distribuer des exemplaires ou enregistrements , présenter , représenter ou communiquer l' oeuvre à le public","distribuer des exemplaires ou enregistrements , présenter , représenter ou communiquer l' oeuvre par tout procédé technique , y compris incorporée dans des oeuvres collectives","distribuer des exemplaires ou enregistrements , présenter , représenter ou communiquer l' oeuvre à public","distribuer des exemplaires ou enregistrements , présenter , représenter ou communiquer l' oeuvre par procédé",à public,par procédé,communiquer,à le public,"par tout procédé technique , y compris incorporée dans des oeuvres collectives",3,12,à,par,public,procédé,NOUN,NOUN,prepositional,prepositional,Postverbal,French
"Distribuer des exemplaires ou phonogrammes , présenter , représenter ou communiquer à le public des oeuvres dites derivées par tout procédé technique ;","Distribuer des exemplaires ou phonogrammes , présenter , représenter ou communiquer à le public","Distribuer des exemplaires ou phonogrammes , présenter , représenter ou communiquer par tout procédé technique","Distribuer des exemplaires ou phonogrammes , présenter , représenter ou communiquer à public","Distribuer des exemplaires ou phonogrammes , présenter , représenter ou communiquer par procédé",à public,par procédé,communiquer,à le public,par tout procédé technique,3,4,à,par,public,procédé,NOUN,NOUN,prepositional,prepositional,Postverbal,French
"Si l' acceptant crée une oeuvre dite collective , à la demande de tout offrant , il devra , dans la mesure de le possible , retirer de l' oeuvre dite collective toute référence à le dit offrant , comme demandé .","Si l' acceptant crée une oeuvre dite collective , à la demande de tout offrant ,","Si l' acceptant crée une oeuvre dite collective , dans la mesure de le possible ,","Si l' acceptant crée une oeuvre dite collective , à demande","Si l' acceptant crée une oeuvre dite collective , dans mesure",à demande,dans mesure,retirer,"à la demande de tout offrant ,","dans la mesure de le possible ,",7,7,à,dans,demande,mesure,NOUN,NOUN,prepositional,prepositional,Preverbal,French
"Si l' acceptant crée une oeuvre dite dérivée , à la demande de tout offrant , il devra , dans la mesure de le possible , retirer de l' oeuvre dite dérivée toute référence à le dit offrant , comme demandé .","Si l' acceptant crée une oeuvre dite dérivée , à la demande de tout offrant ,","Si l' acceptant crée une oeuvre dite dérivée , dans la mesure de le possible ,","Si l' acceptant crée une oeuvre dite dérivée , à demande","Si l' acceptant crée une oeuvre dite dérivée , dans mesure",à demande,dans mesure,retirer,"à la demande de tout offrant ,","dans la mesure de le possible ,",7,7,à,dans,demande,mesure,NOUN,NOUN,prepositional,prepositional,Preverbal,French
"l' Acceptant ne peut pas offrir ou imposer de conditions d' utilisation sur l' oeuvre dite dérivée qui altèrent ou restreignent les termes de le présent contrat ou l' exercice de les droits qui y sont accordés à le bénéficiaire , et doit conserver intactes toutes les informations qui renvoient à ce contrat et à l' avertissement sur les garanties .","l' Acceptant ne peut pas offrir ou imposer de conditions d' utilisation sur l' oeuvre dite dérivée qui altèrent ou restreignent les termes de le présent contrat ou l' exercice de les droits qui y sont accordés à le bénéficiaire , et doit conserver intactes toutes les informations qui renvoient à ce contrat et à l' avertissement","l' Acceptant ne peut pas offrir ou imposer de conditions d' utilisation sur l' oeuvre dite dérivée qui altèrent ou restreignent les termes de le présent contrat ou l' exercice de les droits qui y sont accordés à le bénéficiaire , et doit conserver intactes toutes les informations qui renvoient sur les garanties","l' Acceptant ne peut pas offrir ou imposer de conditions d' utilisation sur l' oeuvre dite dérivée qui altèrent ou restreignent les termes de le présent contrat ou l' exercice de les droits qui y sont accordés à le bénéficiaire , et doit conserver intactes toutes les informations qui renvoient à contrat","l' Acceptant ne peut pas offrir ou imposer de conditions d' utilisation sur l' oeuvre dite dérivée qui altèrent ou restreignent les termes de le présent contrat ou l' exercice de les droits qui y sont accordés à le bénéficiaire , et doit conserver intactes toutes les informations qui renvoient sur garanties",à contrat,sur garantie,renvoier,à ce contrat et à l' avertissement,sur les garanties,7,3,à,sur,contrat,garantie,NOUN,NOUN,prepositional,prepositional,Postverbal,French
"L' acceptant ne peut pas reproduire , distribuer , représenter ou communiquer à le public y compris par voie numérique l' oeuvre dite dérivée en utilisant une mesure technique de contrôle d' accès ou de contrôle d' utilisation qui serait contradictoire avec les termes de cet accord contractuel .","L' acceptant ne peut pas reproduire , distribuer , représenter ou communiquer à le public","L' acceptant ne peut pas reproduire , distribuer , représenter ou communiquer y compris par voie numérique","L' acceptant ne peut pas reproduire , distribuer , représenter ou communiquer à public","L' acceptant ne peut pas reproduire , distribuer , représenter ou communiquer par voie",à public,par voie,reproduire,à le public,y compris par voie numérique,3,5,à,par,public,voie,NOUN,NOUN,prepositional,prepositional,Postverbal,French
"Cependant , dans le cas d' une oeuvre dite dérivée ou d' une oeuvre dite collective , ces informations doivent , à le minimum , apparaître à la place et de manière aussi visible que celles à laquelle apparaissent les informations de même nature .","Cependant , dans le cas d' une oeuvre dite dérivée ou d' une oeuvre dite collective ,","Cependant , à le minimum ,","Cependant , dans cas","Cependant , à minimum",dans cas,à minimum,apparaître,"dans le cas d' une oeuvre dite dérivée ou d' une oeuvre dite collective ,","à le minimum ,",15,4,dans,à,cas,minimum,NOUN,NOUN,prepositional,prepositional,Preverbal,French
"À l' exception de les garanties d' ordre public imposées par la loi applicable et de les réparations imposées par le régime de la responsabilité vis-à-vis d' un tiers en raison de la violation de les garanties prévues par l' article 5 de le présent contrat , l' offrant ne sera en aucun cas tenu responsable vis-à-vis de l' acceptant , sur la base d' aucune théorie légale ni en raison de aucun préjudice direct , indirect , matériel ou moral , résultant de l' exécution de le présent contrat ou de l' utilisation de l' oeuvre , y compris dans l' hypothèse où l' offrant avait connaissance de la possible existence d' un tel préjudice .","À l' exception de les garanties d' ordre public imposées par la loi applicable et de les réparations imposées par le régime de la responsabilité vis-à-vis d' un tiers en raison de la violation de les garanties prévues par l' article 5 de le présent contrat ,",en aucun cas,À exception,en cas,à exception,en cas,tenir,"À l' exception de les garanties d' ordre public imposées par la loi applicable et de les réparations imposées par le régime de la responsabilité vis-à-vis d' un tiers en raison de la violation de les garanties prévues par l' article 5 de le présent contrat ,",en aucun cas,47,3,à,en,exception,cas,NOUN,NOUN,prepositional,prepositional,Preverbal,French
"Cependant , le contrat conserve ses effets envers les personnes physiques ou morales qui ont reçu de la part de l' acceptant , en exécution de le présent contrat , la mise à disposition d' oeuvres dites derivées , ou d' oeuvres dites collectives , ceci tant qu' elles respectent pleinement leurs obligations .","Cependant , le contrat conserve ses effets envers les personnes physiques ou morales qui ont reçu de la part de l' acceptant","Cependant , le contrat conserve ses effets envers les personnes physiques ou morales qui ont reçu en exécution de le présent contrat","Cependant , le contrat conserve ses effets envers les personnes physiques ou morales qui ont reçu de part","Cependant , le contrat conserve ses effets envers les personnes physiques ou morales qui ont reçu en exécution",de part,en exécution,recevoir,de la part de l' acceptant,en exécution de le présent contrat,6,6,de,en,part,exécution,NOUN,NOUN,prepositional,prepositional,Postverbal,French
