Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,-9,-1,0.14380590314270625,1,0.9852,1,-0.11555274528815301,-1,0,_,Preverbal
1,10,1,0.17325605007511025,1,0.9809,1,-0.08100635115496951,-1,0,_,Preverbal
1,3,1,0.028362557273036826,1,0.999593,1,-0.11175336733745339,-1,0,_,Preverbal
1,10,1,0.17325605007511025,1,0.9809,1,-0.08100635115496951,-1,0,_,Preverbal
1,-22,-1,0.17325605007511025,1,0.9809,1,-0.08100635115496951,-1,0,_,Preverbal
1,0,0,0.0,0,0,0,0.0,0,0,_,Preverbal
1,12,1,0.028362557273036826,1,0.999593,1,-0.11175336733745339,-1,0,_,Preverbal
1,-3,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,1,1,0.11868502103007661,1,0.9499,1,-0.10909376387400926,-1,0,_,Preverbal
1,0,0,0.11868502103007661,1,0.9499,1,-0.10909376387400926,-1,0,_,Preverbal
1,-19,-1,0.17325605007511025,1,0.9809,1,-0.08100635115496951,-1,0,_,Preverbal
1,-2,-1,0.028611753604700474,1,0.99067,1,-0.11350088283421217,-1,0,_,Preverbal
1,-25,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,28,1,0.11868502103007661,1,0.9499,1,-0.10909376387400926,-1,0,_,Preverbal
1,9,1,0.17325605007511025,1,0.9809,1,-0.08100635115496951,-1,0,_,Preverbal
1,-6,-1,0.14380590314270625,1,0.9852,1,-0.11555274528815301,-1,0,_,Preverbal
1,2,1,0.11868502103007661,1,0.9499,1,-0.10909376387400926,-1,0,_,Preverbal
1,5,1,0.11868502103007661,1,0.9499,1,-0.10909376387400926,-1,-1,_,Preverbal
1,4,1,0.17325605007511025,1,0.9809,1,-0.08100635115496951,-1,0,_,Preverbal
1,5,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,5,1,0.028362557273036826,1,0.999593,1,-0.11175336733745339,-1,0,_,Preverbal
1,0,0,0.11868502103007661,1,0.9499,1,-0.10909376387400926,-1,0,_,Preverbal
1,4,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,13,1,0.11868502103007661,1,0.9499,1,-0.10909376387400926,-1,0,_,Preverbal
1,1,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-1,-1,0.01696147439250062,1,0.999224,1,-0.11191925891277293,-1,0,_,Preverbal
1,-2,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,5,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,0,0,0.17325605007511025,1,0.9809,1,-0.13377643489763774,-1,0,_,Preverbal
1,-3,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,4,1,0.038652834410846215,1,0.99168,1,-0.1464918694011878,-1,0,_,Preverbal
1,0,0,0.14380590314270625,1,0.9852,1,-0.11555274528815301,-1,0,_,Preverbal
1,-7,-1,0.17325605007511025,1,0.9809,1,-0.08100635115496951,-1,0,_,Preverbal
1,0,0,0.17325605007511025,1,0.9809,1,-0.08100635115496951,-1,0,_,Preverbal
1,-3,-1,0.17325605007511025,1,0.9809,1,-0.13377643489763774,-1,0,_,Preverbal
1,3,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,4,1,0.038652834410846215,1,0.99168,1,-0.09512532329625095,-1,0,_,Preverbal
1,4,1,0.17325605007511025,1,0.9809,1,-0.13377643489763774,-1,0,_,Preverbal
1,-2,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-6,-1,0.14380590314270625,1,0.9852,1,-0.11555274528815301,-1,0,_,Preverbal
1,-2,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-4,-1,0.11868502103007661,1,0.9499,1,-0.10909376387400926,-1,0,_,Preverbal
1,3,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,0,0,0.0,0,0,0,0.0,0,0,_,Preverbal
1,5,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-7,-1,0.028362557273036826,1,0.999593,1,-0.11175336733745339,-1,0,_,Preverbal
1,1,1,0.02087515215768021,1,0.999168,1,-0.12013261357610233,-1,0,_,Preverbal
1,1,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-1,-1,0.012521478721407187,1,0.99951,1,-0.11552290187388464,-1,0,_,Preverbal
1,-11,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-10,-1,0.14380590314270625,1,0.9852,1,-0.11555274528815301,-1,0,_,Preverbal
1,-1,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,3,1,0.11868502103007661,1,0.9499,1,-0.10909376387400926,-1,0,_,Preverbal
1,0,0,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-2,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-2,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,2,1,0.17325605007511025,1,0.9809,1,-0.13377643489763774,-1,0,_,Preverbal
1,15,1,0.14380590314270625,1,0.9852,1,-0.11555274528815301,-1,0,_,Preverbal
1,-22,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-11,-1,0.17325605007511025,1,0.9809,1,-0.08100635115496951,-1,0,_,Preverbal
1,0,0,0.038652834410846215,1,0.99168,1,-0.1464918694011878,-1,0,_,Preverbal
1,3,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,3,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-1,-1,0.14380590314270625,1,0.9852,1,-0.11555274528815301,-1,0,_,Preverbal
1,-1,-1,0.17325605007511025,1,0.9809,1,-0.13377643489763774,-1,0,_,Preverbal
1,6,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,2,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-8,-1,0.17325605007511025,1,0.9809,1,-0.08100635115496951,-1,0,_,Preverbal
1,-6,-1,0.14380590314270625,1,0.9852,1,-0.11555274528815301,-1,0,_,Preverbal
1,-3,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-11,-1,0.17325605007511025,1,0.9809,1,-0.08100635115496951,-1,0,_,Preverbal
1,-6,-1,0.034150509531429285,1,0.99573,1,-0.13853282015060503,-1,0,_,Preverbal
1,-2,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-5,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-3,-1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,-1,-1,0.038652834410846215,1,0.99168,1,-0.1464918694011878,-1,0,_,Preverbal
1,2,1,0.0,0,0,0,0.0,0,0,_,Preverbal
1,1,1,0.14380590314270625,1,0.9852,1,-0.11555274528815301,-1,0,_,Preverbal
1,0,0,0.11868502103007661,1,0.9499,1,-0.10234596328867307,-1,-1,_,Preverbal
1,0,0,0.11868502103007661,1,0.9499,1,-0.10234596328867307,-1,-1,_,Preverbal
0,5,1,-0.03239986943423845,-1,-0.999818,-1,0.13943459998586621,1,0,_,Preverbal
0,2,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,2,1,-0.0,0,0,0,-0.0,0,-1,_,Preverbal
0,0,0,-0.11868502103007661,-1,-0.9499,-1,0.10909376387400926,1,0,_,Preverbal
0,3,1,-0.14380590314270625,-1,-0.9852,-1,0.11555274528815301,1,0,_,Preverbal
0,0,0,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,-2,-1,-0.17325605007511025,-1,-0.9809,-1,0.08100635115496951,1,0,_,Preverbal
0,2,1,-0.034150509531429285,-1,-0.99573,-1,0.10759305996159807,1,0,_,Preverbal
0,1,1,-0.024729205035567303,-1,-0.99874,-1,0.14707227165612108,1,0,_,Preverbal
0,0,0,-0.17325605007511025,-1,-0.9809,-1,0.08100635115496951,1,0,_,Preverbal
0,0,0,-0.049771759517011405,-1,-0.99883,-1,0.14719804895711885,1,0,_,Preverbal
0,-1,-1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,1,1,-0.17325605007511025,-1,-0.9809,-1,0.13377643489763774,1,0,_,Preverbal
0,0,0,-0.019877043112431325,-1,9999999999.0,1,0.15066213868957057,1,0,_,Preverbal
0,3,1,-0.028611753604700474,-1,-0.99067,-1,0.11350088283421217,1,0,_,Preverbal
0,1,1,-0.11868502103007661,-1,-0.9499,-1,0.10909376387400926,1,0,_,Preverbal
0,2,1,-0.07940172450391547,-1,-0.99411,-1,0.12925235859008738,1,0,_,Preverbal
0,1,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,-25,-1,-0.11868502103007661,-1,-0.9499,-1,0.10909376387400926,1,0,_,Preverbal
0,-3,-1,-0.024729205035567303,-1,-0.99874,-1,0.14707227165612108,1,0,_,Preverbal
0,-3,-1,-0.17325605007511025,-1,-0.9809,-1,0.08100635115496951,1,0,_,Preverbal
0,1,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,11,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,11,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,6,1,-0.14380590314270625,-1,-0.9852,-1,0.11555274528815301,1,0,_,Preverbal
0,2,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,7,1,-0.038652834410846215,-1,-0.99168,-1,0.1464918694011878,1,0,_,Preverbal
0,0,0,-0.11868502103007661,-1,-0.9499,-1,0.10909376387400926,1,0,_,Preverbal
0,-25,-1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,0,0,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,2,1,-0.11868502103007661,-1,-0.9499,-1,0.10234596328867307,1,-1,_,Preverbal
0,0,0,-0.038652834410846215,-1,-0.99168,-1,0.1464918694011878,1,0,_,Preverbal
0,4,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,-2,-1,-0.038652834410846215,-1,-0.99168,-1,0.1464918694011878,1,0,_,Preverbal
0,0,0,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,13,1,-0.14380590314270625,-1,-0.9852,-1,0.11555274528815301,1,0,_,Preverbal
0,1,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,0,0,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,-16,-1,-0.17325605007511025,-1,-0.9809,-1,0.08100635115496951,1,0,_,Preverbal
0,5,1,-0.14380590314270625,-1,-0.9852,-1,0.11555274528815301,1,0,_,Preverbal
0,-1,-1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,11,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,19,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,-1,-1,-0.06190736306774047,-1,-0.99989,-1,0.11795978763740261,1,0,_,Preverbal
0,-6,-1,-0.028362557273036826,-1,-0.999593,-1,0.11175336733745339,1,0,_,Preverbal
0,3,1,-0.14380590314270625,-1,-0.9852,-1,0.11555274528815301,1,0,_,Preverbal
0,0,0,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,-4,-1,-0.17325605007511025,-1,-0.9809,-1,0.13377643489763774,1,0,_,Preverbal
0,7,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,-3,-1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,1,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,-6,-1,-0.17325605007511025,-1,-0.9809,-1,0.13377643489763774,1,0,_,Preverbal
0,-5,-1,-0.02058928825197126,-1,9999999999.0,1,0.08806666678783559,1,0,_,Preverbal
0,-2,-1,-0.028611753604700474,-1,-0.99067,-1,0.11350088283421217,1,0,_,Preverbal
0,24,1,-0.11868502103007661,-1,-0.9499,-1,0.10909376387400926,1,0,_,Preverbal
0,4,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,19,1,-0.028611753604700474,-1,-0.99067,-1,0.11350088283421217,1,-1,_,Preverbal
0,5,1,-0.0,0,0,0,-0.0,0,0,_,Preverbal
0,0,0,-0.0,0,0,0,-0.0,0,1,_,Preverbal
0,0,0,-0.0,0,0,0,-0.0,0,0,_,Preverbal
