Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"En o que atinxe a o número de distritos infectados ( ver a táboa 2 ) , en 2007 houbo un 85 % menos que en 2006 en Pakistán e un 70 % menos en Afganistán .","En o que atinxe a o número de distritos infectados ( ver a táboa 2 ) ,",en 2007,En que,en 2007,en que,en 2007,haber,"En o que atinxe a o número de distritos infectados ( ver a táboa 2 ) ,",en 2007,17,2,en,en,que,2007,PRON,NUM,prepositional,prepositional,Preverbal,Galician
"En outros ter me os , as tecnoloxías informacionais , con internet a a cabeza , non serviron só para o desenvolvemento de o neoliberalismo senón tamén para o seu contrario , como por exemplo a articulación política internacional de os movementos críticos con este modelo económico .","En outros ter me os , as tecnoloxías informacionais , con internet a a cabeza , non serviron só para o desenvolvemento de o neoliberalismo","En outros ter me os , as tecnoloxías informacionais , con internet a a cabeza , non serviron só tamén para o seu contrario , como por exemplo a articulación política internacional de os movementos críticos con este modelo económico","En outros ter me os , as tecnoloxías informacionais , con internet a a cabeza , non serviron só para desenvolvemento","En outros ter me os , as tecnoloxías informacionais , con internet a a cabeza , non serviron só para contrario",para desenvolvemento,para contrario,servir,para o desenvolvemento de o neoliberalismo,"tamén para o seu contrario , como por exemplo a articulación política internacional de os movementos críticos con este modelo económico",6,21,para,para,desenvolvemento,contrario,NOUN,NOUN,prepositional,prepositional,Postverbal,Galician
Este sistema consiste en a especialización de pequenas empresas en unha ou varias fases de o proceso produtivo e a súa interconexión posterior para a realización de aqueles proxectos que xurdan de as demandas de os compradores .,Este sistema consiste en a especialización de pequenas empresas,Este sistema consiste en unha ou varias fases de o proceso produtivo e a súa interconexión posterior para a realización de aqueles proxectos que xurdan de as demandas de os compradores,Este sistema consiste en especialización,Este sistema consiste en fases,en especialización,en fase,consistir,en a especialización de pequenas empresas,en unha ou varias fases de o proceso produtivo e a súa interconexión posterior para a realización de aqueles proxectos que xurdan de as demandas de os compradores,6,28,en,en,especialización,fase,NOUN,NOUN,prepositional,prepositional,Postverbal,Galician
Os usuarios remitidos por o seu médico de familia ou pediatra poderán escoller libremente un de os centros ópticos acreditados para a avaliación de a súa capacidade visual .,Os usuarios remitidos por o seu médico de familia ou pediatra poderán escoller libremente un de os centros ópticos acreditados,Os usuarios remitidos por o seu médico de familia ou pediatra poderán escoller libremente para a avaliación de a súa capacidade visual,Os usuarios remitidos por o seu médico de familia ou pediatra poderán escoller libremente de centros,Os usuarios remitidos por o seu médico de familia ou pediatra poderán escoller libremente para avaliación,de centro,para avaliación,escoller,un de os centros ópticos acreditados,para a avaliación de a súa capacidade visual,6,8,de,para,centro,avaliación,NOUN,NOUN,prepositional,prepositional,Postverbal,Galician
"Poden se producir brotes de a enfermidade en calquera momento , tanto sen causa aparente coma en resposta a unha infección ou a algún outro feito .",Poden se producir brotes de a enfermidade en calquera momento,"Poden se producir brotes de a enfermidade , tanto sen causa aparente coma en resposta a unha infección ou a algún outro feito",Poden se producir brotes de a enfermidade en momento,Poden se producir brotes de a enfermidade sen causa,en momento,sen causa,producir,en calquera momento,", tanto sen causa aparente coma en resposta a unha infección ou a algún outro feito",3,16,en,sen,momento,causa,NOUN,NOUN,prepositional,prepositional,Postverbal,Galician
"Por outro lado , o elevado grao de dispersión xeográfica , posto de manifesto en as súas 29.947 entidades singulares de poboación , traduce se en a necesidade de un esforzo adicional en infraestructuras .","Por outro lado , o elevado grao de dispersión xeográfica , posto de manifesto","Por outro lado , o elevado grao de dispersión xeográfica , posto en as súas 29.947 entidades singulares de poboación","Por outro lado , o elevado grao de dispersión xeográfica , posto de manifesto","Por outro lado , o elevado grao de dispersión xeográfica , posto en entidades",de manifesto,en entidade,poñer,de manifesto,en as súas 29.947 entidades singulares de poboación,2,8,de,en,manifesto,entidade,NOUN,NOUN,prepositional,prepositional,Postverbal,Galician
"As reflexións que aquí poño de manifesto teñen que ver con a articulación en a práctica de modos e actuacións , que promovan a satisfacción de estes aspectos emocionais por parte de os inmigrantes .",As reflexións que aquí poño de manifesto teñen que ver con a articulación,"As reflexións que aquí poño de manifesto teñen que ver en a práctica de modos e actuacións , que promovan a satisfacción de estes aspectos emocionais por parte de os inmigrantes",As reflexións que aquí poño de manifesto teñen que ver con articulación,As reflexións que aquí poño de manifesto teñen que ver en práctica,con articulación,en práctica,ver,con a articulación,"en a práctica de modos e actuacións , que promovan a satisfacción de estes aspectos emocionais por parte de os inmigrantes",3,21,con,en,articulación,práctica,NOUN,NOUN,prepositional,prepositional,Postverbal,Galician
"Non obstante , se os estatutos o prevén , agás o presidente e o secretario , ata un 25 % de os membros de o consello poden ser persoas físicas non socios .","Non obstante , se os estatutos o prevén , agás o presidente e o secretario ,","Non obstante , se os estatutos o prevén ata un 25 % de os membros de o consello poden ser persoas físicas non socios","Non obstante , se os estatutos o prevén agás presidente","Non obstante , se os estatutos o prevén ata 25",agás presidente,ata 25,prever,", agás o presidente e o secretario ,",ata un 25 % de os membros de o consello poden ser persoas físicas non socios,8,16,agás,ata,presidente,25,NOUN,NUM,prepositional,prepositional,Postverbal,Galician
"Existe unha potencia instalada en Galicia en centrais hidráulicas de máis de 10 MW , de 2.945 MW , cuxa produción en o ano 2002 , foi de 415 ktep , enerxía dispoñible para o seu consumo exclusivo en forma de electricidade .",Existe unha potencia instalada en Galicia,"Existe unha potencia instalada en centrais hidráulicas de máis de 10 MW , de 2.945 MW , cuxa produción en o ano 2002",Existe unha potencia instalada en Galicia,Existe unha potencia instalada en centrais,en galicia,en central,instalar,en Galicia,"en centrais hidráulicas de máis de 10 MW , de 2.945 MW , cuxa produción en o ano 2002",2,19,en,en,galicia,central,PROPN,NOUN,prepositional,prepositional,Postverbal,Galician
"En o resto de as cuestións , a actuación de esta sala regulará se por o establecido para as reclamacións económico-administrativas en a Lei 58/2003 , de o 17 de decembro , xeral tributaria , e en este regulamento .","En o resto de as cuestións , a actuación de esta sala regulará se por o establecido","En o resto de as cuestións , a actuación de esta sala regulará se para as reclamacións económico-administrativas en a Lei 58/2003 , de o 17 de decembro , xeral tributaria , e en este regulamento","En o resto de as cuestións , a actuación de esta sala regulará se por establecido","En o resto de as cuestións , a actuación de esta sala regulará se para reclamacións",por establecer,para reclamación,regular,por o establecido,"para as reclamacións económico-administrativas en a Lei 58/2003 , de o 17 de decembro , xeral tributaria , e en este regulamento",3,22,por,para,establecer,reclamación,VERB,NOUN,prepositional,prepositional,Postverbal,Galician
