Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,3,1,0.08454224371926367,1,1.4733765e-06,1,-0.00855622743683726,-1,-1,verstecken,Preverbal
1,1,1,0.26214707021772043,1,-2.74855e-06,-1,-0.035084938023808465,-1,0,schenken,Preverbal
1,4,1,-0.00721689055575242,-1,4.524900000000001e-08,1,-0.0008556212859328616,-1,0,fahren,Preverbal
1,-1,-1,0.11621391762926037,1,2.9523999999999994e-08,1,0.009973763849623563,1,0,anreisen,Preverbal
1,0,0,0.06202791176409356,1,-4.134299999999999e-07,-1,0.012991890375333714,1,0,bringen,Preverbal
1,3,1,-0.20011613906685502,-1,-1.5574200000000002e-07,-1,-0.046653903527820784,-1,0,wahrnehmen,Preverbal
1,1,1,0.05947626120048177,1,-5.386654000000001e-07,-1,0.00034396079151532977,1,0,nachschlagen,Preverbal
1,1,1,-0.12718091761807312,-1,-7.980000000000001e-09,-1,0.014107650297436991,1,0,sein,Preverbal
1,-1,-1,-0.054975473703001876,-1,-1.28868785e-06,-1,-0.0034493253850290673,-1,0,installieren,Preverbal
1,1,1,0.207682177583819,1,-5.8664203999999994e-08,-1,0.00703014899240989,1,0,hinweisen,Preverbal
1,6,1,0.059802853568336395,1,1.1620320000000001e-07,1,-0.008655560513574245,-1,0,aufmachen,Preverbal
1,0,0,0.2005936140059062,1,-1.8224850000000002e-05,-1,-0.01312887335809615,-1,0,herausstellen,Preverbal
1,-5,-1,0.13511000310842566,1,-2.16762e-06,-1,0.00491437468125161,1,0,danken,Preverbal
1,-1,-1,0.2970468856923099,1,-0.000549588817,-1,0.007255316832814385,1,1,stinken,Preverbal
1,-1,-1,0.17119591809915222,1,2.81741147e-06,1,-0.009149125630997679,-1,0,sein,Preverbal
1,1,1,0.06469465810765473,1,3.2121910000000003e-07,1,0.014483891713523378,1,0,bezahlen,Preverbal
1,0,0,0.0007529332193311755,1,2.448191e-07,1,0.021613170937766546,1,0,sein,Preverbal
1,-2,-1,-0.14235045055100576,-1,9.497150000000001e-07,1,0.013897960302069023,1,0,lernen,Preverbal
1,0,0,-0.032502630180073516,-1,-2.0883092999999998e-07,-1,0.0004611988766596853,1,0,behandeln,Preverbal
1,1,1,-0.019432643636827618,-1,-7.710899999999998e-07,-1,-0.0049291295528194334,-1,0,landen,Preverbal
1,3,1,-0.20482979918606076,-1,-2.8540068999999993e-06,-1,-0.05909326927914865,-1,0,behandeln,Preverbal
1,1,1,-0.15992778226351181,-1,2.25691e-06,1,-0.008071276569956987,-1,0,lassen,Preverbal
1,0,0,0.07732214751155805,1,5.2311e-07,1,0.009213880007328257,1,0,fahren,Preverbal
1,5,1,-0.2044662499127836,-1,2.5109962500000003e-07,1,0.006102384395833216,1,0,umgestalten,Preverbal
1,0,0,0.1248629817618355,1,-0.0005465425,-1,0.0024543335206775874,1,1,sein,Preverbal
1,-2,-1,0.002194312457076103,1,-4.433164e-06,-1,-0.007236668405929403,-1,0,festnehmen,Preverbal
1,-1,-1,0.00281869618070478,1,5.479760000000001e-07,1,-0.004270418031583956,-1,0,üben,Preverbal
1,-10,-1,0.34890394211810905,1,1.9988590999999999e-07,1,0.005120533172003339,1,0,verzichten,Preverbal
1,1,1,-0.11664326406504953,-1,-1.3662300000000004e-07,-1,-0.00201240658127233,-1,0,erweitern,Preverbal
1,1,1,0.17557608841537908,1,-1.1575160000000001e-05,-1,0.001501782213068903,1,0,senken,Preverbal
1,0,0,0.05920495695401212,1,-2.4383699999999997e-09,-1,-0.003382350990453753,-1,0,anmelden,Preverbal
