Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Χθες , η Μάντσεστερ Γιουνάιτεντ ηττήθηκε με σκορ 2:3 από την Ατλέτικο Μπιλμπάο , σ τα πλαίσια της φάσης των 16 του Γιουρόπα Λιγκ 2011-2012 .","Χθες , η Μάντσεστερ Γιουνάιτεντ ηττήθηκε με σκορ 2:3","Χθες , η Μάντσεστερ Γιουνάιτεντ ηττήθηκε , σ τα πλαίσια της φάσης των 16 του Γιουρόπα Λιγκ 2011-2012","Χθες , η Μάντσεστερ Γιουνάιτεντ ηττήθηκε με σκορ","Χθες , η Μάντσεστερ Γιουνάιτεντ ηττήθηκε σ πλαίσια",με σκορ,σε πλαίσιο,ηττώμαι,με σκορ 2:3,", σ τα πλαίσια της φάσης των 16 του Γιουρόπα Λιγκ 2011-2012",3,12,με,σε,σκορ,πλαίσιο,NOUN,NOUN,prepositional,prepositional,Postverbal,Greek
"Το σκορ του αγώνα άνοιξε ο Γουέν Ρούνι σ το 22ο λεπτό , ωστόσο οι φιλοξενούμενοι ισοφάρισαν με τον Λλορέντε σ το 44' .","Το σκορ του αγώνα άνοιξε ο Γουέν Ρούνι σ το 22ο λεπτό , ωστόσο οι φιλοξενούμενοι ισοφάρισαν με τον Λλορέντε","Το σκορ του αγώνα άνοιξε ο Γουέν Ρούνι σ το 22ο λεπτό , ωστόσο οι φιλοξενούμενοι ισοφάρισαν σ το 44'","Το σκορ του αγώνα άνοιξε ο Γουέν Ρούνι σ το 22ο λεπτό , ωστόσο οι φιλοξενούμενοι ισοφάρισαν με Λλορέντε","Το σκορ του αγώνα άνοιξε ο Γουέν Ρούνι σ το 22ο λεπτό , ωστόσο οι φιλοξενούμενοι ισοφάρισαν σ 44'",με Λλορέντε,σε 44',ισοφαρίζω,με τον Λλορέντε,σ το 44',3,3,με,σε,Λλορέντε,44',X,NUM,prepositional,prepositional,Postverbal,Greek
"Σ το Ιράκ , κατά τη διάρκεια συγκρούσεων μεταξύ διαδηλωτών ( μέλη της σουνιτικής μειονότητας του Ιράκ ) και στρατιωτών , πέντε άτομα έχασαν τη ζωή τους , ενώ άλλα 20 σκοτώθηκαν .",Σ το Ιράκ,", κατά τη διάρκεια συγκρούσεων μεταξύ διαδηλωτών ( μέλη της σουνιτικής μειονότητας του Ιράκ ) και στρατιωτών ,",Σ Ιράκ,κατά διάρκεια,σε Ιράκ,κατά διάρκεια,χάνω,Σ το Ιράκ,", κατά τη διάρκεια συγκρούσεων μεταξύ διαδηλωτών ( μέλη της σουνιτικής μειονότητας του Ιράκ ) και στρατιωτών ,",3,18,σε,κατά,Ιράκ,διάρκεια,X,NOUN,prepositional,prepositional,Preverbal,Greek
"Οι διαδηλώσεις διεξήχθησαν σ τη Φαλούτζα , εξήντα χιλιόμετρα δυτικά της Βαγδάτης , όταν οι διαδηλωτές , οι οποίοι ανήκουν σ τη μειονότητα των Σουνιτών , επιτέθηκαν με πέτρες σ τους στρατιώτες , οι οποίοι με τη σειρά τους άνοιξαν πυρ , με αποτέλεσμα πέντε άτομα να χάσουν τη ζωή τους και άλλα είκοσι να τραυματιστούν .","Οι διαδηλώσεις διεξήχθησαν σ τη Φαλούτζα , εξήντα χιλιόμετρα δυτικά της Βαγδάτης , όταν οι διαδηλωτές , οι οποίοι ανήκουν σ τη μειονότητα των Σουνιτών , επιτέθηκαν με πέτρες","Οι διαδηλώσεις διεξήχθησαν σ τη Φαλούτζα , εξήντα χιλιόμετρα δυτικά της Βαγδάτης , όταν οι διαδηλωτές , οι οποίοι ανήκουν σ τη μειονότητα των Σουνιτών , επιτέθηκαν σ τους στρατιώτες , οι οποίοι με τη σειρά τους άνοιξαν πυρ , με αποτέλεσμα πέντε άτομα να χάσουν τη ζωή τους και άλλα είκοσι να τραυματιστούν","Οι διαδηλώσεις διεξήχθησαν σ τη Φαλούτζα , εξήντα χιλιόμετρα δυτικά της Βαγδάτης , όταν οι διαδηλωτές , οι οποίοι ανήκουν σ τη μειονότητα των Σουνιτών , επιτέθηκαν με πέτρες","Οι διαδηλώσεις διεξήχθησαν σ τη Φαλούτζα , εξήντα χιλιόμετρα δυτικά της Βαγδάτης , όταν οι διαδηλωτές , οι οποίοι ανήκουν σ τη μειονότητα των Σουνιτών , επιτέθηκαν σ στρατιώτες",με πέτρα,σε στρατιώτης,επιτίθεμαι,με πέτρες,"σ τους στρατιώτες , οι οποίοι με τη σειρά τους άνοιξαν πυρ , με αποτέλεσμα πέντε άτομα να χάσουν τη ζωή τους και άλλα είκοσι να τραυματιστούν",2,27,με,σε,πέτρα,στρατιώτης,NOUN,NOUN,prepositional,prepositional,Postverbal,Greek
"Ο Γενικός Γραμματέας των Ηνωμένων Εθνών , Μπαν Κι Μουν , ανέφερε την Παρασκευή ότι « έχει λάβει μακάβριες πληροφορίες , σύμφωνα με τις οποίες οι δυνάμεις ασφάλειας συλλαμβάνουν και βασανίζουν ανθρώπους σ τη Χομς μετά την αποχώρηση των ανταρτών » .","Ο Γενικός Γραμματέας των Ηνωμένων Εθνών , Μπαν Κι Μουν , ανέφερε την Παρασκευή ότι « έχει λάβει μακάβριες πληροφορίες , σύμφωνα με τις οποίες οι δυνάμεις ασφάλειας συλλαμβάνουν και βασανίζουν ανθρώπους σ τη Χομς","Ο Γενικός Γραμματέας των Ηνωμένων Εθνών , Μπαν Κι Μουν , ανέφερε την Παρασκευή ότι « έχει λάβει μακάβριες πληροφορίες , σύμφωνα με τις οποίες οι δυνάμεις ασφάλειας συλλαμβάνουν και βασανίζουν ανθρώπους μετά την αποχώρηση των ανταρτών","Ο Γενικός Γραμματέας των Ηνωμένων Εθνών , Μπαν Κι Μουν , ανέφερε την Παρασκευή ότι « έχει λάβει μακάβριες πληροφορίες , σύμφωνα με τις οποίες οι δυνάμεις ασφάλειας συλλαμβάνουν και βασανίζουν ανθρώπους σ Χομς","Ο Γενικός Γραμματέας των Ηνωμένων Εθνών , Μπαν Κι Μουν , ανέφερε την Παρασκευή ότι « έχει λάβει μακάβριες πληροφορίες , σύμφωνα με τις οποίες οι δυνάμεις ασφάλειας συλλαμβάνουν και βασανίζουν ανθρώπους μετά αποχώρηση",σε Χομς,μετά αποχώρηση,συλλαμβάνω,σ τη Χομς,μετά την αποχώρηση των ανταρτών,3,5,σε,μετά,Χομς,αποχώρηση,X,NOUN,prepositional,prepositional,Postverbal,Greek
Αυτά τα ποσοστά είναι τα πιο χαμηλά από τότε που το IFOP ξεκίνησε δημοσκοπήσεις σ τη Γαλλία μετά τα γεγονότα της 11ης Σεπτεμβρίου 2001 .,Αυτά τα ποσοστά είναι τα πιο χαμηλά από τότε που το IFOP ξεκίνησε δημοσκοπήσεις σ τη Γαλλία,Αυτά τα ποσοστά είναι τα πιο χαμηλά από τότε που το IFOP ξεκίνησε δημοσκοπήσεις μετά τα γεγονότα της 11ης Σεπτεμβρίου 2001,Αυτά τα ποσοστά είναι τα πιο χαμηλά από τότε που το IFOP ξεκίνησε δημοσκοπήσεις σ Γαλλία,Αυτά τα ποσοστά είναι τα πιο χαμηλά από τότε που το IFOP ξεκίνησε δημοσκοπήσεις μετά γεγονότα,σε Γαλλία,μετά γεγονός,ξεκινώ,σ τη Γαλλία,μετά τα γεγονότα της 11ης Σεπτεμβρίου 2001,3,7,σε,μετά,Γαλλία,γεγονός,PROPN,NOUN,prepositional,prepositional,Postverbal,Greek
Η Ρωσία έχει επιτρέψει σ το παρελθόν σ τις ΗΠΑ και σ το ΝΑΤΟ να χρησιμοποιήσουν τον εναέριο χώρο της και σιδηροδρομικές γραμμές της για την μεταφορά προμηθειών σ το Αφγανιστάν .,Η Ρωσία έχει επιτρέψει σ το παρελθόν,Η Ρωσία έχει επιτρέψει σ τις ΗΠΑ και σ το ΝΑΤΟ,Η Ρωσία έχει επιτρέψει σ παρελθόν,Η Ρωσία έχει επιτρέψει σ ΗΠΑ,σε παρελθόν,σε ΗΠΑ,επιτρέπω,σ το παρελθόν,σ τις ΗΠΑ και σ το ΝΑΤΟ,3,7,σε,σε,παρελθόν,ΗΠΑ,NOUN,NOUN,prepositional,prepositional,Postverbal,Greek
"Η Αλυκή που πήρε το όνομά της από την παραφθορά του ονόματος της Αλίκης , βασίλισσας της χερσονήσου αυτής κατά την παράδοση , βρίσκεται σ το νότιοδυτικό τμήμα της Θάσου και ήκμασε κατά την αρχαιότητα κυρίως λόγω της εξόρυξης μαρμάρων .","Η Αλυκή που πήρε το όνομά της από την παραφθορά του ονόματος της Αλίκης , βασίλισσας της χερσονήσου αυτής κατά την παράδοση , βρίσκεται σ το νότιοδυτικό τμήμα της Θάσου και ήκμασε κατά την αρχαιότητα","Η Αλυκή που πήρε το όνομά της από την παραφθορά του ονόματος της Αλίκης , βασίλισσας της χερσονήσου αυτής κατά την παράδοση , βρίσκεται σ το νότιοδυτικό τμήμα της Θάσου και ήκμασε λόγω της εξόρυξης μαρμάρων","Η Αλυκή που πήρε το όνομά της από την παραφθορά του ονόματος της Αλίκης , βασίλισσας της χερσονήσου αυτής κατά την παράδοση , βρίσκεται σ το νότιοδυτικό τμήμα της Θάσου και ήκμασε κατά αρχαιότητα","Η Αλυκή που πήρε το όνομά της από την παραφθορά του ονόματος της Αλίκης , βασίλισσας της χερσονήσου αυτής κατά την παράδοση , βρίσκεται σ το νότιοδυτικό τμήμα της Θάσου και ήκμασε λόγω εξόρυξης",κατά αρχαιότητα,λόγω εξόρυξη,ακμάζω,κατά την αρχαιότητα,λόγω της εξόρυξης μαρμάρων,3,4,κατά,λόγω,αρχαιότητα,εξόρυξη,NOUN,NOUN,prepositional,prepositional,Postverbal,Greek
"Συγχαίρω τη βελγική Προεδρία για την έγκριση αυτού του εγγράφου , παρά τα προβλήματα που δημιούργησαν ορισμένες αντιπροσωπείες , και θέλω να επαναλάβω τα συγχαρητήριά μας σ το Συμβούλιο και σ την Επιτροπή και τη χαρά μας για την υιοθέτηση αυτών των κειμένων .",Συγχαίρω τη βελγική Προεδρία για την έγκριση αυτού του εγγράφου,"Συγχαίρω τη βελγική Προεδρία , παρά τα προβλήματα που δημιούργησαν ορισμένες αντιπροσωπείες ,",Συγχαίρω τη βελγική Προεδρία για έγκριση,Συγχαίρω τη βελγική Προεδρία παρά προβλήματα,για έγκριση,παρά πρόβλημα,συγχαίρω,για την έγκριση αυτού του εγγράφου,", παρά τα προβλήματα που δημιούργησαν ορισμένες αντιπροσωπείες ,",6,9,για,παρά,έγκριση,πρόβλημα,NOUN,NOUN,prepositional,prepositional,Postverbal,Greek
"Αλλες τροπολογίες , που παρουσίασαν άλλοι συνάδελφοι , επιδιώκουν από την καθιέρωση ενός ευρωπαϊκού habeas corpus μέχρι άλλους στόχους με τους οποίους επίσης συμφωνούμε , αλλά δεν πιστεύουμε ότι αυτό είναι το κατάλληλο νομικό μέσο για τη δρομολόγησή τους .","Αλλες τροπολογίες , που παρουσίασαν άλλοι συνάδελφοι , επιδιώκουν από την καθιέρωση ενός ευρωπαϊκού habeas corpus","Αλλες τροπολογίες , που παρουσίασαν άλλοι συνάδελφοι , επιδιώκουν μέχρι άλλους στόχους με τους οποίους επίσης συμφωνούμε , αλλά δεν πιστεύουμε ότι αυτό είναι το κατάλληλο νομικό μέσο για τη δρομολόγησή τους","Αλλες τροπολογίες , που παρουσίασαν άλλοι συνάδελφοι , επιδιώκουν από καθιέρωση","Αλλες τροπολογίες , που παρουσίασαν άλλοι συνάδελφοι , επιδιώκουν μέχρι στόχους",από καθιέρωση,μέχρι στόχος,επιδιώκω,από την καθιέρωση ενός ευρωπαϊκού habeas corpus,"μέχρι άλλους στόχους με τους οποίους επίσης συμφωνούμε , αλλά δεν πιστεύουμε ότι αυτό είναι το κατάλληλο νομικό μέσο για τη δρομολόγησή τους",7,23,από,μέχρι,καθιέρωση,στόχος,NOUN,NOUN,prepositional,prepositional,Postverbal,Greek
