Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,-15,-1,0.055796534066787445,1,2.591499999999999e-07,1,-0.059694541721130145,-1,0,χάνω,Preverbal
1,-1,-1,-0.0313261276392085,-1,1.9467e-06,1,-0.05510025414570785,-1,0,χάνω,Preverbal
1,-3,-1,0.130598086193336,1,1.5423950000000001e-06,1,-0.0031624314255442876,-1,0,φτάνω,Preverbal
1,-1,-1,-0.19886170951004217,-1,-1.9437e-06,-1,-0.03574405898635369,-1,0,σκέφτομαι,Preverbal
1,0,0,-0.032048287979449114,-1,-1.062665e-06,-1,0.0017843822500955842,1,0,σβήνω,Preverbal
1,5,1,0.0007444188531020718,1,3.2687900000000005e-07,1,0.03663736160365916,1,0,καθίσταμαι,Preverbal
1,8,1,-0.11094950585527463,-1,-2.3289999999999987e-07,-1,0.06518708655605665,1,0,υποστηρίζω,Preverbal
0,-15,-1,0.007641865897238226,1,5.4285e-07,1,0.019111405409273807,1,0,συμμετέχω,Preverbal
0,1,1,-0.029562313172054322,-1,-2.3557899999999997e-06,-1,-0.018978510220701628,-1,0,περνώ,Preverbal
0,0,0,0.18833319838598486,1,-1.55742e-07,-1,0.030301967950229214,1,-1,αναφέρω,Preverbal
0,0,0,-0.017417728622792006,-1,7.874999999999997e-07,1,-0.020456513232326445,-1,0,γίνομαι,Preverbal
0,0,0,-0.1428345452028313,-1,8.841900000000002e-07,1,-0.049736894431561485,-1,0,αποτελώ,Preverbal
0,-1,-1,0.03630843492567584,1,-9.344999999999998e-08,-1,0.042150829522752176,1,0,υπάρχω,Preverbal
1,25,1,-0.01980740072544776,-1,-3.3384000000000003e-07,-1,-0.0038211481680685555,-1,0,επιτίθεμαι,Postverbal
1,2,1,-0.16265310950946205,-1,2.5228949999999998e-08,1,-0.002451455185210061,-1,0,συλλαμβάνω,Postverbal
1,4,1,-0.32885062277635135,-1,-4.247500000000002e-07,-1,-0.00471981798360499,-1,0,ξεκινώ,Postverbal
1,4,1,0.038216675535758526,1,1.4069999999999998e-06,1,0.020118061476599336,1,0,επιτρέπω,Postverbal
1,1,1,0.0031690822443296573,1,-3.5082670000000005e-08,-1,0.006276343781857707,1,0,ακμάζω,Postverbal
1,3,1,0.037114104190662744,1,-1.0816800000000002e-07,-1,-0.005452591657871153,-1,0,συγχαίρω,Postverbal
1,16,1,-0.12364880889710872,-1,-1.677175e-07,-1,-0.008153656003546672,-1,0,επιδιώκω,Postverbal
1,2,1,0.2386799377909558,1,-2.6612999999999994e-06,-1,-0.008273774803827516,-1,1,δεσμεύω,Postverbal
1,3,1,0.023056505790115298,1,8.755000000000012e-08,1,-0.0012500476789840675,-1,0,επισημαίνω,Postverbal
1,2,1,0.04966446850499835,1,5.6517e-08,1,-0.003338523439695429,-1,0,συναντώ,Postverbal
1,1,1,0.029303164619768035,1,-3.013500000000001e-07,-1,-0.0003972456929829393,-1,0,θέτω,Postverbal
1,-4,-1,0.04361467677763889,1,8.726583e-07,1,0.0014393435516072417,1,0,γίνομαι,Postverbal
1,1,1,-0.00326871909399587,-1,-2.5675336e-07,-1,-0.0025513566986058445,-1,0,διεξάγω,Postverbal
1,2,1,-0.0013664846744903536,-1,8.016999999999959e-09,1,-0.008389541610120954,-1,0,αποσύρω,Postverbal
1,9,1,0.094112088158814,1,-6.8036e-07,-1,0.006379715611621095,1,0,απαγορεύω,Postverbal
1,14,1,0.1292781103351269,1,-6.23635e-07,-1,-0.001593929093547719,-1,0,κατηγορώ,Postverbal
1,12,1,0.0063380610599421405,1,8.9628e-07,1,-0.0021807856540275727,-1,0,αρνιέμαι,Postverbal
1,0,0,0.1213652954880568,1,2.5178055e-05,1,0.029143885816386328,1,0,ανέρχομαι,Postverbal
