Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
ה קהל איתר סוף סוף ערבי ו יהודים חבטו ב_ _הוא עד זוב דם .,ה קהל איתר סוף סוף ערבי ו יהודים חבטו ב_ _הוא,ה קהל איתר סוף סוף ערבי ו יהודים חבטו עד זוב דם,ה קהל איתר סוף סוף ערבי ו יהודים חבטו ב_ _הוא,ה קהל איתר סוף סוף ערבי ו יהודים חבטו עד זוב,ב הוא,עד זב,חבט,ב_ _הוא,עד זוב דם,2,3,ב,עד,הוא,זב,PRON,NOUN,prepositional,prepositional,Postverbal,Hebrew
ה אמבולנס התקרב אך בקושי ו גם כאשר נסגרו ה דלתות היכו עשרות ב ה_ ידיים ו ב ה_ רגליים על פח ה רכב .,ה אמבולנס התקרב אך בקושי ו גם כאשר נסגרו ה דלתות היכו עשרות ב ה_ ידיים ו ב ה_ רגליים,ה אמבולנס התקרב אך בקושי ו גם כאשר נסגרו ה דלתות היכו עשרות על פח ה רכב,ה אמבולנס התקרב אך בקושי ו גם כאשר נסגרו ה דלתות היכו עשרות ב ידיים,ה אמבולנס התקרב אך בקושי ו גם כאשר נסגרו ה דלתות היכו עשרות על פח,ב יד,על פח,הכה,ב ה_ ידיים ו ב ה_ רגליים,על פח ה רכב,7,4,ב,על,יד,פח,NOUN,NOUN,prepositional,prepositional,Postverbal,Hebrew
"סופר "" ה ארץ "" ב ה_ צפון , מוסיף : יריות נשמעו אתמול ב שעה 2000 ב ה_ ערב ב שפרעם , סמוך ל בית_ _של_ _הוא של ראש ה עירייה , איברהים נימר חוסיין .","סופר "" ה ארץ "" ב ה_ צפון , מוסיף : יריות נשמעו אתמול ב שעה 2000 ב ה_ ערב","סופר "" ה ארץ "" ב ה_ צפון , מוסיף : יריות נשמעו אתמול ב שפרעם","סופר "" ה ארץ "" ב ה_ צפון , מוסיף : יריות נשמעו אתמול ב שעה","סופר "" ה ארץ "" ב ה_ צפון , מוסיף : יריות נשמעו אתמול ב שפרעם",ב שעה,ב שפרעם,נשמע,ב שעה 2000 ב ה_ ערב,ב שפרעם,6,2,ב,ב,שעה,שפרעם,NOUN,PROPN,prepositional,prepositional,Postverbal,Hebrew
הם התבקשו לדווח ל ה_ משטרה על תנועה_ _של_ _הם .,הם התבקשו לדווח ל ה_ משטרה,הם התבקשו לדווח על תנועה_ _של_ _הם,הם התבקשו לדווח ל משטרה,הם התבקשו לדווח על תנועה_,ל משטרה,על תנועה,דיווח,ל ה_ משטרה,על תנועה_ _של_ _הם,3,4,ל,על,משטרה,תנועה,NOUN,NOUN,prepositional,prepositional,Postverbal,Hebrew
"חמישה חיילי צה""ל נפצעו ב אורח קל ב תקריות קשות ש היו ב סוף ה שבוע ב רצועת עזה .","חמישה חיילי צה""ל נפצעו ב אורח קל","חמישה חיילי צה""ל נפצעו ב תקריות קשות ש היו ב סוף ה שבוע ב רצועת עזה","חמישה חיילי צה""ל נפצעו ב אורח","חמישה חיילי צה""ל נפצעו ב תקריות",ב אורח,ב תקרית,נפצע,ב אורח קל,ב תקריות קשות ש היו ב סוף ה שבוע ב רצועת עזה,3,12,ב,ב,אורח,תקרית,NOUN,NOUN,prepositional,prepositional,Postverbal,Hebrew
מקורות פלשתיניים דיווחו ש ה תקריות החלו ב כמה מחנות פליטים כבר ב יום שישי .,מקורות פלשתיניים דיווחו ש ה תקריות החלו ב כמה מחנות פליטים,מקורות פלשתיניים דיווחו ש ה תקריות החלו כבר ב יום שישי,מקורות פלשתיניים דיווחו ש ה תקריות החלו ב מחנות,מקורות פלשתיניים דיווחו ש ה תקריות החלו ב יום,ב מחנה,ב יום,החל,ב כמה מחנות פליטים,כבר ב יום שישי,4,4,ב,ב,מחנה,יום,NOUN,NOUN,prepositional,prepositional,Postverbal,Hebrew
"אמש דוווח מ פי מקורות פלשתיניים על תושב דיר אל באלח , בן 51 , ש נפצע ב אורח בינוני ו הועבר ל ביה""ח תל - ה שומר .",אמש דוווח מ פי מקורות פלשתיניים,"אמש דוווח על תושב דיר אל באלח , בן 51 , ש נפצע ב אורח בינוני ו הועבר ל ביה""ח תל - ה שומר",אמש דוווח מ מקורות,אמש דוווח על תושב,מ מקור,על תושב,דוווח,מ פי מקורות פלשתיניים,"על תושב דיר אל באלח , בן 51 , ש נפצע ב אורח בינוני ו הועבר ל ביה""ח תל - ה שומר",4,22,מ,על,מקור,תושב,NOUN,NOUN,prepositional,prepositional,Postverbal,Hebrew
ב ה_ שטחים התקיימה ב יום שישי שביתה כללית ב יום ה שנה ל הצהרת בלפור .,ב ה_ שטחים התקיימה ב יום שישי,ב ה_ שטחים התקיימה ב יום ה שנה ל הצהרת בלפור,ב ה_ שטחים התקיימה ב יום,ב ה_ שטחים התקיימה ב יום,ב יום,ב יום,התקיים,ב יום שישי,ב יום ה שנה ל הצהרת בלפור,3,7,ב,ב,יום,יום,NOUN,NOUN,prepositional,prepositional,Postverbal,Hebrew
"אתמול הסיר צה""ל את ה עוצר מ רוב שטחי ה גדה ה מערבית , ש הושמו ב עוצר מונע לרגל יום הצהרת בלפור ו בעקבות אירועים אלימים .","אתמול הסיר צה""ל את ה עוצר מ רוב שטחי ה גדה ה מערבית , ש הושמו ב עוצר מונע","אתמול הסיר צה""ל את ה עוצר מ רוב שטחי ה גדה ה מערבית , ש הושמו לרגל יום הצהרת בלפור ו בעקבות אירועים אלימים","אתמול הסיר צה""ל את ה עוצר מ רוב שטחי ה גדה ה מערבית , ש הושמו ב עוצר","אתמול הסיר צה""ל את ה עוצר מ רוב שטחי ה גדה ה מערבית , ש הושמו לרגל יום",ב עוצר,לרגל יום,הושם,ב עוצר מונע,לרגל יום הצהרת בלפור ו בעקבות אירועים אלימים,3,8,ב,לרגל,עוצר,יום,NOUN,NOUN,prepositional,prepositional,Postverbal,Hebrew
"מקורות פלשתיניים טענו כי ב סוף ה שבוע הוכו ב מרכז שכם 01 תושבים מקומיים בידי חיילי צה""ל , סמוך ל שוק ה ירקות .",מקורות פלשתיניים טענו כי ב סוף ה שבוע הוכו ב מרכז שכם,"מקורות פלשתיניים טענו כי ב סוף ה שבוע הוכו בידי חיילי צה""ל",מקורות פלשתיניים טענו כי ב סוף ה שבוע הוכו ב מרכז,מקורות פלשתיניים טענו כי ב סוף ה שבוע הוכו בידי חיילי,ב מרכז,בידי חייל,הוכה,ב מרכז שכם,"בידי חיילי צה""ל",3,3,ב,בידי,מרכז,חייל,NOUN,NOUN,prepositional,prepositional,Postverbal,Hebrew
