Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Thomas mengatakan telah mengatur agar batu itu dikirim melalui kapal ke kediaman nya di San Jose , tetapi tak pernah muncul .",Thomas mengatakan telah mengatur agar batu itu dikirim melalui kapal,Thomas mengatakan telah mengatur agar batu itu dikirim ke kediaman nya di San Jose,Thomas mengatakan telah mengatur agar batu itu dikirim melalui kapal,Thomas mengatakan telah mengatur agar batu itu dikirim ke kediaman,lalu kapal,ke diam,kirim,melalui kapal,ke kediaman nya di San Jose,2,6,lalu,ke,kapal,diam,NOUN,NOUN,prepositional,prepositional,Postverbal,Indonesian
"Fitch dalam siaran pers nya yang diterima ANTARA di Jakarta , Kamis juga menaikkan peringkat dukungan ( Support Rating ) ke ' 4 ' dari ' 5 ' dan menegaskan kembali peringkat individu ( Individual Rating ) dari Panin di ' C/D ' .","Fitch dalam siaran pers nya yang diterima ANTARA di Jakarta , Kamis juga menaikkan peringkat dukungan ( Support Rating ) ke ' 4 '","Fitch dalam siaran pers nya yang diterima ANTARA di Jakarta , Kamis juga menaikkan peringkat dukungan ( Support Rating ) dari ' 5 '","Fitch dalam siaran pers nya yang diterima ANTARA di Jakarta , Kamis juga menaikkan peringkat dukungan ( Support Rating ) ke 4","Fitch dalam siaran pers nya yang diterima ANTARA di Jakarta , Kamis juga menaikkan peringkat dukungan ( Support Rating ) dari 5",ke 4,dari 5,naik,ke ' 4 ',dari ' 5 ',4,4,ke,dari,4,5,NUM,NUM,prepositional,prepositional,Postverbal,Indonesian
""" Scale double muncul di beberapa wide shot sebagai pengganti aktor kami , dan muncul dengan aktor dewasa lain ketika kami memerlukan orang untuk terlihat lebih kecil atau lebih tinggi , "" jelas si juru bicara .",""" Scale double muncul di beberapa wide shot",""" Scale double muncul sebagai pengganti aktor kami",""" Scale double muncul di wide",""" Scale double muncul sebagai pengganti",di wide,bagai ganti,muncul,di beberapa wide shot,sebagai pengganti aktor kami,4,4,di,bagai,wide,ganti,X,NOUN,prepositional,prepositional,Postverbal,Indonesian
"Menurut Ansari pada 2006 kontribusi industri TPT terhadap ekspor mencapai 9,4 miliar dolar AS , sedangkan pada tahun ini ditargetkan mencapai 10 miliar dolar AS .",Menurut Ansari,pada 2006,Menurut Ansari,pada 2006,turut Ansari,pada 2006,capai,Menurut Ansari,pada 2006,2,2,turut,pada,Ansari,2006,PROPN,NUM,prepositional,prepositional,Preverbal,Indonesian
"Menurut dia , dengan akuisisi Chembulk , maka perseroan akan menjadi perusahaan kapal tanker terbesar ketiga di dunia dalam hal jumlah kapal dan kapasitas muatan .",Menurut dia,dengan akuisisi Chembulk,Menurut dia,dengan akuisisi,turut dia,dengan akuisisi,jadi,Menurut dia,dengan akuisisi Chembulk,2,3,turut,dengan,dia,akuisisi,PRON,NOUN,prepositional,prepositional,Preverbal,Indonesian
"Oleh karena itu , rata-rata nilai tukar per dolar AS pada 2007 akan berada pada kisaran Rp 9.050 hingga Rp 9.125 .",Oleh karena itu,pada 2007,Oleh karena itu,pada 2007,oleh karena itu,pada 2007,ada,Oleh karena itu,pada 2007,3,2,oleh karena,pada,itu,2007,PRON,NUM,prepositional,prepositional,Preverbal,Indonesian
"Sekretaris Perusahaan Bakrie Sumatera Plantations Tbk , Fitri Barnas , dalam laporan nya kepada Ketua Bapepam - LK di Jakarta , Selasa , mengatakan transaksi tersebut tidak mengandung unsur benturan kepentingan dan bukan merupakan transaksi yang bersifat material sebagaimana diatur dalam ketentuan Bapepam .","Sekretaris Perusahaan Bakrie Sumatera Plantations Tbk , Fitri Barnas , dalam laporan nya kepada Ketua Bapepam - LK","Sekretaris Perusahaan Bakrie Sumatera Plantations Tbk , Fitri Barnas , di Jakarta","Sekretaris Perusahaan Bakrie Sumatera Plantations Tbk , Fitri Barnas , dalam laporan","Sekretaris Perusahaan Bakrie Sumatera Plantations Tbk , Fitri Barnas , di Jakarta",dalam lapor,di Jakarta,kata,dalam laporan nya kepada Ketua Bapepam - LK,di Jakarta,8,2,dalam,di,lapor,Jakarta,NOUN,PROPN,prepositional,prepositional,Preverbal,Indonesian
Kevin mengatakan perseroan akan meminjam dana dari keempat bank tersebut dengan total nilai 750 juta dolar AS .,Kevin mengatakan perseroan akan meminjam dana dari keempat bank tersebut,Kevin mengatakan perseroan akan meminjam dana dengan total nilai 750 juta dolar AS,Kevin mengatakan perseroan akan meminjam dana dari bank,Kevin mengatakan perseroan akan meminjam dana dengan total,dari bank,dengan total,pinjam,dari keempat bank tersebut,dengan total nilai 750 juta dolar AS,4,7,dari,dengan,bank,total,NOUN,NOUN,prepositional,prepositional,Postverbal,Indonesian
"Dalam Nota Keuangan kali ini , dijelaskan Kepala Negara , untuk pertama kali nya pemerintah mencantumkan berbagai risiko dan faktor yang dapat mempengaruhi pelaksanaan APBN .",Dalam Nota Keuangan kali ini,untuk pertama kali nya,Dalam Nota,untuk kali,dalam Nota,untuk kali,cantum,Dalam Nota Keuangan kali ini,untuk pertama kali nya,5,4,dalam,untuk,Nota,kali,NOUN,NOUN,prepositional,prepositional,Preverbal,Indonesian
"Pada saat yang sama , Fitch menaikkan Peringkat Nasional Jangka Panjang LPBN ke ' AA-idn ' dari ' A+idn ' .","Pada saat yang sama , Fitch menaikkan Peringkat Nasional Jangka Panjang LPBN ke ' AA-idn '","Pada saat yang sama , Fitch menaikkan Peringkat Nasional Jangka Panjang LPBN dari ' A+idn '","Pada saat yang sama , Fitch menaikkan Peringkat Nasional Jangka Panjang LPBN ke AA-idn","Pada saat yang sama , Fitch menaikkan Peringkat Nasional Jangka Panjang LPBN dari A+idn",ke AA-idn,dari A,naik,ke ' AA-idn ',dari ' A+idn ',4,4,ke,dari,AA-idn,A,PROPN,PROPN,prepositional,prepositional,Postverbal,Indonesian
"Menurut Direktur Pengembangan Medco Rashid I. Mangunkusumo , dalam laporan nya ke Bursa Efek Jakarta ( BEJ ) di Jakarta , Rabu , perseroan berencana untuk memasang konstruksi dasar laut ( caisson ) dan jalur pipa untuk mengalirkan gas dari sumur tersebut ke fasilitas terdekat di blok Brazos 451 .",Menurut Direktur Pengembangan Medco Rashid I. Mangunkusumo,dalam laporan nya ke Bursa Efek Jakarta ( BEJ ) di Jakarta,Menurut Direktur,dalam laporan,turut Direktur,dalam lapor,rencana,Menurut Direktur Pengembangan Medco Rashid I. Mangunkusumo,dalam laporan nya ke Bursa Efek Jakarta ( BEJ ) di Jakarta,7,12,turut,dalam,Direktur,lapor,PROPN,NOUN,prepositional,prepositional,Preverbal,Indonesian
"Menurut Direktur Pengembangan Medco Rashid I. Mangunkusumo , dalam laporan nya ke Bursa Efek Jakarta ( BEJ ) di Jakarta , Rabu , perseroan berencana untuk memasang konstruksi dasar laut ( caisson ) dan jalur pipa untuk mengalirkan gas dari sumur tersebut ke fasilitas terdekat di blok Brazos 451 .","Menurut Direktur Pengembangan Medco Rashid I. Mangunkusumo , dalam laporan nya ke Bursa Efek Jakarta ( BEJ ) di Jakarta , Rabu , perseroan berencana untuk memasang konstruksi dasar laut ( caisson ) dan jalur pipa untuk mengalirkan gas dari sumur tersebut","Menurut Direktur Pengembangan Medco Rashid I. Mangunkusumo , dalam laporan nya ke Bursa Efek Jakarta ( BEJ ) di Jakarta , Rabu , perseroan berencana untuk memasang konstruksi dasar laut ( caisson ) dan jalur pipa untuk mengalirkan gas ke fasilitas terdekat di blok Brazos 451","Menurut Direktur Pengembangan Medco Rashid I. Mangunkusumo , dalam laporan nya ke Bursa Efek Jakarta ( BEJ ) di Jakarta , Rabu , perseroan berencana untuk memasang konstruksi dasar laut ( caisson ) dan jalur pipa untuk mengalirkan gas dari sumur","Menurut Direktur Pengembangan Medco Rashid I. Mangunkusumo , dalam laporan nya ke Bursa Efek Jakarta ( BEJ ) di Jakarta , Rabu , perseroan berencana untuk memasang konstruksi dasar laut ( caisson ) dan jalur pipa untuk mengalirkan gas ke fasilitas",dari sumur,ke fasilitas,alir,dari sumur tersebut,ke fasilitas terdekat di blok Brazos 451,3,7,dari,ke,sumur,fasilitas,NOUN,NOUN,prepositional,prepositional,Postverbal,Indonesian
Roekman mengatakan pesawat tersebut akan disewakan dengan sistem kontrak kepada perusahaan travel pariwisata .,Roekman mengatakan pesawat tersebut akan disewakan dengan sistem kontrak,Roekman mengatakan pesawat tersebut akan disewakan kepada perusahaan travel pariwisata,Roekman mengatakan pesawat tersebut akan disewakan dengan sistem,Roekman mengatakan pesawat tersebut akan disewakan kepada perusahaan,dengan sistem,kepada usaha,sewa,dengan sistem kontrak,kepada perusahaan travel pariwisata,3,4,dengan,kepada,sistem,usaha,NOUN,NOUN,prepositional,prepositional,Postverbal,Indonesian
"PT Bank Negara Indonesia Persero Tbk. ( BBNI ) menambah penyertaan modal di PT BNI Multifinance ( BNIMF ) dengan mengkonversi pinjaman BNIMF menjadi modal sebesar 20,72 juta dolar AS atau ekuivalen dengan Rp 188,32 miliar , demikian dilaporkan Wakil Pimpinan BNI Firman Wibowo kepada Ketua Bapepam - LK di Jakarta , Kamis .","PT Bank Negara Indonesia Persero Tbk. ( BBNI ) menambah penyertaan modal di PT BNI Multifinance ( BNIMF ) dengan mengkonversi pinjaman BNIMF menjadi modal sebesar 20,72 juta dolar AS atau ekuivalen dengan Rp 188,32 miliar , demikian dilaporkan Wakil Pimpinan BNI Firman Wibowo kepada Ketua Bapepam - LK","PT Bank Negara Indonesia Persero Tbk. ( BBNI ) menambah penyertaan modal di PT BNI Multifinance ( BNIMF ) dengan mengkonversi pinjaman BNIMF menjadi modal sebesar 20,72 juta dolar AS atau ekuivalen dengan Rp 188,32 miliar , demikian dilaporkan Wakil Pimpinan BNI Firman Wibowo di Jakarta","PT Bank Negara Indonesia Persero Tbk. ( BBNI ) menambah penyertaan modal di PT BNI Multifinance ( BNIMF ) dengan mengkonversi pinjaman BNIMF menjadi modal sebesar 20,72 juta dolar AS atau ekuivalen dengan Rp 188,32 miliar , demikian dilaporkan Wakil Pimpinan BNI Firman Wibowo kepada Ketua","PT Bank Negara Indonesia Persero Tbk. ( BBNI ) menambah penyertaan modal di PT BNI Multifinance ( BNIMF ) dengan mengkonversi pinjaman BNIMF menjadi modal sebesar 20,72 juta dolar AS atau ekuivalen dengan Rp 188,32 miliar , demikian dilaporkan Wakil Pimpinan BNI Firman Wibowo di Jakarta",kepada Ketua,di Jakarta,lapor,kepada Ketua Bapepam - LK,di Jakarta,5,2,kepada,di,Ketua,Jakarta,NOUN,PROPN,prepositional,prepositional,Postverbal,Indonesian
"Ia mengatakan kepada rekan nya sesama anggota parlemen : "" Saya ingin melihat komitmen yang lebih besar untuk persoalan-persoalan ini dari lembaga-lembaga Eropa , dimulai dari dalam Parlemen Eropa sendiri . ""","Ia mengatakan kepada rekan nya sesama anggota parlemen : "" Saya ingin melihat komitmen yang lebih besar untuk persoalan-persoalan ini","Ia mengatakan kepada rekan nya sesama anggota parlemen : "" Saya ingin melihat komitmen yang lebih besar dari lembaga-lembaga Eropa","Ia mengatakan kepada rekan nya sesama anggota parlemen : "" Saya ingin melihat komitmen yang lebih besar untuk persoalan-persoalan","Ia mengatakan kepada rekan nya sesama anggota parlemen : "" Saya ingin melihat komitmen yang lebih besar dari lembaga-lembaga",untuk soal,dari lembaga,lihat,untuk persoalan-persoalan ini,dari lembaga-lembaga Eropa,3,3,untuk,dari,soal,lembaga,NOUN,NOUN,prepositional,prepositional,Postverbal,Indonesian
""" Satu pesawat baru saja diserahkan pada Mirantha Sabtu lalu ( 17-Mar ) di Bali dan satu lagi akan diserahkan pada akhir Mei , "" tambah nya .",""" Satu pesawat baru saja diserahkan pada Mirantha",""" Satu pesawat baru saja diserahkan di Bali",""" Satu pesawat baru saja diserahkan pada Mirantha",""" Satu pesawat baru saja diserahkan di Bali",pada Mirantha,di Bali,serah,pada Mirantha,di Bali,2,2,pada,di,Mirantha,Bali,PROPN,PROPN,prepositional,prepositional,Postverbal,Indonesian
"Hal ini tercermin dari ada nya anomali antara BI rate dengan suku bunga deposito yang terjadi saat ini di Indonesia , demikian kata Gubernur BI dalam Rapat Kerja dengan Komisi XI DPR di Jakarta , Kamis malam hingga Jumat dini hari .","Hal ini tercermin dari ada nya anomali antara BI rate dengan suku bunga deposito yang terjadi saat ini di Indonesia , demikian kata Gubernur BI dalam Rapat Kerja dengan Komisi XI DPR","Hal ini tercermin dari ada nya anomali antara BI rate dengan suku bunga deposito yang terjadi saat ini di Indonesia , demikian kata Gubernur BI di Jakarta","Hal ini tercermin dari ada nya anomali antara BI rate dengan suku bunga deposito yang terjadi saat ini di Indonesia , demikian kata Gubernur BI dalam Rapat","Hal ini tercermin dari ada nya anomali antara BI rate dengan suku bunga deposito yang terjadi saat ini di Indonesia , demikian kata Gubernur BI di Jakarta",dalam Rapat,di Jakarta,tercermin,dalam Rapat Kerja dengan Komisi XI DPR,di Jakarta,7,2,dalam,di,Rapat,Jakarta,NOUN,PROPN,prepositional,prepositional,Postverbal,Indonesian
""" Ya akan ada mekanisme yang coba kita selesaikan , melalui klarifikasi dari landasan hukum nya , kemudian komunikasi dengan penegak hukum , seperti Kejaksaan , Polri , menggunakan prinsip-prinsip yang ada di dalam itu , "" kata Sri Mulyani seusai bertemu dengan Presiden Susilo Bambang Yudhoyono di Kantor Presiden Jakarta , Selasa .",""" Ya akan ada mekanisme yang coba kita selesaikan , melalui klarifikasi dari landasan hukum nya , kemudian komunikasi dengan penegak hukum , seperti Kejaksaan , Polri , menggunakan prinsip-prinsip yang ada di dalam itu , "" kata Sri Mulyani seusai bertemu dengan Presiden Susilo Bambang Yudhoyono",""" Ya akan ada mekanisme yang coba kita selesaikan , melalui klarifikasi dari landasan hukum nya , kemudian komunikasi dengan penegak hukum , seperti Kejaksaan , Polri , menggunakan prinsip-prinsip yang ada di dalam itu , "" kata Sri Mulyani seusai bertemu di Kantor Presiden",""" Ya akan ada mekanisme yang coba kita selesaikan , melalui klarifikasi dari landasan hukum nya , kemudian komunikasi dengan penegak hukum , seperti Kejaksaan , Polri , menggunakan prinsip-prinsip yang ada di dalam itu , "" kata Sri Mulyani seusai bertemu dengan Presiden",""" Ya akan ada mekanisme yang coba kita selesaikan , melalui klarifikasi dari landasan hukum nya , kemudian komunikasi dengan penegak hukum , seperti Kejaksaan , Polri , menggunakan prinsip-prinsip yang ada di dalam itu , "" kata Sri Mulyani seusai bertemu di Kantor",dengan Presiden,di Kantor,temu,dengan Presiden Susilo Bambang Yudhoyono,di Kantor Presiden,5,3,dengan,di,Presiden,Kantor,PROPN,PROPN,prepositional,prepositional,Postverbal,Indonesian
