Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,0,0,0.03019285509504166,1,1.000679999241e-05,1,0.017223771640732854,1,0,capai,Preverbal
1,-1,-1,-0.17982915459262755,-1,-4.863219e-07,-1,-0.04499823886282073,-1,1,jadi,Preverbal
1,6,1,-0.3288957946636138,-1,1.542641e-05,1,-4.818951752250111e-05,-1,0,kata,Preverbal
1,1,1,0.005570741554342562,1,1.2222997e-05,1,-0.007845851522914948,-1,0,cantum,Preverbal
1,-5,-1,0.08022631967296046,1,8.524099999999999e-08,1,-0.031967957914609824,-1,0,rencana,Preverbal
1,2,1,-0.19336646777879846,-1,1.5419812e-05,1,0.0002627503749795812,1,0,sebut,Preverbal
1,-1,-1,-0.013124639701706242,-1,-1.6364400000000002e-08,-1,-0.05047630126736791,-1,1,laku,Preverbal
1,-1,-1,0.09058303336999068,1,1.1737609500000001e-06,1,-0.016157597677639912,-1,0,laksana,Preverbal
1,-3,-1,0.05060441001584526,1,8.276219999999999e-07,1,-0.004364614955310264,-1,1,diprediksi,Preverbal
1,-28,-1,0.29802301984212487,1,-4.224837e-06,-1,-0.01717399686248061,-1,0,beri,Preverbal
1,-13,-1,-0.0011357612405671624,-1,3.0232999241e-07,1,-0.0419557943374359,-1,0,asal,Preverbal
1,8,1,0.16761729605051615,1,-2.71175e-08,-1,0.004902211329411821,1,0,menbayar,Preverbal
1,-6,-1,0.11514251047500912,1,-2.9795600000000004e-06,-1,-0.0028433428975997987,-1,0,dinamai,Preverbal
1,0,0,-0.006002136888866527,-1,-7.437912750000001e-06,-1,0.01643931332702042,1,0,dipindahkan,Preverbal
1,-3,-1,0.007836521754111425,1,7.216800000000001e-07,1,-0.03018663535957178,-1,0,dipilih,Preverbal
1,1,1,0.1370110655754766,1,-1.4959999999999999e-05,-1,-0.004669482413595105,-1,0,dijumpai,Preverbal
1,-4,-1,0.08747215717525247,1,-7.438143600000001e-06,-1,-0.04337911444370224,-1,0,menbantu,Preverbal
1,3,1,0.02540488763296528,1,7.438742320000001e-06,1,-0.03301102918772614,-1,0,terpesona,Preverbal
1,-1,-1,-0.058516579089777615,-1,1.4047279e-06,1,-0.044892506499504714,-1,0,berkata,Preverbal
1,-2,-1,0.45425241296167596,1,-1.97768e-05,-1,-0.05196613964751051,-1,0,berhasil,Preverbal
0,0,0,0.46894012682396913,1,-5.0063199999999995e-06,-1,-0.013129466369603882,-1,0,dimulai,Preverbal
0,1,1,0.20883226139679806,1,-3.3199999712e-06,-1,-0.028833768303476504,-1,0,berpihak,Preverbal
0,0,0,-0.11731754573578754,-1,-7.401159000000001e-06,-1,0.03322844311247153,1,0,menhabiskan,Preverbal
0,-4,-1,-0.03259561950508666,-1,-7.439999968400001e-06,-1,0.037314482629110635,1,0,ada,Preverbal
0,0,0,0.3913459646854539,1,4.96e-06,1,-0.002318779120120573,-1,0,menalami,Preverbal
0,0,0,-0.046148544748825904,-1,7.2960900000000005e-06,1,0.001015043538178606,1,0,menciptakan,Preverbal
0,1,1,0.28258782184530007,1,-2.044632e-05,-1,0.03122919382841527,1,0,datang,Preverbal
0,1,1,0.06506348848564741,1,-6.770300000000001e-08,-1,0.0381990734478721,1,0,disingkat,Preverbal
0,-1,-1,0.0019666425424531564,1,-5.136000000000003e-07,-1,0.00802483572367274,1,0,ada,Preverbal
0,1,1,-0.01568008820138428,-1,-1.54138e-06,-1,0.02765427579478308,1,0,menberikan,Preverbal
0,0,0,-0.09108327935671962,-1,1.9139628000000002e-08,1,0.034122432355176535,1,0,berbentuk,Preverbal
0,11,1,0.01174544597287519,1,2.0133000000000007e-07,1,-0.008746051004380306,-1,0,berrubah,Preverbal
0,-17,-1,-0.04781245255830474,-1,-1.2093405e-06,-1,0.0003756581792840885,1,0,menjadi,Preverbal
0,-3,-1,0.29663164009477944,1,-1.918004e-05,-1,-0.003041360556702899,-1,0,simpangkan,Preverbal
0,0,0,0.33086242940749166,1,5.200000000000001e-06,1,-0.014886388773079129,-1,0,berdiri,Preverbal
0,1,1,-0.061333816613998005,-1,-1.82075673e-06,-1,0.0021647615483554317,1,0,mendapat,Preverbal
0,0,0,0.4785258858424339,1,4.0909500000000005e-07,1,0.0018645656763550678,1,0,disediakan,Preverbal
1,4,1,0.08922278932923866,1,2.182827e-06,1,0.0018712397493809707,1,0,kirim,Postverbal
1,0,0,-0.007981575855989478,-1,3.3131700000000003e-06,1,-0.0017507740408657657,-1,0,naik,Postverbal
1,0,0,-0.26776656366301493,-1,-5.4626e-08,-1,-0.019740951319342503,-1,0,muncul,Postverbal
1,3,1,0.24805253838282765,1,-1.2999870000000001e-06,-1,0.0018074807472373555,1,0,pinjam,Postverbal
1,4,1,0.13134658130057666,1,1.4607299999999996e-07,1,-0.0017296021325854394,-1,0,alir,Postverbal
1,1,1,-0.05071747537013255,-1,-1.9349839999999997e-06,-1,-0.005105795519224521,-1,0,sewa,Postverbal
1,-3,-1,0.28996383854449614,1,1.5394024e-05,1,-0.0008250082198842934,-1,0,lapor,Postverbal
1,0,0,-0.0023031429822987226,-1,-4.774187e-06,-1,0.0036973926376819843,1,0,lihat,Postverbal
1,-5,-1,0.2542642581214231,1,1.5217670000000001e-05,1,-0.0003266884247278279,-1,0,tercermin,Postverbal
1,-2,-1,0.12227995123669538,1,2.75023e-06,1,-0.0004106579288909451,-1,0,temu,Postverbal
