Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
As lár na tubaiste is ea stadfaidh an ghrian sula rachaidh sí a luí san áigéan thiar ó lonrú anuas ; solas ní bheidh ar fáil ach oiread na hoíche nó mar éiclips lán .,As lár na tubaiste is ea stadfaidh an ghrian sula rachaidh sí a luí san áigéan,As lár na tubaiste is ea stadfaidh an ghrian sula rachaidh sí a luí ó lonrú anuas,As lár na tubaiste is ea stadfaidh an ghrian sula rachaidh sí a luí san áigéan,As lár na tubaiste is ea stadfaidh an ghrian sula rachaidh sí a luí ó lonrú,i aigéan,ó lonrú,téigh,san áigéan,ó lonrú anuas,2,3,i,ó,aigéan,lonrú,NOUN,NOUN,prepositional,prepositional,Postverbal,Irish
Rinneadh iad i neamhchead na n-othar agus de ghnáth gan iarracht ar bith pian a cheansú agus go minic bhí bas an othair mar thoradh ar an turgnamh .,Rinneadh iad i neamhchead na n-othar,Rinneadh iad agus de ghnáth gan iarracht ar bith pian a cheansú,Rinneadh iad i neamhchead,Rinneadh iad gan iarracht,i neamhchead,gan iarracht,déan,i neamhchead na n-othar,agus de ghnáth gan iarracht ar bith pian a cheansú,4,10,i,gan,neamhchead,iarracht,NOUN,NOUN,prepositional,prepositional,Postverbal,Irish
"(2) Faoi féir fho-alt (3) den alt seo , ní bheidh aon deontas a a thabharfar faoin alt seo do dhuine - (a) i leith oibreacha den chineál a shonraítear i mír (a) , (c) nó (f) d' fho-alt (1) den alt seo níos mó - (i) i gcás ina n-athfhoirgneoidh an duine teach chun é féin á áitiú agus gurb í an talmhaíocht go haonarach nó go formhór a shlí bheatha agus nach mó ná seasca punt luacháil inrátaithe nó comhiomlán luachálacha inrátaithe na talún ( más ann ) agus na bhfoirgneamh a áitíonn sé , ná dhá thrian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , agus (ii) in aon chás eile , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (b) i leith oibreacha den chineál a shonraítear i mír (b) d' fho-alt (1) den alt seo , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (c) i leith oibreacha den chineál a shonraítear i mír (d) d' fho-alt (1) den alt seo , ná (d) i leith oibreacha den chineál a shonraítear i mír (e) d' fho-alt (1) den alt seo , ná (a) i gcás teach nach bhfuil níos mó ná trí sheomra ann , ná céad punt , (b) i gcás teach a bhfuil ceithre sheomra ann , ná céad is fiche punt , nó (c) i gcás teach a bhfuil cúig sheomra nó níos mó ann , ná céad is daichead punt .","(2) Faoi féir fho-alt (3) den alt seo , ní bheidh aon deontas a a thabharfar faoin alt seo","(2) Faoi féir fho-alt (3) den alt seo , ní bheidh aon deontas a a thabharfar do dhuine","(2) Faoi féir fho-alt (3) den alt seo , ní bheidh aon deontas a a thabharfar faoin alt","(2) Faoi féir fho-alt (3) den alt seo , ní bheidh aon deontas a a thabharfar do dhuine",faoi alt,do duine,tabhair,faoin alt seo,do dhuine,3,2,faoi,do,alt,duine,NOUN,NOUN,prepositional,prepositional,Postverbal,Irish
"(2) Faoi féir fho-alt (3) den alt seo , ní bheidh aon deontas a a thabharfar faoin alt seo do dhuine - (a) i leith oibreacha den chineál a shonraítear i mír (a) , (c) nó (f) d' fho-alt (1) den alt seo níos mó - (i) i gcás ina n-athfhoirgneoidh an duine teach chun é féin á áitiú agus gurb í an talmhaíocht go haonarach nó go formhór a shlí bheatha agus nach mó ná seasca punt luacháil inrátaithe nó comhiomlán luachálacha inrátaithe na talún ( más ann ) agus na bhfoirgneamh a áitíonn sé , ná dhá thrian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , agus (ii) in aon chás eile , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (b) i leith oibreacha den chineál a shonraítear i mír (b) d' fho-alt (1) den alt seo , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (c) i leith oibreacha den chineál a shonraítear i mír (d) d' fho-alt (1) den alt seo , ná (d) i leith oibreacha den chineál a shonraítear i mír (e) d' fho-alt (1) den alt seo , ná (a) i gcás teach nach bhfuil níos mó ná trí sheomra ann , ná céad punt , (b) i gcás teach a bhfuil ceithre sheomra ann , ná céad is fiche punt , nó (c) i gcás teach a bhfuil cúig sheomra nó níos mó ann , ná céad is daichead punt .","(2) Faoi féir fho-alt (3) den alt seo , ní bheidh aon deontas a a thabharfar faoin alt seo do dhuine - (a) i leith oibreacha den chineál a shonraítear i mír (a) , (c) nó (f) d' fho-alt (1) den alt seo níos mó - (i) i gcás ina n-athfhoirgneoidh an duine teach chun é féin á áitiú agus gurb í an talmhaíocht go haonarach nó go formhór a shlí bheatha agus nach mó ná seasca punt luacháil inrátaithe nó comhiomlán luachálacha inrátaithe na talún ( más ann ) agus na bhfoirgneamh a áitíonn sé , ná dhá thrian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , agus (ii) in aon chás eile , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (b) i leith oibreacha den chineál a shonraítear i mír (b) d' fho-alt (1) den alt seo , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (c) i leith oibreacha den chineál a shonraítear i mír (d) d' fho-alt (1) den alt seo , ná (d) i leith oibreacha den chineál a shonraítear i mír (e) d' fho-alt (1)","(2) Faoi féir fho-alt (3) den alt seo , ní bheidh aon deontas a a thabharfar faoin alt seo do dhuine - (a) i leith oibreacha den chineál a shonraítear i mír (a) , (c) nó (f) d' fho-alt (1) den alt seo níos mó - (i) i gcás ina n-athfhoirgneoidh an duine teach chun é féin á áitiú agus gurb í an talmhaíocht go haonarach nó go formhór a shlí bheatha agus nach mó ná seasca punt luacháil inrátaithe nó comhiomlán luachálacha inrátaithe na talún ( más ann ) agus na bhfoirgneamh a áitíonn sé , ná dhá thrian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , agus (ii) in aon chás eile , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (b) i leith oibreacha den chineál a shonraítear i mír (b) d' fho-alt (1) den alt seo , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (c) i leith oibreacha den chineál a shonraítear i mír (d) d' fho-alt (1) den alt seo , ná (d) i leith oibreacha den chineál a shonraítear den alt seo","(2) Faoi féir fho-alt (3) den alt seo , ní bheidh aon deontas a a thabharfar faoin alt seo do dhuine - (a) i leith oibreacha den chineál a shonraítear i mír (a) , (c) nó (f) d' fho-alt (1) den alt seo níos mó - (i) i gcás ina n-athfhoirgneoidh an duine teach chun é féin á áitiú agus gurb í an talmhaíocht go haonarach nó go formhór a shlí bheatha agus nach mó ná seasca punt luacháil inrátaithe nó comhiomlán luachálacha inrátaithe na talún ( más ann ) agus na bhfoirgneamh a áitíonn sé , ná dhá thrian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , agus (ii) in aon chás eile , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (b) i leith oibreacha den chineál a shonraítear i mír (b) d' fho-alt (1) den alt seo , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (c) i leith oibreacha den chineál a shonraítear i mír (d) d' fho-alt (1) den alt seo , ná (d) i leith oibreacha den chineál a shonraítear i mír","(2) Faoi féir fho-alt (3) den alt seo , ní bheidh aon deontas a a thabharfar faoin alt seo do dhuine - (a) i leith oibreacha den chineál a shonraítear i mír (a) , (c) nó (f) d' fho-alt (1) den alt seo níos mó - (i) i gcás ina n-athfhoirgneoidh an duine teach chun é féin á áitiú agus gurb í an talmhaíocht go haonarach nó go formhór a shlí bheatha agus nach mó ná seasca punt luacháil inrátaithe nó comhiomlán luachálacha inrátaithe na talún ( más ann ) agus na bhfoirgneamh a áitíonn sé , ná dhá thrian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , agus (ii) in aon chás eile , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (b) i leith oibreacha den chineál a shonraítear i mír (b) d' fho-alt (1) den alt seo , ná trian den mhéid a measfaidh an tAire gurb é costas na n-oibreacha é , (c) i leith oibreacha den chineál a shonraítear i mír (d) d' fho-alt (1) den alt seo , ná (d) i leith oibreacha den chineál a shonraítear den alt",i mír,de alt,sonraigh,i mír (e) d' fho-alt (1),den alt seo,6,3,i,de,mír,alt,NOUN,NOUN,prepositional,prepositional,Postverbal,Irish
Tá stádas faoi leith ag an UDA sa tSeanchill cionn is stair an eagrais agus cionn is gur ansin is mó a bunaíodh is a buanaíodh é .,Tá stádas faoi leith ag an UDA,Tá stádas faoi leith sa tSeanchill,Tá stádas faoi leith ag UDA,Tá stádas faoi leith sa tSeanchill,ag UDA,i cill,bí,ag an UDA,sa tSeanchill,3,2,ag,i,UDA,cill,PROPN,NOUN,prepositional,prepositional,Postverbal,Irish
"(4) D' fhonn amhras a sheachaint , aon achtachán a ndéantar leasú air le halt den Acht seo a scoireann de bheith i ngníomh amhail ar an agus ón lá dá dtagraítear i bhfo-alt (1) nó , de réir mar a bheidh , amhail ar agus ó dháta éagtha na tréimhse ar lena linn a choimeádfar i ngníomh é faoi fho-alt (2) ( ' an t-éag ' ) , beidh feidhm aige agus beidh éifeacht leis amhail ar an agus ón lá sin nó , de réir mar a bheidh , amhail ar an agus ón éag , mar a bhí feidhm aige agus éifeacht leis díreach roimh dháta an Achta seo a rith ach sin faoi réir aon leasuithe a dhéanfar le haon Acht eile den Oireachtas tar éis an dáta rite sin .","(4) D' fhonn amhras a sheachaint , aon achtachán a ndéantar leasú air le halt den Acht seo a scoireann de bheith i ngníomh amhail ar an agus ón lá dá dtagraítear i bhfo-alt (1) nó , de réir mar a bheidh , amhail ar agus ó dháta éagtha na tréimhse ar lena linn a choimeádfar i ngníomh","(4) D' fhonn amhras a sheachaint , aon achtachán a ndéantar leasú air le halt den Acht seo a scoireann de bheith i ngníomh amhail ar an agus ón lá dá dtagraítear i bhfo-alt (1) nó , de réir mar a bheidh , amhail ar agus ó dháta éagtha na tréimhse ar lena linn a choimeádfar faoi fho-alt (2) ( ' an t-éag ' )","(4) D' fhonn amhras a sheachaint , aon achtachán a ndéantar leasú air le halt den Acht seo a scoireann de bheith i ngníomh amhail ar an agus ón lá dá dtagraítear i bhfo-alt (1) nó , de réir mar a bheidh , amhail ar agus ó dháta éagtha na tréimhse ar lena linn a choimeádfar i ngníomh","(4) D' fhonn amhras a sheachaint , aon achtachán a ndéantar leasú air le halt den Acht seo a scoireann de bheith i ngníomh amhail ar an agus ón lá dá dtagraítear i bhfo-alt (1) nó , de réir mar a bheidh , amhail ar agus ó dháta éagtha na tréimhse ar lena linn a choimeádfar faoi fho-alt",i gníomh,faoi alt,coimeád,i ngníomh,faoi fho-alt (2) ( ' an t-éag ' ),2,9,i,faoi,gníomh,alt,NOUN,NOUN,prepositional,prepositional,Postverbal,Irish
"(4) D' fhonn amhras a sheachaint , aon achtachán a ndéantar leasú air le halt den Acht seo a scoireann de bheith i ngníomh amhail ar an agus ón lá dá dtagraítear i bhfo-alt (1) nó , de réir mar a bheidh , amhail ar agus ó dháta éagtha na tréimhse ar lena linn a choimeádfar i ngníomh é faoi fho-alt (2) ( ' an t-éag ' ) , beidh feidhm aige agus beidh éifeacht leis amhail ar an agus ón lá sin nó , de réir mar a bheidh , amhail ar an agus ón éag , mar a bhí feidhm aige agus éifeacht leis díreach roimh dháta an Achta seo a rith ach sin faoi réir aon leasuithe a dhéanfar le haon Acht eile den Oireachtas tar éis an dáta rite sin .","(4) D' fhonn amhras a sheachaint , aon achtachán a ndéantar leasú air le halt den Acht seo a scoireann de bheith i ngníomh amhail ar an agus ón lá dá dtagraítear i bhfo-alt (1) nó , de réir mar a bheidh , amhail ar agus ó dháta éagtha na tréimhse ar lena linn a choimeádfar i ngníomh é faoi fho-alt (2) ( ' an t-éag ' ) , beidh feidhm aige agus beidh éifeacht leis amhail ar an agus ón lá sin nó , de réir mar a bheidh , amhail ar an agus ón éag , mar a bhí feidhm aige agus éifeacht leis díreach roimh dháta an Achta seo a rith ach sin faoi réir aon leasuithe a dhéanfar le haon Acht eile den Oireachtas","(4) D' fhonn amhras a sheachaint , aon achtachán a ndéantar leasú air le halt den Acht seo a scoireann de bheith i ngníomh amhail ar an agus ón lá dá dtagraítear i bhfo-alt (1) nó , de réir mar a bheidh , amhail ar agus ó dháta éagtha na tréimhse ar lena linn a choimeádfar i ngníomh é faoi fho-alt (2) ( ' an t-éag ' ) , beidh feidhm aige agus beidh éifeacht leis amhail ar an agus ón lá sin nó , de réir mar a bheidh , amhail ar an agus ón éag , mar a bhí feidhm aige agus éifeacht leis díreach roimh dháta an Achta seo a rith ach sin faoi réir aon leasuithe a dhéanfar tar éis an dáta rite sin","(4) D' fhonn amhras a sheachaint , aon achtachán a ndéantar leasú air le halt den Acht seo a scoireann de bheith i ngníomh amhail ar an agus ón lá dá dtagraítear i bhfo-alt (1) nó , de réir mar a bheidh , amhail ar agus ó dháta éagtha na tréimhse ar lena linn a choimeádfar i ngníomh é faoi fho-alt (2) ( ' an t-éag ' ) , beidh feidhm aige agus beidh éifeacht leis amhail ar an agus ón lá sin nó , de réir mar a bheidh , amhail ar an agus ón éag , mar a bhí feidhm aige agus éifeacht leis díreach roimh dháta an Achta seo a rith ach sin faoi réir aon leasuithe a dhéanfar le Acht","(4) D' fhonn amhras a sheachaint , aon achtachán a ndéantar leasú air le halt den Acht seo a scoireann de bheith i ngníomh amhail ar an agus ón lá dá dtagraítear i bhfo-alt (1) nó , de réir mar a bheidh , amhail ar agus ó dháta éagtha na tréimhse ar lena linn a choimeádfar i ngníomh é faoi fho-alt (2) ( ' an t-éag ' ) , beidh feidhm aige agus beidh éifeacht leis amhail ar an agus ón lá sin nó , de réir mar a bheidh , amhail ar an agus ón éag , mar a bhí feidhm aige agus éifeacht leis díreach roimh dháta an Achta seo a rith ach sin faoi réir aon leasuithe a dhéanfar tar dáta",le acht,tar dáta,déan,le haon Acht eile den Oireachtas,tar éis an dáta rite sin,6,6,le,tar,acht,dáta,NOUN,NOUN,prepositional,prepositional,Postverbal,Irish
Ach hóbair do dhoras an leithris nár bhain sé dá lúdracha é leis an gcraitheadh a bhain sé as agus é ag gabháil á bhearradh féin .,Ach hóbair do dhoras an leithris nár bhain sé dá lúdracha,Ach hóbair do dhoras an leithris nár bhain sé leis an gcraitheadh a bhain sé as,Ach hóbair do dhoras an leithris nár bhain sé dá lúdracha,Ach hóbair do dhoras an leithris nár bhain sé leis gcraitheadh,do lúdrach,le craitheadh,bain,dá lúdracha,leis an gcraitheadh a bhain sé as,2,7,do,le,lúdrach,craitheadh,NOUN,NOUN,prepositional,prepositional,Postverbal,Irish
"Má tá boird stáit agus comhlachtai stáir in Éirinn ag dul ag fógairt mar ' phacáiste ' ar leith d' Éirinn , má tá RTÉ ag dul i gcomhar le Sky maidir le dáileadh na mbealach teilifís Éireannach ar bhosca digiteach Sky ar fud na tíre ( cinneadh atá tar éis an-gheit a bhaint as oifig an Aire de Valera , deirtear linn ) níor cheart cur suas leis an neamhaird ar leith a dhéananna meáin na Sasasanach ar Éirinn de ghnáth .","Má tá boird stáit agus comhlachtai stáir in Éirinn ag dul ag fógairt mar ' phacáiste ' ar leith d' Éirinn , má tá RTÉ ag dul i gcomhar le Sky maidir le dáileadh na mbealach teilifís Éireannach ar bhosca digiteach Sky ar fud na tíre ( cinneadh atá tar éis an-gheit a bhaint as oifig an Aire de Valera , deirtear linn ) níor cheart cur suas leis an neamhaird ar leith a dhéananna meáin na Sasasanach ar Éirinn","Má tá boird stáit agus comhlachtai stáir in Éirinn ag dul ag fógairt mar ' phacáiste ' ar leith d' Éirinn , má tá RTÉ ag dul i gcomhar le Sky maidir le dáileadh na mbealach teilifís Éireannach ar bhosca digiteach Sky ar fud na tíre ( cinneadh atá tar éis an-gheit a bhaint as oifig an Aire de Valera , deirtear linn ) níor cheart cur suas leis an neamhaird ar leith a dhéananna meáin na Sasasanach de ghnáth","Má tá boird stáit agus comhlachtai stáir in Éirinn ag dul ag fógairt mar ' phacáiste ' ar leith d' Éirinn , má tá RTÉ ag dul i gcomhar le Sky maidir le dáileadh na mbealach teilifís Éireannach ar bhosca digiteach Sky ar fud na tíre ( cinneadh atá tar éis an-gheit a bhaint as oifig an Aire de Valera , deirtear linn ) níor cheart cur suas leis an neamhaird ar leith a dhéananna meáin na Sasasanach ar Éirinn","Má tá boird stáit agus comhlachtai stáir in Éirinn ag dul ag fógairt mar ' phacáiste ' ar leith d' Éirinn , má tá RTÉ ag dul i gcomhar le Sky maidir le dáileadh na mbealach teilifís Éireannach ar bhosca digiteach Sky ar fud na tíre ( cinneadh atá tar éis an-gheit a bhaint as oifig an Aire de Valera , deirtear linn ) níor cheart cur suas leis an neamhaird ar leith a dhéananna meáin na Sasasanach de ghnáth",ar Éire,de gnáth,déan,ar Éirinn,de ghnáth,2,2,ar,de,Éire,gnáth,PROPN,NOUN,prepositional,prepositional,Postverbal,Irish
Chuiridís oilithrigh amach go dtí Compostela mar ionadaithe thar cionn a muintire go léir agus bhailítí airgead chuige sin sa Chladach .,Chuiridís oilithrigh amach go dtí Compostela,Chuiridís oilithrigh amach mar ionadaithe thar cionn a muintire go léir,Chuiridís oilithrigh amach go Compostela,Chuiridís oilithrigh amach mar ionadaithe,go compostel,mar ionadaí,cuir,go dtí Compostela,mar ionadaithe thar cionn a muintire go léir,3,8,go,mar,compostel,ionadaí,NOUN,NOUN,prepositional,prepositional,Postverbal,Irish
