Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"3 年次 に は トータル オフェンス で 2 , 892 ヤード を 獲得 し 、 これ は 大学 記録 と なっ た 。",3 年次 に は,トータル オフェンス で,年次 に は,オフェンス で,年次 に は,オフェンス で,獲得,3 年次 に は,トータル オフェンス で,4,3,に は,で,年次,オフェンス,NOUN,NOUN,postpositional,postpositional,Preverbal,Japanese
そして 、 第 40 話 で その カオル と 百子 を も 失い 、 完全 に 孤児 に なっ て ゲン と とも に 美山 家 に 身 を 寄せ 、 また ゲン に 連れ添っ て 円盤 生物 を 調査 する パートナー と なる 。,そして 、 第 40 話 で その カオル と 百子 を も 失い 、 完全 に 孤児 に なっ て ゲン と とも に,そして 、 第 40 話 で その カオル と 百子 を も 失い 、 完全 に 孤児 に なっ て 美山 家 に,そして 、 第 40 話 で その カオル と 百子 を も 失い 、 完全 に 孤児 に なっ て とも に,そして 、 第 40 話 で その カオル と 百子 を も 失い 、 完全 に 孤児 に なっ て 家 に,とも に,家 に,寄せる,ゲン と とも に,美山 家 に,4,3,に,に,とも,家,NOUN,NOUN,postpositional,postpositional,Preverbal,Japanese
そして 、 第 40 話 で その カオル と 百子 を も 失い 、 完全 に 孤児 に なっ て ゲン と とも に 美山 家 に 身 を 寄せ 、 また ゲン に 連れ添っ て 円盤 生物 を 調査 する パートナー と なる 。,そして 、 第 40 話 で,そして 、 ゲン に 連れ添っ て 円盤 生物 を 調査 する パートナー と,そして 、 話 で,そして 、 パートナー と,話 で,パートナー と,なる,第 40 話 で,ゲン に 連れ添っ て 円盤 生物 を 調査 する パートナー と,4,11,で,と,話,パートナー,NOUN,NOUN,postpositional,postpositional,Preverbal,Japanese
配属 さ れ て 最初 の 1 カ月 こそ 「 親切 な 先輩 に 恵まれ て ラッキー だ な 」 と 思っ た もの の 、 その 後 すぐ に 「 ちょっと お せっかい か な 」 と 感じる よう に なり 、 半年 後 に は 「 少し 邪魔 か も 」 と 思い 、 1 年 後 に は 「 生産 性 の 阻害 要因 だ 」 と 確信 する に 至り まし た 。,配属 さ れ て 最初 の 1 カ月 こそ 「 親切 な 先輩 に 恵まれ て ラッキー だ な 」 と 思っ た もの の 、 その 後 すぐ に,配属 さ れ て 最初 の 1 カ月 こそ 「 親切 な 先輩 に 恵まれ て ラッキー だ な 」 と 思っ た もの の 、 その 後 「 ちょっと お せっかい か な 」 と,配属 さ れ て 最初 の 1 カ月 こそ 「 親切 な 先輩 に 恵まれ て ラッキー だ な 」 と 思っ た もの の 、 その 後 すぐ に,配属 さ れ て 最初 の 1 カ月 こそ 「 親切 な 先輩 に 恵まれ て ラッキー だ な 」 と 思っ た もの の 、 その 後 せっかい と,すぐ に,せっかい と,感じる,すぐ に,「 ちょっと お せっかい か な 」 と,2,8,に,と,すぐ,せっかい,ADV,NOUN,postpositional,postpositional,Preverbal,Japanese
高松 に 3 店舗 を 展開 する 四国 スイーツ の 専門 店 、 ラ ・ ファミーユ で は 、 バレンタイン を 前 に 、 焼か ない チョコレート ケーキ 「 半熟 ザッハトルテ 」 の 発売 を 開始 し まし た 。,高松 に 3 店舗 を 展開 する 四国 スイーツ の 専門 店 、 ラ ・ ファミーユ で は 、,バレンタイン を 前 に 、,ファミーユ で は,前 に,ファミーユ で は,前 に,開始,高松 に 3 店舗 を 展開 する 四国 スイーツ の 専門 店 、 ラ ・ ファミーユ で は 、,バレンタイン を 前 に 、,19,5,で は,に,ファミーユ,前,NOUN,NOUN,postpositional,postpositional,Preverbal,Japanese
チーム 名 は アマチュア 時代 の 「 ロッテ ・ ジャイアンツ 」 の 名 を その まま 維持 し て 、 重光 オーナー の 故郷 で ある 釜山 ・ 慶尚 南道 地域 を フランチャイズ 保護 地域 と し て 、 釜山 を 本拠 地 と する プロ 球団 と し て 転向 し た 。,チーム 名 は アマチュア 時代 の 「 ロッテ ・ ジャイアンツ 」 の 名 を その まま 維持 し て 、 重光 オーナー の 故郷 で ある 釜山 ・ 慶尚 南道 地域 を フランチャイズ 保護 地域 と し て 、,チーム 名 は アマチュア 時代 の 「 ロッテ ・ ジャイアンツ 」 の 名 を その まま 維持 し て 、 本拠 地 と,チーム 名 は アマチュア 時代 の 「 ロッテ ・ ジャイアンツ 」 の 名 を その まま 維持 し て 、 地域 と,チーム 名 は アマチュア 時代 の 「 ロッテ ・ ジャイアンツ 」 の 名 を その まま 維持 し て 、 地 と,地域 と,地 と,する,重光 オーナー の 故郷 で ある 釜山 ・ 慶尚 南道 地域 を フランチャイズ 保護 地域 と し て 、,本拠 地 と,19,3,と,と,地域,地,NOUN,NOUN,postpositional,postpositional,Preverbal,Japanese
山陽 新 幹線 厚狭 駅 - 新 下関 駅 - 小倉 駅 山陽 本線 長府 駅 - 新 下関 駅 - 幡生 駅 * 当駅 を 始発 と する 「 みすゞ 潮彩 」 は 、 当駅 - 下関 駅 間 で は 幡生 駅 に 停車 し ない 。,山陽 新 幹線 厚狭 駅 - 新 下関 駅 - 小倉 駅 山陽 本線 長府 駅 - 新 下関 駅 - 幡生 駅 * 当駅 を 始発 と する 「 みすゞ 潮彩 」 は 、 当駅 - 下関 駅 間 で は,山陽 新 幹線 厚狭 駅 - 新 下関 駅 - 小倉 駅 山陽 本線 長府 駅 - 新 下関 駅 - 幡生 駅 * 当駅 を 始発 と する 「 みすゞ 潮彩 」 は 、 幡生 駅 に,山陽 新 幹線 厚狭 駅 - 新 下関 駅 - 小倉 駅 山陽 本線 長府 駅 - 新 下関 駅 - 幡生 駅 * 当駅 を 始発 と する 「 みすゞ 潮彩 」 は 、 間 で は,山陽 新 幹線 厚狭 駅 - 新 下関 駅 - 小倉 駅 山陽 本線 長府 駅 - 新 下関 駅 - 幡生 駅 * 当駅 を 始発 と する 「 みすゞ 潮彩 」 は 、 駅 に,間 で は,駅 に,停車,当駅 - 下関 駅 間 で は,幡生 駅 に,7,3,で は,に,間,駅,NOUN,NOUN,postpositional,postpositional,Preverbal,Japanese
徒歩 15 分 で 港 まで いける の で アクセス に 便利 でし た 。,徒歩 15 分 で,港 まで,分 で,港 まで,分 で,港 まで,いける,徒歩 15 分 で,港 まで,4,2,で,まで,分,港,NOUN,NOUN,postpositional,postpositional,Preverbal,Japanese
これ に 対し て 、 民間 の 金融 機関 から は 、 金融 サービス の 拡充 は 本来 の 郵便 貯金 業務 の 枠 を 超え た もの で ある こと 、 ドイツ テレコム から の 赤字 補てん は 、 民間 と の 公正 な 競争 を 阻害 し て いる こと など が 批判 さ れ た 。,これ に 対し て 、,民間 の 金融 機関 から は 、,これ に,機関 から は,これ に,機関 から は,批判,これ に 対し て 、,民間 の 金融 機関 から は 、,5,7,に,から は,これ,機関,PRON,NOUN,postpositional,postpositional,Preverbal,Japanese
6 月 19 日 に 保釈 金 を 支払い 釈放 、 7 月 15 日 から イングランド 艦隊 の 義勇 兵 と なり 、 8 月 1日 に ノルウェー の ベルゲン 港 で オランダ 共和 国 と の 交戦 を 経験 し た 。,6 月 19 日 に 保釈 金 を 支払い 釈放 、 7 月 15 日 から,6 月 19 日 に 保釈 金 を 支払い 釈放 、 イングランド 艦隊 の 義勇 兵 と,6 月 19 日 に 保釈 金 を 支払い 釈放 、 日 から,6 月 19 日 に 保釈 金 を 支払い 釈放 、 兵 と,日 から,兵 と,なる,7 月 15 日 から,イングランド 艦隊 の 義勇 兵 と,5,6,から,と,日,兵,NOUN,NOUN,postpositional,postpositional,Preverbal,Japanese
