Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Kamskjell , piggvar og lammefilet sto på menyen under den kongelige gallamiddagen .","Kamskjell , piggvar og lammefilet sto på menyen","Kamskjell , piggvar og lammefilet sto under den kongelige gallamiddagen","Kamskjell , piggvar og lammefilet sto på menyen","Kamskjell , piggvar og lammefilet sto under gallamiddagen",på meny,under gallamiddag,stå,på menyen,under den kongelige gallamiddagen,2,4,på,under,meny,gallamiddag,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianBokmaal
Både Bondevik og Hagen fastslo nok en gang at en trepartiregjering fra tid til annen vil finne det naturlig å søke støtte for sine forslag i Ap. eller endog SV .,Både Bondevik og Hagen fastslo nok en gang at en trepartiregjering fra tid til annen vil finne det naturlig å søke støtte for sine forslag,Både Bondevik og Hagen fastslo nok en gang at en trepartiregjering fra tid til annen vil finne det naturlig å søke støtte i Ap. eller endog SV,Både Bondevik og Hagen fastslo nok en gang at en trepartiregjering fra tid til annen vil finne det naturlig å søke støtte for forslag,Både Bondevik og Hagen fastslo nok en gang at en trepartiregjering fra tid til annen vil finne det naturlig å søke støtte i Ap.,for forslag,i Ap.,søke,for sine forslag,i Ap. eller endog SV,3,5,for,i,forslag,Ap.,NOUN,PROPN,prepositional,prepositional,Postverbal,NorwegianBokmaal
"De tre partiene kan nok satse på Arbeiderpartiet eller SV i noen enkeltsaker som kan være viktige for profileringen av regjeringen , men de må være forberedt på å samarbeide med Fr.p. om statsbudsjettet ikke bare for neste år , men også i resten av fireårsperioden .",De tre partiene kan nok satse på Arbeiderpartiet eller SV,De tre partiene kan nok satse i noen enkeltsaker som kan være viktige for profileringen av regjeringen,De tre partiene kan nok satse på Arbeiderpartiet,De tre partiene kan nok satse i enkeltsaker,på Arbeiderpartiet,i enkeltsak,satse,på Arbeiderpartiet eller SV,i noen enkeltsaker som kan være viktige for profileringen av regjeringen,4,11,på,i,Arbeiderpartiet,enkeltsak,PROPN,NOUN,prepositional,prepositional,Postverbal,NorwegianBokmaal
"De tre partiene kan nok satse på Arbeiderpartiet eller SV i noen enkeltsaker som kan være viktige for profileringen av regjeringen , men de må være forberedt på å samarbeide med Fr.p. om statsbudsjettet ikke bare for neste år , men også i resten av fireårsperioden .","De tre partiene kan nok satse på Arbeiderpartiet eller SV i noen enkeltsaker som kan være viktige for profileringen av regjeringen , men de må være forberedt på å samarbeide med Fr.p.","De tre partiene kan nok satse på Arbeiderpartiet eller SV i noen enkeltsaker som kan være viktige for profileringen av regjeringen , men de må være forberedt på å samarbeide om statsbudsjettet ikke bare for neste år , men også i resten av fireårsperioden","De tre partiene kan nok satse på Arbeiderpartiet eller SV i noen enkeltsaker som kan være viktige for profileringen av regjeringen , men de må være forberedt på å samarbeide med Fr.p.","De tre partiene kan nok satse på Arbeiderpartiet eller SV i noen enkeltsaker som kan være viktige for profileringen av regjeringen , men de må være forberedt på å samarbeide om statsbudsjettet",med Frp.,om statsbudsjett,samarbeide,med Fr.p.,"om statsbudsjettet ikke bare for neste år , men også i resten av fireårsperioden",2,14,med,om,Frp.,statsbudsjett,PROPN,NOUN,prepositional,prepositional,Postverbal,NorwegianBokmaal
"Omar befinner seg ifølge det afghanske nyhetsbyrået AIP fremdeles i Kandahar , sør i Afghanistan , der Taliban-ledelsen har sitt hovedkvarter .",Omar befinner seg ifølge det afghanske nyhetsbyrået AIP,"Omar befinner seg i Kandahar , sør i Afghanistan , der Taliban-ledelsen har sitt hovedkvarter",Omar befinner seg ifølge AIP,Omar befinner seg i Kandahar,ifølge AIP,i Kandahar,befinne,ifølge det afghanske nyhetsbyrået AIP,"i Kandahar , sør i Afghanistan , der Taliban-ledelsen har sitt hovedkvarter",5,12,ifølge,i,AIP,Kandahar,PROPN,PROPN,prepositional,prepositional,Postverbal,NorwegianBokmaal
"I Kofi Annan , som ble valgt til generalsekretær for snart fem år siden , har FN fått en uvanlig engasjert leder som har satt sterkt preg på verdensorganisasjonen og dens fokus .","I Kofi Annan , som ble valgt til generalsekretær","I Kofi Annan , som ble valgt for snart fem år siden","I Kofi Annan , som ble valgt til generalsekretær","I Kofi Annan , som ble valgt for år",til generalsekretær,for år,velge,til generalsekretær,for snart fem år siden,2,5,til,for,generalsekretær,år,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianBokmaal
"UNICEF arbeider i 162 land , og prioriterte oppgaver er små barns helse og utvikling , skolegang - særlig for jenter , HIV / AIDS og tiltak for å beskytte barn mot utnyttelse seksuelt , i arbeid og som soldater .","UNICEF arbeider i 162 land , og prioriterte oppgaver er små barns helse og utvikling , skolegang - særlig for jenter , HIV / AIDS og tiltak for å beskytte barn mot utnyttelse seksuelt","UNICEF arbeider i 162 land , og prioriterte oppgaver er små barns helse og utvikling , skolegang - særlig for jenter , HIV / AIDS og tiltak for å beskytte barn , i arbeid og som soldater","UNICEF arbeider i 162 land , og prioriterte oppgaver er små barns helse og utvikling , skolegang - særlig for jenter , HIV / AIDS og tiltak for å beskytte barn mot utnyttelse","UNICEF arbeider i 162 land , og prioriterte oppgaver er små barns helse og utvikling , skolegang - særlig for jenter , HIV / AIDS og tiltak for å beskytte barn i arbeid",mot utnyttelse,i arbeid,beskytte,mot utnyttelse seksuelt,", i arbeid og som soldater",3,6,mot,i,utnyttelse,arbeid,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianBokmaal
"Den største flyktningestrømmen kommer i dag fra Afghanistan , men også fra Sudan , Angola , Kongo og Eritrea i Afrika kommer flere millioner flyktninger .",Den største flyktningestrømmen kommer i dag,Den største flyktningestrømmen kommer fra Afghanistan,Den største flyktningestrømmen kommer i dag,Den største flyktningestrømmen kommer fra Afghanistan,i dag,fra Afghanistan,komme,i dag,fra Afghanistan,2,2,i,fra,dag,Afghanistan,NOUN,PROPN,prepositional,prepositional,Postverbal,NorwegianBokmaal
"Verdens matvareprogram , WFP , sørger for matleveranser i akutte situasjoner , som etter jordskjelv , men også mer "" ventede "" kriser som matmangel på grunn av tørke .","Verdens matvareprogram , WFP , sørger for matleveranser","Verdens matvareprogram , WFP , sørger i akutte situasjoner , som etter jordskjelv , men også mer "" ventede "" kriser som matmangel på grunn av tørke","Verdens matvareprogram , WFP , sørger for matleveranser","Verdens matvareprogram , WFP , sørger i situasjoner",for matleveranse,i situasjon,sørge,for matleveranser,"i akutte situasjoner , som etter jordskjelv , men også mer "" ventede "" kriser som matmangel på grunn av tørke",2,21,for,i,matleveranse,situasjon,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianBokmaal
"José Ramos-Horta fra Øst-Timor , fredsprisvinner i 1996 , understreket også hvilket viktig redskap FN er for freden , - men freden bygges også dag for dag av menneskene , over hele verden .","José Ramos-Horta fra Øst-Timor , fredsprisvinner i 1996 , understreket også hvilket viktig redskap FN er for freden , - men freden bygges også dag for dag av menneskene","José Ramos-Horta fra Øst-Timor , fredsprisvinner i 1996 , understreket også hvilket viktig redskap FN er for freden , - men freden bygges også dag for dag , over hele verden","José Ramos-Horta fra Øst-Timor , fredsprisvinner i 1996 , understreket også hvilket viktig redskap FN er for freden , - men freden bygges også dag for dag av menneskene","José Ramos-Horta fra Øst-Timor , fredsprisvinner i 1996 , understreket også hvilket viktig redskap FN er for freden , - men freden bygges også dag for dag over verden",av menneske,over verden,bygge,av menneskene,", over hele verden",2,4,av,over,menneske,verden,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianBokmaal
