Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Kan vi lære av dette , i vår tid ?",Kan vi lære av dette,"Kan vi lære , i vår tid",Kan vi lære av dette,Kan vi lære i tid,av dette,i tid,lære,av dette,", i vår tid",2,4,av,i,dette,tid,PRON,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Det eg særleg tenkte på i går , medan eg sat og tygde på teksten under talen , var korleis Paulus , hm , også her ser ut til å vere aktivt kontekstuell .","Det eg særleg tenkte på i går , medan eg sat og tygde på teksten","Det eg særleg tenkte på i går , medan eg sat og tygde under talen","Det eg særleg tenkte på i går , medan eg sat og tygde på teksten","Det eg særleg tenkte på i går , medan eg sat og tygde under talen",på tekst,under tale,tygge,på teksten,under talen,2,2,på,under,tekst,tale,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Klarast er det naturlegvis i Apg 17 , der han tek i bruk heidensk dikting og filosofi i sjølve evangelieforkynninga ( ! )","Klarast er det naturlegvis i Apg 17 , der han tek i bruk","Klarast er det naturlegvis i Apg 17 , der han tek i sjølve evangelieforkynninga","Klarast er det naturlegvis i Apg 17 , der han tek i bruk","Klarast er det naturlegvis i Apg 17 , der han tek i evangelieforkynninga",i bruk,i evangelieforkynning,ta,i bruk,i sjølve evangelieforkynninga,2,3,i,i,bruk,evangelieforkynning,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
"For Paulus glir desse til dels over i kvarandre , og slik var det for dei fleste i oldkyrkja ( ! ) , sjølv om det her finst mange ulike variasjonar mellom - sei - ein Tertullian og ein Klemens av Alexandria .",For Paulus glir desse til dels,For Paulus glir desse over i kvarandre,For Paulus glir desse til dels,For Paulus glir desse over i kvarandre,til del,over i kvarandre,gli,til dels,over i kvarandre,2,3,til,over i,del,kvarandre,NOUN,PRON,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Den prinsipielle bakgrunnen for ein slik prosedyre som Paulus tek i bruk når han møter kulturen aktiv og kontekstuelt , finn vi til dømes i 2 Kor 10 :","Den prinsipielle bakgrunnen for ein slik prosedyre som Paulus tek i bruk når han møter kulturen aktiv og kontekstuelt , finn vi til dømes","Den prinsipielle bakgrunnen for ein slik prosedyre som Paulus tek i bruk når han møter kulturen aktiv og kontekstuelt , finn vi i 2 Kor 10","Den prinsipielle bakgrunnen for ein slik prosedyre som Paulus tek i bruk når han møter kulturen aktiv og kontekstuelt , finn vi til dømes","Den prinsipielle bakgrunnen for ein slik prosedyre som Paulus tek i bruk når han møter kulturen aktiv og kontekstuelt , finn vi i 2",til døme,i 2,finne,til dømes,i 2 Kor 10,2,4,til,i,døme,2,NOUN,NUM,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Sidan eg har hatt litt dårleg tid , har det vorte til at eg flikka litt på ein bibeltime eg heldt på CU for nokre månader sidan , over Fil 2 .","Sidan eg har hatt litt dårleg tid , har det vorte til at eg flikka litt på ein bibeltime eg heldt på CU","Sidan eg har hatt litt dårleg tid , har det vorte til at eg flikka litt på ein bibeltime eg heldt for nokre månader sidan","Sidan eg har hatt litt dårleg tid , har det vorte til at eg flikka litt på ein bibeltime eg heldt på CU","Sidan eg har hatt litt dårleg tid , har det vorte til at eg flikka litt på ein bibeltime eg heldt for månader",på CU,for månad,halde,på CU,for nokre månader sidan,2,4,på,for,CU,månad,PROPN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Men den siste domen skal likevel vere etter gjerningar , i fylgje både Jesus , Paulus , Johannes etc",Men den siste domen skal likevel vere etter gjerningar,"Men den siste domen skal likevel vere , i fylgje både Jesus , Paulus , Johannes etc",Men den siste domen skal likevel vere etter gjerningar,Men den siste domen skal likevel vere i fylgje,etter gjerning,i fylgje,vere,etter gjerningar,", i fylgje både Jesus , Paulus , Johannes etc",2,10,etter,i,gjerning,fylgje,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
I så fall må ein også til dels ta oppgjer med delar av tradisjonen .,I så fall,til dels,I fall,til dels,i fall,til del,ta,I så fall,til dels,3,2,i,til,fall,del,NOUN,NOUN,prepositional,prepositional,Preverbal,NorwegianNynorsk
"Det er spennande og skjerpande og stundom litt "" deprimerande "" å debattere på VD , til dømes .","Det er spennande og skjerpande og stundom litt "" deprimerande "" å debattere på VD","Det er spennande og skjerpande og stundom litt "" deprimerande "" å debattere , til dømes","Det er spennande og skjerpande og stundom litt "" deprimerande "" å debattere på VD","Det er spennande og skjerpande og stundom litt "" deprimerande "" å debattere til dømes",på VD,til døme,debattere,på VD,", til dømes",2,3,på,til,VD,døme,PROPN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
Det handlar om inkje mindre enn å samtenke moderne vitskap med klassisk metafysikk på ein frisk måte .,Det handlar om inkje mindre enn å samtenke moderne vitskap med klassisk metafysikk,Det handlar om inkje mindre enn å samtenke moderne vitskap på ein frisk måte,Det handlar om inkje mindre enn å samtenke moderne vitskap med metafysikk,Det handlar om inkje mindre enn å samtenke moderne vitskap på måte,med metafysikk,på måte,samtenke,med klassisk metafysikk,på ein frisk måte,3,4,med,på,metafysikk,måte,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Men ... hm ... for at ein skal kunne setje seg inn i eitt felt , og vie seg til det , så krev det også på sett og vis at ein kan "" slappe av "" og finne sitt rom i ein større organisasjon / tradisjon / fellesskap / kyrkje som ein kan stole på at "" takes care of the business "" på andre område .","Men ... hm ... for at ein skal kunne setje seg inn i eitt felt , og vie seg til det , så krev det også på sett og vis at ein kan "" slappe av "" og finne sitt rom i ein større organisasjon / tradisjon / fellesskap / kyrkje som ein kan stole på at "" takes care of the business","Men ... hm ... for at ein skal kunne setje seg inn i eitt felt , og vie seg til det , så krev det også på sett og vis at ein kan "" slappe av "" og finne sitt rom i ein større organisasjon / tradisjon / fellesskap / kyrkje som ein kan stole på at "" takes care på andre område","Men ... hm ... for at ein skal kunne setje seg inn i eitt felt , og vie seg til det , så krev det også på sett og vis at ein kan "" slappe av "" og finne sitt rom i ein større organisasjon / tradisjon / fellesskap / kyrkje som ein kan stole på at "" takes care of business","Men ... hm ... for at ein skal kunne setje seg inn i eitt felt , og vie seg til det , så krev det også på sett og vis at ein kan "" slappe av "" og finne sitt rom i ein større organisasjon / tradisjon / fellesskap / kyrkje som ein kan stole på at "" takes care på område",of business,på område,take,of the business,på andre område,3,3,of,på,business,område,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Men det vil krevje at ein set av tid , krefter , pengar etc. til Guds rike .","Men det vil krevje at ein set av tid , krefter , pengar etc.",Men det vil krevje at ein set til Guds rike,Men det vil krevje at ein set av tid,Men det vil krevje at ein set til rike,av tid,til rike,setje,"av tid , krefter , pengar etc.",til Guds rike,7,3,av,til,tid,rike,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Eg heldt eit kåseri på laurdag på ein strålande fin fest der ekte , sunnmørsk raspeball vart servert .",Eg heldt eit kåseri på laurdag,"Eg heldt eit kåseri på ein strålande fin fest der ekte , sunnmørsk raspeball vart servert",Eg heldt eit kåseri på laurdag,Eg heldt eit kåseri på fest,på laurdag,på fest,halde,på laurdag,"på ein strålande fin fest der ekte , sunnmørsk raspeball vart servert",2,12,på,på,laurdag,fest,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
Då visste eg at det vart havregrynssuppe på meg til middag .,Då visste eg at det vart havregrynssuppe på meg,Då visste eg at det vart havregrynssuppe til middag,Då visste eg at det vart havregrynssuppe på meg,Då visste eg at det vart havregrynssuppe til middag,på eg,til middag,verte,på meg,til middag,2,2,på,til,eg,middag,PRON,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Tilbehøret og serveringsmåten varierer , men vi elskar alle mest den ballen vi vaks opp med , som vi lengta etter då vi sprang oppetter trappa med sekken på ryggen , når vi kjende lukta av ball .","Tilbehøret og serveringsmåten varierer , men vi elskar alle mest den ballen vi vaks opp med , som vi lengta etter då vi sprang oppetter trappa","Tilbehøret og serveringsmåten varierer , men vi elskar alle mest den ballen vi vaks opp med , som vi lengta etter då vi sprang med sekken på ryggen","Tilbehøret og serveringsmåten varierer , men vi elskar alle mest den ballen vi vaks opp med , som vi lengta etter då vi sprang oppetter trappa","Tilbehøret og serveringsmåten varierer , men vi elskar alle mest den ballen vi vaks opp med , som vi lengta etter då vi sprang med sekken",oppetter trapp,med sekk,springe,oppetter trappa,med sekken på ryggen,2,4,oppetter,med,trapp,sekk,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
Plutseleg kom det ein motorsyklist i det vi opplevde som vill fart rett mot oss !,Plutseleg kom det ein motorsyklist i det vi opplevde som vill fart,Plutseleg kom det ein motorsyklist rett mot oss,Plutseleg kom det ein motorsyklist i det,Plutseleg kom det ein motorsyklist mot oss,i det,mot vi,kome,i det vi opplevde som vill fart,rett mot oss,7,3,i,mot,det,vi,PRON,PRON,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Det var det einaste syltetøyet som vart kjøpt heime hos oss , så difor bar appelsinmarmeladen med seg ein smak av den store verda for meg .","Det var det einaste syltetøyet som vart kjøpt heime hos oss , så difor bar appelsinmarmeladen med seg","Det var det einaste syltetøyet som vart kjøpt heime hos oss , så difor bar appelsinmarmeladen for meg","Det var det einaste syltetøyet som vart kjøpt heime hos oss , så difor bar appelsinmarmeladen med seg","Det var det einaste syltetøyet som vart kjøpt heime hos oss , så difor bar appelsinmarmeladen for meg",med seg,for eg,bere,med seg,for meg,2,2,med,for,seg,eg,PRON,PRON,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Fisk ut posen med steinane , og legg den til side på eit fat .","Fisk ut posen med steinane , og legg den til side","Fisk ut posen med steinane , og legg den på eit fat","Fisk ut posen med steinane , og legg den til side","Fisk ut posen med steinane , og legg den på fat",til side,på fat,leggje,til side,på eit fat,2,3,til,på,side,fat,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Når posen med steinar har kolna litt kan du klemme på den over gryta , slik at pektinet som er att i den kjem ut .",Når posen med steinar har kolna litt kan du klemme på den,Når posen med steinar har kolna litt kan du klemme over gryta,Når posen med steinar har kolna litt kan du klemme på den,Når posen med steinar har kolna litt kan du klemme over gryta,på den,over gryte,klemme,på den,over gryta,2,2,på,over,den,gryte,PRON,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
Vi skulle nemleg ha Skumlefest i heimen i går .,Vi skulle nemleg ha Skumlefest i heimen,Vi skulle nemleg ha Skumlefest i går,Vi skulle nemleg ha Skumlefest i heimen,Vi skulle nemleg ha Skumlefest i går,i heim,i går,ha,i heimen,i går,2,2,i,i,heim,går,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
Storm fordi det nemnde uvêret kom over oss på vegen og fordi vår nye ven no har fått ein heim på den stormande vestkysten .,Storm fordi det nemnde uvêret kom over oss,Storm fordi det nemnde uvêret kom på vegen,Storm fordi det nemnde uvêret kom over oss,Storm fordi det nemnde uvêret kom på vegen,over vi,på veg,kome,over oss,på vegen,2,2,over,på,vi,veg,PRON,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
"Men kan denne i det heile "" samtenkast "" med kyrkjas evangelium på ein koherent måte ?","Men kan denne i det heile "" samtenkast "" med kyrkjas evangelium","Men kan denne i det heile "" samtenkast "" på ein koherent måte","Men kan denne i det heile "" samtenkast "" med evangelium","Men kan denne i det heile "" samtenkast "" på måte",med evangelium,på måte,samtenkje,med kyrkjas evangelium,på ein koherent måte,3,4,med,på,evangelium,måte,NOUN,NOUN,prepositional,prepositional,Postverbal,NorwegianNynorsk
