Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
køyrde de til byen to gonger om dagen da ?,køyrde de til byen,køyrde de om dagen,køyrde de til byen,køyrde de om dagen,til by,om dag,køyre,til byen,om dagen,2,2,til,om,by,dag,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
hadde du nokon uhell på bilen da # på vegen # nokon alvorlege uhell ?,hadde du nokon uhell på bilen,hadde du nokon uhell # på vegen,hadde du nokon uhell på bilen,hadde du nokon uhell på vegen,på bil,på veg,ha,på bilen,# på vegen,2,3,på,på,bil,veg,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
når du kom heim om kvelden ifrå bykjøringa di da var du # å gå til sengs da nesten .,når du kom heim om kvelden,når du kom heim ifrå bykjøringa di,når du kom heim om kvelden,når du kom heim ifrå bykjøringa,om kveld,ifrå bykjøring,komme,om kvelden,ifrå bykjøringa di,2,3,om,ifrå,kveld,bykjøring,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
budde du # på garden # på Hærland ?,budde du # på garden,budde du # på Hærland,budde du på garden,budde du på Hærland,på gard,på Hærland,bu,# på garden,# på Hærland,3,3,på,på,gard,Hærland,NOUN,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
hadde vi med alle varene der # om vi køyrde med oss heim ifrå byen .,hadde vi med alle varene der # om vi køyrde med oss,hadde vi med alle varene der # om vi køyrde heim ifrå byen,hadde vi med alle varene der # om vi køyrde med oss,hadde vi med alle varene der # om vi køyrde heim ifrå byen,med vi,heim ifrå by,køyre,med oss,heim ifrå byen,2,3,med,heim ifrå,vi,by,PRON,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
han låg på sjukehuset i e på Riksen .,han låg på sjukehuset,han låg i e på Riksen,han låg på sjukehuset,han låg på Riksen,på sjukehus,på Riksen,ligge,på sjukehuset,i e på Riksen,2,4,på,på,sjukehus,Riksen,NOUN,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
du når har du drive og køyrd mjølk og strevd og herja s- herja med dette i mange mange år # e viss du skulle begynne på nytt igjen kva ville du ha # overteke garden i staden eller drive med noko anna trur du det .,du når har du drive og køyrd mjølk og strevd og herja s- herja med dette,du når har du drive og køyrd mjølk og strevd og herja s- herja i mange mange år,du når har du drive og køyrd mjølk og strevd og herja s- herja med dette,du når har du drive og køyrd mjølk og strevd og herja s- herja i år,med dette,i år,herje,med dette,i mange mange år,2,4,med,i,dette,år,PRON,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
var det sild i nota # så var det til kave og så var det til tørke og så når du kom med henne på sida så var det .,var det sild i nota # så var det til kave og så var det til tørke og så når du kom med henne,var det sild i nota # så var det til kave og så var det til tørke og så når du kom på sida,var det sild i nota # så var det til kave og så var det til tørke og så når du kom med henne,var det sild i nota # så var det til kave og så var det til tørke og så når du kom på sida,med ho,på side,komme,med henne,på sida,2,2,med,på,ho,side,PRON,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
så dei begynte på midten på nota da ?,så dei begynte på midten,så dei begynte på nota,så dei begynte på midten,så dei begynte på nota,på midt,på not,begynne,på midten,på nota,2,2,på,på,midt,not,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
for som oftast så ville dei ha deg med på Island om sommaren .,for som oftast så ville dei ha deg med på Island,for som oftast så ville dei ha deg med om sommaren,for som oftast så ville dei ha deg med på Island,for som oftast så ville dei ha deg med om sommaren,på Island,om sommar,ha,på Island,om sommaren,2,2,på,om,Island,sommar,PROPN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
eller på når dei så da hadde brislingbruk dei ville ha deg med om # sommaren på brislingen .,eller på når dei så da hadde brislingbruk dei ville ha deg med om # sommaren,eller på når dei så da hadde brislingbruk dei ville ha deg med på brislingen,eller på når dei så da hadde brislingbruk dei ville ha deg med om sommaren,eller på når dei så da hadde brislingbruk dei ville ha deg med på brislingen,om sommar,på brisling,ha,om # sommaren,på brislingen,3,2,om,på,sommar,brisling,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
vi laut # ut med pengar til Austevolls kommune .,vi laut # ut med pengar,vi laut # ut til Austevolls kommune,vi laut # ut med pengar,vi laut # ut til Austevolls,med peng,til Austevolls,lyte,med pengar,til Austevolls kommune,2,3,med,til,peng,Austevolls,NOUN,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
nei # det er berre eg dreiv og # og nemnde for den e # funksjonæren nedpå # Målførearkivet og og ho e ville gjerne # for det e høyre om det verkeleg var sånn for det e etter skrifta så skulle det ikkje vere .,nei # det er berre eg dreiv og # og nemnde for den e # funksjonæren nedpå # Målførearkivet og og ho e ville gjerne # for det e høyre om det verkeleg var sånn for det,nei # det er berre eg dreiv og # og nemnde for den e # funksjonæren nedpå # Målførearkivet og og ho e ville gjerne # for det e høyre om det verkeleg var sånn e etter skrifta,nei # det er berre eg dreiv og # og nemnde for den e # funksjonæren nedpå # Målførearkivet og og ho e ville gjerne # for det e høyre om det verkeleg var sånn for det,nei # det er berre eg dreiv og # og nemnde for den e # funksjonæren nedpå # Målførearkivet og og ho e ville gjerne # for det e høyre om det verkeleg var sånn etter skrifta,for det,etter skrift,vere,for det,e etter skrifta,2,3,for,etter,det,skrift,PRON,NOUN,prepositional,prepositional,Preverbal,Norwegian_NynorskLIA
går det masse bussar til e # Vanse Farsund # og andre stadar på Lista .,går det masse bussar til e # Vanse Farsund # og andre stadar,går det masse bussar på Lista,går det masse bussar til Vanse,går det masse bussar på Lista,til Vanse,på Lista,gå,til e # Vanse Farsund # og andre stadar,på Lista,9,2,til,på,Vanse,Lista,PROPN,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
eg trur det går # kvar time # til Farsund i kvart fall # .,eg trur det går # kvar time # til Farsund,eg trur det går # kvar time i kvart fall,eg trur det går # kvar time til Farsund,eg trur det går # kvar time i fall,til Farsund,i fall,gå,# til Farsund,i kvart fall,3,3,til,i,Farsund,fall,PROPN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
ja du veit det var det # det em tyskarane kom i Noreg i nittenhundreogførti .,ja du veit det var det # det em tyskarane kom i Noreg,ja du veit det var det # det em tyskarane kom i nittenhundreogførti,ja du veit det var det # det em tyskarane kom i Noreg,ja du veit det var det # det em tyskarane kom i nittenhundreogførti,i Noreg,i nittenhundreogførti,komme,i Noreg,i nittenhundreogførti,2,2,i,i,Noreg,nittenhundreogførti,PROPN,NUM,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
så da vi evakuerte på nytt igjen ## i juli månad ## til Kongsfjord .,så da vi evakuerte på nytt igjen ## i juli månad,så da vi evakuerte på nytt igjen ## til Kongsfjord,så da vi evakuerte på nytt igjen i juli,så da vi evakuerte på nytt igjen til Kongsfjord,i juli,til Kongsfjord,evakuere,## i juli månad,## til Kongsfjord,4,3,i,til,juli,Kongsfjord,NOUN,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
vi budde nå i same # leikte nå i lag som som som barn .,vi budde nå i same # leikte nå i lag,vi budde nå i same # leikte nå som som som barn,vi budde nå i same # leikte nå i lag,vi budde nå i same # leikte nå som barn,i lag,som barn,leike,i lag,som som som barn,2,4,i,som,lag,barn,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
eg låg nå på sjukehus over eit år # ja så # før eg kom meg ut derfrå kom ut i ja treogfem- treogførti .,eg låg nå på sjukehus,eg låg nå over eit år,eg låg nå på sjukehus,eg låg nå over år,på sjukehus,over år,ligge,på sjukehus,over eit år,2,3,på,over,sjukehus,år,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
også var det ei dame # og ein også guten hennar dei var sånne passasjerar skulle nå følge med oss frå # frå Tromsø .,også var det ei dame # og ein også guten hennar dei var sånne passasjerar skulle nå følge med oss,også var det ei dame # og ein også guten hennar dei var sånne passasjerar skulle nå følge frå # frå Tromsø,også var det ei dame # og ein også guten hennar dei var sånne passasjerar skulle nå følge med oss,også var det ei dame # og ein også guten hennar dei var sånne passasjerar skulle nå følge frå Tromsø,med vi,frå Tromsø,følge,med oss,frå # frå Tromsø,2,4,med,frå,vi,Tromsø,PRON,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
og dei trudde at vi var # stod i kontakt med den # russiske undervassbåten eller med med ## si- det oppgav dei som grunn .,og dei trudde at vi var # stod i kontakt,og dei trudde at vi var # stod med den # russiske undervassbåten eller med med,og dei trudde at vi var # stod i kontakt,og dei trudde at vi var # stod med undervassbåten,i kontakt,med undervassbåt,stå,i kontakt,med den # russiske undervassbåten eller med med,2,8,i,med,kontakt,undervassbåt,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
men den båten som eg hadde som hadde blitt skada på den gongen # den båten # den hadde ein annan mann som dreiv den båten før meg i ein tre fire fem år .,men den båten som eg hadde som hadde blitt skada på den gongen # den båten # den hadde ein annan mann som dreiv den båten før meg,men den båten som eg hadde som hadde blitt skada på den gongen # den båten # den hadde ein annan mann som dreiv den båten i ein tre fire fem år,men den båten som eg hadde som hadde blitt skada på den gongen # den båten # den hadde ein annan mann som dreiv den båten før meg,men den båten som eg hadde som hadde blitt skada på den gongen # den båten # den hadde ein annan mann som dreiv den båten i år,før eg,i år,drive,før meg,i ein tre fire fem år,2,6,før,i,eg,år,PRON,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
men eg trur e s- # generelt iallfall viss du # ja når eg ve- # gjekk på skole i Bergen og var i militæret og .,men eg trur e s- # generelt iallfall viss du # ja når eg ve- # gjekk på skole,men eg trur e s- # generelt iallfall viss du # ja når eg ve- # gjekk i Bergen,men eg trur e s- # generelt iallfall viss du # ja når eg ve- # gjekk på skole,men eg trur e s- # generelt iallfall viss du # ja når eg ve- # gjekk i Bergen,på skole,i Bergen,gå,på skole,i Bergen,2,2,på,i,skole,Bergen,NOUN,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
om det er eg trur det er oldemora som kom ifrå Finland # nei ifrå Sverige .,om det er eg trur det er oldemora som kom ifrå Finland,om det er eg trur det er oldemora som kom # nei ifrå Sverige,om det er eg trur det er oldemora som kom ifrå Finland,om det er eg trur det er oldemora som kom ifrå Sverige,ifrå Finland,ifrå Sverige,komme,ifrå Finland,# nei ifrå Sverige,2,4,ifrå,ifrå,Finland,Sverige,PROPN,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
