Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
دبیر شورای عالی امنیت ملی انتخابات اخیر را نقطهٔ عطفی در تاریخ انقلاب دانست و افزود : مردم در این انتخابات شکوه جمهوریت نظام اسلامی را به رخ جهانیان کشاندند و به همین خاطر دشمنان جمهوری اسلامی با تمام توان به مقابله با آن برخاستند .,دبیر شورای عالی امنیت ملی انتخابات اخیر را نقطهٔ عطفی در تاریخ انقلاب دانست و افزود : مردم در این انتخابات شکوه جمهوریت نظام اسلامی را به رخ جهانیان کشاندند و به همین خاطر,دبیر شورای عالی امنیت ملی انتخابات اخیر را نقطهٔ عطفی در تاریخ انقلاب دانست و افزود : مردم در این انتخابات شکوه جمهوریت نظام اسلامی را به رخ جهانیان کشاندند و با تمام توان,دبیر شورای عالی امنیت ملی انتخابات اخیر را نقطهٔ عطفی در تاریخ انقلاب دانست و افزود : مردم در این انتخابات شکوه جمهوریت نظام اسلامی را به رخ جهانیان کشاندند و به خاطر,دبیر شورای عالی امنیت ملی انتخابات اخیر را نقطهٔ عطفی در تاریخ انقلاب دانست و افزود : مردم در این انتخابات شکوه جمهوریت نظام اسلامی را به رخ جهانیان کشاندند و با تمام,به خاطر,با تمام,بر#خاست#خیز,به همین خاطر,با تمام توان,3,3,به,با,خاطر,تمام,NOUN,NOUN,prepositional,prepositional,Preverbal,Persian
معلم ثانی در اندیشه‌ اش از آن جهت که شارح ارسطو ست با وی مشابهت‌های فراوانی دارد .,معلم ثانی در اندیشه‌ اش,معلم ثانی از آن جهت که شارح ارسطو ست,معلم ثانی در اندیشه‌,معلم ثانی از جهت,در اندیشه,از جهت,داشت#دار,در اندیشه‌ اش,از آن جهت که شارح ارسطو ست,3,7,در,از,اندیشه,جهت,NOUN,NOUN,prepositional,prepositional,Preverbal,Persian
فرماندهان ارتش آمریکا از این منطقه به عنوان پناهگاه شبه‌نظامیان پاکستان نام می‌برند که از آنجا حملات تروریستی علیه نظامیان خارجی در افغانستان ترتیب داده می‌شود .,فرماندهان ارتش آمریکا از این منطقه به عنوان پناهگاه شبه‌نظامیان پاکستان نام می‌برند که از آنجا,فرماندهان ارتش آمریکا از این منطقه به عنوان پناهگاه شبه‌نظامیان پاکستان نام می‌برند که در افغانستان,فرماندهان ارتش آمریکا از این منطقه به عنوان پناهگاه شبه‌نظامیان پاکستان نام می‌برند که از آنجا,فرماندهان ارتش آمریکا از این منطقه به عنوان پناهگاه شبه‌نظامیان پاکستان نام می‌برند که در افغانستان,از آنجا,در افغانستان,داد#ده,از آنجا,در افغانستان,2,2,از,در,آنجا,افغانستان,NOUN,PROPN,prepositional,prepositional,Preverbal,Persian
در همین راستا منابع آگاه اعلام کردند که ائتلاف‌های دولت قانونی و ملی عراق کمیته‌هایی را برای گفتگو با احزاب اصلی به منظور تشکیل ائتلاف‌های جدید و تشکیل دولت ترتیب داده‌اند .,در همین راستا منابع آگاه اعلام کردند که ائتلاف‌های دولت قانونی و ملی عراق کمیته‌هایی را برای گفتگو با احزاب اصلی,در همین راستا منابع آگاه اعلام کردند که ائتلاف‌های دولت قانونی و ملی عراق کمیته‌هایی را به منظور تشکیل ائتلاف‌های جدید و تشکیل دولت,در همین راستا منابع آگاه اعلام کردند که ائتلاف‌های دولت قانونی و ملی عراق کمیته‌هایی را برای گفتگو,در همین راستا منابع آگاه اعلام کردند که ائتلاف‌های دولت قانونی و ملی عراق کمیته‌هایی را به منظور,برای گفتگو,به منظور,داد#ده,برای گفتگو با احزاب اصلی,به منظور تشکیل ائتلاف‌های جدید و تشکیل دولت,5,8,برای,به,گفتگو,منظور,NOUN,NOUN,prepositional,prepositional,Preverbal,Persian
کرسی تلاوت در دو بخش مختلف ویژه شرکت‌کنندگان در برنامه و نیز شنوندگان آن از شبکهٔ رادیویی قرآن ترتیب داده شده است .,کرسی تلاوت در دو بخش مختلف ویژه شرکت‌کنندگان در برنامه و نیز شنوندگان آن,کرسی تلاوت از شبکهٔ رادیویی قرآن,کرسی تلاوت در بخش,کرسی تلاوت از شبکهٔ,در بخش,از شبکه,داد#ده,در دو بخش مختلف ویژه شرکت‌کنندگان در برنامه و نیز شنوندگان آن,از شبکهٔ رادیویی قرآن,12,4,در,از,بخش,شبکه,NOUN,PROPN,prepositional,prepositional,Preverbal,Persian
در این حادثه تعدادی از کارکنان بانک بر اثر استنشاق گاز مسموم شدند که بلافاصله به بیمارستان انتقال یافتند .,در این حادثه,بر اثر استنشاق گاز,در حادثه,بر اثر,در حادثه,بر اثر,شد#شو,در این حادثه,بر اثر استنشاق گاز,3,4,در,بر,حادثه,اثر,NOUN,NOUN,prepositional,prepositional,Preverbal,Persian
ایران در 14 فوریهٔ 2010 در حضور بازرسان آژانس حدود یک هزار و 950 کیلوگرم UF6 با درصد غنای پائین را از تأسیسات غنی‌سازی سوخت به ایستگاه تزریق تأسیسات غنی‌سازی آزمایشی سوخت منتقل کرد .,ایران در 14 فوریهٔ 2010,ایران در حضور بازرسان آژانس,ایران در 14,ایران در حضور,در 14,در حضور,کرد#کن,در 14 فوریهٔ 2010,در حضور بازرسان آژانس,4,4,در,در,14,حضور,NOUN,NOUN,prepositional,prepositional,Preverbal,Persian
آن حضرت در یک کلام ، زندگی و مرگ را نیز به عزت و ذلت تفسیر کرده و ارزش‌گذاری می‌کند و به همین دلیل معتقد است : « مرگ باعزت برتر از زندگی ذلیلانه است » و در اوج حماسهٔ عاشورایی چنین می‌سراید : « مرگ مردانه بهتر از زندگی با خواری است و این بهتر از ورود در آتش خشم خدا » .,آن حضرت در یک کلام ،,آن حضرت به عزت و ذلت,آن حضرت در کلام,آن حضرت به عزت,در کلام,به عزت,کرد#کن,در یک کلام ،,به عزت و ذلت,4,4,در,به,کلام,عزت,NOUN,NOUN,prepositional,prepositional,Preverbal,Persian
به گزارش خبرگزاری مهر ، در این جلد آیات 17 تا 42 سورهٔ نساء تفسیر شده‌‌اند .,به گزارش خبرگزاری مهر ،,در این جلد,به گزارش,در جلد,به گزارش,در جلد,شد#شو,به گزارش خبرگزاری مهر ،,در این جلد,5,3,به,در,گزارش,جلد,NOUN,NOUN,prepositional,prepositional,Preverbal,Persian
هگل در مشهورترین صورت به وسیلهٔ مارکس و مارکسیست‌ها تفسیر شده است .,هگل در مشهورترین صورت,هگل به وسیلهٔ مارکس و مارکسیست‌ها,هگل در صورت,هگل به وسیلهٔ,در صورت,به وسیله,شد#شو,در مشهورترین صورت,به وسیلهٔ مارکس و مارکسیست‌ها,3,5,در,به,صورت,وسیله,NOUN,NOUN,prepositional,prepositional,Preverbal,Persian
