Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
20 osób ewakuowano w nocy z czwartku na piątek z domu przy ul. Wawrzyniaka .,20 osób ewakuowano w nocy z czwartku na piątek,20 osób ewakuowano z domu przy ul. Wawrzyniaka,20 osób ewakuowano w nocy,20 osób ewakuowano z domu,w noc,z dom,ewakuować,w nocy z czwartku na piątek,z domu przy ul. Wawrzyniaka,6,5,w,z,noc,dom,NOUN,NOUN,prepositional,prepositional,Postverbal,Polish
25 lat temu zaginął w Bieszczadach w tajemniczych okolicznościach Witold Gontaszewski .,25 lat temu zaginął w Bieszczadach,25 lat temu zaginął w tajemniczych okolicznościach,25 lat temu zaginął w Bieszczadach,25 lat temu zaginął w okolicznościach,w Bieszczady,w okoliczność,zaginąć,w Bieszczadach,w tajemniczych okolicznościach,2,3,w,w,Bieszczady,okoliczność,PROPN,NOUN,prepositional,prepositional,Postverbal,Polish
3-letnia Joasia wybierała się z dziadkiem na weekend .,3-letnia Joasia wybierała się z dziadkiem,3-letnia Joasia wybierała się na weekend,3-letnia Joasia wybierała się z dziadkiem,3-letnia Joasia wybierała się na weekend,z dziadek,na weekend,wybierać,z dziadkiem,na weekend,2,2,z,na,dziadek,weekend,NOUN,NOUN,prepositional,prepositional,Postverbal,Polish
A ja z Armenami świetnie się po rosyjsku dogaduję .,A ja z Armenami,A ja po rosyjsku,A ja z Armenami,A ja po rosyjsku,z Armen,po rosyjski,dogadywać,z Armenami,po rosyjsku,2,2,z,po,Armen,rosyjski,PROPN,ADJ,prepositional,prepositional,Preverbal,Polish
A potem dwupłatowiec wniknął w nasz bombowiec niczym duch .,A potem dwupłatowiec wniknął w nasz bombowiec,A potem dwupłatowiec wniknął niczym duch,A potem dwupłatowiec wniknął w bombowiec,A potem dwupłatowiec wniknął niczym duch,w bombowiec,niczym duch,wniknąć,w nasz bombowiec,niczym duch,3,2,w,niczym,bombowiec,duch,NOUN,NOUN,prepositional,prepositional,Postverbal,Polish
A potem zgłoś się do księcia po nagrodę .,A potem zgłoś się do księcia,A potem zgłoś się po nagrodę,A potem zgłoś się do księcia,A potem zgłoś się po nagrodę,do książę,po nagroda,zgłosić,do księcia,po nagrodę,2,2,do,po,książę,nagroda,NOUN,NOUN,prepositional,prepositional,Postverbal,Polish
- A powiesz o tym na społeczności ?,- A powiesz o tym,- A powiesz na społeczności,- A powiesz o tym,- A powiesz na społeczności,o to,na społeczność,powiedzieć,o tym,na społeczności,2,2,o,na,to,społeczność,PRON,NOUN,prepositional,prepositional,Postverbal,Polish
Ale czy u nas wylewa się kogoś z roboty za chlanie ?,Ale czy u nas wylewa się kogoś z roboty,Ale czy u nas wylewa się kogoś za chlanie,Ale czy u nas wylewa się kogoś z roboty,Ale czy u nas wylewa się kogoś za chlanie,z robota,za chlać,wylewać,z roboty,za chlanie,2,2,z,za,robota,chlać,NOUN,NOUN,prepositional,prepositional,Postverbal,Polish
"- Ale widzę , że tu , w Bibliotece , ksiądz nad czymś pracuje .","- Ale widzę , że tu , w Bibliotece","- Ale widzę , że tu , nad czymś","- Ale widzę , że tu , w Bibliotece","- Ale widzę , że tu , nad czymś",w biblioteka,nad coś,pracować,w Bibliotece,nad czymś,2,2,w,nad,biblioteka,coś,NOUN,PRON,prepositional,prepositional,Preverbal,Polish
Ale wyrzucał Pana za drzwi za bikiniarstwo .,Ale wyrzucał Pana za drzwi,Ale wyrzucał Pana za bikiniarstwo,Ale wyrzucał Pana za drzwi,Ale wyrzucał Pana za bikiniarstwo,za drzwi,za bikiniarstwo,wyrzucać,za drzwi,za bikiniarstwo,2,2,za,za,drzwi,bikiniarstwo,NOUN,NOUN,prepositional,prepositional,Postverbal,Polish
Ale zaprzyjaźnił em się z nim dopiero w 1956 .,Ale zaprzyjaźnił em się z nim,Ale zaprzyjaźnił em się dopiero w 1956,Ale zaprzyjaźnił em się z nim,Ale zaprzyjaźnił em się w 1956,z on,w 1956,zaprzyjaźnić,z nim,dopiero w 1956,2,3,z,w,on,1956,PRON,ADJ,prepositional,prepositional,Postverbal,Polish
Amerykanie patrząc zza Oceanu na Europę myślą niemal wyłącznie kategoriami strategicznymi i gospodarczymi .,Amerykanie patrząc zza Oceanu,Amerykanie patrząc na Europę,Amerykanie patrząc zza Oceanu,Amerykanie patrząc na Europę,zza ocean,na Europa,patrzeć,zza Oceanu,na Europę,2,2,zza,na,ocean,Europa,NOUN,PROPN,prepositional,prepositional,Postverbal,Polish
"Andrew zauważył , że przykuto go za nogę do ściany , żelazna obręcz obejmowała kostkę .","Andrew zauważył , że przykuto go za nogę","Andrew zauważył , że przykuto go do ściany","Andrew zauważył , że przykuto go za nogę","Andrew zauważył , że przykuto go do ściany",za noga,do ściana,przykuć,za nogę,do ściany,2,2,za,do,noga,ściana,NOUN,NOUN,prepositional,prepositional,Postverbal,Polish
Andrzej Michaluk wybiegł na dach z kocem .,Andrzej Michaluk wybiegł na dach,Andrzej Michaluk wybiegł z kocem,Andrzej Michaluk wybiegł na dach,Andrzej Michaluk wybiegł z kocem,na dach,z koc,wybiec,na dach,z kocem,2,2,na,z,dach,koc,NOUN,NOUN,prepositional,prepositional,Postverbal,Polish
Angelika przystąpi do komunii w kościele w Dytmarowie .,Angelika przystąpi do komunii,Angelika przystąpi w kościele w Dytmarowie,Angelika przystąpi do komunii,Angelika przystąpi w kościele,do komunia,w kościół,przystąpić,do komunii,w kościele w Dytmarowie,2,4,do,w,komunia,kościół,NOUN,NOUN,prepositional,prepositional,Postverbal,Polish
Bandyci pobili Rosjanina i wyrzucili z samochodu na Pradze .,Bandyci pobili Rosjanina i wyrzucili z samochodu,Bandyci pobili Rosjanina i wyrzucili na Pradze,Bandyci pobili Rosjanina i wyrzucili z samochodu,Bandyci pobili Rosjanina i wyrzucili na Pradze,z samochód,na Praga,wyrzucić,z samochodu,na Pradze,2,2,z,na,samochód,Praga,NOUN,PROPN,prepositional,prepositional,Postverbal,Polish
Bandyta wpadł o świcie w swoim mieszkaniu .,Bandyta wpadł o świcie,Bandyta wpadł w swoim mieszkaniu,Bandyta wpadł o świcie,Bandyta wpadł w mieszkaniu,o świt,w mieszkanie,wpaść,o świcie,w swoim mieszkaniu,2,3,o,w,świt,mieszkanie,NOUN,NOUN,prepositional,prepositional,Postverbal,Polish
Batura wciągnął się na rękach za nim .,Batura wciągnął się na rękach,Batura wciągnął się za nim,Batura wciągnął się na rękach,Batura wciągnął się za nim,na ręka,za on,wciągnąć,na rękach,za nim,2,2,na,za,ręka,on,NOUN,PRON,prepositional,prepositional,Postverbal,Polish
