Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,0,0,-0.12152767432202674,-1,2.2262916e-07,1,0.013261886916709487,1,0,dogadywać,Preverbal
1,0,0,0.34777772725071116,1,5.821999999999999e-07,1,0.002727403634468273,1,-1,pracować,Preverbal
1,-1,-1,0.15509298060043675,1,-1.2208500000000002e-05,-1,-0.009675731532565957,-1,0,należeć,Preverbal
1,1,1,-0.2266372786744762,-1,5.7379600000000005e-06,1,0.0030385124830854537,1,0,mieć,Preverbal
1,2,1,0.15095810852350391,1,-3.38687262e-07,-1,0.005195250825083431,1,0,osłabnąć,Preverbal
1,0,0,-0.03845711485971444,-1,-6.7230152e-06,-1,-0.06101230199278246,-1,0,pracować,Preverbal
1,-1,-1,-0.02626465450056472,-1,-1.5086858999999997e-07,-1,-0.08708315484921447,-1,0,nadejść,Preverbal
1,1,1,-0.021446463460407184,-1,1.2904490000000001e-05,1,0.015457781065610465,1,0,mieć,Preverbal
1,1,1,-0.04389554950606295,-1,1.9036170000000001e-06,1,0.03837035381689735,1,0,zostać,Preverbal
1,-2,-1,0.0026756632176103134,1,-1.5475285800000003e-05,-1,0.000958559835564643,1,1,uzyskać,Preverbal
1,2,1,-0.18662197227648955,-1,5.1535809999999996e-05,1,-0.05931562495708753,-1,-1,wierzyć,Preverbal
1,-1,-1,-0.07668777072361838,-1,-2.656548e-05,-1,0.009442537421725627,1,1,korzystać,Preverbal
1,0,0,0.0208563360092444,1,1.2376836e-06,1,-0.05094240825715174,-1,0,tkwić,Preverbal
1,1,1,-0.10762047106489825,-1,6.39155e-07,1,-0.023240657230474193,-1,0,trafić,Preverbal
1,1,1,0.1837525332243403,1,5.8637e-07,1,0.005072293757330537,1,0,zapukać,Preverbal
1,-3,-1,-0.11783075087491524,-1,3.4769159999999997e-06,1,-0.007061032399479528,-1,0,stać,Preverbal
1,1,1,0.1508784005874864,1,-1.6469390000000001e-07,-1,0.014457623108022788,1,0,hodować,Preverbal
1,-1,-1,0.08955470025437917,1,-1.9424000000000002e-07,-1,-0.015378459660330357,-1,0,zacząć,Preverbal
1,-2,-1,-0.007106087409890327,-1,-1.9487899999999998e-07,-1,0.08435094215627181,1,0,iść,Preverbal
1,0,0,0.15868620813646364,1,-8.3098833e-08,-1,0.007739289751706124,1,0,być,Preverbal
1,-1,-1,0.051956719298821924,1,9.03632e-07,1,-0.020945892218770745,-1,0,dosiąść,Preverbal
1,0,0,0.08144385073485705,1,-6.278140000000001e-06,-1,0.0010567926782599768,1,0,łączyć,Preverbal
1,0,0,0.08448591091777187,1,-4.877340000000001e-07,-1,0.037501662236082534,1,0,prezentować,Preverbal
1,0,0,0.03309446362004376,1,-1.5042e-07,-1,0.003222636699221404,1,-1,stać,Preverbal
1,0,0,-0.06584762821743503,-1,2.87166e-05,1,-0.048861844155107526,-1,-1,patrzeć,Preverbal
1,0,0,0.0353015958395012,1,-2.681226e-06,-1,-0.031004046404346397,-1,0,wygasnąć,Preverbal
1,2,1,-0.09971965303708695,-1,1.71265e-07,1,-0.02151305899494893,-1,0,opierać,Preverbal
1,1,1,0.020514596714952316,1,5.114270000000001e-08,1,0.022607690577699624,1,0,przedzierać,Preverbal
1,-1,-1,0.029077708762551814,1,-2.8229399999999997e-07,-1,-0.07235430121307079,-1,0,ginąć,Preverbal
1,1,1,-0.1220753657800383,-1,5.158244e-07,1,-0.052179449348482454,-1,0,gromadzić,Preverbal
1,3,1,-0.08445128350946485,-1,2.69204e-07,1,0.051258473772906876,1,0,wyskoczyć,Preverbal
1,0,0,0.11552717738236414,1,-1.671909e-05,-1,-0.07203086515848439,-1,0,docierać,Preverbal
1,0,0,0.12993680687884734,1,-1.6895268000000003e-05,-1,-0.06540406072816907,-1,0,grać,Preverbal
1,0,0,0.14610103480345374,1,0.00016887623999999998,1,0.0061372395151659265,1,-1,marzyć,Preverbal
1,0,0,-0.09509727539818558,-1,-2.6633800000000005e-06,-1,-0.04578509240555906,-1,0,komentować,Preverbal
1,-2,-1,0.01389047084725048,1,-1.5824604e-06,-1,-0.006491576734833693,-1,0,leżeć,Preverbal
1,0,0,-0.09640838030377233,-1,-6.395516e-06,-1,0.04231368670261981,1,1,zależeć,Preverbal
1,-1,-1,0.10478436325592336,1,2.3608356e-06,1,-0.0398810315861996,-1,0,pojawić,Preverbal
1,1,1,0.07188499415930084,1,2.407572e-05,1,-0.02523141759268266,-1,-1,rozmawiać,Preverbal
1,1,1,-0.0371852061645363,-1,4.8555408e-07,1,-0.0863374254457811,-1,0,minąć,Preverbal
1,2,1,-0.14408706938852756,-1,1.2968024e-06,1,-0.015561025768054182,-1,0,pojawić,Preverbal
1,0,0,0.07113946107518838,1,-0.00014447364505,-1,-0.023085426515155216,-1,0,liczyć,Preverbal
1,-1,-1,0.04424409555022801,1,1.06689e-06,1,0.029361688824507404,1,0,wbiec,Preverbal
1,-2,-1,0.019203752368169763,1,4.431999999999999e-08,1,-0.007079417954188982,-1,0,pozostać,Preverbal
1,0,0,-0.09989206804591177,-1,-2.709036e-05,-1,0.01279081792614356,1,1,kastrować,Preverbal
1,-2,-1,0.09792494162417112,1,-2.850499999999999e-07,-1,0.021574451442816223,1,0,natrafić,Preverbal
1,2,1,0.05544124954571007,1,9.380700000000001e-08,1,0.006918441368409134,1,0,przybyć,Preverbal
1,0,0,0.03412767088320931,1,1.2233271e-06,1,-0.013640179757750559,-1,0,wprowadzić,Preverbal
1,0,0,-0.07717157867050359,-1,5.45999e-07,1,0.02649612362809395,1,0,wznowić,Preverbal
1,3,1,-0.2365137124980473,-1,-4.154999999999973e-09,-1,-0.02346713166297565,-1,0,oglądać,Preverbal
1,0,0,-0.122177912806248,-1,-1.276556e-07,-1,0.0946506141881111,1,0,robić,Preverbal
1,1,1,-0.01076579998936815,-1,-3.1592724e-06,-1,0.022593254731428924,1,0,wyłaniać,Preverbal
1,1,1,0.06842075478046936,1,4.7263380000000004e-07,1,0.035667743278944175,1,0,wkroczyć,Preverbal
1,0,0,0.19173208064040825,1,2.1272349999999996e-06,1,0.02402161730333896,1,0,przebywać,Preverbal
1,5,1,-0.12059012825430693,-1,-1.5685799999999998e-08,-1,-0.07334946800991154,-1,0,spożyć,Preverbal
1,1,1,-0.15395417564077718,-1,3.1873860000000002e-06,1,0.10110040126195385,1,0,zasypiać,Preverbal
1,-3,-1,0.11208744055926173,1,-2.798399e-08,-1,-0.018091014166537633,-1,0,tworzyć,Preverbal
1,-3,-1,-0.216443909683426,-1,4.9961932e-06,1,-0.01820425518920621,-1,0,odczytać,Preverbal
1,0,0,0.045529975352674446,1,-5.112325e-07,-1,-0.021956979234042384,-1,1,siedzieć,Preverbal
1,0,0,-0.17549608861930915,-1,4.2746e-07,1,-0.03485581753103523,-1,0,spotykać,Preverbal
1,-2,-1,0.032288444939281874,1,-1.0144440000000001e-07,-1,0.017370566313995806,1,0,uzyskać,Preverbal
1,0,0,-0.05026054413381313,-1,2.014336e-06,1,0.004854356946609184,1,0,pracować,Preverbal
1,0,0,0.00937086210288704,1,2.824000000000002e-08,1,-0.008434670315370096,-1,0,wiać,Preverbal
