Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"O Audioman foi desenvolvido em a Suíça em apenas sete meses e compõe se de um microfone e de um altifalante que se podem acoplar facilmente a um computador , devendo ser comercializado a o preço de 290 francos suíços ( 28 contos ) .",O Audioman foi desenvolvido em a Suíça,O Audioman foi desenvolvido em apenas sete meses,O Audioman foi desenvolvido em Suíça,O Audioman foi desenvolvido em meses,em Suíça,em mês,desenvolver,em a Suíça,em apenas sete meses,3,4,em,em,Suíça,mês,PROPN,NOUN,prepositional,prepositional,Postverbal,Portuguese
"João Cravinho , que integra a comitiva de Jorge Sampaio em a visita de Estado a Moçambique , ainda não reagiu a a carta que o dirigente socialista lhe enviou .","João Cravinho , que integra a comitiva de Jorge Sampaio em a visita de Estado","João Cravinho , que integra a comitiva de Jorge Sampaio a Moçambique","João Cravinho , que integra a comitiva de Jorge Sampaio em visita","João Cravinho , que integra a comitiva de Jorge Sampaio a Moçambique",em visita,a Moçambique,integrar,em a visita de Estado,a Moçambique,5,2,em,a,visita,Moçambique,NOUN,PROPN,prepositional,prepositional,Postverbal,Portuguese
"A propósito , em o Museu de a Segunda Guerra Mundial , que aí foi aberto , a história de a maior guerra em o continente europeu começa com a fotografia de Estaline a cumprimentar o ministro de os Negócios Estrangeiros de a Alemanha nazi , ou seja , a guerra começa com a assinatura de o Pacto Molotov-Ribbentrop .","A propósito ,","em o Museu de a Segunda Guerra Mundial , que aí foi aberto ,",A propósito,em Museu,a propósito,em Museu,comedir,"A propósito ,","em o Museu de a Segunda Guerra Mundial , que aí foi aberto ,",3,14,a,em,propósito,Museu,NOUN,PROPN,prepositional,prepositional,Preverbal,Portuguese
"Mas é o apenas porque este Governo e esta maioria , escolheram , desde Agosto de o ano passado , a imigração e a política de a imigração como ponto de clivagem política para as próximas legislativas , ontem mesmo marcadas para Março de 1998 , em simultâneo com as regionais .","Mas é o apenas porque este Governo e esta maioria , escolheram , desde Agosto de o ano passado , a imigração e a política de a imigração como ponto de clivagem política para as próximas legislativas , ontem mesmo marcadas para Março de 1998","Mas é o apenas porque este Governo e esta maioria , escolheram , desde Agosto de o ano passado , a imigração e a política de a imigração como ponto de clivagem política para as próximas legislativas , ontem mesmo marcadas em simultâneo com as regionais","Mas é o apenas porque este Governo e esta maioria , escolheram , desde Agosto de o ano passado , a imigração e a política de a imigração como ponto de clivagem política para as próximas legislativas , ontem mesmo marcadas para Março","Mas é o apenas porque este Governo e esta maioria , escolheram , desde Agosto de o ano passado , a imigração e a política de a imigração como ponto de clivagem política para as próximas legislativas , ontem mesmo marcadas em simultâneo",para março,em simultâneo,marcar,para Março de 1998,em simultâneo com as regionais,4,5,para,em,março,simultâneo,NOUN,ADJ,prepositional,prepositional,Postverbal,Portuguese
Um endurecimento nítido existe desde então em este terreno altamente perigoso .,Um endurecimento nítido existe desde então,Um endurecimento nítido existe em este terreno altamente perigoso,Um endurecimento nítido existe desde então,Um endurecimento nítido existe em terreno,desde então,em terreno,existir,desde então,em este terreno altamente perigoso,2,5,desde,em,então,terreno,NOUN,NOUN,prepositional,prepositional,Postverbal,Portuguese
"Henrique Calisto porque o terreno estava quase impraticável , o Leixões defendera o adiamento de a partida antes de o seu início e tinha menos um homem em campo que o adversário , por expulsão de Sérgio .","Henrique Calisto porque o terreno estava quase impraticável , o Leixões defendera o adiamento de a partida antes de o seu início e tinha menos um homem em campo","Henrique Calisto porque o terreno estava quase impraticável , o Leixões defendera o adiamento de a partida antes de o seu início e tinha menos um homem por expulsão de Sérgio","Henrique Calisto porque o terreno estava quase impraticável , o Leixões defendera o adiamento de a partida antes de o seu início e tinha menos um homem em campo","Henrique Calisto porque o terreno estava quase impraticável , o Leixões defendera o adiamento de a partida antes de o seu início e tinha menos um homem por expulsão",em campo,por expulsão,ter,em campo,por expulsão de Sérgio,2,4,em,por,campo,expulsão,NOUN,NOUN,prepositional,prepositional,Postverbal,Portuguese
"Antes , o Leixões marcou um golo , por intermédio de Maurício , em a sequência de um canto apontado por Barriga , e foi a equipa que melhor se adaptou a as condições de o terreno .","Antes , o Leixões marcou um golo , por intermédio de Maurício ,","Antes , o Leixões marcou um golo em a sequência de um canto apontado por Barriga","Antes , o Leixões marcou um golo por intermédio","Antes , o Leixões marcou um golo em sequência",por intermédio,em sequência,marcar,", por intermédio de Maurício ,",em a sequência de um canto apontado por Barriga,6,9,por,em,intermédio,sequência,NOUN,NOUN,prepositional,prepositional,Postverbal,Portuguese
"O Partido Popular ( PP ) , vencedor de as eleições de 3 de Março , quer a plena integração de a Espanha em a Aliança Atlântica , organização a que Madrid aderiu em 1982 , sem , em o entanto , englobar as suas forças militares em as de a NATO , de acordo com os resultados de o referendo de 1986 .","O Partido Popular ( PP ) , vencedor de as eleições de 3 de Março , quer a plena integração de a Espanha em a Aliança Atlântica , organização a que Madrid aderiu em 1982 , sem , em o entanto , englobar as suas forças militares em as de a NATO","O Partido Popular ( PP ) , vencedor de as eleições de 3 de Março , quer a plena integração de a Espanha em a Aliança Atlântica , organização a que Madrid aderiu em 1982 , sem , em o entanto , englobar as suas forças militares de acordo com os resultados de o referendo de 1986","O Partido Popular ( PP ) , vencedor de as eleições de 3 de Março , quer a plena integração de a Espanha em a Aliança Atlântica , organização a que Madrid aderiu em 1982 , sem , em o entanto , englobar as suas forças militares em as","O Partido Popular ( PP ) , vencedor de as eleições de 3 de Março , quer a plena integração de a Espanha em a Aliança Atlântica , organização a que Madrid aderiu em 1982 , sem , em o entanto , englobar as suas forças militares de acordo",em o,de acordo,englobar,em as de a NATO,de acordo com os resultados de o referendo de 1986,5,10,em,de,o,acordo,PRON,NOUN,prepositional,prepositional,Postverbal,Portuguese
"O russo será uma de as seis línguas principais usadas por João Paulo II amanhã e depois , em o Encontro Mundial de a Juventude , em o Santuário Mariano de Czestokowa , onde se prevê a presença de um milhão de jovens , o dobro de os que há dois anos se congregaram em Santiago de Compostela .","O russo será uma de as seis línguas principais usadas por João Paulo II amanhã e depois , em o Encontro Mundial de a Juventude","O russo será uma de as seis línguas principais usadas por João Paulo II amanhã e depois , em o Santuário Mariano de Czestokowa , onde se prevê a presença de um milhão de jovens , o dobro de os que há dois anos se congregaram em Santiago de Compostela","O russo será uma de as seis línguas principais usadas por João Paulo II amanhã e depois , em Encontro","O russo será uma de as seis línguas principais usadas por João Paulo II amanhã e depois , em Santuário",em Encontro,em Santuário,usar,em o Encontro Mundial de a Juventude,"em o Santuário Mariano de Czestokowa , onde se prevê a presença de um milhão de jovens , o dobro de os que há dois anos se congregaram em Santiago de Compostela",7,32,em,em,Encontro,Santuário,PROPN,PROPN,prepositional,prepositional,Postverbal,Portuguese
"É que , além de a proximidade geográfica de a URSS e de os outros países de o Leste , muita coisa aconteceu em os últimos 24 meses em a grande Casa Comum Europeia .","É que , além de a proximidade geográfica de a URSS e de os outros países de o Leste , muita coisa aconteceu em os últimos 24 meses","É que , além de a proximidade geográfica de a URSS e de os outros países de o Leste , muita coisa aconteceu em a grande Casa Comum Europeia","É que , além de a proximidade geográfica de a URSS e de os outros países de o Leste , muita coisa aconteceu em meses","É que , além de a proximidade geográfica de a URSS e de os outros países de o Leste , muita coisa aconteceu em Casa",em mês,em Casa,acontecer,em os últimos 24 meses,em a grande Casa Comum Europeia,5,6,em,em,mês,Casa,NOUN,PROPN,prepositional,prepositional,Postverbal,Portuguese
