Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Al meu dor ș- al meu bănat , Pare că l- am sămănat Prin grădină lângă gard .","Al meu dor ș- al meu bănat , Pare că l- am sămănat Prin grădină","Al meu dor ș- al meu bănat , Pare că l- am sămănat lângă gard","Al meu dor ș- al meu bănat , Pare că l- am sămănat Prin grădină","Al meu dor ș- al meu bănat , Pare că l- am sămănat lângă gard",prin grădină,lângă gard,sămănat,Prin grădină,lângă gard,2,2,prin,lângă,grădină,gard,NOUN,NOUN,prepositional,prepositional,Postverbal,RomanianNonstandard
"Când m- ajunge dor de ducă , Mă duc la deal ca pe luncă , Când m- ajunge dor de mers , Mă duc la deal ca pe șes .","Când m- ajunge dor de ducă , Mă duc la deal","Când m- ajunge dor de ducă , Mă duc ca pe luncă","Când m- ajunge dor de ducă , Mă duc la deal","Când m- ajunge dor de ducă , Mă duc ca pe luncă",la deal,ca pe luncă,duce,la deal,ca pe luncă,2,3,la,ca pe,deal,luncă,NOUN,NOUN,prepositional,prepositional,Postverbal,RomanianNonstandard
"Când m- ajunge dor de ducă , Mă duc la deal ca pe luncă , Când m- ajunge dor de mers , Mă duc la deal ca pe șes .","Când m- ajunge dor de ducă , Mă duc la deal ca pe luncă , Când m- ajunge dor de mers , Mă duc la deal","Când m- ajunge dor de ducă , Mă duc la deal ca pe luncă , Când m- ajunge dor de mers , Mă duc ca pe șes","Când m- ajunge dor de ducă , Mă duc la deal ca pe luncă , Când m- ajunge dor de mers , Mă duc la deal","Când m- ajunge dor de ducă , Mă duc la deal ca pe luncă , Când m- ajunge dor de mers , Mă duc ca pe șes",la deal,ca pe șes,duce,la deal,ca pe șes,2,3,la,ca pe,deal,șes,NOUN,NOUN,prepositional,prepositional,Postverbal,RomanianNonstandard
"Mergea pe dumul ei , Cu lacrimi până la pământ , Fața albă zgâriind , Cu păr mare decurând .",Mergea pe dumul ei,"Mergea , Cu lacrimi până la pământ , Fața albă zgâriind , Cu păr mare decurând",Mergea pe dumul,Mergea Cu lacrimi,pe dum,cu lacrimă,merge,pe dumul ei,", Cu lacrimi până la pământ , Fața albă zgâriind , Cu păr mare decurând",3,15,pe,cu,dum,lacrimă,NOUN,NOUN,prepositional,prepositional,Postverbal,RomanianNonstandard
"Ești mama lui Iorgovan , Mândrul nostru căpitan , Să ne fii mamă și nouă , Care -am dat cu el în două Munca noastră de mulți ani .","Ești mama lui Iorgovan , Mândrul nostru căpitan , Să ne fii mamă și nouă , Care -am dat cu el","Ești mama lui Iorgovan , Mândrul nostru căpitan , Să ne fii mamă și nouă , Care -am dat în două","Ești mama lui Iorgovan , Mândrul nostru căpitan , Să ne fii mamă și nouă , Care -am dat cu el","Ești mama lui Iorgovan , Mândrul nostru căpitan , Să ne fii mamă și nouă , Care -am dat în două",cu el,în doi,da,cu el,în două,2,2,cu,în,el,doi,PRON,NUM,prepositional,prepositional,Postverbal,RomanianNonstandard
"Trecut- am din țară -n țară , Ca cucul printre hotară .",Trecut- am din țară,Trecut- am -n țară,Trecut- am din țară,Trecut- am -n țară,din țară,în țară,trece,din țară,-n țară,2,2,din,în,țară,țară,NOUN,NOUN,prepositional,prepositional,Postverbal,RomanianNonstandard
"Nu îmbla cu mâța -n sac , că i se văd ghearele .",Nu îmbla cu mâța,Nu îmbla -n sac,Nu îmbla cu mâța,Nu îmbla -n sac,cu mâță,în sac,umbla,cu mâța,-n sac,2,2,cu,în,mâță,sac,NOUN,NOUN,prepositional,prepositional,Postverbal,RomanianNonstandard
Privighetoarea cântă cu glas subțire pentru a noastră despărțire .,Privighetoarea cântă cu glas subțire,Privighetoarea cântă pentru a noastră despărțire,Privighetoarea cântă cu glas,Privighetoarea cântă pentru despărțire,cu glas,pentru despărțire,cânta,cu glas subțire,pentru a noastră despărțire,3,4,cu,pentru,glas,despărțire,NOUN,NOUN,prepositional,prepositional,Postverbal,RomanianNonstandard
"Cucul cântă supărat Că mândruța m- o lăsat , Şi cânta cu glas subțire , Pentru a noastră despărțire .","Cucul cântă supărat Că mândruța m- o lăsat , Şi cânta cu glas subțire","Cucul cântă supărat Că mândruța m- o lăsat , Şi cânta , Pentru a noastră despărțire","Cucul cântă supărat Că mândruța m- o lăsat , Şi cânta cu glas","Cucul cântă supărat Că mândruța m- o lăsat , Şi cânta Pentru despărțire",cu glas,pentru despărțire,cânta,cu glas subțire,", Pentru a noastră despărțire",3,5,cu,pentru,glas,despărțire,NOUN,NOUN,prepositional,prepositional,Postverbal,RomanianNonstandard
"Nistrule , răule , apă vioară , Face -te -ai neagră cerneală Să te pun în călimară , Să scriu o carte poștală , S- o trimit la maica -n țară .","Nistrule , răule , apă vioară , Face -te -ai neagră cerneală Să te pun în călimară , Să scriu o carte poștală , S- o trimit la maica","Nistrule , răule , apă vioară , Face -te -ai neagră cerneală Să te pun în călimară , Să scriu o carte poștală , S- o trimit -n țară","Nistrule , răule , apă vioară , Face -te -ai neagră cerneală Să te pun în călimară , Să scriu o carte poștală , S- o trimit la maica","Nistrule , răule , apă vioară , Face -te -ai neagră cerneală Să te pun în călimară , Să scriu o carte poștală , S- o trimit -n țară",la maică,în țară,trimite,la maica,-n țară,2,2,la,în,maică,țară,NOUN,NOUN,prepositional,prepositional,Postverbal,RomanianNonstandard
