Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Но в 1920 году он переехал во дворец Дорн , где прожил до своей смерти в 1941 году .","Но в 1920 году он переехал во дворец Дорн , где прожил до своей смерти","Но в 1920 году он переехал во дворец Дорн , где прожил в 1941 году","Но в 1920 году он переехал во дворец Дорн , где прожил до смерти","Но в 1920 году он переехал во дворец Дорн , где прожил в году",до смерть,в год,прожить,до своей смерти,в 1941 году,3,3,до,в,смерть,год,NOUN,NOUN,prepositional,prepositional,Postverbal,Russian
"Согласно указанному закону первые выборы высших должностных лиц должны были состояться 14 октября 2012 года в тех субъектах Российской Федерации , где срок истечения полномочий действующих высших должностных лиц истекает с 1 июня по 31 декабря 2012 года .","Согласно указанному закону первые выборы высших должностных лиц должны были состояться 14 октября 2012 года в тех субъектах Российской Федерации , где срок истечения полномочий действующих высших должностных лиц истекает с 1 июня","Согласно указанному закону первые выборы высших должностных лиц должны были состояться 14 октября 2012 года в тех субъектах Российской Федерации , где срок истечения полномочий действующих высших должностных лиц истекает по 31 декабря 2012 года","Согласно указанному закону первые выборы высших должностных лиц должны были состояться 14 октября 2012 года в тех субъектах Российской Федерации , где срок истечения полномочий действующих высших должностных лиц истекает с 1","Согласно указанному закону первые выборы высших должностных лиц должны были состояться 14 октября 2012 года в тех субъектах Российской Федерации , где срок истечения полномочий действующих высших должностных лиц истекает по 31",с 1,по 31,истекать,с 1 июня,по 31 декабря 2012 года,3,5,с,по,1,31,ADJ,ADJ,prepositional,prepositional,Postverbal,Russian
В первой части герба -- ворота -- выполнены из камня в произвольной форме ( в действительности данного архитектурного сооружения не существовало ; выражение `` Ворота Кавказа &#39;&#39; -- аллегория ) .,В первой части герба -- ворота -- выполнены из камня,В первой части герба -- ворота -- выполнены в произвольной форме,В первой части герба -- ворота -- выполнены из камня,В первой части герба -- ворота -- выполнены в форме,из камень,в форма,выполнить,из камня,в произвольной форме,2,3,из,в,камень,форма,NOUN,NOUN,prepositional,prepositional,Postverbal,Russian
"В итоге в 1018 году Санчо III Наваррский занял центральную часть графства , где разбив мавров , вторгшихся в Рибагорсу .",В итоге,в 1018 году,В итоге,в году,в итог,в год,занять,В итоге,в 1018 году,2,3,в,в,итог,год,NOUN,NOUN,prepositional,prepositional,Preverbal,Russian
"Кроме того , в связи с тем , что гидрокарбонат натрия не поступает обратно в кровь на пополнение щелочных резервов , развивается сильнейший ацидоз , а в условиях ацидоза действие диакарба прекращается .","Кроме того , в связи с тем , что гидрокарбонат натрия не поступает обратно в кровь","Кроме того , в связи с тем , что гидрокарбонат натрия не поступает обратно на пополнение щелочных резервов","Кроме того , в связи с тем , что гидрокарбонат натрия не поступает обратно в кровь","Кроме того , в связи с тем , что гидрокарбонат натрия не поступает обратно на пополнение",в кровь,на пополнение,поступать,в кровь,на пополнение щелочных резервов,2,4,в,на,кровь,пополнение,NOUN,NOUN,prepositional,prepositional,Postverbal,Russian
"Кроме того , в связи с тем , что гидрокарбонат натрия не поступает обратно в кровь на пополнение щелочных резервов , развивается сильнейший ацидоз , а в условиях ацидоза действие диакарба прекращается .","Кроме того ,","в связи с тем , что гидрокарбонат натрия не поступает обратно в кровь на пополнение щелочных резервов ,",Кроме того,в связи,кроме то,в связь,развиваться,"Кроме того ,","в связи с тем , что гидрокарбонат натрия не поступает обратно в кровь на пополнение щелочных резервов ,",3,18,кроме,в,то,связь,PRON,NOUN,prepositional,prepositional,Preverbal,Russian
"Крупных озёр нет , но в альпийском и горно-таёжном поясах в истоках почти всех рек встречаются озёра , в основном ледникового происхождения : каровые , моренно-подпрудные или рождённые горными обвалами .","Крупных озёр нет , но в альпийском и горно-таёжном поясах","Крупных озёр нет , но в истоках почти всех рек","Крупных озёр нет , но в поясах","Крупных озёр нет , но в истоках",в пояс,в исток,встречаться,в альпийском и горно-таёжном поясах,в истоках почти всех рек,5,5,в,в,пояс,исток,NOUN,NOUN,prepositional,prepositional,Preverbal,Russian
"Судислав Владимирович был высажен Ярославичами из поруба в 1059 году , они взяли с него присягу и постригли в монахи , умер он в 1063 году .",Судислав Владимирович был высажен Ярославичами из поруба,Судислав Владимирович был высажен Ярославичами в 1059 году,Судислав Владимирович был высажен Ярославичами из поруба,Судислав Владимирович был высажен Ярославичами в году,из поруб,в год,высадить,из поруба,в 1059 году,2,3,из,в,поруб,год,NOUN,NOUN,prepositional,prepositional,Postverbal,Russian
"Интеркаля́рная меристе́ма -- активно растущие меристематические участки , расположенные большей частью у основания стеблевых междоузлий между зонами дифференцированных тканей .","Интеркаля́рная меристе́ма -- активно растущие меристематические участки , расположенные большей частью у основания стеблевых междоузлий","Интеркаля́рная меристе́ма -- активно растущие меристематические участки , расположенные большей частью между зонами дифференцированных тканей","Интеркаля́рная меристе́ма -- активно растущие меристематические участки , расположенные большей частью у основания","Интеркаля́рная меристе́ма -- активно растущие меристематические участки , расположенные большей частью между зонами",у основание,между зона,расположить,у основания стеблевых междоузлий,между зонами дифференцированных тканей,4,4,у,между,основание,зона,NOUN,NOUN,prepositional,prepositional,Postverbal,Russian
"В 1931 году в селе была открыта семилетняя школа , в 1936 -- средняя .",В 1931 году,в селе,В году,в селе,в год,в село,открыть,В 1931 году,в селе,3,2,в,в,год,село,NOUN,NOUN,prepositional,prepositional,Preverbal,Russian
