Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
ach dìreach fhuair sinn mu dhà dhusan 's a dhà mar sineach dìreach,ach dìreach fhuair sinn mu dhà dhusan 's a dhà,ach dìreach fhuair sinn mar sineach,ach dìreach fhuair sinn mu dhusan,ach dìreach fhuair sinn mar sineach,mu dusan,mar sineach,faigh,mu dhà dhusan 's a dhà,mar sineach,6,2,mu,mar,dusan,sineach,NOUN,PRON,prepositional,prepositional,Postverbal,Scottish_Gaelic
's e retired nurse a bh' an i a-mach taobh a-mach à [Placename] am badeigin,'s e retired nurse a bh' an i a-mach taobh a-mach à [Placename],'s e retired nurse a bh' an i a-mach taobh a-mach am badeigin,'s e retired nurse a bh' an i a-mach taobh a-mach à [Placename],'s e retired nurse a bh' an i a-mach taobh a-mach am badeigin,à [Placename],an badeigin,bi,à [Placename],am badeigin,2,2,à,an,[Placename],badeigin,PROPN,NOUN,prepositional,prepositional,Postverbal,Scottish_Gaelic
tha ach leigidh sinn le e chon a-màireach e tha mi a' creidsinn,tha ach leigidh sinn le e,tha ach leigidh sinn chon a-màireach,tha ach leigidh sinn le e,tha ach leigidh sinn chon a-màireach,le e,con a-màireach,leig,le e,chon a-màireach,2,2,le,con,e,a-màireach,PRON,ADV,prepositional,prepositional,Postverbal,Scottish_Gaelic
uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà à [Placename] 's [?] thug e le e fear no dhà eile à [Placename] agus dh’fhalbh e às a-sin 's chaidh e a-null do an [Placename] 's ràinig e [Placename] is cha do chòrd a’ phrìs ri e 's chùm e air e gu [Placename],uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà,uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e à [Placename],uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach,uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e à [Placename],le beathach,à [Placename],falbh,le beathach no dhà,à [Placename],4,2,le,à,beathach,[Placename],NOUN,PROPN,prepositional,prepositional,Postverbal,Scottish_Gaelic
uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà à [Placename] 's [?] thug e le e fear no dhà eile à [Placename] agus dh’fhalbh e às a-sin 's chaidh e a-null do an [Placename] 's ràinig e [Placename] is cha do chòrd a’ phrìs ri e 's chùm e air e gu [Placename],uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà à [Placename] 's [?] thug e le e,uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà à [Placename] 's [?] thug e à [Placename],uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà à [Placename] 's [?] thug e le e,uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà à [Placename] 's [?] thug e à [Placename],le e,à [Placename],toir,le e,à [Placename],2,2,le,à,e,[Placename],PRON,PROPN,prepositional,prepositional,Postverbal,Scottish_Gaelic
uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà à [Placename] 's [?] thug e le e fear no dhà eile à [Placename] agus dh’fhalbh e às a-sin 's chaidh e a-null do an [Placename] 's ràinig e [Placename] is cha do chòrd a’ phrìs ri e 's chùm e air e gu [Placename],uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà à [Placename] 's [?] thug e le e fear no dhà eile à [Placename] agus dh’fhalbh e às a-sin 's chaidh e a-null do an [Placename] 's ràinig e [Placename] is cha do chòrd a’ phrìs ri e 's chùm e air e,uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà à [Placename] 's [?] thug e le e fear no dhà eile à [Placename] agus dh’fhalbh e às a-sin 's chaidh e a-null do an [Placename] 's ràinig e [Placename] is cha do chòrd a’ phrìs ri e 's chùm e gu [Placename],uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà à [Placename] 's [?] thug e le e fear no dhà eile à [Placename] agus dh’fhalbh e às a-sin 's chaidh e a-null do an [Placename] 's ràinig e [Placename] is cha do chòrd a’ phrìs ri e 's chùm e air e,uill tha stòiridh an e ma-thà mu dheidhinn fear ma-thà à [Placename] agus cheannaich e dh’fhalbh e le beathach no dhà à [Placename] 's [?] thug e le e fear no dhà eile à [Placename] agus dh’fhalbh e às a-sin 's chaidh e a-null do an [Placename] 's ràinig e [Placename] is cha do chòrd a’ phrìs ri e 's chùm e gu [Placename],air e,gu [Placename],cùm,air e,gu [Placename],2,2,air,gu,e,[Placename],PRON,PROPN,prepositional,prepositional,Postverbal,Scottish_Gaelic
gheibh thu iad aig drochaid a’ [Placename] cuideachd anns an t-Earrach,gheibh thu iad aig drochaid a’ [Placename],gheibh thu iad anns an t-Earrach,gheibh thu iad aig drochaid,gheibh thu iad anns t-Earrach,aig drochaid,an earrach,faigh,aig drochaid a’ [Placename],anns an t-Earrach,4,3,aig,an,drochaid,earrach,NOUN,NOUN,prepositional,prepositional,Postverbal,Scottish_Gaelic
"Sgrùd ise a bha an làthair is thug i an aire do shùilean mear Iain , ged a b' e Tormod a thuirt a-rithist gu robh na sùilean aicese ise coltach ri glumag dhorcha , dhomhainn far am bogadh tu do làmh is tu a' sireadh breac ach anns an robh a leithid de thàladh is gum faigheadh tu air do bhroinn gun chuimhn' aig thu dè bha thu a' sireadh .","Sgrùd ise a bha an làthair is thug i an aire do shùilean mear Iain , ged a b' e Tormod a thuirt a-rithist gu robh na sùilean aicese ise coltach ri glumag dhorcha , dhomhainn far am bogadh tu do làmh is tu a' sireadh breac ach anns an robh a leithid de thàladh is gum faigheadh tu air do bhroinn","Sgrùd ise a bha an làthair is thug i an aire do shùilean mear Iain , ged a b' e Tormod a thuirt a-rithist gu robh na sùilean aicese ise coltach ri glumag dhorcha , dhomhainn far am bogadh tu do làmh is tu a' sireadh breac ach anns an robh a leithid de thàladh is gum faigheadh tu gun chuimhn' aig thu dè bha thu a' sireadh","Sgrùd ise a bha an làthair is thug i an aire do shùilean mear Iain , ged a b' e Tormod a thuirt a-rithist gu robh na sùilean aicese ise coltach ri glumag dhorcha , dhomhainn far am bogadh tu do làmh is tu a' sireadh breac ach anns an robh a leithid de thàladh is gum faigheadh tu air bhroinn","Sgrùd ise a bha an làthair is thug i an aire do shùilean mear Iain , ged a b' e Tormod a thuirt a-rithist gu robh na sùilean aicese ise coltach ri glumag dhorcha , dhomhainn far am bogadh tu do làmh is tu a' sireadh breac ach anns an robh a leithid de thàladh is gum faigheadh tu gun chuimhn'",air broinn,gun cuimhne,faigh,air do bhroinn,gun chuimhn' aig thu dè bha thu a' sireadh,3,9,air,gun,broinn,cuimhne,NOUN,NOUN,prepositional,prepositional,Postverbal,Scottish_Gaelic
"Fad 's a bha Tormod a' toirt làmh-chuideachaidh do chompanach , rinn Iain air Inis , a leag i fhèin an a ghàirdeanan sìnte gu i .","Fad 's a bha Tormod a' toirt làmh-chuideachaidh do chompanach , rinn Iain air Inis , a leag i fhèin an a ghàirdeanan sìnte","Fad 's a bha Tormod a' toirt làmh-chuideachaidh do chompanach , rinn Iain air Inis , a leag i fhèin gu i","Fad 's a bha Tormod a' toirt làmh-chuideachaidh do chompanach , rinn Iain air Inis , a leag i fhèin an ghàirdeanan","Fad 's a bha Tormod a' toirt làmh-chuideachaidh do chompanach , rinn Iain air Inis , a leag i fhèin gu i",an gàirdean,gu i,leag,an a ghàirdeanan sìnte,gu i,4,2,an,gu,gàirdean,i,NOUN,PRON,prepositional,prepositional,Postverbal,Scottish_Gaelic
"Ann am beagan mhionaidean mhothaich Tormod gu robh an làir a' maoladh a cluasan , gum faiceadh e geal sùil na làrach , gun tàinig rocan an a seice , is chuir i a bha de [?] mu a ceann gu gliongadaich .","Ann am beagan mhionaidean mhothaich Tormod gu robh an làir a' maoladh a cluasan , gum faiceadh e geal sùil na làrach , gun tàinig rocan an a seice , is chuir i a bha de [?]","Ann am beagan mhionaidean mhothaich Tormod gu robh an làir a' maoladh a cluasan , gum faiceadh e geal sùil na làrach , gun tàinig rocan an a seice , is chuir i a bha mu a ceann","Ann am beagan mhionaidean mhothaich Tormod gu robh an làir a' maoladh a cluasan , gum faiceadh e geal sùil na làrach , gun tàinig rocan an a seice , is chuir i a bha de [?]","Ann am beagan mhionaidean mhothaich Tormod gu robh an làir a' maoladh a cluasan , gum faiceadh e geal sùil na làrach , gun tàinig rocan an a seice , is chuir i a bha mu ceann",de [?],mu ceann,bi,de [?],mu a ceann,2,3,de,mu,[?],ceann,X,NOUN,prepositional,prepositional,Postverbal,Scottish_Gaelic
