Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
""" Utisak je da su koraci preduzeti prema medijima , za koje su izrečene presude , selektivni , te da institucije ne koriste iste metode u sprovođenju zakona prema svim medijima "" , rekla direktorka Medijskog instituta Makedonije Biljana Petkovska za SETimes .",""" Utisak je da su koraci preduzeti prema medijima , za koje su izrečene presude , selektivni , te da institucije ne koriste iste metode u sprovođenju zakona",""" Utisak je da su koraci preduzeti prema medijima , za koje su izrečene presude , selektivni , te da institucije ne koriste iste metode prema svim medijima",""" Utisak je da su koraci preduzeti prema medijima , za koje su izrečene presude , selektivni , te da institucije ne koriste iste metode u sprovođenju",""" Utisak je da su koraci preduzeti prema medijima , za koje su izrečene presude , selektivni , te da institucije ne koriste iste metode prema medijima",u sprovođenje,prema medij,koristiti,u sprovođenju zakona,prema svim medijima,3,3,u,prema,sprovođenje,medij,NOUN,NOUN,prepositional,prepositional,Postverbal,Serbian
""" Ostajem član Predsedništva [ BiH ] i nastavljam na tom položaju da radim u punom kapacitetu sa svim obavezama prema državi "" , izjavio je Komšić medijima nakon što je saopštio da podnosi ostavku na mesto u stranci .",""" Ostajem član Predsedništva [ BiH ] i nastavljam na tom položaju da radim u punom kapacitetu",""" Ostajem član Predsedništva [ BiH ] i nastavljam na tom položaju da radim sa svim obavezama prema državi",""" Ostajem član Predsedništva [ BiH ] i nastavljam na tom položaju da radim u kapacitetu",""" Ostajem član Predsedništva [ BiH ] i nastavljam na tom položaju da radim sa obavezama",u kapacitet,sa obaveza,raditi,u punom kapacitetu,sa svim obavezama prema državi,3,5,u,sa,kapacitet,obaveza,NOUN,NOUN,prepositional,prepositional,Postverbal,Serbian
"U suprotnom ćemo biti neozbiljni političari bez zajedničkog stava "" , rekao je Lagumdžija novinarima u Beogradu posle sastanka sa Jeremićem 14. marta .","U suprotnom ćemo biti neozbiljni političari bez zajedničkog stava "" , rekao je Lagumdžija novinarima u Beogradu","U suprotnom ćemo biti neozbiljni političari bez zajedničkog stava "" , rekao je Lagumdžija novinarima posle sastanka sa Jeremićem","U suprotnom ćemo biti neozbiljni političari bez zajedničkog stava "" , rekao je Lagumdžija novinarima u Beogradu","U suprotnom ćemo biti neozbiljni političari bez zajedničkog stava "" , rekao je Lagumdžija novinarima posle sastanka",u Beograd,posle sastanak,reći,u Beogradu,posle sastanka sa Jeremićem,2,4,u,posle,Beograd,sastanak,PROPN,NOUN,prepositional,prepositional,Postverbal,Serbian
"Samo nekoliko meseci uoči oktobarskih lokalnih izbora ostavka je uzdrmala birače i dovela SDP u nepovoljan položaj , s obzirom na Komšićevu popularnost .",Samo nekoliko meseci uoči oktobarskih lokalnih izbora ostavka je uzdrmala birače i dovela SDP u nepovoljan položaj,"Samo nekoliko meseci uoči oktobarskih lokalnih izbora ostavka je uzdrmala birače i dovela SDP , s obzirom na Komšićevu popularnost",Samo nekoliko meseci uoči oktobarskih lokalnih izbora ostavka je uzdrmala birače i dovela SDP u položaj,Samo nekoliko meseci uoči oktobarskih lokalnih izbora ostavka je uzdrmala birače i dovela SDP s popularnost,u položaj,sa popularnost,dovesti,u nepovoljan položaj,", s obzirom na Komšićevu popularnost",3,6,u,sa,položaj,popularnost,NOUN,NOUN,prepositional,prepositional,Postverbal,Serbian
"To je bio moj motiv da glasam za njega "" , rekla je Selma Gunić iz Sarajeva za SETimes .","To je bio moj motiv da glasam za njega "" , rekla je Selma Gunić iz Sarajeva","To je bio moj motiv da glasam za njega "" , rekla je Selma Gunić za SETimes","To je bio moj motiv da glasam za njega "" , rekla je Selma Gunić iz Sarajeva","To je bio moj motiv da glasam za njega "" , rekla je Selma Gunić za SETimes",iz Sarajevo,za SETimes,reći,iz Sarajeva,za SETimes,2,2,iz,za,Sarajevo,SETimes,PROPN,X,prepositional,prepositional,Postverbal,Serbian
""" Mislim da je njegova obaveza da sarađuje sa parlamentom na ustavnim reformama .",""" Mislim da je njegova obaveza da sarađuje sa parlamentom",""" Mislim da je njegova obaveza da sarađuje na ustavnim reformama",""" Mislim da je njegova obaveza da sarađuje sa parlamentom",""" Mislim da je njegova obaveza da sarađuje na reformama",sa parlament,na reforma,sarađivati,sa parlamentom,na ustavnim reformama,2,3,sa,na,parlament,reforma,NOUN,NOUN,prepositional,prepositional,Postverbal,Serbian
Makedonski vojnik oprašta se od svog sina pred odlazak u mirovnu misiju u Avganistan .,Makedonski vojnik oprašta se od svog sina,Makedonski vojnik oprašta se pred odlazak u mirovnu misiju u Avganistan,Makedonski vojnik oprašta se od sina,Makedonski vojnik oprašta se pred odlazak,od sin,pred odlazak,opraštati,od svog sina,pred odlazak u mirovnu misiju u Avganistan,3,7,od,pred,sin,odlazak,NOUN,NOUN,prepositional,prepositional,Postverbal,Serbian
Na taj način pokušava da nametne svoj interes nad zajedničkim interesom Alijanse u zamenu za regionalnu stabilnost i na njen račun .,Na taj način pokušava da nametne svoj interes nad zajedničkim interesom Alijanse,Na taj način pokušava da nametne svoj interes u zamenu za regionalnu stabilnost i na njen račun,Na taj način pokušava da nametne svoj interes nad interesom,Na taj način pokušava da nametne svoj interes u zamenu,nad interes,u zamena,nametnuti,nad zajedničkim interesom Alijanse,u zamenu za regionalnu stabilnost i na njen račun,4,9,nad,u,interes,zamena,NOUN,NOUN,prepositional,prepositional,Postverbal,Serbian
Kakvo je iskustvo iz tog poduhvata i koliko Makedonija dobija od slanja vojnika u te mirovne misije ?,Kakvo je iskustvo iz tog poduhvata i koliko Makedonija dobija od slanja vojnika,Kakvo je iskustvo iz tog poduhvata i koliko Makedonija dobija u te mirovne misije,Kakvo je iskustvo iz tog poduhvata i koliko Makedonija dobija od slanja,Kakvo je iskustvo iz tog poduhvata i koliko Makedonija dobija u misije,od slanje,u misija,dobijati,od slanja vojnika,u te mirovne misije,3,4,od,u,slanje,misija,NOUN,NOUN,prepositional,prepositional,Postverbal,Serbian
"Turski predsednik potpisao je u petak ključni paket ustavnih amandmana , sa ciljem da se zemlja približi standardima EU .",Turski predsednik potpisao je u petak,"Turski predsednik potpisao je , sa ciljem da se zemlja približi standardima EU",Turski predsednik potpisao je u petak,Turski predsednik potpisao je sa ciljem,u petak,sa cilj,potpisati,u petak,", sa ciljem da se zemlja približi standardima EU",2,9,u,sa,petak,cilj,NOUN,NOUN,prepositional,prepositional,Postverbal,Serbian
