Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
V lete 1948 v Prahe zažiadal o zahraničné štipendium .,V lete 1948,v Prahe,V lete,v Prahe,v leto,v praha,zažiadať,V lete 1948,v Prahe,3,2,v,v,leto,praha,NOUN,PROPN,prepositional,prepositional,Preverbal,Slovak
VEĽMI KOMPLIKOVANOU ZHODOU OKOLNOSTÍ HO PO ROKU dostal a odišiel NA ROK do Nórska .,VEĽMI KOMPLIKOVANOU ZHODOU OKOLNOSTÍ HO PO ROKU dostal a odišiel NA ROK,VEĽMI KOMPLIKOVANOU ZHODOU OKOLNOSTÍ HO PO ROKU dostal a odišiel do Nórska,VEĽMI KOMPLIKOVANOU ZHODOU OKOLNOSTÍ HO PO ROKU dostal a odišiel NA ROK,VEĽMI KOMPLIKOVANOU ZHODOU OKOLNOSTÍ HO PO ROKU dostal a odišiel do Nórska,na rok,do nórsko,odísť,NA ROK,do Nórska,2,2,na,do,rok,nórsko,NOUN,PROPN,prepositional,prepositional,Postverbal,Slovak
"Pred voľbami bolo – v neposlednom rade v Mostoch – mnoho krásnych vzletných výkladov , prečo treba voliť Martina Bútoru .",Pred voľbami bolo – v neposlednom rade,Pred voľbami bolo v Mostoch –,Pred voľbami bolo v rade,Pred voľbami bolo v Mostoch,v rad,v mosty,byť,– v neposlednom rade,v Mostoch –,4,3,v,v,rad,mosty,NOUN,PROPN,prepositional,prepositional,Postverbal,Slovak
Kompletný program 3 . Gay Film Festivalu Slovakia nájdete na Film Site v rubrike Ceny a festivaly .,Kompletný program 3 . Gay Film Festivalu Slovakia nájdete na Film Site,Kompletný program 3 . Gay Film Festivalu Slovakia nájdete v rubrike Ceny a festivaly,Kompletný program 3 . Gay Film Festivalu Slovakia nájdete na Film,Kompletný program 3 . Gay Film Festivalu Slovakia nájdete v rubrike,na film,v rubrika,nájsť,na Film Site,v rubrike Ceny a festivaly,3,5,na,v,film,rubrika,X,NOUN,prepositional,prepositional,Postverbal,Slovak
"Bude to filmové spracovanie románu Rene Steinkeho , ktorý vychádza v USA v týchto dňoch .","Bude to filmové spracovanie románu Rene Steinkeho , ktorý vychádza v USA","Bude to filmové spracovanie románu Rene Steinkeho , ktorý vychádza v týchto dňoch","Bude to filmové spracovanie románu Rene Steinkeho , ktorý vychádza v USA","Bude to filmové spracovanie románu Rene Steinkeho , ktorý vychádza v dňoch",v usa,v deň,vychádzať,v USA,v týchto dňoch,2,3,v,v,usa,deň,PROPN,NOUN,prepositional,prepositional,Postverbal,Slovak
Nakrúcanie by sa malo začať v apríli v Luxemburgu .,Nakrúcanie by sa malo začať v apríli,Nakrúcanie by sa malo začať v Luxemburgu,Nakrúcanie by sa malo začať v apríli,Nakrúcanie by sa malo začať v Luxemburgu,v apríl,v luxemburg,začať,v apríli,v Luxemburgu,2,2,v,v,apríl,luxemburg,NOUN,PROPN,prepositional,prepositional,Postverbal,Slovak
Jedlo je na stole za necelú polhodinu .,Jedlo je na stole,Jedlo je za necelú polhodinu,Jedlo je na stole,Jedlo je za polhodinu,na stôl,za polhodina,byť,na stole,za necelú polhodinu,2,3,na,za,stôl,polhodina,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovak
Alebo si ju stiahnite v súbore PDF na tej istej adrese .,Alebo si ju stiahnite v súbore PDF,Alebo si ju stiahnite na tej istej adrese,Alebo si ju stiahnite v súbore,Alebo si ju stiahnite na adrese,v súbor,na adresa,stiahnuť,v súbore PDF,na tej istej adrese,3,4,v,na,súbor,adresa,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovak
"Sú vhodné do teplého letného počasia , od jesene do jari ich použitie neodporúčam .","Sú vhodné do teplého letného počasia , od jesene","Sú vhodné do teplého letného počasia , do jari","Sú vhodné do teplého letného počasia , od jesene","Sú vhodné do teplého letného počasia , do jari",od jeseň,do jar,odporúčať,od jesene,do jari,2,2,od,do,jeseň,jar,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovak
"Došlo mi , že po celý čas nad nami visel oveľa výraznejší dôkaz božskosti Mira Šatana .","Došlo mi , že po celý čas","Došlo mi , že nad nami","Došlo mi , že po čas","Došlo mi , že nad nami",po čas,nad my,visieť,po celý čas,nad nami,3,2,po,nad,čas,my,NOUN,PRON,prepositional,prepositional,Preverbal,Slovak
