Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"V bolnišnici so že pred časom pripravili vse potrebno za negovanje bolnikov , pri katerih je bilo zdravljenje končano .",V bolnišnici,pred časom,V bolnišnici,pred časom,v bolnišnica,pred čas,pripraviti,V bolnišnici,pred časom,2,2,v,pred,bolnišnica,čas,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovenian
"Pri bioresonančni metodi s posebnimi elektroprevodnimi elektrodami izločijo nihanja iz obolelega telesa in to informacijo po elektrodnem kablu pripeljejo v napravo , ki poljubno spreminja nihanja .",Pri bioresonančni metodi,s posebnimi elektroprevodnimi elektrodami,Pri metodi,s elektrodami,pri metoda,z elektroda,izločiti,Pri bioresonančni metodi,s posebnimi elektroprevodnimi elektrodami,3,4,pri,z,metoda,elektroda,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovenian
"Telo sprejme "" dražljaj "" in pride v resonanco s terapevtskim nihanjem .","Telo sprejme "" dražljaj "" in pride v resonanco","Telo sprejme "" dražljaj "" in pride s terapevtskim nihanjem","Telo sprejme "" dražljaj "" in pride v resonanco","Telo sprejme "" dražljaj "" in pride s nihanjem",v resonanca,z nihanje,priti,v resonanco,s terapevtskim nihanjem,2,3,v,z,resonanca,nihanje,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian
"Poroka je potekala brez zamude okoli poldneva , dirko pa so prestavili za dvajset minut .",Poroka je potekala brez zamude,Poroka je potekala okoli poldneva,Poroka je potekala brez zamude,Poroka je potekala okoli poldneva,brez zamuda,okoli poldan,potekati,brez zamude,okoli poldneva,2,2,brez,okoli,zamuda,poldan,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian
"Ustavno sodišče je predlog pomladnikov zavrnilo z modro obrazložitvijo , da gre v tem primeru za "" pozitivno diskriminacijo "" .","Ustavno sodišče je predlog pomladnikov zavrnilo z modro obrazložitvijo , da gre v tem primeru","Ustavno sodišče je predlog pomladnikov zavrnilo z modro obrazložitvijo , da gre za "" pozitivno diskriminacijo ""","Ustavno sodišče je predlog pomladnikov zavrnilo z modro obrazložitvijo , da gre v primeru","Ustavno sodišče je predlog pomladnikov zavrnilo z modro obrazložitvijo , da gre za diskriminacijo",v primer,za diskriminacija,iti,v tem primeru,"za "" pozitivno diskriminacijo """,3,5,v,za,primer,diskriminacija,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian
"V osnovni šoli v Bistrici pri Tržiču bodo v soboto , 8. , in nedeljo , 9. maja , pripravili 27. Mednarodne dneve mineralov , fosilov in okolja .",V osnovni šoli v Bistrici pri Tržiču,"v soboto , 8. , in nedeljo , 9. maja ,",V šoli,v soboto,v šola,v sobota,pripraviti,V osnovni šoli v Bistrici pri Tržiču,"v soboto , 8. , in nedeljo , 9. maja ,",7,11,v,v,šola,sobota,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovenian
"Razstavo bo v petek , 7. maja , ob 19. uri odprl Ivo Bizjak , varuh človekovih pravic .","Razstavo bo v petek , 7. maja ,",Razstavo bo ob 19. uri,Razstavo bo v petek,Razstavo bo ob uri,v petek,ob ura,odpreti,"v petek , 7. maja ,",ob 19. uri,6,3,v,ob,petek,ura,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovenian
Na predlog premiera Janeza Drnovška so za naslednika na vrhu notranjega ministrstva imenovali Boruta Šukljeta .,Na predlog premiera Janeza Drnovška,na vrhu notranjega ministrstva,Na predlog,na vrhu,na predlog,na vrh,imenovati,Na predlog premiera Janeza Drnovška,na vrhu notranjega ministrstva,5,4,na,na,predlog,vrh,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovenian
"Gre za vozilo , ki bo kupcem na voljo za več namenov , hkrati pa bo lahkotno za vožnjo .","Gre za vozilo , ki bo kupcem na voljo","Gre za vozilo , ki bo kupcem za več namenov","Gre za vozilo , ki bo kupcem na voljo","Gre za vozilo , ki bo kupcem za namenov",na volja,za namen,biti,na voljo,za več namenov,2,3,na,za,volja,namen,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian
"S tem naj bi pridobila prednost na trgu banan pred evropsko konkurenco , obenem pa bo lahko z bananami zadovoljila lastno tržišče za več let .",S tem naj bi pridobila prednost na trgu banan,S tem naj bi pridobila prednost pred evropsko konkurenco,S tem naj bi pridobila prednost na trgu,S tem naj bi pridobila prednost pred konkurenco,na trg,pred konkurenca,pridobiti,na trgu banan,pred evropsko konkurenco,3,3,na,pred,trg,konkurenca,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian
Zaradi nizkih plač v Sloveniji bi namreč na Koroško prihajala poceni delovna sila in tamkajšnji ljudje bi izgubljali delo .,Zaradi nizkih plač v Sloveniji,na Koroško,Zaradi plač,na Koroško,zaradi plača,na Koroška,prihajati,Zaradi nizkih plač v Sloveniji,na Koroško,5,2,zaradi,na,plača,Koroška,NOUN,PROPN,prepositional,prepositional,Preverbal,Slovenian
"Veš , koliko najinega skupnega življenja gre zaradi tvojega spanca v nič ? ! !","Veš , koliko najinega skupnega življenja gre zaradi tvojega spanca","Veš , koliko najinega skupnega življenja gre v nič","Veš , koliko najinega skupnega življenja gre zaradi spanca","Veš , koliko najinega skupnega življenja gre v nič",zaradi spanec,v nič,iti,zaradi tvojega spanca,v nič,3,2,zaradi,v,spanec,nič,NOUN,PRON,prepositional,prepositional,Postverbal,Slovenian
"Svet je za obveščevalno delo Sorgea in njegove skupine izvedel šele iz poročila , ki ga je po 2. svetovni vojni za senatni odbor v Washingtonu izdelal šef obveščevalne službe ameriškega generala McArthurja na Japonskem .","Svet je za obveščevalno delo Sorgea in njegove skupine izvedel šele iz poročila , ki ga je po 2. svetovni vojni","Svet je za obveščevalno delo Sorgea in njegove skupine izvedel šele iz poročila , ki ga je za senatni odbor v Washingtonu","Svet je za obveščevalno delo Sorgea in njegove skupine izvedel šele iz poročila , ki ga je po vojni","Svet je za obveščevalno delo Sorgea in njegove skupine izvedel šele iz poročila , ki ga je za odbor",po vojna,za odbor,izdelati,po 2. svetovni vojni,za senatni odbor v Washingtonu,4,5,po,za,vojna,odbor,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovenian
"Sedaj je že dokončno znano , da v nadaljevanju prvenstva v vratih ne bo več Pejkoviča - če bo vse po sreči , ga bo zamenjal Magič , ki trenutno brani v Avstriji - in igralca sredine Šalje , medtem ko se v Kočevje vrača Merdanovič in verjetno tudi Stojanovič .","Sedaj je že dokončno znano , da v nadaljevanju prvenstva","Sedaj je že dokončno znano , da v vratih","Sedaj je že dokončno znano , da v nadaljevanju","Sedaj je že dokončno znano , da v vratih",v nadaljevanje,v vrata,biti,v nadaljevanju prvenstva,v vratih,3,2,v,v,nadaljevanje,vrata,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovenian
"Druga ne prevaja , ampak ponudi v nekaj različnih jezikih jezikovne možnosti s pomočjo izpeljanke na vpisano besedo , glagol …","Druga ne prevaja , ampak ponudi v nekaj različnih jezikih","Druga ne prevaja , ampak ponudi s pomočjo izpeljanke na vpisano besedo , glagol","Druga ne prevaja , ampak ponudi v jezikih","Druga ne prevaja , ampak ponudi s pomočjo",v jezik,z pomoč,ponuditi,v nekaj različnih jezikih,"s pomočjo izpeljanke na vpisano besedo , glagol",4,8,v,z,jezik,pomoč,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian
» Size converter « pa bo v pomoč pri nakupovanjih .,» Size converter « pa bo v pomoč,» Size converter « pa bo pri nakupovanjih,» Size converter « pa bo v pomoč,» Size converter « pa bo pri nakupovanjih,v pomoč,pri nakupovanje,biti,v pomoč,pri nakupovanjih,2,2,v,pri,pomoč,nakupovanje,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian
"Razlogi so jasni , saj bi bili z razcvetom napovedanih prodajnih centrov ob del dohodka , ki se zliva v njihovo malho s prodajo melodij zvonjenja in tudi že samih pesmi različnih izvajalcev .","Razlogi so jasni , saj bi bili z razcvetom napovedanih prodajnih centrov","Razlogi so jasni , saj bi bili ob del dohodka , ki se zliva v njihovo malho s prodajo melodij zvonjenja in tudi že samih pesmi različnih izvajalcev","Razlogi so jasni , saj bi bili z razcvetom","Razlogi so jasni , saj bi bili ob del",z razcvet,ob del,biti,z razcvetom napovedanih prodajnih centrov,"ob del dohodka , ki se zliva v njihovo malho s prodajo melodij zvonjenja in tudi že samih pesmi različnih izvajalcev",5,21,z,ob,razcvet,del,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian
"Razlogi so jasni , saj bi bili z razcvetom napovedanih prodajnih centrov ob del dohodka , ki se zliva v njihovo malho s prodajo melodij zvonjenja in tudi že samih pesmi različnih izvajalcev .","Razlogi so jasni , saj bi bili z razcvetom napovedanih prodajnih centrov ob del dohodka , ki se zliva v njihovo malho","Razlogi so jasni , saj bi bili z razcvetom napovedanih prodajnih centrov ob del dohodka , ki se zliva s prodajo melodij zvonjenja in tudi že samih pesmi različnih izvajalcev","Razlogi so jasni , saj bi bili z razcvetom napovedanih prodajnih centrov ob del dohodka , ki se zliva v malho","Razlogi so jasni , saj bi bili z razcvetom napovedanih prodajnih centrov ob del dohodka , ki se zliva s prodajo",v malha,z prodaja,zlivati,v njihovo malho,s prodajo melodij zvonjenja in tudi že samih pesmi različnih izvajalcev,3,11,v,z,malha,prodaja,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian
