Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"El portavoz del PP , Rafael Hernando , dijo hoy a EFE que los agentes sociales deben acudir con mentalidad "" abierta "" y sin planteamientos "" preconcebidos "" a la cita de esta tarde con el presidente del Gobierno , José María Aznar .","El portavoz del PP , Rafael Hernando , dijo hoy a EFE que los agentes sociales deben acudir con mentalidad "" abierta "" y sin planteamientos "" preconcebidos ""","El portavoz del PP , Rafael Hernando , dijo hoy a EFE que los agentes sociales deben acudir a la cita de esta tarde con el presidente del Gobierno , José María Aznar","El portavoz del PP , Rafael Hernando , dijo hoy a EFE que los agentes sociales deben acudir con mentalidad","El portavoz del PP , Rafael Hernando , dijo hoy a EFE que los agentes sociales deben acudir a cita",con mentalidad,a cita,acudir,"con mentalidad "" abierta "" y sin planteamientos "" preconcebidos ""","a la cita de esta tarde con el presidente del Gobierno , José María Aznar",11,15,con,a,mentalidad,cita,NOUN,NOUN,prepositional,prepositional,Postverbal,Spanish
"Algroup , presente en 18 países y con 23.000 empleados , opera en el sector de la producción de aluminio y el empaquetado , con una fuerte presencia en el sector de la industria del transporte y del embalaje de productos alimentarios , cosméticos y farmacéuticos .","Algroup , presente en 18 países y con 23.000 empleados , opera en el sector de la producción de aluminio y el empaquetado","Algroup , presente en 18 países y con 23.000 empleados , opera , con una fuerte presencia en el sector de la industria del transporte y del embalaje de productos alimentarios , cosméticos y farmacéuticos","Algroup , presente en 18 países y con 23.000 empleados , opera en sector","Algroup , presente en 18 países y con 23.000 empleados , opera con presencia",en sector,con presencia,operar,en el sector de la producción de aluminio y el empaquetado,", con una fuerte presencia en el sector de la industria del transporte y del embalaje de productos alimentarios , cosméticos y farmacéuticos",11,23,en,con,sector,presencia,NOUN,NOUN,prepositional,prepositional,Postverbal,Spanish
"El consumo de café en Alemania aumentó cerca del 2 por ciento en 1999 , según las estadísticas anuales de la empresa Kraft Foods de Bremen .",El consumo de café en Alemania aumentó cerca del 2 por ciento en 1999,"El consumo de café en Alemania aumentó cerca del 2 por ciento , según las estadísticas anuales de la empresa Kraft Foods de Bremen",El consumo de café en Alemania aumentó cerca del 2 por ciento en 1999,El consumo de café en Alemania aumentó cerca del 2 por ciento según estadísticas,en 1999,según estadística,aumentar,en 1999,", según las estadísticas anuales de la empresa Kraft Foods de Bremen",2,12,en,según,1999,estadística,NOUN,NOUN,prepositional,prepositional,Postverbal,Spanish
Entre el 5 y el 6 de junio se encontrarán en Bremen cerca de 200 expertos de Europa y Sudamérica en el XII Congreso Europeo sobre café en el que se tratarán diversos temas entre los que están los peligros de la tecnología genética y la búsqueda de nuevos caminos para la comercialización del grano .,Entre el 5 y el 6 de junio se encontrarán en Bremen,Entre el 5 y el 6 de junio se encontrarán en el XII Congreso Europeo sobre café en el que se tratarán diversos temas entre los que están los peligros de la tecnología genética y la búsqueda de nuevos caminos para la comercialización del grano,Entre el 5 y el 6 de junio se encontrarán en Bremen,Entre el 5 y el 6 de junio se encontrarán en XII,en Bremen,en XII,encontrar,en Bremen,en el XII Congreso Europeo sobre café en el que se tratarán diversos temas entre los que están los peligros de la tecnología genética y la búsqueda de nuevos caminos para la comercialización del grano,2,35,en,en,Bremen,XII,PROPN,PROPN,prepositional,prepositional,Postverbal,Spanish
"Por otra parte , el texto de la patronal contempla la creación de nuevos contratos de trabajo enfocados a la reinserción laboral de una duración que podrá oscilar de 18 meses a cinco años y la ampliación de ocho a doce meses del periodo de referencia ( durante el cual se exige haber trabajado cuatro meses ) para poder solicitar el subsidio de desempleo .","Por otra parte , el texto de la patronal contempla la creación de nuevos contratos de trabajo enfocados a la reinserción laboral de una duración que podrá oscilar de 18 meses","Por otra parte , el texto de la patronal contempla la creación de nuevos contratos de trabajo enfocados a la reinserción laboral de una duración que podrá oscilar a cinco años","Por otra parte , el texto de la patronal contempla la creación de nuevos contratos de trabajo enfocados a la reinserción laboral de una duración que podrá oscilar de meses","Por otra parte , el texto de la patronal contempla la creación de nuevos contratos de trabajo enfocados a la reinserción laboral de una duración que podrá oscilar a años",de mes,a año,oscilar,de 18 meses,a cinco años,3,3,de,a,mes,año,NOUN,NOUN,prepositional,prepositional,Postverbal,Spanish
"El avión de Barak , procedente de Israel , aterrizó a las 8.15 hora local ( 07.15 gmt ) , en la base aérea de Figo Maduro , anexa al aeropuerto internacional de Lisboa .","El avión de Barak , procedente de Israel , aterrizó a las 8.15 hora local ( 07.15 gmt )","El avión de Barak , procedente de Israel , aterrizó , en la base aérea de Figo Maduro , anexa al aeropuerto internacional de Lisboa","El avión de Barak , procedente de Israel , aterrizó a 8.15","El avión de Barak , procedente de Israel , aterrizó en base",a 8.15,en base,aterrizar,a las 8.15 hora local ( 07.15 gmt ),", en la base aérea de Figo Maduro , anexa al aeropuerto internacional de Lisboa",9,15,a,en,8.15,base,NUM,NOUN,prepositional,prepositional,Postverbal,Spanish
"El primer ministro israelí partió , en medio de fuertes medidas de seguridad , hacia el Palacio de Sao Bento para reunir se con su homólogo portugués , Antonio Guterres , que preside este semestre el Consejo Europeo .","El primer ministro israelí partió , en medio de fuertes medidas de seguridad ,",El primer ministro israelí partió hacia el Palacio de Sao Bento,El primer ministro israelí partió en medidas,El primer ministro israelí partió hacia Palacio,en medida,hacia Palacio,partir,", en medio de fuertes medidas de seguridad ,",hacia el Palacio de Sao Bento,9,6,en,hacia,medida,Palacio,NOUN,PROPN,prepositional,prepositional,Postverbal,Spanish
"Clinton , que se encuentra en Lisboa desde el martes pasado , conversó por teléfono ayer , durante 20 minutos , con el presidente de la Autoridad Nacional Palestina , Yasser Arafat .","Clinton , que se encuentra en Lisboa","Clinton , que se encuentra desde el martes pasado","Clinton , que se encuentra en Lisboa","Clinton , que se encuentra desde martes",en Lisboa,desde martes,encontrar,en Lisboa,desde el martes pasado,2,4,en,desde,Lisboa,martes,PROPN,NOUN,prepositional,prepositional,Postverbal,Spanish
"Cuauhtémoc Cárdenas , líder del Partido de la Revolución Democrática ( PRD ) , quien por tercera vez busca la presidencia , aparece de tercero en las intenciones de votos , mientras que los restantes tres candidatos apenas superan juntos el dos por ciento .","Cuauhtémoc Cárdenas , líder del Partido de la Revolución Democrática ( PRD ) , quien por tercera vez busca la presidencia , aparece de tercero","Cuauhtémoc Cárdenas , líder del Partido de la Revolución Democrática ( PRD ) , quien por tercera vez busca la presidencia , aparece en las intenciones de votos","Cuauhtémoc Cárdenas , líder del Partido de la Revolución Democrática ( PRD ) , quien por tercera vez busca la presidencia , aparece de tercero","Cuauhtémoc Cárdenas , líder del Partido de la Revolución Democrática ( PRD ) , quien por tercera vez busca la presidencia , aparece en intenciones",de tercero,en intención,aparecer,de tercero,en las intenciones de votos,2,5,de,en,tercero,intención,ADJ,NOUN,prepositional,prepositional,Postverbal,Spanish
"Pero la opinión de Vargas Llosa fue considerada como una intromisión en los asuntos políticos internos de México por un sector radical del PRI , que incluso solicitó su expulsión del país , cuando el escritor ya había viajado a Costa Rica en su gira para presentar su más reciente libro , "" La fiesta del chivo "" .","Pero la opinión de Vargas Llosa fue considerada como una intromisión en los asuntos políticos internos de México por un sector radical del PRI , que incluso solicitó su expulsión del país , cuando el escritor ya había viajado a Costa Rica","Pero la opinión de Vargas Llosa fue considerada como una intromisión en los asuntos políticos internos de México por un sector radical del PRI , que incluso solicitó su expulsión del país , cuando el escritor ya había viajado en su gira para presentar su más reciente libro , "" La fiesta del chivo ""","Pero la opinión de Vargas Llosa fue considerada como una intromisión en los asuntos políticos internos de México por un sector radical del PRI , que incluso solicitó su expulsión del país , cuando el escritor ya había viajado a Costa","Pero la opinión de Vargas Llosa fue considerada como una intromisión en los asuntos políticos internos de México por un sector radical del PRI , que incluso solicitó su expulsión del país , cuando el escritor ya había viajado en gira",a Costa,en gira,viajar,a Costa Rica,"en su gira para presentar su más reciente libro , "" La fiesta del chivo """,3,16,a,en,Costa,gira,PROPN,NOUN,prepositional,prepositional,Postverbal,Spanish
