Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,-3,-1,-0.2165299637953154,-1,-4.6314e-07,-1,0.0008844883598693176,1,0,dar,Preverbal
1,1,1,-0.09326753387429759,-1,1.90320045e-05,1,-0.037135675305267235,-1,0,alcanzar,Preverbal
1,5,1,-0.2838098858002819,-1,4.8880353e-06,1,0.03246820236162251,1,0,registrar,Preverbal
1,2,1,-0.17506005804966818,-1,9.84359e-06,1,0.009458097683293198,1,0,comunicar,Preverbal
1,-10,-1,0.1281958008354562,1,-0.0009529336799999999,-1,-0.004016741072313756,-1,1,dar,Preverbal
1,-4,-1,0.09709483652835338,1,7.021296000000001e-06,1,-0.0014445520644931764,-1,0,morir,Preverbal
1,4,1,-0.06511723001773685,-1,8.64216e-06,1,0.005969856728993916,1,0,resolver,Preverbal
1,-1,-1,-0.18705683582413485,-1,-1.324368e-05,-1,-0.024056782807980903,-1,1,continuar,Preverbal
1,-5,-1,-0.08851635323144033,-1,5.970000000000216e-08,1,0.0009797434716172781,1,1,señalar,Preverbal
1,-4,-1,-0.01301032784486042,-1,-2.7993599999999996e-06,-1,0.003491232417617507,1,0,quedar,Preverbal
1,-2,-1,-0.16897941119659246,-1,3.85445e-06,1,-0.013190740411304858,-1,0,acabar,Preverbal
1,-5,-1,0.21941247001968361,1,-4.825328e-06,-1,-0.022504772450010035,-1,0,mostrar,Preverbal
1,-4,-1,-0.1587366120554893,-1,-0.00015454799999999993,-1,0.006835371513781829,1,1,vender,Preverbal
1,0,0,0.2023544629910278,1,-4.2674242e-05,-1,0.04953741545585344,1,0,existir,Preverbal
1,-20,-1,0.22723802471726576,1,-9.756567e-06,-1,-0.0004138758161499334,-1,0,achacar,Preverbal
1,1,1,-0.011387375089933788,-1,6.31008e-06,1,-0.010270580404203478,-1,0,disminuir,Preverbal
1,-5,-1,0.003821643397614538,1,6.679007999999999e-07,1,-0.0011831000322458651,-1,0,poner,Preverbal
1,0,0,-0.23174633581391296,-1,-7.500120000000001e-06,-1,0.004605427005304696,1,1,esperar,Preverbal
1,-3,-1,-0.09434939423031935,-1,-0.00030658829999999994,-1,0.00031259603330474617,1,1,llevar,Preverbal
1,0,0,-0.17934096082164042,-1,-1.1763088e-05,-1,0.030977041346269274,1,0,suministrar,Preverbal
1,4,1,-0.08474292775560277,-1,1.8980505e-05,1,-0.0018799647081270132,-1,0,centrar,Preverbal
1,-2,-1,-0.04124634192176285,-1,1.2837796e-06,1,0.0011203258389059778,1,0,vender,Preverbal
1,-2,-1,0.16054410197986596,1,-2.0409775e-06,-1,-0.01286740977647044,-1,0,ir,Preverbal
1,-1,-1,0.21797356385471478,1,-3.707603e-07,-1,-0.00029607838272099896,-1,0,ganar,Preverbal
1,-15,-1,0.21953573132401763,1,-3.9931200000000005e-06,-1,0.017161971646791507,1,0,servir,Preverbal
1,1,1,0.011185096767666186,1,-1.7162800000000002e-08,-1,-0.029379588178129745,-1,0,interesar,Preverbal
1,-4,-1,0.016107738994708798,1,-0.0009531623759999999,-1,-0.0005901599136381441,-1,1,lograr,Preverbal
1,0,0,-0.3401524195910827,-1,-0.00030880260959999993,-1,-0.0004547244928663763,-1,1,obtener,Preverbal
1,-20,-1,-0.20677643523075243,-1,1.945365e-07,1,-0.0067497740946615425,-1,0,incrementar,Preverbal
1,3,1,0.20605762291586321,1,-3.212508e-06,-1,0.0005182393497150106,1,0,quedar,Preverbal
1,-5,-1,0.07432041066116656,1,5.748120000000001e-06,1,-0.0007935100576728082,-1,0,creer,Preverbal
1,1,1,0.22443006161133777,1,-1.324986e-05,-1,-0.0022785904173187044,-1,0,avanzar,Preverbal
1,1,1,-0.3213922075235153,-1,3.5618249999999997e-07,1,0.05257579893372133,1,0,variar,Preverbal
1,-3,-1,-0.008009750380873759,-1,-5.8483239e-06,-1,-0.023574390802315492,-1,1,crear,Preverbal
1,0,0,0.23989790117697898,1,-1.90306284e-05,-1,0.07963720443388977,1,0,retener,Preverbal
1,-2,-1,0.019498614040786982,1,-0.0009532581074999999,-1,3.1528033540562106e-05,1,1,jugar,Preverbal
1,-2,-1,-0.121743968148606,-1,1.4683077e-05,1,0.0003853548207707891,1,0,encontrar,Preverbal
1,0,0,0.2547151755539324,1,7.59055e-08,1,0.0018902017720006659,1,0,quedar,Preverbal
1,-4,-1,0.1331822840212868,1,-1.47691458e-05,-1,-0.0043002216191722065,-1,0,seguir,Preverbal
1,1,1,-0.10689294239581881,-1,-1.32462e-06,-1,0.039986964871318254,1,0,quedar,Preverbal
1,2,1,-0.010150210834957693,-1,-1.8601919999999998e-06,-1,-0.01461189657896117,-1,0,presentar,Preverbal
1,-13,-1,0.12593637571033156,1,8.970300000000001e-06,1,-0.058902914616415725,-1,-1,viajar,Preverbal
1,-1,-1,-0.18384579024956188,-1,1.2806733e-06,1,0.042408657117766424,1,0,circular,Preverbal
1,-7,-1,0.07961519526023564,1,1.98996e-07,1,0.004613053855122062,1,0,orientar,Preverbal
1,2,1,0.15865456312400003,1,5.83593e-06,1,-0.004328692030566295,-1,0,producir,Preverbal
1,5,1,-0.015468316979921182,-1,-6.1660980000000005e-06,-1,0.003189424311401956,1,0,definir,Preverbal
1,0,0,-0.2593254329470401,-1,-0.00032139939999999996,-1,-0.0004920206382338366,-1,1,pedir,Preverbal
1,-5,-1,-0.20611302898430522,-1,-9.909000000000008e-08,-1,0.007056697177244942,1,0,anotar,Preverbal
1,2,1,0.11155434891400923,1,7.030129999999999e-08,1,-0.011538317864788095,-1,0,recibir,Preverbal
1,-8,-1,0.04407348008498241,1,-0.00217581,-1,-0.00168677039115539,-1,1,disponer,Preverbal
1,-7,-1,0.009104405222963685,1,-0.00095033172,-1,-0.00019111330974264096,-1,1,invertir,Preverbal
1,0,0,-0.2080194394287327,-1,-0.00030738011999999996,-1,-0.0002380586800736495,-1,1,pulverizar,Preverbal
1,7,1,-0.1837819452836407,-1,0.0009528125669999999,1,0.0008662291971011649,1,-1,dar,Preverbal
1,0,0,0.13531478125859983,1,-0.0009526797899999999,-1,-0.0015414125821833213,-1,1,dominar,Preverbal
