Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
I Access 2002 kan du ange ANSI SQL-frågeläge via användargränssnittet i den aktuella databasen och som standardinställning i nya databaser .,I Access 2002 kan du ange ANSI SQL-frågeläge via användargränssnittet,I Access 2002 kan du ange ANSI SQL-frågeläge i den aktuella databasen och som standardinställning i nya databaser,I Access 2002 kan du ange ANSI SQL-frågeläge via användargränssnittet,I Access 2002 kan du ange ANSI SQL-frågeläge i databasen,via användargränssnitt,i databas,ange,via användargränssnittet,i den aktuella databasen och som standardinställning i nya databaser,2,10,via,i,användargränssnitt,databas,NOUN,NOUN,prepositional,prepositional,Postverbal,Swedish
Du funderar på att utvidga programmet till ett Access-projekt i framtiden och vill skapa frågor som behöver så få förändringar som möjligt för att köras i en Microsoft SQL Server-databas .,Du funderar på att utvidga programmet till ett Access-projekt,Du funderar på att utvidga programmet i framtiden,Du funderar på att utvidga programmet till Access-projekt,Du funderar på att utvidga programmet i framtiden,till Access-projekt,i framtid,utvidga,till ett Access-projekt,i framtiden,3,2,till,i,Access-projekt,framtid,NOUN,NOUN,prepositional,prepositional,Postverbal,Swedish
När du öppnar en sida läser Access anslutningsfilen som är länkad till sidan och ansluter sidan till rätt datakälla med hjälp av anslutningsfilens innehåll .,När du öppnar en sida läser Access anslutningsfilen som är länkad till sidan och ansluter sidan till rätt datakälla,När du öppnar en sida läser Access anslutningsfilen som är länkad till sidan och ansluter sidan med hjälp av anslutningsfilens innehåll,När du öppnar en sida läser Access anslutningsfilen som är länkad till sidan och ansluter sidan till datakälla,När du öppnar en sida läser Access anslutningsfilen som är länkad till sidan och ansluter sidan med innehåll,till datakälla,med innehåll,ansluta,till rätt datakälla,med hjälp av anslutningsfilens innehåll,3,5,till,med,datakälla,innehåll,NOUN,NOUN,prepositional,prepositional,Postverbal,Swedish
Släppområden visas på olika sätt beroende på vilken diagramtyp som används .,Släppområden visas på olika sätt,Släppområden visas beroende på vilken diagramtyp som används,Släppområden visas på sätt,Släppområden visas beroende diagramtyp,på sätt,beroende diagramtyp,visa,på olika sätt,beroende på vilken diagramtyp som används,3,6,på,beroende,sätt,diagramtyp,NOUN,NOUN,prepositional,prepositional,Postverbal,Swedish
"Dessutom är XSL-formatmallar skrivna på ett sätt som påminner om XML-dokument , dvs med en kombination av XML-liknande märken och HTML som skapar en mall för ett resultat i ett visst format .",Dessutom är XSL-formatmallar skrivna på ett sätt som påminner om XML-dokument,"Dessutom är XSL-formatmallar skrivna , dvs med en kombination av XML-liknande märken och HTML som skapar en mall för ett resultat i ett visst format",Dessutom är XSL-formatmallar skrivna på sätt,Dessutom är XSL-formatmallar skrivna med kombination,på sätt,med kombination,skriva,på ett sätt som påminner om XML-dokument,", dvs med en kombination av XML-liknande märken och HTML som skapar en mall för ett resultat i ett visst format",7,21,på,med,sätt,kombination,NOUN,NOUN,prepositional,prepositional,Postverbal,Swedish
På så sätt kan presentationsinformationen i ett XML-dokument transformeras från ett källformat till ett målformat och tillbaka igen .,På så sätt kan presentationsinformationen i ett XML-dokument transformeras från ett källformat,På så sätt kan presentationsinformationen i ett XML-dokument transformeras till ett målformat och tillbaka igen,På så sätt kan presentationsinformationen i ett XML-dokument transformeras från källformat,På så sätt kan presentationsinformationen i ett XML-dokument transformeras till målformat,från källformat,till målformat,transformera,från ett källformat,till ett målformat och tillbaka igen,3,6,från,till,källformat,målformat,NOUN,NOUN,prepositional,prepositional,Postverbal,Swedish
Du kan exportera ett databasobjekt som ett XML-dokument på flera sätt :,Du kan exportera ett databasobjekt som ett XML-dokument,Du kan exportera ett databasobjekt på flera sätt,Du kan exportera ett databasobjekt som XML-dokument,Du kan exportera ett databasobjekt på sätt,som XML-dokument,på sätt,exportera,som ett XML-dokument,på flera sätt,3,3,som,på,XML-dokument,sätt,NOUN,NOUN,prepositional,prepositional,Postverbal,Swedish
"Du kan exportera bara informationen från en tabell , en fråga , ett datablad , ett formulär eller en rapport till en XML-fil .","Du kan exportera bara informationen från en tabell , en fråga , ett datablad , ett formulär eller en rapport",Du kan exportera bara informationen till en XML-fil,Du kan exportera bara informationen från tabell,Du kan exportera bara informationen till XML-fil,från tabell,till XML-fil,exportera,"från en tabell , en fråga , ett datablad , ett formulär eller en rapport",till en XML-fil,15,3,från,till,tabell,XML-fil,NOUN,NOUN,prepositional,prepositional,Postverbal,Swedish
När du exporterar data från Access till en XML-fil väljer du att spara strukturen för ett formulär eller en rapport i ReportML-format .,När du exporterar data från Access,När du exporterar data till en XML-fil,När du exporterar data från Access,När du exporterar data till XML-fil,från Access,till XML-fil,exportera,från Access,till en XML-fil,2,3,från,till,Access,XML-fil,PROPN,NOUN,prepositional,prepositional,Postverbal,Swedish
"Om du är bekant med pivottabeller i Microsoft Excel och vill arbeta med data i Excel , kan du göra det på två sätt .",Om du är bekant med pivottabeller i Microsoft Excel och vill arbeta med data,Om du är bekant med pivottabeller i Microsoft Excel och vill arbeta i Excel,Om du är bekant med pivottabeller i Microsoft Excel och vill arbeta med data,Om du är bekant med pivottabeller i Microsoft Excel och vill arbeta i Excel,med data,i Excel,arbeta,med data,i Excel,2,2,med,i,data,Excel,NOUN,PROPN,prepositional,prepositional,Postverbal,Swedish
