Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,-5,-1,-0.3254925120393645,-1,-2.7503976e-06,-1,0.006366801611554396,1,0,känna,Preverbal
1,0,0,0.05977127725123288,1,8.699694749999999e-08,1,-0.002843804820813367,-1,0,dra,Preverbal
1,1,1,-0.12897392953049516,-1,8.85e-14,1,-0.013002406881994666,-1,0,få,Preverbal
1,-1,-1,-0.3544640626880543,-1,-5.399999999999997e-13,-1,-0.017038705695639422,-1,0,gå,Preverbal
1,4,1,-0.10207555595715659,-1,4.463999045e-07,1,-0.04859356151711436,-1,0,sätta,Preverbal
1,-2,-1,0.07765042284447748,1,-3.982218e-08,-1,0.05434021459594324,1,0,koppla,Preverbal
1,2,1,0.3023213301216324,1,-2.80692e-06,-1,-0.016745752845917394,-1,0,göra,Preverbal
0,-1,-1,0.030550075312451408,1,-5.49124868e-06,-1,0.07097608676746897,1,0,försvara,Preverbal
0,-1,-1,0.12902986211342338,1,-2.931552e-05,-1,0.028603832346806524,1,0,utveckla,Preverbal
0,-2,-1,-0.03788170339286534,-1,-8.0538e-06,-1,0.003068368858712256,1,0,konstatera,Preverbal
0,-1,-1,-0.1275017162859401,-1,2.4988858e-07,1,-0.013343181842913276,-1,0,övergå,Preverbal
0,-9,-1,-0.17329340067893945,-1,1.0947775e-09,1,0.01666008790314294,1,0,spåra,Preverbal
0,-1,-1,-0.1254588370772991,-1,-5.425315999999999e-06,-1,0.08536768467637956,1,0,överlagra,Preverbal
0,1,1,-0.0012196324225416943,-1,8.131670999999999e-08,1,0.03822846739463459,1,0,öka,Preverbal
1,8,1,0.08061973897746133,1,1.447199859e-07,1,-0.0002568856297091582,-1,0,ange,Postverbal
1,2,1,0.12844305337785772,1,2.24399045e-07,1,0.004813203242512665,1,0,ansluta,Postverbal
1,3,1,-0.09053059148253789,-1,-1.121579999487e-05,-1,-0.013353622433280976,-1,0,visa,Postverbal
1,13,1,-0.20346651272949753,-1,-1.099668e-05,-1,-0.0038291369683205456,-1,0,skriva,Postverbal
1,0,0,0.18179896692671288,1,1.121579862e-05,1,-0.014474053607782145,-1,0,exportera,Postverbal
1,-12,-1,-0.17210151290015352,-1,-1.9938645e-08,-1,0.011239503341807011,1,0,exportera,Postverbal
1,1,1,-0.1820277273448871,-1,-9.763445e-09,-1,-0.0054465797566634055,-1,0,exportera,Postverbal
1,0,0,0.2621172066977081,1,-2.946e-07,-1,-0.00010856769834993729,-1,0,arbeta,Postverbal
1,1,1,0.017687300802354866,1,-5.03555e-07,-1,0.0014267037194657939,1,0,kopiera,Postverbal
1,0,0,-0.06307913666401888,-1,2.0924999999999994e-07,1,-0.005084855150792766,-1,0,ändra,Postverbal
1,11,1,0.35055466899981247,1,-1.86096e-08,-1,0.0001416134189469731,1,0,samverka,Postverbal
1,0,0,0.01754099828409711,1,6.706434000000001e-06,1,0.005619131608452732,1,0,se,Postverbal
1,2,1,-0.11791862269102577,-1,1.13574e-07,1,-0.0022182542455936316,-1,0,hänga,Postverbal
1,1,1,-0.38973213252951106,-1,-4.06941418e-05,-1,-0.0012615977268813916,-1,1,vänta,Postverbal
1,0,0,0.009014331131876607,1,4.0236339999999996e-06,1,-0.010906946161827635,-1,-1,förflytta,Postverbal
1,0,0,-0.0802901760966227,-1,-5.879998139999999e-06,-1,0.001646283095756651,1,0,se,Postverbal
1,4,1,0.18503844269197864,1,9.825825e-07,1,-0.014502061365367913,-1,0,köra,Postverbal
1,3,1,-0.028616522188518956,-1,-3.39555e-07,-1,0.019013649302426883,1,0,rycka,Postverbal
1,1,1,-0.03372423340518982,-1,-2.767799999999999e-08,-1,0.003042830413278963,1,0,ta,Postverbal
1,1,1,-0.32198892070142116,-1,-3.673625999999999e-05,-1,-0.003813129589433195,-1,1,ha,Postverbal
1,0,0,0.04609826094152303,1,-0.000164616,-1,-8.23870186468234e-05,-1,1,vända,Postverbal
1,1,1,-0.23666437709239982,-1,1.1691855e-05,1,0.003410581567314719,1,0,gå,Postverbal
1,0,0,0.06721986205818378,1,1.296255e-06,1,0.0038079251906443234,1,0,gå,Postverbal
1,3,1,0.25252032187358875,1,-1.2609e-06,-1,0.016732045083488523,1,0,gå,Postverbal
1,-1,-1,-0.3558523861148666,-1,-3.791999838e-06,-1,-0.0057246003727465244,-1,0,leta,Postverbal
1,7,1,0.11836726461726718,1,3.7123140000000006e-08,1,0.0012240396985968016,1,0,bo,Postverbal
1,1,1,-0.15775632156700992,-1,-1.89882e-07,-1,0.0009736184378927315,1,0,slå,Postverbal
1,4,1,0.17659591384686896,1,5.636379132e-07,1,0.002685210259949611,1,0,rinna,Postverbal
1,4,1,-0.047360542779682935,-1,2.1058e-07,1,-0.0071901076144674225,-1,0,säga,Postverbal
1,1,1,-0.10915768769839115,-1,-2.63999862e-06,-1,0.00330656444385663,1,0,springa,Postverbal
1,3,1,0.1598523841809018,1,1.6631936804e-06,1,0.0031020524844955766,1,0,vandra,Postverbal
1,1,1,0.09833293821081665,1,-8.435220000000001e-05,-1,0.002195487074278246,1,1,meddela,Postverbal
1,0,0,0.36072293379726506,1,1.2675449999999999e-05,1,-0.0026158424399713165,-1,0,utsätta,Postverbal
1,2,1,0.14629028366914387,1,2.1215292e-05,1,0.008335870970851922,1,0,komma,Postverbal
1,-1,-1,0.2062603357904771,1,-3.0065895999999997e-06,-1,0.008008161177658735,1,0,återvända,Postverbal
1,-1,-1,0.04088567166095561,1,-9.926999999999998e-07,-1,9.617347883889016e-05,1,0,föreläsa,Postverbal
1,0,0,0.09598501223786224,1,-1.5164999999999996e-07,-1,0.0007058167898358336,1,0,skåla,Postverbal
1,1,1,0.1154799477927258,1,-1.1406899999999999e-06,-1,0.0022739794803811053,1,0,översätta,Postverbal
1,1,1,-0.12755722914135123,-1,7.09499611e-08,1,-0.0010523871083857328,-1,0,passera,Postverbal
1,3,1,0.23045749140641095,1,-3.633e-07,-1,-0.0014620808566448429,-1,0,ta,Postverbal
1,0,0,-0.2614933049303864,-1,1.821599868e-05,1,0.0022085906293896063,1,0,höra,Postverbal
1,1,1,0.055135005661124614,1,-6.902498680000001e-06,-1,0.0002472890666683214,1,1,lägga,Postverbal
1,1,1,0.3056687848425754,1,-3.4666259999999996e-07,-1,-4.938302535734129e-05,-1,0,emigrera,Postverbal
1,0,0,-0.10358031259833092,-1,5.3367e-10,1,0.0005322376340730628,1,0,knyta,Postverbal
1,1,1,-0.0441784780784345,-1,-2.6928e-06,-1,-0.0007509051241033071,-1,0,dricka,Postverbal
1,2,1,-0.1422116327159122,-1,-1.619628e-08,-1,0.015557957717275306,1,0,flytta,Postverbal
1,0,0,0.23219290827439049,1,2.8799865000000006e-07,1,-0.007685016742026041,-1,0,ligga,Postverbal
1,2,1,0.11770304914660426,1,2.794996e-07,1,-0.01714708247230523,-1,0,vara,Postverbal
1,2,1,-0.03493311547878308,-1,-5.400000000000005e-13,-1,-0.003810443433237054,-1,0,göra,Postverbal
1,0,0,0.12668819315767743,1,1.64288e-08,1,0.004635069232758138,1,0,supa,Postverbal
1,2,1,-0.20604577082808487,-1,1.7387887999999998e-07,1,0.006421081167306608,1,0,säga,Postverbal
