Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
แต่ จาก วาทกรรม ก่อน เมื่อ ไม่ นาน เกี่ยว กับ การลด การอพยพ เข้า ตัว แทน จีโอพี ให้ คำ ปราศรัย ว่า ใน ฐานะ ประธานาธิบดี เขา จะ อนุญาต ให้ ผู้ เข้า เมือง โดยถูก กฎหมาย “ จำนวน มาก ” เข้า สู่ ประเทศ ได้ ตาม “ ระบบ คุณธรรม ”,แต่ จาก วาทกรรม ก่อน เมื่อ ไม่ นาน เกี่ยว กับ การลด การอพยพ เข้า ตัว แทน จีโอพี ให้ คำ ปราศรัย ว่า ใน ฐานะ ประธานาธิบดี เขา จะ อนุญาต ให้ ผู้ เข้า เมือง โดยถูก กฎหมาย “ จำนวน มาก ” เข้า สู่ ประเทศ,แต่ จาก วาทกรรม ก่อน เมื่อ ไม่ นาน เกี่ยว กับ การลด การอพยพ เข้า ตัว แทน จีโอพี ให้ คำ ปราศรัย ว่า ใน ฐานะ ประธานาธิบดี เขา จะ อนุญาต ให้ ผู้ เข้า เมือง โดยถูก กฎหมาย “ จำนวน มาก ” เข้า ตาม “ ระบบ คุณธรรม ”,แต่ จาก วาทกรรม ก่อน เมื่อ ไม่ นาน เกี่ยว กับ การลด การอพยพ เข้า ตัว แทน จีโอพี ให้ คำ ปราศรัย ว่า ใน ฐานะ ประธานาธิบดี เขา จะ อนุญาต ให้ ผู้ เข้า เมือง โดยถูก กฎหมาย “ จำนวน มาก ” เข้า สู่ ประเทศ,แต่ จาก วาทกรรม ก่อน เมื่อ ไม่ นาน เกี่ยว กับ การลด การอพยพ เข้า ตัว แทน จีโอพี ให้ คำ ปราศรัย ว่า ใน ฐานะ ประธานาธิบดี เขา จะ อนุญาต ให้ ผู้ เข้า เมือง โดยถูก กฎหมาย “ จำนวน มาก ” เข้า ตาม ระบบ,_ _,_ _,_,สู่ ประเทศ,ตาม “ ระบบ คุณธรรม ”,2,5,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Thai
พวก เขา อยู่ ที่ ระดับ เฉลี่ย ของ ประเทศ สำหรับ เกรด 4 และ สูง กว่า ระดับ เฉลี่ย ของ ประเทศ สำหรับ เกรด 8,พวก เขา อยู่ ที่ ระดับ เฉลี่ย ของ ประเทศ,พวก เขา อยู่ สำหรับ เกรด 4,พวก เขา อยู่ ที่ ระดับ,พวก เขา อยู่ สำหรับ เกรด,_ _,_ _,_,ที่ ระดับ เฉลี่ย ของ ประเทศ,สำหรับ เกรด 4,5,3,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Thai
จำนวน นั้น เพิ่ม อย่างคง ที่ มา เรื่อย ๆ หลาย ปี — มี ผู้ ใช้ สิทธิ เลือกตั้ง ล่วง หน้า เพียง ร้อยละ 11 จาก ผู้ มี สิทธิ ทั้งหมด ใน ปี 1996 ตาม ข้อมูล ของ สำนัก สำมะโนครัว -- และ ดู เหมือน ว่า จะ เพิ่ม ขึ้น อีก ใน ปี นี้,จำนวน นั้น เพิ่ม อย่างคง ที่ มา เรื่อย ๆ หลาย ปี — มี ผู้ ใช้ สิทธิ เลือกตั้ง ล่วง หน้า เพียง ร้อยละ 11 จาก ผู้ มี สิทธิ ทั้งหมด ใน ปี 1996,จำนวน นั้น เพิ่ม อย่างคง ที่ มา เรื่อย ๆ หลาย ปี — มี ผู้ ใช้ สิทธิ เลือกตั้ง ล่วง หน้า เพียง ร้อยละ 11 จาก ผู้ มี สิทธิ ทั้งหมด ตาม ข้อมูล ของ สำนัก สำมะโนครัว,จำนวน นั้น เพิ่ม อย่างคง ที่ มา เรื่อย ๆ หลาย ปี — มี ผู้ ใช้ สิทธิ เลือกตั้ง ล่วง หน้า เพียง ร้อยละ 11 จาก ผู้ มี สิทธิ ทั้งหมด ใน ปี,จำนวน นั้น เพิ่ม อย่างคง ที่ มา เรื่อย ๆ หลาย ปี — มี ผู้ ใช้ สิทธิ เลือกตั้ง ล่วง หน้า เพียง ร้อยละ 11 จาก ผู้ มี สิทธิ ทั้งหมด ตาม ข้อมูล,_ _,_ _,_,ใน ปี 1996,ตาม ข้อมูล ของ สำนัก สำมะโนครัว,3,5,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Thai
เธอ ได้ ฆาตกรรม อังเดร ไพรซ์ ที่ 3 โดย การกด หน้า ของ เขา เข้า กับ ที่ นอน ลม ใน ห้อง นั่ง เล่น ของ เธอ ก่อน ที่ จะ พยายาม ทำ แบบ เดียว กัน นั้น กับ แองเจิล ลูก สาว ของ เธอ ตำรวจ กล่าว,เธอ ได้ ฆาตกรรม อังเดร ไพรซ์ ที่ 3 โดย การกด หน้า ของ เขา เข้า กับ ที่ นอน ลม,เธอ ได้ ฆาตกรรม อังเดร ไพรซ์ ที่ 3 โดย การกด หน้า ของ เขา เข้า ใน ห้อง นั่ง เล่น ของ เธอ,เธอ ได้ ฆาตกรรม อังเดร ไพรซ์ ที่ 3 โดย การกด หน้า ของ เขา เข้า กับ ที่,เธอ ได้ ฆาตกรรม อังเดร ไพรซ์ ที่ 3 โดย การกด หน้า ของ เขา เข้า ใน ห้อง,_ _,_ _,_,กับ ที่ นอน ลม,ใน ห้อง นั่ง เล่น ของ เธอ,4,6,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Thai
กวารอน ผู้ กำกับ ภาพยนตร์ ที่ ได้ รับ รางวัล ออสการ์ กราวิตี้ ถูก รายงาน ว่า ไม่ ได้ อยู่ ใน บริเวณ ถ่าย ทำ ใน ช่วง ที่ เกิด เหตุการณ์,กวารอน ผู้ กำกับ ภาพยนตร์ ที่ ได้ รับ รางวัล ออสการ์ กราวิตี้ ถูก รายงาน ว่า ไม่ ได้ อยู่ ใน บริเวณ ถ่าย ทำ,กวารอน ผู้ กำกับ ภาพยนตร์ ที่ ได้ รับ รางวัล ออสการ์ กราวิตี้ ถูก รายงาน ว่า ไม่ ได้ อยู่ ใน ช่วง ที่ เกิด เหตุการณ์,กวารอน ผู้ กำกับ ภาพยนตร์ ที่ ได้ รับ รางวัล ออสการ์ กราวิตี้ ถูก รายงาน ว่า ไม่ ได้ อยู่ ใน บริเวณ,กวารอน ผู้ กำกับ ภาพยนตร์ ที่ ได้ รับ รางวัล ออสการ์ กราวิตี้ ถูก รายงาน ว่า ไม่ ได้ อยู่ ใน ช่วง,_ _,_ _,_,ใน บริเวณ ถ่าย ทำ,ใน ช่วง ที่ เกิด เหตุการณ์,4,5,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Thai
ตาม คำ แถลง ของ สำนัก งาน ตำรวจ ประจำ เมือง เกิด ความไม่ สงบ เมื่อ “ คน กลุ่ม ใหญ่ ... ที่ อ้าง ตน ว่า เป็น เจ้าหน้าที่ เขต ” เข้า มา ใน บริเวณ ถ่าย ทำ เมื่อ วัน อังคาร,ตาม คำ แถลง ของ สำนัก งาน ตำรวจ ประจำ เมือง เกิด ความไม่ สงบ เมื่อ “ คน กลุ่ม ใหญ่ ... ที่ อ้าง ตน ว่า เป็น เจ้าหน้าที่ เขต ” เข้า มา ใน บริเวณ ถ่าย ทำ,ตาม คำ แถลง ของ สำนัก งาน ตำรวจ ประจำ เมือง เกิด ความไม่ สงบ เมื่อ “ คน กลุ่ม ใหญ่ ... ที่ อ้าง ตน ว่า เป็น เจ้าหน้าที่ เขต ” เข้า มา เมื่อ วัน อังคาร,ตาม คำ แถลง ของ สำนัก งาน ตำรวจ ประจำ เมือง เกิด ความไม่ สงบ เมื่อ “ คน กลุ่ม ใหญ่ ... ที่ อ้าง ตน ว่า เป็น เจ้าหน้าที่ เขต ” เข้า มา ใน บริเวณ,ตาม คำ แถลง ของ สำนัก งาน ตำรวจ ประจำ เมือง เกิด ความไม่ สงบ เมื่อ “ คน กลุ่ม ใหญ่ ... ที่ อ้าง ตน ว่า เป็น เจ้าหน้าที่ เขต ” เข้า มา เมื่อ วัน,_ _,_ _,_,ใน บริเวณ ถ่าย ทำ,เมื่อ วัน อังคาร,4,3,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Thai
รัฐบาล ส่วน กลาง รายงาน การจ่าย ค่า ตอบแทน การปฏิบัติ งาน และ ระดับ โบนัส สำหรับ แต่ละ แผนก อย่างต่อเนื่อง แต่ การโพสต์ ล่าสุด ใน เว็บ นั้น สำหรับ ปี 2013 - 2014 หรือ ล้าสมัย ไป สอง ปี แล้ว,รัฐบาล ส่วน กลาง รายงาน การจ่าย ค่า ตอบแทน การปฏิบัติ งาน และ ระดับ โบนัส สำหรับ แต่ละ แผนก อย่างต่อเนื่อง แต่ การโพสต์ ล่าสุด ใน เว็บ นั้น,รัฐบาล ส่วน กลาง รายงาน การจ่าย ค่า ตอบแทน การปฏิบัติ งาน และ ระดับ โบนัส สำหรับ แต่ละ แผนก อย่างต่อเนื่อง แต่ การโพสต์ ล่าสุด สำหรับ ปี 2013 - 2014 หรือ ล้าสมัย ไป สอง ปี แล้ว,รัฐบาล ส่วน กลาง รายงาน การจ่าย ค่า ตอบแทน การปฏิบัติ งาน และ ระดับ โบนัส สำหรับ แต่ละ แผนก อย่างต่อเนื่อง แต่ การโพสต์ ล่าสุด ใน เว็บ,รัฐบาล ส่วน กลาง รายงาน การจ่าย ค่า ตอบแทน การปฏิบัติ งาน และ ระดับ โบนัส สำหรับ แต่ละ แผนก อย่างต่อเนื่อง แต่ การโพสต์ ล่าสุด สำหรับ ปี,_ _,_ _,_,ใน เว็บ นั้น,สำหรับ ปี 2013 - 2014 หรือ ล้าสมัย ไป สอง ปี แล้ว,3,11,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Thai
เขา บรรยาย ว่า เธอ เป็น ผู้หญิง ที่ “ พิเศษ ” และ “ เปี่ยม ด้วย รัก และ แสน มหัศจรรย์ ซึ่ง ได้ ทิ้ง ร่องรอย ไว้ ใน โลก วรรณกรรม ด้วย เรื่องราว ของ เธอ,เขา บรรยาย ว่า เธอ เป็น ผู้หญิง ที่ “ พิเศษ ” และ “ เปี่ยม ด้วย รัก และ แสน มหัศจรรย์ ซึ่ง ได้ ทิ้ง ร่องรอย ไว้ ใน โลก วรรณกรรม,เขา บรรยาย ว่า เธอ เป็น ผู้หญิง ที่ “ พิเศษ ” และ “ เปี่ยม ด้วย รัก และ แสน มหัศจรรย์ ซึ่ง ได้ ทิ้ง ร่องรอย ไว้ ด้วย เรื่องราว ของ เธอ,เขา บรรยาย ว่า เธอ เป็น ผู้หญิง ที่ “ พิเศษ ” และ “ เปี่ยม ด้วย รัก และ แสน มหัศจรรย์ ซึ่ง ได้ ทิ้ง ร่องรอย ไว้ ใน โลก,เขา บรรยาย ว่า เธอ เป็น ผู้หญิง ที่ “ พิเศษ ” และ “ เปี่ยม ด้วย รัก และ แสน มหัศจรรย์ ซึ่ง ได้ ทิ้ง ร่องรอย ไว้ ด้วย เรื่องราว,_ _,_ _,_,ใน โลก วรรณกรรม,ด้วย เรื่องราว ของ เธอ,3,4,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Thai
เขา รับรู้ ได้ ถึง ผล จาก การเลือกตั้ง รอบ ๆ ตัว เขา จาก การปะทุ ของ ความขัดแย้ง และ ขอบเขต สี เทา ที่ ความคิด เก่า ๆ และ ความคิด ใหม่ ๆ มา บรรจบ กัน,เขา รับรู้ ได้ ถึง ผล จาก การเลือกตั้ง รอบ ๆ ตัว เขา,เขา รับรู้ ได้ จาก การปะทุ ของ ความขัดแย้ง และ ขอบเขต สี เทา ที่ ความคิด เก่า ๆ และ ความคิด ใหม่ ๆ มา บรรจบ กัน,เขา รับรู้ ได้ ถึง ผล,เขา รับรู้ ได้ จาก การปะทุ,_ _,_ _,_,ถึง ผล จาก การเลือกตั้ง รอบ ๆ ตัว เขา,จาก การปะทุ ของ ความขัดแย้ง และ ขอบเขต สี เทา ที่ ความคิด เก่า ๆ และ ความคิด ใหม่ ๆ มา บรรจบ กัน,8,19,_,_,_,_,NOUN,VERB,prepositional,prepositional,Postverbal,Thai
“ เวลา ผม สวม บทบาท เป็น เขา ผม รู้สึก มี อำนาจ ” จอห์น ดี โดเมนิโค นัก แสดง ผู้ เลียน แบบ โดนัลด์ ทรัมป์ อธิบาย กับ นิตยสาร สเลท เมื่อ ปี ที่แล้ว,“ เวลา ผม สวม บทบาท เป็น เขา ผม รู้สึก มี อำนาจ ” จอห์น ดี โดเมนิโค นัก แสดง ผู้ เลียน แบบ โดนัลด์ ทรัมป์ อธิบาย กับ นิตยสาร สเลท,“ เวลา ผม สวม บทบาท เป็น เขา ผม รู้สึก มี อำนาจ ” จอห์น ดี โดเมนิโค นัก แสดง ผู้ เลียน แบบ โดนัลด์ ทรัมป์ อธิบาย เมื่อ ปี ที่แล้ว,“ เวลา ผม สวม บทบาท เป็น เขา ผม รู้สึก มี อำนาจ ” จอห์น ดี โดเมนิโค นัก แสดง ผู้ เลียน แบบ โดนัลด์ ทรัมป์ อธิบาย กับ นิตยสาร,“ เวลา ผม สวม บทบาท เป็น เขา ผม รู้สึก มี อำนาจ ” จอห์น ดี โดเมนิโค นัก แสดง ผู้ เลียน แบบ โดนัลด์ ทรัมป์ อธิบาย เมื่อ ปี,_ _,_ _,_,กับ นิตยสาร สเลท,เมื่อ ปี ที่แล้ว,3,3,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Thai
