Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
Bu söz annem için o kadar önem li olmuştu ki bana her zaman bunu söylerdi .,Bu söz annem için,o kadar önem li,annem için,önem li,anne için,önem li,ol,Bu söz annem için,o kadar önem li,4,4,için,li,anne,önem,NOUN,NOUN,postpositional,postpositional,Preverbal,Turkish
"Aç da geçer , tok da ; öğretmen olarak da bitecek , profesör olarak da diyorum .","Aç da geçer , tok da ; öğretmen olarak da","Aç da geçer , tok da ; profesör olarak da","Aç da geçer , tok da ; öğretmen olarak","Aç da geçer , tok da ; profesör olarak",öğretmen ol,profesör ol,de,öğretmen olarak da,profesör olarak da,3,3,ol,ol,öğretmen,profesör,NOUN,NOUN,postpositional,postpositional,Preverbal,Turkish
"Hayata ve aşka dair konuşma lı , hem şaşkın çocuk gözleri gibi saf olmalı hem yosma akşamlar gibi edepsizliklere doğru kararmalı .","Hayata ve aşka dair konuşma lı , hem şaşkın çocuk gözleri gibi saf olmalı hem yosma akşamlar gibi","Hayata ve aşka dair konuşma lı , hem şaşkın çocuk gözleri gibi saf olmalı edepsizliklere doğru","Hayata ve aşka dair konuşma lı , hem şaşkın çocuk gözleri gibi saf olmalı akşamlar gibi","Hayata ve aşka dair konuşma lı , hem şaşkın çocuk gözleri gibi saf olmalı edepsizliklere doğru",akşam gibi,edepsiz doğru,karar,hem yosma akşamlar gibi,edepsizliklere doğru,4,2,gibi,doğru,akşam,edepsiz,NOUN,NOUN,postpositional,postpositional,Preverbal,Turkish
Mehmet ile Uysal iki gün sonra öğleden sonra saat dörtte Paşa'da görüşsünler .,Mehmet ile Uysal iki gün sonra,Mehmet ile Uysal öğleden sonra,Mehmet ile Uysal gün sonra,Mehmet ile Uysal öğleden sonra,gün sonra,öğle sonra,görüş,iki gün sonra,öğleden sonra,3,2,sonra,sonra,gün,öğle,NOUN,NOUN,postpositional,postpositional,Preverbal,Turkish
"OHAL Bölgesi'ndeki illerde , bugüne kadar başörtüsü ile ilgili bir olay yaşanmaz ken , dünden itibaren başta Eğitim Fakültesi olmak üzere DÜ'ye bağlı fakültelerdeki sakallı ve başörtülü öğrenciler , bahçe kapısından içeri alınmadı .","OHAL Bölgesi'ndeki illerde , bugüne kadar başörtüsü ile ilgili bir olay yaşanmaz ken , dünden itibaren","OHAL Bölgesi'ndeki illerde , bugüne kadar başörtüsü ile ilgili bir olay yaşanmaz ken , başta Eğitim Fakültesi olmak üzere","OHAL Bölgesi'ndeki illerde , bugüne kadar başörtüsü ile ilgili bir olay yaşanmaz ken , dünden itibaren","OHAL Bölgesi'ndeki illerde , bugüne kadar başörtüsü ile ilgili bir olay yaşanmaz ken , olmak üzere",dün itibaren,ol üzere,alın,dünden itibaren,başta Eğitim Fakültesi olmak üzere,2,5,itibaren,üzere,dün,ol,NOUN,VERB,postpositional,postpositional,Preverbal,Turkish
"Bu tarz konserve yapımı , bilmeyenler için çok uç bir yöntem gibi gelebilir ve sıhhi yönden şüpheler oluşturPotir .","Bu tarz konserve yapımı , bilmeyenler için","Bu tarz konserve yapımı , çok uç bir yöntem gibi","Bu tarz konserve yapımı , bilmeyenler için","Bu tarz konserve yapımı , yöntem gibi",bil için,yöntem gibi,gel,bilmeyenler için,çok uç bir yöntem gibi,2,5,için,gibi,bil,yöntem,VERB,NOUN,postpositional,postpositional,Preverbal,Turkish
"Bir zaman için doğru ve yeterli olan kurallar , belirli bir zaman sonra işlevini kaybetmiş olPotir , hatta gereksiz bile olPotir .",Bir zaman için,belirli bir zaman sonra,zaman için,zaman sonra,zaman için,zaman sonra,ol,Bir zaman için,belirli bir zaman sonra,3,4,için,sonra,zaman,zaman,NOUN,NOUN,postpositional,postpositional,Preverbal,Turkish
"Ana Jet Üs Komutanlığı'na ait iki adet CASA - dört keşif uçağı , eğitim uçuşu için Erhaç Havaalanı'ndan kalkışlarından kısa bir süre sonra iddiaya göre havada çarpıştıktan sonra çakıldı .","Ana Jet Üs Komutanlığı'na ait iki adet CASA - dört keşif uçağı , eğitim uçuşu için Erhaç Havaalanı'ndan kalkışlarından kısa bir süre sonra","Ana Jet Üs Komutanlığı'na ait iki adet CASA - dört keşif uçağı , iddiaya göre","Ana Jet Üs Komutanlığı'na ait iki adet CASA - dört keşif uçağı , süre sonra","Ana Jet Üs Komutanlığı'na ait iki adet CASA - dört keşif uçağı , iddiaya göre",süre sonra,iddia göre,çak,eğitim uçuşu için Erhaç Havaalanı'ndan kalkışlarından kısa bir süre sonra,iddiaya göre,10,2,sonra,göre,süre,iddia,NOUN,NOUN,postpositional,postpositional,Preverbal,Turkish
"Kamu Personeli Seçme Sınavı Sistemini değiştireceklerini kaydeden Şahin , şimdiye kadar sınavı kazananların haklarının sak lı tutulacağını , ancak bundan böyle her yıl ihtiyaç kadar alım için yeni sınavlar yapılacağını belirtti .","Kamu Personeli Seçme Sınavı Sistemini değiştireceklerini kaydeden Şahin , şimdiye kadar sınavı kazananların haklarının sak lı tutulacağını , ancak bundan böyle her yıl ihtiyaç kadar","Kamu Personeli Seçme Sınavı Sistemini değiştireceklerini kaydeden Şahin , şimdiye kadar sınavı kazananların haklarının sak lı tutulacağını , ancak bundan böyle her yıl alım için","Kamu Personeli Seçme Sınavı Sistemini değiştireceklerini kaydeden Şahin , şimdiye kadar sınavı kazananların haklarının sak lı tutulacağını , ancak bundan böyle her yıl ihtiyaç kadar","Kamu Personeli Seçme Sınavı Sistemini değiştireceklerini kaydeden Şahin , şimdiye kadar sınavı kazananların haklarının sak lı tutulacağını , ancak bundan böyle her yıl alım için",ihtiyaç kadar,alım için,yap,ihtiyaç kadar,alım için,2,2,kadar,için,ihtiyaç,alım,NOUN,NOUN,postpositional,postpositional,Preverbal,Turkish
""" Bankalar öyle bir izlenim yarattı ki sanki verilen hizmetler hava , su gibi ücret siz olabilir "" diyen Demiray , bundan sonra verilen hizmetlerden ücret alınacağını bildirdi .",""" Bankalar öyle bir izlenim yarattı ki sanki verilen hizmetler hava , su gibi",""" Bankalar öyle bir izlenim yarattı ki sanki verilen hizmetler ücret siz",""" Bankalar öyle bir izlenim yarattı ki sanki verilen hizmetler hava gibi",""" Bankalar öyle bir izlenim yarattı ki sanki verilen hizmetler ücret siz",hava gibi,ücret siz,ol,"hava , su gibi",ücret siz,4,2,gibi,siz,hava,ücret,NOUN,NOUN,postpositional,postpositional,Preverbal,Turkish
"Kazada ki adamın sinirleri kaç kişiye bağlansa bunların hepsi , aynı Politzer gibi , kazayı başından sonuna kadar yaşayacaktır .","Kazada ki adamın sinirleri kaç kişiye bağlansa bunların hepsi , aynı Politzer gibi","Kazada ki adamın sinirleri kaç kişiye bağlansa bunların hepsi , başından sonuna kadar","Kazada ki adamın sinirleri kaç kişiye bağlansa bunların hepsi , Politzer gibi","Kazada ki adamın sinirleri kaç kişiye bağlansa bunların hepsi , başından kadar",Politzer gibi,baş kadar,yaşa,aynı Politzer gibi,başından sonuna kadar,3,3,gibi,kadar,Politzer,baş,PROPN,NOUN,postpositional,postpositional,Preverbal,Turkish
"Irak'ta savaş tehdidi yanısıra , Amerika'nın baskısına rağmen AB için Türkiye'ye müzakere tarihi verilmeyeceği yönünde ki sinyaller piyasada moral bozdu .","Irak'ta savaş tehdidi yanısıra , Amerika'nın baskısına rağmen","Irak'ta savaş tehdidi yanısıra , AB için","Irak'ta savaş tehdidi yanısıra , baskısına rağmen","Irak'ta savaş tehdidi yanısıra , AB için",baskı rağmen,Ab için,ver,Amerika'nın baskısına rağmen,AB için,3,2,rağmen,için,baskı,Ab,NOUN,NOUN,postpositional,postpositional,Preverbal,Turkish
