Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Зокрема , у листі до сестри Ольги , датованому вереснем 1897 : « Тим часом не роблю , як і перше , сливе нічого , от тільки половину « Kapital’у » « проштудировала » ( « читати » його не можна ) , і , знаєш , чим далі читаю , тим більше розчаровуюсь : я не бачу тієї « строгой системы » , про яку говорять фанатики сеї книжки , бачу багато фактів , чимало дотепних гіпотез і ще більше просто дотепів , але багато зостається для мене темного , невиясненого , недоговореного і в науковій теорії , і в практичних виводах з неї .","Зокрема , у листі до сестри Ольги , датованому вереснем 1897 : « Тим часом не роблю , як і перше , сливе нічого , от тільки половину « Kapital’у » « проштудировала » ( « читати » його не можна ) , і , знаєш , чим далі читаю , тим більше розчаровуюсь : я не бачу тієї « строгой системы » , про яку говорять фанатики сеї книжки , бачу багато фактів , чимало дотепних гіпотез і ще більше просто дотепів , але багато зостається для мене","Зокрема , у листі до сестри Ольги , датованому вереснем 1897 : « Тим часом не роблю , як і перше , сливе нічого , от тільки половину « Kapital’у » « проштудировала » ( « читати » його не можна ) , і , знаєш , чим далі читаю , тим більше розчаровуюсь : я не бачу тієї « строгой системы » , про яку говорять фанатики сеї книжки , бачу багато фактів , чимало дотепних гіпотез і ще більше просто дотепів , але багато зостається і в науковій теорії , і в практичних виводах з неї","Зокрема , у листі до сестри Ольги , датованому вереснем 1897 : « Тим часом не роблю , як і перше , сливе нічого , от тільки половину « Kapital’у » « проштудировала » ( « читати » його не можна ) , і , знаєш , чим далі читаю , тим більше розчаровуюсь : я не бачу тієї « строгой системы » , про яку говорять фанатики сеї книжки , бачу багато фактів , чимало дотепних гіпотез і ще більше просто дотепів , але багато зостається для мене","Зокрема , у листі до сестри Ольги , датованому вереснем 1897 : « Тим часом не роблю , як і перше , сливе нічого , от тільки половину « Kapital’у » « проштудировала » ( « читати » його не можна ) , і , знаєш , чим далі читаю , тим більше розчаровуюсь : я не бачу тієї « строгой системы » , про яку говорять фанатики сеї книжки , бачу багато фактів , чимало дотепних гіпотез і ще більше просто дотепів , але багато зостається в теорії",для я,в теорія,зоставатися,для мене,"і в науковій теорії , і в практичних виводах з неї",2,11,для,в,я,теорія,PRON,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"Вона знає , що , як нагадує один з героїв « Оргії » , « Рим ходив у Грецію до школи » , що претензії на роль старшого брата у слов’янській сім’ї цілковито безпідставні .","Вона знає , що , як нагадує один з героїв « Оргії » , « Рим ходив у Грецію","Вона знає , що , як нагадує один з героїв « Оргії » , « Рим ходив до школи","Вона знає , що , як нагадує один з героїв « Оргії » , « Рим ходив у Грецію","Вона знає , що , як нагадує один з героїв « Оргії » , « Рим ходив до школи",у Греція,до школа,ходити,у Грецію,до школи,2,2,у,до,Греція,школа,PROPN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"Миритися з таким станом справ нізащо не згоджується : « [ … ] я ніколи не згоджуся вступитися з дороги перед усякими перевертнями і покутними борзописцями з чужої літератури , – dafűr ich bin mir doch zu gut !",Миритися з таким станом справ нізащо не згоджується : « [ … ] я ніколи не згоджуся вступитися з дороги,Миритися з таким станом справ нізащо не згоджується : « [ … ] я ніколи не згоджуся вступитися перед усякими перевертнями і покутними борзописцями з чужої літератури,Миритися з таким станом справ нізащо не згоджується : « [ … ] я ніколи не згоджуся вступитися з дороги,Миритися з таким станом справ нізащо не згоджується : « [ … ] я ніколи не згоджуся вступитися перед перевертнями,з дорога,перед перевертень,вступитися,з дороги,перед усякими перевертнями і покутними борзописцями з чужої літератури,2,9,з,перед,дорога,перевертень,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"Та пора вже й публіку нашу привчити ( не говорячи про самих редакторів ) , щоб не била поклонів перед усякими nullite’s через те тілько , що вони в ряди - годи удостоюють нам « в хату плюнути » ( раніше « наплювавши » на неї ) , забрівши знічев’я з роскішних сусідських палат до нашого вбогого куріня .","Та пора вже й публіку нашу привчити ( не говорячи про самих редакторів ) , щоб не била поклонів перед усякими nullite’s","Та пора вже й публіку нашу привчити ( не говорячи про самих редакторів ) , щоб не била поклонів через те тілько , що вони в ряди - годи удостоюють нам « в хату плюнути » ( раніше « наплювавши » на неї ) , забрівши знічев’я з роскішних сусідських палат до нашого вбогого куріня","Та пора вже й публіку нашу привчити ( не говорячи про самих редакторів ) , щоб не била поклонів перед nullite’s","Та пора вже й публіку нашу привчити ( не говорячи про самих редакторів ) , щоб не била поклонів через те",перед nullite’s,через те,бити,перед усякими nullite’s,"через те тілько , що вони в ряди - годи удостоюють нам « в хату плюнути » ( раніше « наплювавши » на неї ) , забрівши знічев’я з роскішних сусідських палат до нашого вбогого куріня",3,36,перед,через,nullite’s,те,X,PRON,prepositional,prepositional,Postverbal,Ukrainian
"Та пора вже й публіку нашу привчити ( не говорячи про самих редакторів ) , щоб не била поклонів перед усякими nullite’s через те тілько , що вони в ряди - годи удостоюють нам « в хату плюнути » ( раніше « наплювавши » на неї ) , забрівши знічев’я з роскішних сусідських палат до нашого вбогого куріня .","Та пора вже й публіку нашу привчити ( не говорячи про самих редакторів ) , щоб не била поклонів перед усякими nullite’s через те тілько , що вони в ряди - годи удостоюють нам « в хату плюнути » ( раніше « наплювавши » на неї ) , забрівши знічев’я з роскішних сусідських палат","Та пора вже й публіку нашу привчити ( не говорячи про самих редакторів ) , щоб не била поклонів перед усякими nullite’s через те тілько , що вони в ряди - годи удостоюють нам « в хату плюнути » ( раніше « наплювавши » на неї ) , забрівши знічев’я до нашого вбогого куріня","Та пора вже й публіку нашу привчити ( не говорячи про самих редакторів ) , щоб не била поклонів перед усякими nullite’s через те тілько , що вони в ряди - годи удостоюють нам « в хату плюнути » ( раніше « наплювавши » на неї ) , забрівши знічев’я з палат","Та пора вже й публіку нашу привчити ( не говорячи про самих редакторів ) , щоб не била поклонів перед усякими nullite’s через те тілько , що вони в ряди - годи удостоюють нам « в хату плюнути » ( раніше « наплювавши » на неї ) , забрівши знічев’я до куріня",з палата,до курінь,забрести,з роскішних сусідських палат,до нашого вбогого куріня,4,4,з,до,палата,курінь,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"Адже і в курінях на покуті сиділо виборне отамання та чесне товариство , а не якісь заволоки - потурнаки » .",Адже і в курінях,Адже на покуті,Адже в курінях,Адже на покуті,в курінь,на покуть,сидіти,і в курінях,на покуті,3,2,в,на,курінь,покуть,NOUN,NOUN,prepositional,prepositional,Preverbal,Ukrainian
— От так ! — прошепотів хтось до когось за спинами товаришів .,— От так ! — прошепотів хтось до когось,— От так ! — прошепотів хтось за спинами товаришів,— От так ! — прошепотів хтось до когось,— От так ! — прошепотів хтось за спинами,до хтось,за спина,прошепотіти,до когось,за спинами товаришів,2,3,до,за,хтось,спина,PRON,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"Маленький смугастий звірок , що сидів собі навпочіпки на поваленій кедрині проти сонечка і пильно , з виглядом ученого дослідника , розглядав торішній грибок , тримаючи його передніми лапками , раптом нашорошився .","Маленький смугастий звірок , що сидів собі навпочіпки на поваленій кедрині","Маленький смугастий звірок , що сидів собі навпочіпки проти сонечка","Маленький смугастий звірок , що сидів собі навпочіпки на кедрині","Маленький смугастий звірок , що сидів собі навпочіпки проти сонечка",на кедрина,проти сонечко,сидіти,на поваленій кедрині,проти сонечка,3,2,на,проти,кедрина,сонечко,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"Лише рябок , засвистівши , пролетів з однієї височенної кедри на іншу і завмер на гілці , мов сучок , нерухомо , опустивши чубату голівку вниз і витягши шию .","Лише рябок , засвистівши , пролетів з однієї височенної кедри","Лише рябок , засвистівши , пролетів на іншу","Лише рябок , засвистівши , пролетів з кедри","Лише рябок , засвистівши , пролетів на іншу",з кедра,на інший,пролетіти,з однієї височенної кедри,на іншу,4,2,з,на,кедра,інший,NOUN,DET,prepositional,prepositional,Postverbal,Ukrainian
"Квартира знаходилася на сьомому поверсі , і Вінстон , який мав тридцять дев’ять років та варикозну виразку на правій щиколотці , йшов дуже повільно , відпочиваючи по декілька разів під час сходження .","Квартира знаходилася на сьомому поверсі , і Вінстон , який мав тридцять дев’ять років та варикозну виразку на правій щиколотці , йшов дуже повільно , відпочиваючи по декілька разів","Квартира знаходилася на сьомому поверсі , і Вінстон , який мав тридцять дев’ять років та варикозну виразку на правій щиколотці , йшов дуже повільно , відпочиваючи під час сходження","Квартира знаходилася на сьомому поверсі , і Вінстон , який мав тридцять дев’ять років та варикозну виразку на правій щиколотці , йшов дуже повільно , відпочиваючи по разів","Квартира знаходилася на сьомому поверсі , і Вінстон , який мав тридцять дев’ять років та варикозну виразку на правій щиколотці , йшов дуже повільно , відпочиваючи під час",по раз,під час,відпочивати,по декілька разів,під час сходження,3,3,по,під,раз,час,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
Звісно не було жодного способу дізнатись чи спостерігають за вами саме у цей проміжок часу .,Звісно не було жодного способу дізнатись чи спостерігають за вами,Звісно не було жодного способу дізнатись чи спостерігають саме у цей проміжок часу,Звісно не було жодного способу дізнатись чи спостерігають за вами,Звісно не було жодного способу дізнатись чи спостерігають у проміжок,за ви,у проміжок,спостерігати,за вами,саме у цей проміжок часу,2,5,за,у,ви,проміжок,PRON,NOUN,prepositional,prepositional,Postverbal,Ukrainian
Але вони могли обрати навмання і смикнути саме за твій ляльковий дріт у будь-який час коли вони цього забажають .,Але вони могли обрати навмання і смикнути саме за твій ляльковий дріт,Але вони могли обрати навмання і смикнути у будь-який час коли вони цього забажають,Але вони могли обрати навмання і смикнути за дріт,Але вони могли обрати навмання і смикнути у час,за дріт,у час,смикнути,саме за твій ляльковий дріт,у будь-який час коли вони цього забажають,5,7,за,у,дріт,час,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
Він пішов крізь кімнату до вузенької кухні .,Він пішов крізь кімнату,Він пішов до вузенької кухні,Він пішов крізь кімнату,Він пішов до кухні,крізь кімната,до кухня,піти,крізь кімнату,до вузенької кухні,2,3,крізь,до,кімната,кухня,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
Залишаючи Міністерство о цій порі дня він пожертвував своїм ланчем у буфеті та усвідомлював що на кухні з їжі є лише скибка чорного хліба яка не дотягне до завтрашнього сніданку .,Залишаючи Міністерство о цій порі дня він пожертвував своїм ланчем у буфеті та усвідомлював що на кухні,Залишаючи Міністерство о цій порі дня він пожертвував своїм ланчем у буфеті та усвідомлював що з їжі,Залишаючи Міністерство о цій порі дня він пожертвував своїм ланчем у буфеті та усвідомлював що на кухні,Залишаючи Міністерство о цій порі дня він пожертвував своїм ланчем у буфеті та усвідомлював що з їжі,на кухня,з їжа,бути,на кухні,з їжі,2,2,на,з,кухня,їжа,NOUN,NOUN,prepositional,prepositional,Preverbal,Ukrainian
"Ручка з пером це був архаїчний інструмент , зрідка вживаний навіть для підписів , просто він відчував що цей чудовий кремовий папір заслуговує на те щоб бути розписаним справжнім пером замість того щоб бути подряпаним звичайним хімічним олівцем .","Ручка з пером це був архаїчний інструмент , зрідка вживаний навіть для підписів , просто він відчував що цей чудовий кремовий папір заслуговує на те щоб бути розписаним справжнім пером","Ручка з пером це був архаїчний інструмент , зрідка вживаний навіть для підписів , просто він відчував що цей чудовий кремовий папір заслуговує замість того щоб бути подряпаним звичайним хімічним олівцем","Ручка з пером це був архаїчний інструмент , зрідка вживаний навіть для підписів , просто він відчував що цей чудовий кремовий папір заслуговує на те","Ручка з пером це був архаїчний інструмент , зрідка вживаний навіть для підписів , просто він відчував що цей чудовий кремовий папір заслуговує замість того",на те,замість те,заслуговувати,на те щоб бути розписаним справжнім пером,замість того щоб бути подряпаним звичайним хімічним олівцем,7,8,на,замість,те,те,PRON,PRON,prepositional,prepositional,Postverbal,Ukrainian
Він ніколи не міг дивитися на обличчя Гольдштейна без болючої емоційної суміші .,Він ніколи не міг дивитися на обличчя Гольдштейна,Він ніколи не міг дивитися без болючої емоційної суміші,Він ніколи не міг дивитися на обличчя,Він ніколи не міг дивитися без суміші,на обличчя,без суміш,дивитися,на обличчя Гольдштейна,без болючої емоційної суміші,3,4,на,без,обличчя,суміш,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"Він вдарився , з глухим звуком , об ніс Гольдштейна та відскочив ; його голос лунав невблаганно .","Він вдарився , з глухим звуком ,",Він вдарився об ніс Гольдштейна,Він вдарився з звуком,Він вдарився об ніс,з звук,об ніс,вдаритися,", з глухим звуком ,",об ніс Гольдштейна,5,3,з,об,звук,ніс,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"І зараз лють яку відчував кожен стала абстрактною , не адресованою емоцією яку можна було передавати та спрямовувати з одного об’єкта на інший неначе вогонь у паяльній лампі .","І зараз лють яку відчував кожен стала абстрактною , не адресованою емоцією яку можна було передавати та спрямовувати з одного об’єкта","І зараз лють яку відчував кожен стала абстрактною , не адресованою емоцією яку можна було передавати та спрямовувати на інший","І зараз лють яку відчував кожен стала абстрактною , не адресованою емоцією яку можна було передавати та спрямовувати з об’єкта","І зараз лють яку відчував кожен стала абстрактною , не адресованою емоцією яку можна було передавати та спрямовувати на інший",з об’єкт,на інший,спрямовувати,з одного об’єкта,на інший,3,2,з,на,об’єкт,інший,NOUN,DET,prepositional,prepositional,Postverbal,Ukrainian
"Хоча , от , в суботу , ми з карапузом вигулювались на біговєлі до парку Перемоги .","Хоча , от , в суботу , ми з карапузом вигулювались на біговєлі","Хоча , от , в суботу , ми з карапузом вигулювались до парку Перемоги","Хоча , от , в суботу , ми з карапузом вигулювались на біговєлі","Хоча , от , в суботу , ми з карапузом вигулювались до парку",на біговело,до парк,вигулюватися,на біговєлі,до парку Перемоги,2,3,на,до,біговело,парк,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
Після такого він буде за нею бігати як Джорах .,Після такого,за нею,Після такого,за нею,після таке,за вона,бігати,Після такого,за нею,2,2,після,за,таке,вона,PRON,PRON,prepositional,prepositional,Preverbal,Ukrainian
Хто що отримав на свята в подарунок ?,Хто що отримав на свята,Хто що отримав в подарунок,Хто що отримав на свята,Хто що отримав в подарунок,на свято,в подарунок,отримати,на свята,в подарунок,2,2,на,в,свято,подарунок,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"І навіть як йду з гостей від батьків , кажу , що йду додому ..",І навіть як йду з гостей,І навіть як йду від батьків,І навіть як йду з гостей,І навіть як йду від батьків,з гість,від батьки,йти,з гостей,від батьків,2,2,з,від,гість,батьки,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
Моя подруга отримала біометричний паспорт і вже їздила з ним до Франції .,Моя подруга отримала біометричний паспорт і вже їздила з ним,Моя подруга отримала біометричний паспорт і вже їздила до Франції,Моя подруга отримала біометричний паспорт і вже їздила з ним,Моя подруга отримала біометричний паспорт і вже їздила до Франції,з він,до Франція,їздити,з ним,до Франції,2,2,з,до,він,Франція,PRON,PROPN,prepositional,prepositional,Postverbal,Ukrainian
"Отже , резюме - ні Авраам , ні Сара не брехали фараонові ( вона двоюрідна сестра Авраама ) , Сара не лізла в постіль фараонові за прибутком ( як роблять повії ) - все , що сталось на совісті фараона .","Отже , резюме - ні Авраам , ні Сара не брехали фараонові ( вона двоюрідна сестра Авраама ) , Сара не лізла в постіль","Отже , резюме - ні Авраам , ні Сара не брехали фараонові ( вона двоюрідна сестра Авраама ) , Сара не лізла за прибутком","Отже , резюме - ні Авраам , ні Сара не брехали фараонові ( вона двоюрідна сестра Авраама ) , Сара не лізла в постіль","Отже , резюме - ні Авраам , ні Сара не брехали фараонові ( вона двоюрідна сестра Авраама ) , Сара не лізла за прибутком",в постіль,за прибуток,лізти,в постіль,за прибутком,2,2,в,за,постіль,прибуток,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"Спочатку вироблялися стінки її від вінця аж до ноги , а тоді виготовлялося додатково ніжку , вмащуючи глину з двох боків так , щоб постало дно та частинне або повне виповнення ніжки .",Спочатку вироблялися стінки її від вінця,Спочатку вироблялися стінки її аж до ноги,Спочатку вироблялися стінки її від вінця,Спочатку вироблялися стінки її до ноги,від вінець,до нога,вироблятися,від вінця,аж до ноги,2,3,від,до,вінець,нога,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"Одначе розгляд фрагментів цього посуду дозволяє думати , що тут маємо аналогічну техніку , бо не трапляється , щоб ніжка відбивалась від дна посудини в площі здогадного перетину , натомість посудина розбивається все спільно з ніжкою .","Одначе розгляд фрагментів цього посуду дозволяє думати , що тут маємо аналогічну техніку , бо не трапляється , щоб ніжка відбивалась від дна посудини","Одначе розгляд фрагментів цього посуду дозволяє думати , що тут маємо аналогічну техніку , бо не трапляється , щоб ніжка відбивалась в площі здогадного перетину","Одначе розгляд фрагментів цього посуду дозволяє думати , що тут маємо аналогічну техніку , бо не трапляється , щоб ніжка відбивалась від дна","Одначе розгляд фрагментів цього посуду дозволяє думати , що тут маємо аналогічну техніку , бо не трапляється , щоб ніжка відбивалась в площі",від дно,в площа,відбиватися,від дна посудини,в площі здогадного перетину,3,4,від,в,дно,площа,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
На незнайому планету вони не те що без шоломів — взагалі без скафандрів вийдуть .,На незнайому планету,не те що без шоломів — взагалі без скафандрів,На планету,без шоломів,на планета,без шолом,вийти,На незнайому планету,не те що без шоломів — взагалі без скафандрів,3,9,на,без,планета,шолом,NOUN,NOUN,prepositional,prepositional,Preverbal,Ukrainian
"Зустріли незнайомця — пусте , спершу ми підемо за ним у якесь дивне місце , де не ловить радіо , а тоді вже будемо ставити йому якісь питання .","Зустріли незнайомця — пусте , спершу ми підемо за ним","Зустріли незнайомця — пусте , спершу ми підемо у якесь дивне місце , де не ловить радіо","Зустріли незнайомця — пусте , спершу ми підемо за ним","Зустріли незнайомця — пусте , спершу ми підемо у місце",за він,у місце,піти,за ним,"у якесь дивне місце , де не ловить радіо",2,9,за,у,він,місце,PRON,NOUN,prepositional,prepositional,Postverbal,Ukrainian
"Ну а коли щось традиційно піде не так , то замість мінімізації збитків і збереження якомога більшої кількості життів від них можна чекати лише істерик і свідомого погіршення ситуації .","Ну а коли щось традиційно піде не так , то замість мінімізації збитків і збереження якомога більшої кількості життів","Ну а коли щось традиційно піде не так , то від них","Ну а коли щось традиційно піде не так , то замість мінімізації","Ну а коли щось традиційно піде не так , то від них",замість мінімізація,від вони,чекати,замість мінімізації збитків і збереження якомога більшої кількості життів,від них,9,2,замість,від,мінімізація,вони,NOUN,PRON,prepositional,prepositional,Preverbal,Ukrainian
Фразеологічний словничок збільшено в цьому виданні не на багато .,Фразеологічний словничок збільшено в цьому виданні,Фразеологічний словничок збільшено не на багато,Фразеологічний словничок збільшено в виданні,Фразеологічний словничок збільшено на багато,в видання,на багато,збільшити,в цьому виданні,не на багато,3,3,в,на,видання,багато,NOUN,DET,prepositional,prepositional,Postverbal,Ukrainian
"Вказуючи на ту чи иншу поправну форму проти хибної , я йду шляхом індуктивним : за вихідний пункт маю поширеність даного язикового явища в мові народній та в мові кращих знавців українського слова і намагаюся обминути все те , що могло б відбивати суб’єктивною вподобою .",Вказуючи на ту чи иншу поправну форму,Вказуючи проти хибної,Вказуючи на форму,Вказуючи проти хибної,на форма,проти хибний,вказувати,на ту чи иншу поправну форму,проти хибної,6,2,на,проти,форма,хибний,NOUN,ADJ,prepositional,prepositional,Postverbal,Ukrainian
"Проте Марія Василівна чулася в тому віці , коли вже можна дозволити собі також багато іншого : і А ) випити чарочку коньяку , який прогріває горло під час занять , і Б ) намалюватися помадою непристойно червоного кольору , і В ) допустити певні думки під час приповільнення кроку біля побуткомбінату , де за прозорими вікнами в підвальному приміщенні — чоловіча качалка …","Проте Марія Василівна чулася в тому віці , коли вже можна дозволити собі також багато іншого : і А ) випити чарочку коньяку , який прогріває горло під час занять , і Б ) намалюватися помадою непристойно червоного кольору , і В ) допустити певні думки під час приповільнення кроку","Проте Марія Василівна чулася в тому віці , коли вже можна дозволити собі також багато іншого : і А ) випити чарочку коньяку , який прогріває горло під час занять , і Б ) намалюватися помадою непристойно червоного кольору , і В ) допустити певні думки біля побуткомбінату , де за прозорими вікнами в підвальному приміщенні — чоловіча качалка","Проте Марія Василівна чулася в тому віці , коли вже можна дозволити собі також багато іншого : і А ) випити чарочку коньяку , який прогріває горло під час занять , і Б ) намалюватися помадою непристойно червоного кольору , і В ) допустити певні думки під час","Проте Марія Василівна чулася в тому віці , коли вже можна дозволити собі також багато іншого : і А ) випити чарочку коньяку , який прогріває горло під час занять , і Б ) намалюватися помадою непристойно червоного кольору , і В ) допустити певні думки біля побуткомбінату",під час,біля побуткомбінат,допустити,під час приповільнення кроку,"біля побуткомбінату , де за прозорими вікнами в підвальному приміщенні — чоловіча качалка",4,13,під,біля,час,побуткомбінат,NOUN,NOUN,prepositional,prepositional,Postverbal,Ukrainian
І просто на підвіконні біля порепаної бегонії плямистої ( Begonia maculata ) Марія Василівна помішала майже вистиглий кминовий ( Carum carvi ) чайок у гарній блакитній чашечці з позолоченою окантовкою у формі листочків .,І просто на підвіконні,І біля порепаної бегонії плямистої ( Begonia maculata ),І на підвіконні,І біля бегонії,на підвіконня,біля бегонія,помішати,просто на підвіконні,біля порепаної бегонії плямистої ( Begonia maculata ),3,8,на,біля,підвіконня,бегонія,NOUN,NOUN,prepositional,prepositional,Preverbal,Ukrainian
"А малий , у котрого від страху поперегукувалися всі пломби верхнього ряду зубів з товаришами з ряду нижнього , ніби врятований потопельник , виплюнув з легенів чорну воду із зеленим намулом :","А малий , у котрого","А малий , від страху","А малий , у котрого","А малий , від страху",у котрий,від страх,поперегукуватися,у котрого,від страху,2,2,у,від,котрий,страх,DET,NOUN,prepositional,prepositional,Preverbal,Ukrainian
"Може , ви дійдете до Києва з Варшави , а я через Одесу , а може , й через Токіо та Сибір , але ми маємо спільну ціль » , — пригадував слова Євгена Коновальця президент Української Народної Республіки в екзилі Андрій Лівицький .","Може , ви дійдете до Києва","Може , ви дійдете з Варшави","Може , ви дійдете до Києва","Може , ви дійдете з Варшави",до Київ,з Варшава,дійти,до Києва,з Варшави,2,2,до,з,Київ,Варшава,PROPN,PROPN,prepositional,prepositional,Postverbal,Ukrainian
