Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,1,1,0.021664260591207754,1,-4.4000000000000014e-13,-1,-0.02376894959290038,-1,0,сидіти,Preverbal
1,0,0,0.09345069515686646,1,-1.4395000000000002e-07,-1,0.0016680232975359033,1,0,бути,Preverbal
1,0,0,-0.08431007859153741,-1,1.17279e-05,1,0.11925953772568593,1,0,бігати,Preverbal
1,-6,-1,0.20687363743877374,1,-6.685723e-07,-1,-0.015993120410798034,-1,0,вийти,Preverbal
1,7,1,0.04593502835828395,1,1.04831999786e-05,1,0.008606159277063985,1,-1,чекати,Preverbal
1,-5,-1,0.18710390136222727,1,-2.4643e-12,-1,0.03539040154589057,1,0,помішати,Preverbal
1,1,1,0.09853331024895376,1,-1.48004045e-07,-1,0.04019741498334489,1,0,перекинути,Preverbal
1,1,1,-0.07052941218885554,-1,-1.506705e-05,-1,-0.03541992460941179,-1,0,відбуватися,Preverbal
1,0,0,-0.033910435426377436,-1,-5.947168e-06,-1,-0.007279831098162215,-1,1,піти,Preverbal
1,0,0,0.03059054882590112,1,-6.357599999999999e-08,-1,0.0005976772207809677,1,0,викрикувати,Preverbal
1,-1,-1,-0.11937108460120063,-1,-3.98249805e-06,-1,-0.00012815733054138967,-1,0,спекти,Preverbal
1,15,1,0.3016732239689062,1,-1.81626e-05,-1,0.05785906127352869,1,-1,підпустити,Preverbal
1,1,1,-0.0038411940232496444,-1,-7.964999999999996e-06,-1,-0.030981503879024208,-1,-1,знайти,Preverbal
1,6,1,0.032712349558170165,1,2.73525e-05,1,0.10024540768115064,1,0,вироблятися,Preverbal
1,4,1,-0.06290588032274526,-1,2.18708e-05,1,0.0002178178100754602,1,0,виготовляти,Preverbal
1,-3,-1,-0.052182607735864854,-1,-1.26234e-05,-1,0.08530049242855436,1,1,бути,Preverbal
1,1,1,0.28297725880252983,1,-4.4654999582999995e-06,-1,-0.0017455892140232354,-1,0,переважати,Preverbal
1,-1,-1,0.17830519331111794,1,-2.8009000000000002e-05,-1,0.00893071764152853,1,0,поширюватися,Preverbal
1,0,0,-0.2878423451764455,-1,1.2826415e-06,1,-0.03069901587427115,-1,0,змиватися,Preverbal
1,1,1,0.06137197388124076,1,-3.2765e-06,-1,0.019059729104009326,1,0,становити,Preverbal
1,1,1,0.018627148341057907,1,-2.9704999999999987e-07,-1,0.004220304670449759,1,0,використовувати,Preverbal
1,7,1,0.03019909990314404,1,-7.45e-07,-1,-0.08254181910024483,-1,0,розбивати,Preverbal
1,-3,-1,-0.004006692655273272,-1,-4.454499749e-05,-1,-0.05322006460248607,-1,1,писати,Preverbal
1,-2,-1,0.47577960048943035,1,7.612499805e-05,1,-0.060241330389565806,-1,-1,говорити,Preverbal
1,-2,-1,0.03405557836525306,1,-1.38948e-06,-1,0.023646679218993716,1,0,перетворитися,Preverbal
1,1,1,-0.01405038257127282,-1,-3.470999749e-05,-1,-0.04688098698082149,-1,0,стояти,Preverbal
1,1,1,-0.061456204938451164,-1,-6.152495430000001e-08,-1,0.012850892895179933,1,0,утворюватися,Preverbal
1,1,1,-0.11948217664817361,-1,-3.470999705e-05,-1,-0.001701966927438514,-1,0,бути,Preverbal
1,-1,-1,-0.07090708017600691,-1,-1.7408645e-08,-1,-0.07481698929096398,-1,0,іти,Preverbal
1,-1,-1,-0.05903840420354875,-1,3.1603449999999994e-09,1,0.007214395346953173,1,0,повідомити,Preverbal
1,1,1,-0.1064644199394342,-1,9.35e-08,1,0.005110135482864653,1,0,лежати,Preverbal
1,-6,-1,-0.24200198988764735,-1,2.3980271099999995e-07,1,0.02183745843552798,1,0,вмикатися,Preverbal
1,-1,-1,0.024957618113727265,1,1.16973e-08,1,0.07233140459841919,1,0,вискакувати,Preverbal
1,0,0,0.34242460819419784,1,-1.0477500000000003e-05,-1,0.0001386343594647066,1,-1,домовитися,Preverbal
1,0,0,0.2907571009374629,1,-3.6269990880000004e-07,-1,-0.04271128930083551,-1,0,сидіти,Preverbal
1,0,0,0.0828042132364198,1,-4.847699999999999e-08,-1,-0.03079408683147139,-1,0,приїжджати,Preverbal
1,1,1,-0.25110727033503066,-1,-1.7783999999999996e-07,-1,-0.0016035010143121697,-1,0,діяти,Preverbal
1,1,1,-0.046138700073209554,-1,-2.2201999999999995e-06,-1,0.0491260797808627,1,0,бути,Preverbal
1,1,1,0.11414779327533721,1,-6.4544749e-07,-1,-0.0786514967417904,-1,0,лежати,Preverbal
1,2,1,-0.26420910730984365,-1,3.234132999999999e-05,1,-0.029274052108681392,-1,-1,сходитися,Preverbal
1,-1,-1,0.029467543707571972,1,1.4800490450000002e-06,1,0.04859494973679501,1,0,залишитися,Preverbal
1,-1,-1,-0.21389646870247367,-1,-3.5931799999999994e-05,-1,0.0016074688885177046,1,1,підключатися,Preverbal
1,-1,-1,0.06399784672671605,1,-6.415499999999998e-05,-1,-0.0257512783217273,-1,1,немати,Preverbal
1,-1,-1,-0.07906210165347671,-1,-2.1560360000000003e-06,-1,-0.05697559411887165,-1,0,мостити,Preverbal
1,0,0,0.1331722954092792,1,-0.00027403887,-1,-0.008811148501622956,-1,1,полегшати,Preverbal
1,-1,-1,0.1531323577740412,1,1.698449805e-05,1,0.008614985257299868,1,0,немати,Preverbal
1,1,1,0.14853429286748077,1,-1.66342e-07,-1,-0.0024380859573728264,-1,0,залишатися,Preverbal
1,7,1,-0.05194722984239272,-1,-7.42499749e-06,-1,0.006258395315278831,1,1,писатися,Preverbal
1,-1,-1,0.09193674543327102,1,-2.8649000000000003e-06,-1,0.007263456252579847,1,0,звати,Preverbal
1,-1,-1,-0.011129618850205358,-1,-0.00013465499749,-1,0.0019265769792855547,1,1,прийти,Preverbal
1,0,0,-0.009918606381630612,-1,2.29221e-06,1,0.0505820897753701,1,0,писати,Preverbal
1,-2,-1,-0.037238098272143486,-1,-1.9877059999999998e-06,-1,-0.0021976729560295727,-1,1,ходити,Preverbal
1,0,0,-0.1041581796296063,-1,-4.3575274999999994e-05,-1,0.009761341964383052,1,1,плакати,Preverbal
1,0,0,-0.03551273024300901,-1,6.537215e-05,1,-0.014515235178041042,-1,-1,горіти,Preverbal
1,1,1,-0.12483804302550217,-1,3.2051800000000004e-08,1,0.031064050362039075,1,0,дізнаватися,Preverbal
1,0,0,-0.11126150008845193,-1,-1.422549e-05,-1,-0.04072690368617404,-1,0,вести,Preverbal
1,2,1,-0.00854137210874693,-1,5.2427e-06,1,-0.0033138534239277595,-1,0,мати,Preverbal
1,-4,-1,-0.3415710999305215,-1,1.7342076e-06,1,0.04701592241483954,1,0,межувати,Preverbal
0,0,0,-0.12068701529874674,-1,-4.499999999989538e-09,-1,-0.009958643675400114,-1,1,дійти,Preverbal
