Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
آل انڈیا مسلم پرسنل لا بورڈ کے اےک پریس نوٹ کے بموجب بورڈ کی مجلس عاملہ کا اےک اجلاس حیدرآباد مےں 23 اور 24 اپریل کو منعقد ہو رہا ہے ۔,آل انڈیا مسلم پرسنل لا بورڈ کے اےک پریس نوٹ کے بموجب,حیدرآباد مےں,نوٹ کے بموجب,حیدرآباد مےں,نوٹ کے بموجب,حیدرآباد مےں,ہو,آل انڈیا مسلم پرسنل لا بورڈ کے اےک پریس نوٹ کے بموجب,حیدرآباد مےں,12,2,کے بموجب,مےں,نوٹ,حیدرآباد,NOUN,PROPN,postpositional,postpositional,Preverbal,Urdu
اس قانون کا نفاذ یکم اپریل 2010 ء سے عمل مےں آ چکا ہے ۔,اس قانون کا نفاذ یکم اپریل 2010 ء سے,اس قانون کا نفاذ عمل مےں,اس قانون کا نفاذ ء سے,اس قانون کا نفاذ عمل مےں,ء سے,عمل مےں,آ,یکم اپریل 2010 ء سے,عمل مےں,5,2,سے,مےں,ء,عمل,NOUN,NOUN,postpositional,postpositional,Preverbal,Urdu
"اس قانون کے مقاصد بہت اچھے ہےں , لیکن قانون اس طرح مدون کیا گیا ہے کہ اس سے دینی مدارس پر سخت ضرب پڑتی ہے ۔","اس قانون کے مقاصد بہت اچھے ہےں , لیکن قانون اس طرح مدون کیا گیا ہے کہ اس سے","اس قانون کے مقاصد بہت اچھے ہےں , لیکن قانون اس طرح مدون کیا گیا ہے کہ دینی مدارس پر","اس قانون کے مقاصد بہت اچھے ہےں , لیکن قانون اس طرح مدون کیا گیا ہے کہ اس سے","اس قانون کے مقاصد بہت اچھے ہےں , لیکن قانون اس طرح مدون کیا گیا ہے کہ مدارس پر",یہ سے,مدرسہ پر,پڑ,اس سے,دینی مدارس پر,2,3,سے,پر,یہ,مدرسہ,PRON,NOUN,postpositional,postpositional,Preverbal,Urdu
مسٹر سدرشن ریڈی کے حق میں بعض مسلم تنظیموں نے سرگرمی سے مہم چلائی تھی جس میں قابل ذکر مومنٹ فار پیس اینڈ جسٹس کے علاوہ حیدرآباد زکوا و چیارٹیبل ٹرسٹ کے نام شامل ہیں ۔,مسٹر سدرشن ریڈی کے حق میں,سرگرمی سے,حق میں,سرگرمی سے,حق میں,سرگرم سے,چل,مسٹر سدرشن ریڈی کے حق میں,سرگرمی سے,6,2,میں,سے,حق,سرگرم,NOUN,NOUN,postpositional,postpositional,Preverbal,Urdu
مسٹر سدرشن ریڈی کے حق میں بعض مسلم تنظیموں نے سرگرمی سے مہم چلائی تھی جس میں قابل ذکر مومنٹ فار پیس اینڈ جسٹس کے علاوہ حیدرآباد زکوا و چیارٹیبل ٹرسٹ کے نام شامل ہیں ۔,مسٹر سدرشن ریڈی کے حق میں بعض مسلم تنظیموں نے سرگرمی سے مہم چلائی تھی جس میں,مسٹر سدرشن ریڈی کے حق میں بعض مسلم تنظیموں نے سرگرمی سے مہم چلائی تھی قابل ذکر مومنٹ فار پیس اینڈ جسٹس کے علاوہ,مسٹر سدرشن ریڈی کے حق میں بعض مسلم تنظیموں نے سرگرمی سے مہم چلائی تھی جس میں,مسٹر سدرشن ریڈی کے حق میں بعض مسلم تنظیموں نے سرگرمی سے مہم چلائی تھی جسٹس کے علاوہ,جو میں,جسٹس کے علاوہ,ہیں,جس میں,قابل ذکر مومنٹ فار پیس اینڈ جسٹس کے علاوہ,2,9,میں,کے علاوہ,جو,جسٹس,PRON,PROPN,postpositional,postpositional,Preverbal,Urdu
ایم پی ڈی او نے منڈل کے سرپنچس ایم پی ٹی سیز کے علاوہ متعلقہ عہدیداروں سے اس اجلاس میں شرکت کرنے کی خواہش کی ہے ۔,ایم پی ڈی او نے منڈل کے سرپنچس ایم پی ٹی سیز کے علاوہ,ایم پی ڈی او نے اس اجلاس میں,ایم پی ڈی او نے سیز کے علاوہ,ایم پی ڈی او نے اجلاس میں,سیز کے علاوہ,اجلاس میں,کر,منڈل کے سرپنچس ایم پی ٹی سیز کے علاوہ,اس اجلاس میں,9,3,کے علاوہ,میں,سیز,اجلاس,NOUN,NOUN,postpositional,postpositional,Preverbal,Urdu
کڑپہ لوک سبھا حلقہ کے لیے ضمنی انتخابات مےں 42 امیدوار مقابلہ کر رہے ہیں ۔,کڑپہ لوک سبھا حلقہ کے لیے,ضمنی انتخابات مےں,حلقہ کے لیے,انتخابات مےں,حلقہ کے لئے,انتخاب مےں,کر,کڑپہ لوک سبھا حلقہ کے لیے,ضمنی انتخابات مےں,6,3,کے لئے,مےں,حلقہ,انتخاب,NOUN,NOUN,postpositional,postpositional,Preverbal,Urdu
حلقہ اسمبلی پولی ویندلہ کے لیے 25 امیدوار انتخابی دوڑ مےں شامل ہیں ۔,حلقہ اسمبلی پولی ویندلہ کے لیے,انتخابی دوڑ مےں,ویندلہ کے لیے,دوڑ مےں,ویندلہ کے لئے,دوڑ مےں,ہے,حلقہ اسمبلی پولی ویندلہ کے لیے,انتخابی دوڑ مےں,6,3,کے لئے,مےں,ویندلہ,دوڑ,PROPN,NOUN,postpositional,postpositional,Preverbal,Urdu
ان دو حلقوں کے لیے رائے دہی 8 مئی کو ہوگی ۔,ان دو حلقوں کے لیے,8 مئی کو,حلقوں کے لیے,مئی کو,حلقہ کے لئے,مئی کو,ہو,ان دو حلقوں کے لیے,8 مئی کو,5,3,کے لئے,کو,حلقہ,مئی,NOUN,PROPN,postpositional,postpositional,Preverbal,Urdu
احمد کے بموجب اگر دونوں ہی ٹیمیں اپنے شیڈول مےں معمولی تبدیلی کرتے ہےں تو رواں برس ہند - پاک سیریز کا انعقاد یقنی ہوگا ۔,احمد کے بموجب,اپنے شیڈول مےں,احمد کے بموجب,شیڈول مےں,احمد کے بموجب,شیڈول مےں,کر,احمد کے بموجب,اپنے شیڈول مےں,3,3,کے بموجب,مےں,احمد,شیڈول,PROPN,NOUN,postpositional,postpositional,Preverbal,Urdu
