Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
Pa Arlywydd Americanaidd a ymwelodd ag Eisteddfod Genedlaethol Caerdydd yn 1938 ?,Pa Arlywydd Americanaidd a ymwelodd ag Eisteddfod Genedlaethol Caerdydd,Pa Arlywydd Americanaidd a ymwelodd yn 1938,Pa Arlywydd Americanaidd a ymwelodd ag Eisteddfod,Pa Arlywydd Americanaidd a ymwelodd yn 1938,â eisteddfod,yn 1938,ymweld,ag Eisteddfod Genedlaethol Caerdydd,yn 1938,4,2,â,yn,eisteddfod,1938,NOUN,NUM,prepositional,prepositional,Postverbal,Welsh
"Bu rhybudd oren mewn grym ar gyfer rhannau o Gymru y penwythnos diwethaf , gyda nifer o ardaloedd yn gorfod delio â llifogydd .",Bu rhybudd oren mewn grym,"Bu rhybudd oren ar gyfer rhannau o Gymru y penwythnos diwethaf , gyda nifer o ardaloedd yn gorfod delio â llifogydd",Bu rhybudd oren mewn grym,Bu rhybudd oren ar gyfer,mewn grym,ar cyfer,bod,mewn grym,"ar gyfer rhannau o Gymru y penwythnos diwethaf , gyda nifer o ardaloedd yn gorfod delio â llifogydd",2,18,mewn,ar,grym,cyfer,NOUN,NOUN,prepositional,prepositional,Postverbal,Welsh
"Daw 'r dedfrydau llym ar ôl achos fu 'n llawn camweddau o du 'r barnwyr , yr oll â chysylltiadau â thair plaid gwleidyddol goruchafiaethol Sbaenaidd ( y Blaid Sosialaidd , Plaid y Bobl , a 'r blaid Ffasgaidd Vox ) , ar gyhuddiadau na fyddai 'n dal dŵr mewn llys barn gwerth yr enw .",Daw 'r dedfrydau llym ar ôl,"Daw 'r dedfrydau llym , ar gyhuddiadau na fyddai 'n dal dŵr mewn llys barn gwerth yr enw .",Daw 'r dedfrydau llym ar ôl,Daw 'r dedfrydau llym ar gyhuddiadau,ar ôl,ar cyhuddiad,dod,ar ôl,", ar gyhuddiadau na fyddai 'n dal dŵr mewn llys barn gwerth yr enw .",2,15,ar,ar,ôl,cyhuddiad,NOUN,NOUN,prepositional,prepositional,Postverbal,Welsh
"Mae batris ym mhob ystafell yn y tŷ - mewn teganau , ffonau symudol , clociau larwm a 'r remote control .",Mae batris ym mhob ystafell yn y tŷ,"Mae batris - mewn teganau , ffonau symudol , clociau larwm a 'r remote control",Mae batris ym ystafell,Mae batris mewn teganau,yn ystafell,mewn tegan,bod,ym mhob ystafell yn y tŷ,"- mewn teganau , ffonau symudol , clociau larwm a 'r remote control",6,13,yn,mewn,ystafell,tegan,NOUN,NOUN,prepositional,prepositional,Postverbal,Welsh
Sefydlwyd Parc Cenedlaethol Eryri ym 1951 fel y trydydd parc cenedlaethol yng Nghymru a Lloegr .,Sefydlwyd Parc Cenedlaethol Eryri ym 1951,Sefydlwyd Parc Cenedlaethol Eryri fel y trydydd parc cenedlaethol yng Nghymru a Lloegr,Sefydlwyd Parc Cenedlaethol Eryri ym 1951,Sefydlwyd Parc Cenedlaethol Eryri fel parc,yn 1951,fel parc,sefydlu,ym 1951,fel y trydydd parc cenedlaethol yng Nghymru a Lloegr,2,9,yn,fel,1951,parc,NUM,NOUN,prepositional,prepositional,Postverbal,Welsh
Mae Eryri yn le gwych i ddod i gerdded ac mae gan ni rwydwaith o lwybrau ar gyfer pobl o bob gallu .,Mae Eryri yn le gwych i ddod i gerdded ac mae gan ni,Mae Eryri yn le gwych i ddod i gerdded ac mae ar gyfer pobl o bob gallu,Mae Eryri yn le gwych i ddod i gerdded ac mae gan ni,Mae Eryri yn le gwych i ddod i gerdded ac mae ar gyfer,gan ni,ar cyfer,bod,gan ni,ar gyfer pobl o bob gallu,2,6,gan,ar,ni,cyfer,PRON,NOUN,prepositional,prepositional,Postverbal,Welsh
"Yn ôl rhagor o ddogfennau a ryddhawyd drwy geisiadau rhyddid gwybodaeth , ym mis Awst eleni anfonodd y Comisiynydd lythyr at Weinidog y Gymraeg yn brolio ei fod yn cynnal llai o ymchwiliadau i gwynion gan ddweud ei fod "" ddiolchgar "" i 'r Gweinidog am ei "" harweiniad ar y mater "" .",Yn ôl rhagor o ddogfennau a ryddhawyd drwy geisiadau rhyddid gwybodaeth,"Yn ôl rhagor o ddogfennau a ryddhawyd , ym mis Awst eleni",Yn ôl rhagor o ddogfennau a ryddhawyd drwy geisiadau,Yn ôl rhagor o ddogfennau a ryddhawyd ym mis,drwy geisiad,yn mis,ryddhau,drwy geisiadau rhyddid gwybodaeth,", ym mis Awst eleni",4,5,drwy,yn,geisiad,mis,NOUN,NOUN,prepositional,prepositional,Postverbal,Welsh
"Yr oedd Merêd yn arbenigwr ym maes cerddoriaeth werin Gymraeg , a bu wrth hi , ynghyd â 'i wraig Phyllis Kinney , am ddegawdau yn gwneud gwaith diwyd yn casglu ac yn cofnodi caneuon gwerin .","Yr oedd Merêd yn arbenigwr ym maes cerddoriaeth werin Gymraeg , a bu wrth hi","Yr oedd Merêd yn arbenigwr ym maes cerddoriaeth werin Gymraeg , a bu , ynghyd â 'i wraig Phyllis Kinney , am ddegawdau yn gwneud gwaith diwyd yn casglu ac yn cofnodi caneuon gwerin","Yr oedd Merêd yn arbenigwr ym maes cerddoriaeth werin Gymraeg , a bu wrth hi","Yr oedd Merêd yn arbenigwr ym maes cerddoriaeth werin Gymraeg , a bu â wraig",wrth hi,â gwraig,bod,wrth hi,", ynghyd â 'i wraig Phyllis Kinney , am ddegawdau yn gwneud gwaith diwyd yn casglu ac yn cofnodi caneuon gwerin",2,21,wrth,â,hi,gwraig,PRON,NOUN,prepositional,prepositional,Postverbal,Welsh
"Fe wnaeth Arfon gyfarfod Merêd gyntaf ddechrau 'r 70au , a bu 'r ddau mewn cysylltiad agos ar hyd y blynyddoedd .","Fe wnaeth Arfon gyfarfod Merêd gyntaf ddechrau 'r 70au , a bu 'r ddau mewn cysylltiad agos","Fe wnaeth Arfon gyfarfod Merêd gyntaf ddechrau 'r 70au , a bu 'r ddau ar hyd y blynyddoedd","Fe wnaeth Arfon gyfarfod Merêd gyntaf ddechrau 'r 70au , a bu 'r ddau mewn cysylltiad","Fe wnaeth Arfon gyfarfod Merêd gyntaf ddechrau 'r 70au , a bu 'r ddau ar blynyddoedd",mewn cysylltiad,ar blwyddyn,bod,mewn cysylltiad agos,ar hyd y blynyddoedd,3,4,mewn,ar,cysylltiad,blwyddyn,NOUN,NOUN,prepositional,prepositional,Postverbal,Welsh
"Bod yr offer a 'r deunyddiau a ddefnyddir gyda hwy , a gan hwy hwy , mewn cyflwr diogel ; bod digon o gyfleusterau cymorth cyntaf ar gael .","Bod yr offer a 'r deunyddiau a ddefnyddir gyda hwy , a gan hwy hwy","Bod yr offer a 'r deunyddiau a ddefnyddir , mewn cyflwr diogel",Bod yr offer a 'r deunyddiau a ddefnyddir gyda hwy,Bod yr offer a 'r deunyddiau a ddefnyddir mewn cyflwr,gyda hwy,mewn cyflwr,defnyddio,"gyda hwy , a gan hwy hwy",", mewn cyflwr diogel",7,4,gyda,mewn,hwy,cyflwr,PRON,NOUN,prepositional,prepositional,Postverbal,Welsh
