Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Ọlọ́run súre fún wọn , ó sì wí pé , “ Ẹ máa bí sí i , ẹ sì máa pọ̀ sí i , ẹ kún inú omi òkun , kí àwọn ẹyẹ náà sì máa pọ̀ sí i ní orí ilẹ̀ . ”","Ọlọ́run súre fún wọn , ó sì wí pé , “ Ẹ máa bí sí i , ẹ sì máa pọ̀ sí i , ẹ kún inú omi òkun , kí àwọn ẹyẹ náà sì máa pọ̀ sí i","Ọlọ́run súre fún wọn , ó sì wí pé , “ Ẹ máa bí sí i , ẹ sì máa pọ̀ sí i , ẹ kún inú omi òkun , kí àwọn ẹyẹ náà sì máa pọ̀ ní orí ilẹ̀","Ọlọ́run súre fún wọn , ó sì wí pé , “ Ẹ máa bí sí i , ẹ sì máa pọ̀ sí i , ẹ kún inú omi òkun , kí àwọn ẹyẹ náà sì máa pọ̀ sí i","Ọlọ́run súre fún wọn , ó sì wí pé , “ Ẹ máa bí sí i , ẹ sì máa pọ̀ sí i , ẹ kún inú omi òkun , kí àwọn ẹyẹ náà sì máa pọ̀ ní orí",sí i,ní orí,pọ̀,sí i,ní orí ilẹ̀,2,3,sí,ní,i,orí,PRON,NOUN,prepositional,prepositional,Postverbal,Yoruba
"Jésù sì ń rìn ní tẹ́mpílì , ní ìloro Sólómónì ,",Jésù sì ń rìn ní tẹ́mpílì,"Jésù sì ń rìn , ní ìloro Sólómónì",Jésù sì ń rìn ní tẹ́mpílì,Jésù sì ń rìn ní ìloro,ní tẹ́mpílì,ní ìloro,rìn,ní tẹ́mpílì,", ní ìloro Sólómónì",2,4,ní,ní,tẹ́mpílì,ìloro,NOUN,NOUN,prepositional,prepositional,Postverbal,Yoruba
"Nítorí náà nígbà tí Jésù dé , ó rí i pé a ti tẹ́ ẹ sínú ibojì ní ijọ́ mẹ́rin ná ,","Nítorí náà nígbà tí Jésù dé , ó rí i pé a ti tẹ́ ẹ sínú ibojì","Nítorí náà nígbà tí Jésù dé , ó rí i pé a ti tẹ́ ẹ ní ijọ́ mẹ́rin","Nítorí náà nígbà tí Jésù dé , ó rí i pé a ti tẹ́ ẹ sínú ibojì","Nítorí náà nígbà tí Jésù dé , ó rí i pé a ti tẹ́ ẹ ní ijọ́",sínú ibojì,ní ijọ́,tẹ́,sínú ibojì,ní ijọ́ mẹ́rin,2,3,sínú,ní,ibojì,ijọ́,NOUN,NOUN,prepositional,prepositional,Postverbal,Yoruba
"Nígbà tí àwọn Júù tí ó wà lọ́dọ̀ rẹ̀ nínú ilé , tí wọ́n ń tù ú nínú rí Màríà tí ó dìde kánkán , tí ó sì jáde , wọ́n tẹ̀lé , wọ́n ṣebí ó ń lọ sí ibojì láti sọkún níbẹ̀ .",Nígbà tí àwọn Júù tí ó wà lọ́dọ̀ rẹ̀,Nígbà tí àwọn Júù tí ó wà nínú ilé,Nígbà tí àwọn Júù tí ó wà lọ́dọ̀ rẹ̀,Nígbà tí àwọn Júù tí ó wà nínú ilé,lọ́dọ̀ rẹ̀,nínú ilé,wà,lọ́dọ̀ rẹ̀,nínú ilé,2,2,lọ́dọ̀,nínú,rẹ̀,ilé,PRON,NOUN,prepositional,prepositional,Postverbal,Yoruba
"Ṣùgbọ́n èmi wí fún un yín pé , ẹnikẹ́ni tí ó bínú sí arákùnrin rẹ̀ yóò wà nínú ewu ìdájọ́ . Ẹnikẹ́ni ti ó ba wí fun arakùnrin rẹ̀ pé , ‘ Ráákà ’ yóò fara hàn níwájú Sahẹ́ńdìrì ; ṣùgbọ́n ẹni tí ó bá wí pé ‘ Ìwọ wèrè ! ’ yóò wà nínú ewu iná ọ̀run àpáàdì .","Ṣùgbọ́n èmi wí fún un yín pé , ẹnikẹ́ni tí ó bínú sí arákùnrin rẹ̀","Ṣùgbọ́n èmi wí fún un yín pé , ẹnikẹ́ni tí ó bínú nínú ewu ìdájọ́","Ṣùgbọ́n èmi wí fún un yín pé , ẹnikẹ́ni tí ó bínú sí arákùnrin","Ṣùgbọ́n èmi wí fún un yín pé , ẹnikẹ́ni tí ó bínú nínú ewu",sí arákùnrin,nínú ewu,bínú,sí arákùnrin rẹ̀,nínú ewu ìdájọ́,3,3,sí,nínú,arákùnrin,ewu,NOUN,NOUN,prepositional,prepositional,Postverbal,Yoruba
"Fi fún àwọn tí ó béèrè lọ́wọ́ rẹ , má ṣe kọ̀ fún ẹni tí ó fẹ́ ya láti lọ́wọ́ rẹ .",Fi fún àwọn tí ó béèrè lọ́wọ́ rẹ,Fi fún àwọn tí ó béèrè kọ̀ fún ẹni tí,Fi fún àwọn tí ó béèrè lọ́wọ́ rẹ,Fi fún àwọn tí ó béèrè fún ẹni,lọ́wọ́ rẹ,fún ẹni,béèrè,lọ́wọ́ rẹ,kọ̀ fún ẹni tí,2,4,lọ́wọ́,fún,rẹ,ẹni,PRON,PRON,prepositional,prepositional,Postverbal,Yoruba
"Ẹ kíyèsí i , ẹ fi ìbùkún fún Olúwa , gbogbo ẹ̀yin ìránṣẹ́ Olúwa , tí ó dúró ní ilé Olúwa ní òru .","Ẹ kíyèsí i , ẹ fi ìbùkún fún Olúwa , gbogbo ẹ̀yin ìránṣẹ́ Olúwa , tí ó dúró ní ilé Olúwa","Ẹ kíyèsí i , ẹ fi ìbùkún fún Olúwa , gbogbo ẹ̀yin ìránṣẹ́ Olúwa , tí ó dúró ní òru","Ẹ kíyèsí i , ẹ fi ìbùkún fún Olúwa , gbogbo ẹ̀yin ìránṣẹ́ Olúwa , tí ó dúró ní ilé","Ẹ kíyèsí i , ẹ fi ìbùkún fún Olúwa , gbogbo ẹ̀yin ìránṣẹ́ Olúwa , tí ó dúró ní òru",ní ilé,ní òru,dúró,ní ilé Olúwa,ní òru,3,2,ní,ní,ilé,òru,NOUN,NOUN,prepositional,prepositional,Postverbal,Yoruba
"Olúwa tí ó dá ọ̀run Òun ayé , kí ó bùsí i fún ọ láti Síónì wá .","Olúwa tí ó dá ọ̀run Òun ayé , kí ó bùsí i fún ọ","Olúwa tí ó dá ọ̀run Òun ayé , kí ó bùsí i láti Síónì wá .","Olúwa tí ó dá ọ̀run Òun ayé , kí ó bùsí i fún ọ","Olúwa tí ó dá ọ̀run Òun ayé , kí ó bùsí i láti Síónì",fún ọ,láti Síónì,bùsí,fún ọ,láti Síónì wá .,2,4,fún,láti,ọ,Síónì,PRON,PROPN,prepositional,prepositional,Postverbal,Yoruba
Ọmọ rẹ̀ Esigie tí ó jẹ́ ọba ti Benin maa ń wọ́ èyí tí ó jọọ́ fún àwọn ọmọ ogun ẹ̀yìn ìya olorì .,Ọmọ rẹ̀ Esigie tí ó jẹ́ ọba ti Benin maa ń wọ́ èyí tí ó jọọ́ fún àwọn ọmọ ogun,Ọmọ rẹ̀ Esigie tí ó jẹ́ ọba ti Benin maa ń wọ́ èyí tí ó jọọ́ ẹ̀yìn ìya olorì,Ọmọ rẹ̀ Esigie tí ó jẹ́ ọba ti Benin maa ń wọ́ èyí tí ó jọọ́ fún ọmọ,Ọmọ rẹ̀ Esigie tí ó jẹ́ ọba ti Benin maa ń wọ́ èyí tí ó jọọ́ ẹ̀yìn ìya,fún ọmọ,ẹ̀yìn ìya,jọọ́,fún àwọn ọmọ ogun,ẹ̀yìn ìya olorì,4,3,fún,ẹ̀yìn,ọmọ,ìya,NOUN,NOUN,prepositional,prepositional,Postverbal,Yoruba
Ibojú yìí pé méjì tí ó jọ ara wọn : Ìkan wà ní Ilé ọnà ti a mọ̀ sí British Museum ní ìlú London tí ìkejì sì wà ní ilé ọnà tí a mọ̀ sí Metropolitan Museum of Art ní ìlú New York .,Ibojú yìí pé méjì tí ó jọ ara wọn : Ìkan wà ní Ilé ọnà ti a mọ̀,Ibojú yìí pé méjì tí ó jọ ara wọn : Ìkan wà sí British Museum ní ìlú London tí ìkejì sì wà ní ilé ọnà tí a mọ̀ sí Metropolitan Museum of Art ní ìlú New York,Ibojú yìí pé méjì tí ó jọ ara wọn : Ìkan wà ní Ilé ọnà,Ibojú yìí pé méjì tí ó jọ ara wọn : Ìkan wà sí British,ní ilé ọnà,sí British,wà,ní Ilé ọnà ti a mọ̀,sí British Museum ní ìlú London tí ìkejì sì wà ní ilé ọnà tí a mọ̀ sí Metropolitan Museum of Art ní ìlú New York,6,25,ní ilé,sí,ọnà,British,NOUN,NOUN,prepositional,prepositional,Postverbal,Yoruba
