Mean,SE,CI25,CI975,Rhat,Bulk_ESS,Tail_ESS,Factor,Order,Significant
0.020111906,0.471826259,-0.941268937,1.024545254,1.00176883,23990,13457,Intercept,Chinese preverbal,no
-0.278141125,0.506446347,-1.589099914,0.497430762,1.001946177,14599,8285,Len,Chinese preverbal,no
1.087236213,0.552301194,0.326949996,2.492400922,1.002702195,6930,10555,Semantic_closeness,Chinese preverbal,yes positive
-1.803270329,1.044404094,-4.64174327,-0.604623941,1.00374044,5169,6794,Lexical_frequency,Chinese preverbal,yes positive
-0.723409601,0.475890921,-1.882096663,0.033009642,1.001170605,17530,11365,Predictability,Chinese preverbal,no
4.777943765,2.786641012,1.417849916,12.20112911,1.003339837,5392,7025,Pronominality,Chinese preverbal,yes positive
0.031270047,0.830555046,-1.771581899,1.52022544,1.001204772,11445,10511,Intercept,Persian preverbal,no
0.40203613,0.266653457,-0.100146315,0.9498746,1.000708799,42399,25718,Len,Persian preverbal,no
0.173520549,0.435277945,-0.676818709,1.024565787,1.000586751,21771,24464,Semantic_closeness,Persian preverbal,no
-0.690262151,0.464874224,-1.664117879,0.160992479,1.00060387,21740,22612,Lexical_frequency,Persian preverbal,no
0.063111903,0.239496271,-0.412293479,0.534181731,1.00047365,39950,25562,Predictability,Persian preverbal,no
-1.806835377,0.796906041,-3.476244562,-0.355523726,1.00040285,33100,24017,Pronominality,Persian preverbal,yes negative
0.03963518,0.086083303,-0.124234557,0.213618634,1.000605687,37010,26563,Intercept,Japanese preverbal,no
0.854877029,0.119700738,0.62730843,1.096964443,1.000522099,65130,24847,Len,Japanese preverbal,yes positive
0.423094675,0.082719292,0.262952519,0.587392722,1.001151213,68845,26001,Semantic_closeness,Japanese preverbal,yes positive
-0.545851682,0.107267082,-0.761706114,-0.341534914,1.000748476,52238,29315,Lexical_frequency,Japanese preverbal,yes positive
-0.1527877,0.084489273,-0.319846725,0.013958061,1.000810765,66287,29837,Predictability,Japanese preverbal,no
1.395656701,0.401693842,0.640876886,2.214733863,1.000809943,66831,24761,Pronominality,Japanese preverbal,yes positive
-0.035678707,0.057991799,-0.150471603,0.076576824,1.000777331,43536,27085,Intercept,Hindi preverbal,no
0.001619185,0.051459675,-0.099228109,0.103766282,1.001067261,54204,26035,Len,Hindi preverbal,no
0.235678452,0.056607954,0.124731449,0.347683959,1.000473911,44721,27812,Semantic_closeness,Hindi preverbal,yes positive
-0.196623508,0.054904464,-0.305141566,-0.090121299,1.000800169,56341,26281,Lexical_frequency,Hindi preverbal,yes positive
1.649756572,0.166876212,1.326260123,1.982750556,1.000439925,41789,27249,Pronominality,Hindi preverbal,yes positive
